sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Texas Tech,UCF,Behren Morton,QB,33,22,218.8,0,0,6,0,0.0,0,0,0,0.0,0
32,A,Texas Tech,UCF,Cameron Dickey,Rusher,0,0,0.0,0,0,0,21,101.9,0,0,0,0.0,0
32,A,Texas Tech,UCF,J'Koby Williams,Rusher,0,0,0.0,0,0,0,23,117.2,1,0,0,0.0,0
32,A,Texas Tech,UCF,Behren Morton,Rusher,0,0,0.0,0,0,0,4,20.9,0,0,0,0.0,0
32,A,Texas Tech,UCF,Will Hammond,Rusher,0,0,0.0,0,0,0,7,48.8,1,0,0,0.0,0
32,A,Texas Tech,UCF,Johncarlos Miller II,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,47.8,0
32,A,Texas Tech,UCF,Caleb Douglas,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,33.7,0
32,A,Texas Tech,UCF,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
32,A,Texas Tech,UCF,Reginald Virgil,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,61.3,0
32,A,Texas Tech,UCF,Terrance Carter,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,32.4,0
32,A,Texas Tech,UCF,Coy Eakin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,43.5,0
32,A,UCF,Texas Tech,Tayven Jackson,QB,19,13,98.9,0,0,7,0,0.0,0,0,0,0.0,0
32,A,UCF,Texas Tech,Myles Montgomery,Rusher,0,0,0.0,0,0,0,9,31.3,0,0,0,0.0,0
32,A,UCF,Texas Tech,Jaden Nixon,Rusher,0,0,0.0,0,0,0,3,7.5,0,0,0,0.0,0
32,A,UCF,Texas Tech,Cam Fancher,Rusher,0,0,0.0,0,0,0,3,12.6,0,0,0,0.0,0
32,A,UCF,Texas Tech,Jacurri Brown,Rusher,0,0,0.0,0,0,0,3,23.9,1,0,0,0.0,0
32,A,UCF,Texas Tech,Tayven Jackson,Rusher,0,0,0.0,0,0,0,3,10.2,0,0,0,0.0,0
32,A,UCF,Texas Tech,Kylan Fox,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,19.8,0
32,A,UCF,Texas Tech,Dylan Wade,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,52.7,0
32,A,UCF,Texas Tech,Marcus Burke,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,UCF,Texas Tech,DJ Black,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,9.6,0
32,A,UCF,Texas Tech,Duane Thomas Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,12.8,0
32,A,UCF,Texas Tech,Chris Domercant,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,UCF,Texas Tech,Waden Charles,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,UCF,Texas Tech,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.1,0
33,B,UCF,Texas Tech,Tayven Jackson,QB,29,13,135.5,0,0,6,0,0.0,0,0,0,0.0,0
33,B,UCF,Texas Tech,Myles Montgomery,Rusher,0,0,0.0,0,0,0,9,23.3,0,0,0,0.0,0
33,B,UCF,Texas Tech,Tayven Jackson,Rusher,0,0,0.0,0,0,0,4,16.8,0,0,0,0.0,0
33,B,UCF,Texas Tech,Jacurri Brown,Rusher,0,0,0.0,0,0,0,7,17.5,0,0,0,0.0,0
33,B,UCF,Texas Tech,Cam Fancher,Rusher,0,0,0.0,0,0,0,4,13.8,0,0,0,0.0,0
33,B,UCF,Texas Tech,Stacy Gage,Rusher,0,0,0.0,0,0,0,2,10.4,0,0,0,0.0,0
33,B,UCF,Texas Tech,Jaden Nixon,Rusher,0,0,0.0,0,0,0,1,4.8,0,0,0,0.0,0
33,B,UCF,Texas Tech,Marcus Burke,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,6.5,0
33,B,UCF,Texas Tech,Chris Domercant,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,32.2,0
33,B,UCF,Texas Tech,Duane Thomas Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,22.4,0
33,B,UCF,Texas Tech,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,48.9,0
33,B,UCF,Texas Tech,DJ Black,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
