sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,UConn,Air Force,Joe Fagnano,QB,24,13,132.6,0,0,6,0,0.0,0,0,0,0.0,0
0,A,UConn,Air Force,Camryn Edwards,Rusher,0,0,0.0,0,0,0,13,49.3,0,0,0,0.0,0
0,A,UConn,Air Force,Jayden Brown,Rusher,0,0,0.0,0,0,0,3,6.1,0,0,0,0.0,0
0,A,UConn,Air Force,Joe Fagnano,Rusher,0,0,0.0,0,0,0,2,-3.9,0,0,0,0.0,0
0,A,UConn,Air Force,Oliver Lundberg-Coleman,Rusher,0,0,0.0,0,0,0,1,5.5,0,0,0,0.0,0
0,A,UConn,Air Force,MJ Flowers,Rusher,0,0,0.0,0,0,0,1,19.7,0,0,0,0.0,0
0,A,UConn,Air Force,Victor Rosa,Rusher,0,0,0.0,0,0,0,1,-2.7,0,0,0,0.0,0
0,A,UConn,Air Force,Javonte Vereen,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,31.4,0
0,A,UConn,Air Force,Shamar Porter,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,16.8,0
0,A,UConn,Air Force,Reymello Murphy,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,35.5,0
0,A,UConn,Air Force,John Neider,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
0,A,UConn,Air Force,Thai Chiaokhiao-Bowman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,36.8,0
0,A,UConn,Air Force,Skyler Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,12.1,0
0,A,UConn,Air Force,Alex Honig,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,UConn,Air Force,Louis Hansen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
0,A,Air Force,UConn,Liam Szarka,QB,19,15,201.8,1,0,4,0,0.0,0,0,0,0.0,0
0,A,Air Force,UConn,Dylan Carson,Rusher,0,0,0.0,0,0,0,11,71.2,2,0,0,0.0,0
0,A,Air Force,UConn,Christopher Frew,Rusher,0,0,0.0,0,0,0,5,34.9,0,0,0,0.0,0
0,A,Air Force,UConn,Kemper Hodges,Rusher,0,0,0.0,0,0,0,3,11.5,0,0,0,0.0,0
0,A,Air Force,UConn,Owen Allen,Rusher,0,0,0.0,0,0,0,6,50.3,1,0,0,0.0,0
0,A,Air Force,UConn,Kaden Cloud,Rusher,0,0,0.0,0,0,0,3,2.4,0,0,0,0.0,0
0,A,Air Force,UConn,Liam Szarka,Rusher,0,0,0.0,0,0,0,9,45.6,0,0,0,0.0,0
0,A,Air Force,UConn,Other RB,Rusher,0,0,0.0,0,0,0,2,23.5,0,0,0,0.0,0
