sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,UNLV,Utah State,Anthony Colandrea,QB,26,18,211.6,1,0,3,0,0.0,0,0,0,0.0,0
16,A,UNLV,Utah State,Anthony Colandrea,Rusher,0,0,0.0,0,0,0,12,55.1,1,0,0,0.0,0
16,A,UNLV,Utah State,Alex Orji,Rusher,0,0,0.0,0,0,0,6,32.4,0,0,0,0.0,0
16,A,UNLV,Utah State,Jai'Den Thomas,Rusher,0,0,0.0,0,0,0,8,39.4,0,0,0,0.0,0
16,A,UNLV,Utah State,Keyvone Lee,Rusher,0,0,0.0,0,0,0,3,14.2,0,0,0,0.0,0
16,A,UNLV,Utah State,Jaylon Glover,Rusher,0,0,0.0,0,0,0,3,10.1,0,0,0,0.0,0
16,A,UNLV,Utah State,Darrien Jones,Rusher,0,0,0.0,0,0,0,3,-5.1,0,0,0,0.0,0
16,A,UNLV,Utah State,Gael Ochoa,Rusher,0,0,0.0,0,0,0,1,-1.6,0,0,0,0.0,0
16,A,UNLV,Utah State,Jaden Bradley,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,8,61.5,0
16,A,UNLV,Utah State,Taeshaun Lyons,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
16,A,UNLV,Utah State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,56.7,1
16,A,UNLV,Utah State,JoJo Earle,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,15.4,0
16,A,UNLV,Utah State,Daejon Reynolds,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
16,A,UNLV,Utah State,DeAngelo Irvin Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,20.3,0
16,A,UNLV,Utah State,Troy Omeire,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.0,0
16,A,UNLV,Utah State,Nick Elksnis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,42.6,0
16,A,Utah State,UNLV,Bryson Barnes,QB,23,13,168.0,1,0,3,0,0.0,0,0,0,0.0,0
16,A,Utah State,UNLV,Javen Jacobs,Rusher,0,0,0.0,0,0,0,7,54.3,0,0,0,0.0,0
16,A,Utah State,UNLV,Bryson Barnes,Rusher,0,0,0.0,0,0,0,13,33.1,1,0,0,0.0,0
16,A,Utah State,UNLV,Miles Davis,Rusher,0,0,0.0,0,0,0,14,71.9,0,0,0,0.0,0
16,A,Utah State,UNLV,Broc Lane,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,54.2,0
16,A,Utah State,UNLV,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,47.4,0
16,A,Utah State,UNLV,Brady Boyd,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,39.2,1
16,A,Utah State,UNLV,Braden Pegan,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,12.6,0
16,A,Utah State,UNLV,Josh Sterzer,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Utah State,UNLV,Kahanu Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,14.6,0
17,B,Utah State,UNLV,Bryson Barnes,QB,27,18,123.8,0,0,5,0,0.0,0,0,0,0.0,0
17,B,Utah State,UNLV,Noah White,Rusher,0,0,0.0,0,0,0,4,29.0,0,0,0,0.0,0
17,B,Utah State,UNLV,Bryson Barnes,Rusher,0,0,0.0,0,0,0,3,27.6,0,0,0,0.0,0
17,B,Utah State,UNLV,Javen Jacobs,Rusher,0,0,0.0,0,0,0,6,36.5,1,0,0,0.0,0
17,B,Utah State,UNLV,Miles Davis,Rusher,0,0,0.0,0,0,0,10,74.7,1,0,0,0.0,0
17,B,Utah State,UNLV,Braden Pegan,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,2.7,0
17,B,Utah State,UNLV,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,10,55.1,0
17,B,Utah State,UNLV,Brady Boyd,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,10,61.7,0
17,B,Utah State,UNLV,Broc Lane,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,4.2,0
17,B,Utah State,UNLV,Josh Sterzer,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
17,B,UNLV,Utah State,Anthony Colandrea,QB,24,19,284.3,0,0,1,0,0.0,0,0,0,0.0,0
17,B,UNLV,Utah State,Anthony Colandrea,Rusher,0,0,0.0,0,0,0,9,43.7,0,0,0,0.0,0
17,B,UNLV,Utah State,Keyvone Lee,Rusher,0,0,0.0,0,0,0,8,27.8,1,0,0,0.0,0
17,B,UNLV,Utah State,Jaylon Glover,Rusher,0,0,0.0,0,0,0,6,26.6,1,0,0,0.0,0
17,B,UNLV,Utah State,Jai'Den Thomas,Rusher,0,0,0.0,0,0,0,11,28.9,1,0,0,0.0,0
17,B,UNLV,Utah State,Darrien Jones,Rusher,0,0,0.0,0,0,0,4,25.8,0,0,0,0.0,0
17,B,UNLV,Utah State,Alex Orji,Rusher,0,0,0.0,0,0,0,4,20.4,1,0,0,0.0,0
17,B,UNLV,Utah State,Troy Omeire,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,26.8,0
17,B,UNLV,Utah State,Jaden Bradley,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,66.0,0
17,B,UNLV,Utah State,JoJo Earle,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,11.6,0
17,B,UNLV,Utah State,Var'Keyes Gumms,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,53.4,0
17,B,UNLV,Utah State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,118.1,0
17,B,UNLV,Utah State,Daejon Reynolds,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,2.5,0
17,B,UNLV,Utah State,Nick Elksnis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,1.1,0
17,B,UNLV,Utah State,DeAngelo Irvin Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,4.7,0
17,B,UNLV,Utah State,Taeshaun Lyons,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
18,A,UNLV,Utah State,Anthony Colandrea,QB,29,23,263.5,3,0,3,0,0.0,0,0,0,0.0,0
18,A,UNLV,Utah State,Keyvone Lee,Rusher,0,0,0.0,0,0,0,5,46.0,0,0,0,0.0,0
