team,opp,pts,opp_pts,plays,opp_plays
Ball State,Eastern Michigan,10,7,63,57
Eastern Michigan,Ball State,14,17,57,65
Ball State,Eastern Michigan,14,17,69,58
Eastern Michigan,Ball State,14,24,67,59
Ball State,Eastern Michigan,6,21,68,54
Eastern Michigan,Ball State,13,17,69,63
Ball State,Eastern Michigan,17,16,57,57
Eastern Michigan,Ball State,20,14,68,57
Ball State,Eastern Michigan,17,24,60,65
Eastern Michigan,Ball State,10,17,65,56
Ball State,Eastern Michigan,3,13,62,56
Eastern Michigan,Ball State,17,24,67,59
Ball State,Eastern Michigan,31,17,67,61
Eastern Michigan,Ball State,6,10,67,55
Ball State,Eastern Michigan,38,10,71,50
Eastern Michigan,Ball State,17,12,59,67
Ball State,Eastern Michigan,17,13,64,60
Eastern Michigan,Ball State,38,3,63,60
Ball State,Eastern Michigan,24,41,67,62
Eastern Michigan,Ball State,7,24,59,62
Ball State,Eastern Michigan,14,13,64,61
Eastern Michigan,Ball State,27,21,62,59
Ball State,Eastern Michigan,14,19,69,61
Eastern Michigan,Ball State,14,28,60,65
Ball State,Eastern Michigan,14,17,65,58
Eastern Michigan,Ball State,21,13,57,64
Ball State,Eastern Michigan,35,31,72,53
Eastern Michigan,Ball State,24,13,63,58
Ball State,Eastern Michigan,17,10,62,53
Eastern Michigan,Ball State,21,6,57,69
Ball State,Eastern Michigan,0,35,70,64
Eastern Michigan,Ball State,35,14,73,50
Ball State,Eastern Michigan,0,16,46,73
Eastern Michigan,Ball State,28,27,61,59
Ball State,Eastern Michigan,21,10,62,60
Eastern Michigan,Ball State,17,10,61,63
Ball State,Eastern Michigan,3,31,56,69
Eastern Michigan,Ball State,0,27,55,68
Ball State,Eastern Michigan,10,20,58,63
Eastern Michigan,Ball State,21,14,64,58
Ball State,Eastern Michigan,12,28,79,46
Eastern Michigan,Ball State,31,9,66,59
Ball State,Eastern Michigan,20,42,57,70
Eastern Michigan,Ball State,20,17,51,72
Ball State,Eastern Michigan,21,31,70,58
Eastern Michigan,Ball State,14,23,62,66
Ball State,Eastern Michigan,10,20,72,58
Eastern Michigan,Ball State,20,10,64,60
Ball State,Eastern Michigan,17,27,66,59
Eastern Michigan,Ball State,7,20,62,61
Ball State,Eastern Michigan,31,10,75,49
Eastern Michigan,Ball State,14,20,65,62
Ball State,Eastern Michigan,9,14,61,67
Eastern Michigan,Ball State,13,30,70,61
Ball State,Eastern Michigan,14,31,61,64
Eastern Michigan,Ball State,35,24,62,69
Ball State,Eastern Michigan,24,7,71,51
Eastern Michigan,Ball State,7,24,58,75
Ball State,Eastern Michigan,10,17,68,61
Eastern Michigan,Ball State,20,20,63,64
Ball State,Eastern Michigan,14,17,66,54
Eastern Michigan,Ball State,13,20,67,56
Ball State,Eastern Michigan,10,19,61,68
Eastern Michigan,Ball State,7,20,45,70
Ball State,Eastern Michigan,13,34,56,67
Eastern Michigan,Ball State,13,27,57,67
Ball State,Eastern Michigan,28,14,66,56
Eastern Michigan,Ball State,7,17,52,70
Ball State,Eastern Michigan,10,0,61,62
Eastern Michigan,Ball State,31,17,62,65
Ball State,Eastern Michigan,24,31,59,65
Eastern Michigan,Ball State,14,17,53,66
Ball State,Eastern Michigan,3,13,65,64
Eastern Michigan,Ball State,24,21,60,58
Ball State,Eastern Michigan,44,14,75,44
Eastern Michigan,Ball State,7,17,61,55
Ball State,Eastern Michigan,3,17,66,50
Eastern Michigan,Ball State,24,28,63,60
Ball State,Eastern Michigan,20,21,71,63
Eastern Michigan,Ball State,24,10,59,60
Ball State,Eastern Michigan,20,21,70,57
Eastern Michigan,Ball State,17,10,68,55
Ball State,Eastern Michigan,10,27,61,69
Eastern Michigan,Ball State,27,6,64,58
Ball State,Eastern Michigan,17,20,62,68
Eastern Michigan,Ball State,21,17,63,60
Ball State,Eastern Michigan,16,20,71,50
Eastern Michigan,Ball State,21,17,54,67
Ball State,Eastern Michigan,14,30,57,73
Eastern Michigan,Ball State,31,21,71,57
Ball State,Eastern Michigan,24,10,71,46
Eastern Michigan,Ball State,3,34,53,62
Ball State,Eastern Michigan,17,16,64,58
Eastern Michigan,Ball State,24,20,62,62
Ball State,Eastern Michigan,21,28,63,61
Eastern Michigan,Ball State,34,6,76,48
Ball State,Eastern Michigan,28,24,77,56
Eastern Michigan,Ball State,17,24,66,59
Ball State,Eastern Michigan,13,21,62,59
Eastern Michigan,Ball State,24,28,64,66
Ball State,Eastern Michigan,21,17,64,58
Eastern Michigan,Ball State,10,14,70,54
Ball State,Eastern Michigan,0,41,51,77
Eastern Michigan,Ball State,10,7,77,47
Ball State,Eastern Michigan,3,13,65,66
Eastern Michigan,Ball State,17,21,61,64
Ball State,Eastern Michigan,7,9,64,59
Eastern Michigan,Ball State,17,13,61,64
Ball State,Eastern Michigan,13,14,62,58
Eastern Michigan,Ball State,14,31,60,63
Ball State,Eastern Michigan,17,34,60,62
Eastern Michigan,Ball State,22,17,66,54
Ball State,Eastern Michigan,13,17,67,59
Eastern Michigan,Ball State,7,24,56,62
Ball State,Eastern Michigan,0,23,63,64
Eastern Michigan,Ball State,38,20,68,61
Ball State,Eastern Michigan,27,17,53,72
Eastern Michigan,Ball State,27,24,70,54
Ball State,Eastern Michigan,28,14,73,52
Eastern Michigan,Ball State,21,17,61,63
Ball State,Eastern Michigan,14,41,57,69
Eastern Michigan,Ball State,31,10,63,61
Ball State,Eastern Michigan,27,14,66,65
Eastern Michigan,Ball State,13,10,69,54
Ball State,Eastern Michigan,24,28,64,63
Eastern Michigan,Ball State,26,0,71,59
Ball State,Eastern Michigan,21,3,77,43
Eastern Michigan,Ball State,38,16,72,53
Ball State,Eastern Michigan,38,7,66,59
Eastern Michigan,Ball State,17,6,59,60
Ball State,Eastern Michigan,31,10,66,67
Eastern Michigan,Ball State,24,21,62,59
Ball State,Eastern Michigan,7,10,59,61
Eastern Michigan,Ball State,17,14,59,56
Ball State,Eastern Michigan,7,13,51,70
Eastern Michigan,Ball State,14,24,67,60
Ball State,Eastern Michigan,7,24,52,74
Eastern Michigan,Ball State,20,10,66,62
Ball State,Eastern Michigan,14,20,65,60
Eastern Michigan,Ball State,20,42,57,74
Ball State,Eastern Michigan,16,14,67,58
Eastern Michigan,Ball State,24,10,73,58
Ball State,Eastern Michigan,10,17,51,67
Eastern Michigan,Ball State,13,24,62,59
Ball State,Eastern Michigan,17,17,62,57
Eastern Michigan,Ball State,17,16,71,57
Ball State,Eastern Michigan,17,9,64,61
Eastern Michigan,Ball State,14,20,60,65
Ball State,Eastern Michigan,20,21,73,52
Eastern Michigan,Ball State,0,23,56,71
Ball State,Eastern Michigan,0,10,61,66
Eastern Michigan,Ball State,14,28,63,62
Ball State,Eastern Michigan,10,20,59,67
Eastern Michigan,Ball State,17,17,58,55
Ball State,Eastern Michigan,14,19,54,71
Eastern Michigan,Ball State,0,13,65,64
Ball State,Eastern Michigan,17,41,58,69
Eastern Michigan,Ball State,13,10,59,64
Ball State,Eastern Michigan,24,14,62,70
Eastern Michigan,Ball State,7,23,47,75
Ball State,Eastern Michigan,17,14,63,64
Eastern Michigan,Ball State,16,0,65,57
Ball State,Eastern Michigan,14,17,58,65
Eastern Michigan,Ball State,21,7,59,72
Ball State,Eastern Michigan,21,14,62,66
Eastern Michigan,Ball State,34,13,65,67
Ball State,Eastern Michigan,20,21,64,68
Eastern Michigan,Ball State,21,10,63,64
Ball State,Eastern Michigan,3,17,57,59
Eastern Michigan,Ball State,17,31,69,56
Ball State,Eastern Michigan,23,27,52,68
Eastern Michigan,Ball State,16,13,67,59
Ball State,Eastern Michigan,38,20,73,51
Eastern Michigan,Ball State,24,14,59,72
Ball State,Eastern Michigan,14,24,68,57
Eastern Michigan,Ball State,28,28,58,71
Ball State,Eastern Michigan,24,17,64,62
Eastern Michigan,Ball State,21,7,59,57
Ball State,Eastern Michigan,7,17,59,58
