team,opp,pts,opp_pts,plays,opp_plays
Charlotte,UTSA,24,31,65,59
UTSA,Charlotte,40,10,65,49
Charlotte,UTSA,21,13,64,51
UTSA,Charlotte,42,42,64,60
Charlotte,UTSA,16,31,75,48
UTSA,Charlotte,27,7,71,49
Charlotte,UTSA,14,33,60,63
UTSA,Charlotte,23,23,62,59
Charlotte,UTSA,7,28,49,71
UTSA,Charlotte,20,7,68,53
Charlotte,UTSA,7,7,65,49
UTSA,Charlotte,28,14,53,59
Charlotte,UTSA,31,31,64,56
UTSA,Charlotte,37,7,67,57
Charlotte,UTSA,14,42,60,65
UTSA,Charlotte,45,9,72,49
Charlotte,UTSA,17,35,69,54
UTSA,Charlotte,38,0,73,44
Charlotte,UTSA,10,27,57,70
UTSA,Charlotte,17,3,55,61
Charlotte,UTSA,7,24,62,57
UTSA,Charlotte,63,3,74,47
Charlotte,UTSA,14,37,64,57
UTSA,Charlotte,21,21,62,61
Charlotte,UTSA,20,21,61,63
UTSA,Charlotte,31,14,62,62
Charlotte,UTSA,12,13,65,52
UTSA,Charlotte,27,24,61,55
Charlotte,UTSA,14,49,64,59
UTSA,Charlotte,34,10,72,58
Charlotte,UTSA,17,21,70,57
UTSA,Charlotte,41,7,74,54
Charlotte,UTSA,13,31,65,58
UTSA,Charlotte,21,14,62,61
Charlotte,UTSA,7,21,50,71
UTSA,Charlotte,48,3,67,53
Charlotte,UTSA,20,28,80,50
UTSA,Charlotte,17,10,60,63
Charlotte,UTSA,14,41,67,57
UTSA,Charlotte,27,3,63,50
Charlotte,UTSA,10,17,65,60
UTSA,Charlotte,20,21,57,64
Charlotte,UTSA,7,45,52,70
UTSA,Charlotte,35,7,63,66
Charlotte,UTSA,7,34,59,65
UTSA,Charlotte,35,17,66,53
Charlotte,UTSA,17,20,57,62
UTSA,Charlotte,59,7,77,49
Charlotte,UTSA,10,35,59,63
UTSA,Charlotte,34,21,67,54
Charlotte,UTSA,13,20,69,62
UTSA,Charlotte,38,3,61,53
Charlotte,UTSA,7,63,54,69
UTSA,Charlotte,49,13,72,56
Charlotte,UTSA,16,34,62,60
UTSA,Charlotte,35,10,65,62
Charlotte,UTSA,0,34,60,58
UTSA,Charlotte,38,13,59,63
Charlotte,UTSA,24,21,59,65
UTSA,Charlotte,41,7,73,51
Charlotte,UTSA,7,28,64,66
UTSA,Charlotte,35,10,55,66
Charlotte,UTSA,24,28,69,50
UTSA,Charlotte,19,10,66,64
Charlotte,UTSA,3,35,59,63
UTSA,Charlotte,41,10,73,58
Charlotte,UTSA,13,21,71,59
UTSA,Charlotte,17,14,52,67
Charlotte,UTSA,10,28,59,64
UTSA,Charlotte,21,6,67,48
Charlotte,UTSA,21,17,69,54
UTSA,Charlotte,24,20,56,65
Charlotte,UTSA,13,28,62,60
UTSA,Charlotte,17,7,66,57
Charlotte,UTSA,13,28,69,57
UTSA,Charlotte,44,3,75,48
Charlotte,UTSA,17,42,61,58
UTSA,Charlotte,34,20,59,62
Charlotte,UTSA,14,31,65,58
UTSA,Charlotte,35,14,62,53
Charlotte,UTSA,3,28,56,65
UTSA,Charlotte,28,20,60,61
Charlotte,UTSA,16,34,58,56
UTSA,Charlotte,42,10,65,55
Charlotte,UTSA,7,21,62,56
UTSA,Charlotte,35,17,63,63
Charlotte,UTSA,10,31,60,59
UTSA,Charlotte,10,3,60,58
Charlotte,UTSA,14,30,57,69
UTSA,Charlotte,27,9,61,64
Charlotte,UTSA,0,38,52,66
UTSA,Charlotte,20,24,63,60
Charlotte,UTSA,13,27,65,62
UTSA,Charlotte,24,13,54,65
Charlotte,UTSA,7,35,47,73
UTSA,Charlotte,20,10,72,50
Charlotte,UTSA,10,28,61,61
UTSA,Charlotte,23,7,66,60
Charlotte,UTSA,13,42,62,61
UTSA,Charlotte,35,6,66,56
Charlotte,UTSA,38,24,64,58
