team,opp,pts,opp_pts,plays,opp_plays
Cincinnati,Arizona,17,24,61,63
Arizona,Cincinnati,31,17,73,59
Cincinnati,Arizona,27,21,71,66
Arizona,Cincinnati,34,14,75,59
Cincinnati,Arizona,10,24,73,65
Arizona,Cincinnati,23,14,73,58
Cincinnati,Arizona,14,17,63,68
Arizona,Cincinnati,28,7,71,62
Cincinnati,Arizona,34,14,89,51
Arizona,Cincinnati,30,17,74,65
Cincinnati,Arizona,35,35,77,63
Arizona,Cincinnati,31,13,69,62
Cincinnati,Arizona,7,51,59,75
Arizona,Cincinnati,17,38,71,62
Cincinnati,Arizona,17,35,71,71
Arizona,Cincinnati,35,7,76,52
Cincinnati,Arizona,35,24,79,56
Arizona,Cincinnati,34,21,70,62
Cincinnati,Arizona,13,35,62,74
Arizona,Cincinnati,14,14,69,61
Cincinnati,Arizona,21,30,65,74
Arizona,Cincinnati,33,14,75,60
Cincinnati,Arizona,28,27,64,71
Arizona,Cincinnati,35,6,72,60
Cincinnati,Arizona,10,21,65,63
Arizona,Cincinnati,31,21,75,68
Cincinnati,Arizona,24,37,58,74
Arizona,Cincinnati,20,10,68,65
Cincinnati,Arizona,24,48,74,71
Arizona,Cincinnati,17,21,77,58
Cincinnati,Arizona,17,17,66,66
Arizona,Cincinnati,17,24,65,68
Cincinnati,Arizona,27,17,74,59
Arizona,Cincinnati,31,24,70,64
Cincinnati,Arizona,7,45,60,73
Arizona,Cincinnati,28,26,62,67
Cincinnati,Arizona,17,17,73,64
Arizona,Cincinnati,16,10,72,61
Cincinnati,Arizona,7,30,58,74
Arizona,Cincinnati,23,27,81,59
Cincinnati,Arizona,20,13,62,66
Arizona,Cincinnati,16,6,69,67
Cincinnati,Arizona,38,16,71,73
Arizona,Cincinnati,24,20,60,75
Cincinnati,Arizona,9,42,56,74
Arizona,Cincinnati,38,20,75,60
Cincinnati,Arizona,17,31,71,63
Arizona,Cincinnati,17,28,75,64
Cincinnati,Arizona,17,24,62,79
Arizona,Cincinnati,16,10,78,58
Cincinnati,Arizona,28,14,80,57
Arizona,Cincinnati,31,42,70,74
Cincinnati,Arizona,21,41,67,72
Arizona,Cincinnati,20,16,69,64
Cincinnati,Arizona,24,21,68,65
Arizona,Cincinnati,27,17,60,71
Cincinnati,Arizona,10,42,66,60
Arizona,Cincinnati,17,20,70,66
Cincinnati,Arizona,24,45,58,77
Arizona,Cincinnati,27,3,72,60
Cincinnati,Arizona,20,34,69,62
Arizona,Cincinnati,20,7,82,60
Cincinnati,Arizona,28,24,63,73
Arizona,Cincinnati,24,20,68,76
Cincinnati,Arizona,13,27,68,77
Arizona,Cincinnati,20,7,80,54
Cincinnati,Arizona,23,24,70,67
Arizona,Cincinnati,31,35,67,68
Cincinnati,Arizona,37,17,87,53
Arizona,Cincinnati,17,7,66,58
Cincinnati,Arizona,31,21,55,79
Arizona,Cincinnati,31,31,72,65
Cincinnati,Arizona,21,17,65,68
Arizona,Cincinnati,17,20,71,60
Cincinnati,Arizona,14,38,61,73
Arizona,Cincinnati,41,17,75,58
Cincinnati,Arizona,20,31,68,65
Arizona,Cincinnati,20,28,80,52
Cincinnati,Arizona,14,21,64,71
Arizona,Cincinnati,7,41,62,73
Cincinnati,Arizona,13,24,75,65
Arizona,Cincinnati,17,21,71,59
Cincinnati,Arizona,10,13,67,70
Arizona,Cincinnati,34,10,77,54
Cincinnati,Arizona,23,17,69,65
Arizona,Cincinnati,20,20,84,46
Cincinnati,Arizona,14,13,71,68
Arizona,Cincinnati,45,3,84,50
Cincinnati,Arizona,10,21,79,62
Arizona,Cincinnati,23,34,67,75
Cincinnati,Arizona,16,35,73,62
Arizona,Cincinnati,34,28,79,57
Cincinnati,Arizona,27,28,67,68
Arizona,Cincinnati,24,21,68,67
Cincinnati,Arizona,17,31,64,69
Arizona,Cincinnati,27,17,70,64
Cincinnati,Arizona,21,21,67,70
Arizona,Cincinnati,28,7,75,55
Cincinnati,Arizona,31,28,70,65
Arizona,Cincinnati,3,44,78,66
Cincinnati,Arizona,10,34,62,72
Arizona,Cincinnati,10,34,59,74
Cincinnati,Arizona,3,42,55,79
Arizona,Cincinnati,38,10,78,64
Cincinnati,Arizona,20,38,65,75
Arizona,Cincinnati,42,17,77,52
Cincinnati,Arizona,34,28,73,65
Arizona,Cincinnati,14,34,64,75
Cincinnati,Arizona,24,17,64,78
Arizona,Cincinnati,24,31,63,76
Cincinnati,Arizona,27,21,75,64
Arizona,Cincinnati,44,3,83,55
Cincinnati,Arizona,35,17,82,58
Arizona,Cincinnati,37,14,79,67
Cincinnati,Arizona,17,20,66,67
Arizona,Cincinnati,41,12,78,53
Cincinnati,Arizona,27,35,66,66
Arizona,Cincinnati,31,13,73,70
Cincinnati,Arizona,31,21,76,59
Arizona,Cincinnati,28,31,60,82
Cincinnati,Arizona,28,27,57,79
Arizona,Cincinnati,21,21,68,63
Cincinnati,Arizona,30,35,73,66
Arizona,Cincinnati,38,14,75,56
Cincinnati,Arizona,17,17,70,65
Arizona,Cincinnati,6,14,64,68
Cincinnati,Arizona,20,24,78,62
Arizona,Cincinnati,28,17,72,67
Cincinnati,Arizona,7,22,67,60
Arizona,Cincinnati,31,35,73,64
Cincinnati,Arizona,38,20,78,61
Arizona,Cincinnati,28,24,74,62
Cincinnati,Arizona,14,16,67,71
Arizona,Cincinnati,10,14,66,63
Cincinnati,Arizona,16,13,71,69
Arizona,Cincinnati,31,17,76,56
Cincinnati,Arizona,14,42,67,74
Arizona,Cincinnati,27,0,68,68
Cincinnati,Arizona,10,27,63,75
Arizona,Cincinnati,23,24,68,63
Cincinnati,Arizona,38,24,58,77
Arizona,Cincinnati,24,23,70,64
Cincinnati,Arizona,17,37,57,79
Arizona,Cincinnati,34,31,72,65
Cincinnati,Arizona,0,23,59,69
Arizona,Cincinnati,28,20,76,67
Cincinnati,Arizona,23,7,68,62
Arizona,Cincinnati,30,7,78,47
Cincinnati,Arizona,27,16,78,60
Arizona,Cincinnati,30,24,74,60
Cincinnati,Arizona,16,13,60,69
Arizona,Cincinnati,31,28,65,76
Cincinnati,Arizona,0,35,62,67
Arizona,Cincinnati,28,34,66,66
Cincinnati,Arizona,7,21,76,63
Arizona,Cincinnati,45,10,72,56
Cincinnati,Arizona,17,31,61,70
Arizona,Cincinnati,17,17,68,72
Cincinnati,Arizona,42,13,75,67
Arizona,Cincinnati,17,27,65,71
Cincinnati,Arizona,14,41,71,71
Arizona,Cincinnati,28,13,73,55
Cincinnati,Arizona,10,27,60,75
Arizona,Cincinnati,28,21,72,58
Cincinnati,Arizona,22,6,74,70
Arizona,Cincinnati,13,41,66,71
Cincinnati,Arizona,24,37,63,64
Arizona,Cincinnati,24,27,64,66
Cincinnati,Arizona,28,21,68,65
Arizona,Cincinnati,14,24,73,57
Cincinnati,Arizona,21,45,58,75
Arizona,Cincinnati,27,31,81,57
Cincinnati,Arizona,17,20,62,75
Arizona,Cincinnati,21,28,73,60
Cincinnati,Arizona,14,23,58,78
Arizona,Cincinnati,21,41,73,70
Cincinnati,Arizona,17,20,60,73
Arizona,Cincinnati,35,13,65,76
Cincinnati,Arizona,31,20,72,65
Arizona,Cincinnati,30,7,85,52
Cincinnati,Arizona,13,37,56,75
Arizona,Cincinnati,20,13,67,62
Cincinnati,Arizona,24,35,60,78
Arizona,Cincinnati,31,13,71,70
Cincinnati,Arizona,13,24,74,63
Arizona,Cincinnati,29,21,80,45
Cincinnati,Arizona,38,24,71,65
Arizona,Cincinnati,34,38,74,68
Cincinnati,Arizona,27,20,71,68
Arizona,Cincinnati,45,23,72,71
Cincinnati,Arizona,21,34,62,68
Arizona,Cincinnati,28,20,70,66
Cincinnati,Arizona,28,38,67,73
Arizona,Cincinnati,17,9,67,70
Cincinnati,Arizona,27,17,59,79
Arizona,Cincinnati,20,16,74,66
Cincinnati,Arizona,17,21,68,68
Arizona,Cincinnati,21,7,61,69
Cincinnati,Arizona,20,34,56,74
Arizona,Cincinnati,38,38,72,69
Cincinnati,Arizona,24,31,73,62
Arizona,Cincinnati,27,10,66,66
Cincinnati,Arizona,28,28,76,66
Arizona,Cincinnati,29,0,79,54
Cincinnati,Arizona,17,17,78,58
Arizona,Cincinnati,34,24,65,69
Cincinnati,Arizona,9,38,60,69
Arizona,Cincinnati,24,10,77,55
Cincinnati,Arizona,24,10,74,63
Arizona,Cincinnati,21,38,73,62
Cincinnati,Arizona,24,27,71,65
Arizona,Cincinnati,0,17,66,63
Cincinnati,Arizona,27,17,75,57
Arizona,Cincinnati,24,21,72,64
Cincinnati,Arizona,10,27,57,77
Arizona,Cincinnati,16,28,73,64
Cincinnati,Arizona,13,38,63,67
Arizona,Cincinnati,42,13,73,61
Cincinnati,Arizona,30,24,75,62
Arizona,Cincinnati,3,21,75,62
Cincinnati,Arizona,21,17,68,71
Arizona,Cincinnati,21,13,55,78
Cincinnati,Arizona,20,16,68,60
Arizona,Cincinnati,14,28,64,69
Cincinnati,Arizona,34,27,65,71
Arizona,Cincinnati,28,21,64,74
Cincinnati,Arizona,14,28,68,65
Arizona,Cincinnati,31,13,64,68
Cincinnati,Arizona,20,26,60,72
Arizona,Cincinnati,27,10,79,48
Cincinnati,Arizona,21,17,74,59
Arizona,Cincinnati,41,0,74,50
Cincinnati,Arizona,29,13,82,51
Arizona,Cincinnati,26,21,66,71
Cincinnati,Arizona,27,10,69,71
Arizona,Cincinnati,38,14,76,65
Cincinnati,Arizona,10,35,66,70
Arizona,Cincinnati,19,10,73,65
Cincinnati,Arizona,24,21,76,62
Arizona,Cincinnati,27,28,78,60
Cincinnati,Arizona,10,17,59,65
Arizona,Cincinnati,21,38,64,75
Cincinnati,Arizona,10,27,83,62
Arizona,Cincinnati,14,28,67,66
Cincinnati,Arizona,14,30,58,73
Arizona,Cincinnati,27,7,85,55
Cincinnati,Arizona,21,23,79,64
Arizona,Cincinnati,20,13,55,71
Cincinnati,Arizona,17,30,75,67
Arizona,Cincinnati,13,7,77,51
Cincinnati,Arizona,34,24,64,65
Arizona,Cincinnati,16,13,78,66
Cincinnati,Arizona,17,6,69,63
Arizona,Cincinnati,27,24,62,75
Cincinnati,Arizona,20,10,64,67
Arizona,Cincinnati,20,6,79,55
Cincinnati,Arizona,24,17,72,62
Arizona,Cincinnati,21,14,68,61
Cincinnati,Arizona,20,14,73,55
Arizona,Cincinnati,13,17,77,61
Cincinnati,Arizona,17,31,57,80
Arizona,Cincinnati,24,17,65,64
Cincinnati,Arizona,24,30,59,77
Arizona,Cincinnati,31,24,78,57
Cincinnati,Arizona,34,21,76,57
Arizona,Cincinnati,24,17,68,65
Cincinnati,Arizona,7,27,68,67
Arizona,Cincinnati,28,17,72,58
Cincinnati,Arizona,34,14,82,53
Arizona,Cincinnati,48,7,76,59
Cincinnati,Arizona,41,38,74,63
Arizona,Cincinnati,31,10,65,68
Cincinnati,Arizona,10,34,67,67
Arizona,Cincinnati,48,17,64,73
Cincinnati,Arizona,10,21,70,68
Arizona,Cincinnati,24,6,69,62
Cincinnati,Arizona,22,27,64,72
Arizona,Cincinnati,28,31,71,68
Cincinnati,Arizona,28,20,64,70
Arizona,Cincinnati,39,10,83,49
Cincinnati,Arizona,10,20,72,60
Arizona,Cincinnati,17,20,72,66
Cincinnati,Arizona,13,34,66,68
Arizona,Cincinnati,24,14,74,59
Cincinnati,Arizona,23,35,73,61
Arizona,Cincinnati,7,27,60,70
Cincinnati,Arizona,10,41,64,69
Arizona,Cincinnati,21,27,72,65
Cincinnati,Arizona,13,17,80,58
Arizona,Cincinnati,41,21,80,60
Cincinnati,Arizona,31,10,70,64
Arizona,Cincinnati,17,27,67,65
Cincinnati,Arizona,17,31,75,64
Arizona,Cincinnati,24,14,68,67
Cincinnati,Arizona,28,30,65,74
Arizona,Cincinnati,38,21,75,64
Cincinnati,Arizona,6,35,66,70
Arizona,Cincinnati,21,17,66,73
Cincinnati,Arizona,16,13,70,62
Arizona,Cincinnati,10,27,64,70
Cincinnati,Arizona,13,17,70,65
Arizona,Cincinnati,23,7,70,72
Cincinnati,Arizona,21,23,79,62
Arizona,Cincinnati,21,13,65,68
Cincinnati,Arizona,21,24,70,68
Arizona,Cincinnati,34,10,66,61
Cincinnati,Arizona,24,27,76,62
Arizona,Cincinnati,14,24,66,62
Cincinnati,Arizona,31,35,65,66
Arizona,Cincinnati,10,28,63,66
Cincinnati,Arizona,16,23,70,61
Arizona,Cincinnati,38,17,76,65
Cincinnati,Arizona,45,17,71,75
Arizona,Cincinnati,41,10,74,63
Cincinnati,Arizona,17,28,64,66
Arizona,Cincinnati,31,7,76,54
Cincinnati,Arizona,14,42,62,74
Arizona,Cincinnati,35,24,61,82
Cincinnati,Arizona,17,30,61,74
Arizona,Cincinnati,28,31,64,79
Cincinnati,Arizona,14,45,59,78
Arizona,Cincinnati,17,21,70,66
Cincinnati,Arizona,30,21,68,65
Arizona,Cincinnati,7,38,52,84
Cincinnati,Arizona,21,7,72,62
Arizona,Cincinnati,27,14,59,75
Cincinnati,Arizona,17,20,66,67
Arizona,Cincinnati,40,21,73,60
Cincinnati,Arizona,14,20,67,68
