team,opp,pts,opp_pts,plays,opp_plays
Georgia State,Marshall,10,27,55,69
Marshall,Georgia State,34,21,73,65
Georgia State,Marshall,7,31,59,71
Marshall,Georgia State,14,12,60,77
Georgia State,Marshall,13,45,55,76
Marshall,Georgia State,27,14,69,68
Georgia State,Marshall,35,21,82,66
Marshall,Georgia State,28,13,69,68
Georgia State,Marshall,38,17,84,63
Marshall,Georgia State,38,10,77,61
Georgia State,Marshall,17,49,65,75
Marshall,Georgia State,42,13,71,62
Georgia State,Marshall,6,31,70,67
Marshall,Georgia State,20,17,68,70
Georgia State,Marshall,13,31,79,58
Marshall,Georgia State,38,24,69,66
Georgia State,Marshall,13,17,62,69
Marshall,Georgia State,42,27,78,64
Georgia State,Marshall,21,38,63,69
Marshall,Georgia State,55,21,85,62
Georgia State,Marshall,7,56,59,81
Marshall,Georgia State,31,23,62,78
Georgia State,Marshall,7,48,61,77
Marshall,Georgia State,31,7,71,65
Georgia State,Marshall,10,41,61,68
Marshall,Georgia State,42,31,72,67
Georgia State,Marshall,21,23,57,75
Marshall,Georgia State,24,3,80,58
Georgia State,Marshall,13,17,77,64
Marshall,Georgia State,21,10,71,62
Georgia State,Marshall,10,37,71,62
Marshall,Georgia State,31,16,78,66
Georgia State,Marshall,6,56,69,66
Marshall,Georgia State,34,17,75,62
Georgia State,Marshall,40,27,70,67
Marshall,Georgia State,30,17,66,69
Georgia State,Marshall,17,21,77,61
Marshall,Georgia State,34,21,69,68
Georgia State,Marshall,27,31,63,77
Marshall,Georgia State,20,31,65,66
Georgia State,Marshall,24,31,77,65
Marshall,Georgia State,66,7,80,60
Georgia State,Marshall,24,38,68,73
Marshall,Georgia State,44,10,80,55
Georgia State,Marshall,0,37,55,78
Marshall,Georgia State,49,20,71,67
Georgia State,Marshall,21,17,76,67
Marshall,Georgia State,41,10,75,67
Georgia State,Marshall,21,26,67,75
Marshall,Georgia State,23,17,71,71
Georgia State,Marshall,17,42,67,77
Marshall,Georgia State,42,13,75,65
Georgia State,Marshall,7,35,77,73
Marshall,Georgia State,31,17,65,79
Georgia State,Marshall,6,41,65,65
Marshall,Georgia State,31,24,67,72
Georgia State,Marshall,17,24,73,67
Marshall,Georgia State,45,20,66,82
Georgia State,Marshall,45,16,72,63
Marshall,Georgia State,24,20,69,62
Georgia State,Marshall,24,20,62,76
Marshall,Georgia State,49,7,73,65
Georgia State,Marshall,17,34,72,64
Marshall,Georgia State,21,6,59,83
Georgia State,Marshall,20,35,61,74
Marshall,Georgia State,27,16,73,65
Georgia State,Marshall,16,21,75,69
Marshall,Georgia State,24,28,63,71
Georgia State,Marshall,20,13,68,67
Marshall,Georgia State,28,13,75,63
Georgia State,Marshall,14,17,61,67
Marshall,Georgia State,16,20,71,72
Georgia State,Marshall,24,45,69,68
Marshall,Georgia State,21,20,66,75
Georgia State,Marshall,21,38,69,62
Marshall,Georgia State,27,24,69,66
Georgia State,Marshall,28,31,64,73
Marshall,Georgia State,45,7,78,61
Georgia State,Marshall,45,13,84,50
Marshall,Georgia State,30,21,78,60
Georgia State,Marshall,41,34,74,67
Marshall,Georgia State,21,27,59,79
Georgia State,Marshall,13,52,62,71
Marshall,Georgia State,9,19,62,75
Georgia State,Marshall,17,38,72,71
Marshall,Georgia State,20,9,70,61
Georgia State,Marshall,13,38,68,72
Marshall,Georgia State,28,27,67,71
Georgia State,Marshall,26,24,84,58
Marshall,Georgia State,41,34,66,75
Georgia State,Marshall,14,45,59,75
Marshall,Georgia State,48,13,77,66
Georgia State,Marshall,10,38,48,89
Marshall,Georgia State,26,24,79,54
Georgia State,Marshall,41,31,69,77
Marshall,Georgia State,23,3,84,54
Georgia State,Marshall,20,49,57,83
Marshall,Georgia State,34,20,71,64
Georgia State,Marshall,17,24,67,68
Marshall,Georgia State,35,0,75,64
Georgia State,Marshall,13,27,68,68
Marshall,Georgia State,20,6,75,57
Georgia State,Marshall,28,24,74,70
Marshall,Georgia State,17,7,70,58
Georgia State,Marshall,17,24,72,67
Marshall,Georgia State,24,21,74,71
Georgia State,Marshall,31,34,70,64
Marshall,Georgia State,44,17,86,51
Georgia State,Marshall,35,45,76,59
Marshall,Georgia State,7,41,60,84
Georgia State,Marshall,6,31,72,74
Marshall,Georgia State,31,13,82,60
Georgia State,Marshall,14,26,65,75
Marshall,Georgia State,28,9,68,69
Georgia State,Marshall,27,31,63,77
Marshall,Georgia State,24,31,57,76
Georgia State,Marshall,7,38,59,76
Marshall,Georgia State,31,45,72,69
Georgia State,Marshall,34,23,70,73
Marshall,Georgia State,28,28,73,71
Georgia State,Marshall,31,38,75,66
Marshall,Georgia State,31,17,70,67
Georgia State,Marshall,14,41,65,70
Marshall,Georgia State,28,31,67,70
Georgia State,Marshall,14,38,70,71
Marshall,Georgia State,62,17,84,55
Georgia State,Marshall,3,27,65,71
Marshall,Georgia State,30,28,62,76
Georgia State,Marshall,20,41,65,80
Marshall,Georgia State,23,14,79,63
Georgia State,Marshall,3,34,64,74
Marshall,Georgia State,28,14,75,63
Georgia State,Marshall,27,37,69,71
Marshall,Georgia State,27,17,70,65
Georgia State,Marshall,17,34,72,66
Marshall,Georgia State,17,17,69,66
Georgia State,Marshall,3,35,64,69
Marshall,Georgia State,38,24,74,65
Georgia State,Marshall,14,10,68,64
Marshall,Georgia State,20,13,63,73
Georgia State,Marshall,24,21,64,69
Marshall,Georgia State,34,35,70,67
Georgia State,Marshall,27,27,61,66
Marshall,Georgia State,27,27,72,70
Georgia State,Marshall,24,13,69,69
Marshall,Georgia State,35,13,66,70
Georgia State,Marshall,17,45,72,68
Marshall,Georgia State,16,7,78,48
Georgia State,Marshall,23,24,76,68
Marshall,Georgia State,14,17,76,61
Georgia State,Marshall,31,21,73,69
Marshall,Georgia State,28,17,79,54
Georgia State,Marshall,27,35,72,71
Marshall,Georgia State,24,17,73,58
Georgia State,Marshall,10,44,60,78
Marshall,Georgia State,34,31,68,74
Georgia State,Marshall,17,28,79,66
Marshall,Georgia State,41,3,79,57
Georgia State,Marshall,24,7,76,62
Marshall,Georgia State,41,31,82,62
Georgia State,Marshall,19,24,70,67
Marshall,Georgia State,28,27,58,78
Georgia State,Marshall,10,24,77,63
Marshall,Georgia State,31,13,63,67
Georgia State,Marshall,21,38,65,75
Marshall,Georgia State,41,27,69,67
Georgia State,Marshall,10,17,71,66
Marshall,Georgia State,27,14,80,56
Georgia State,Marshall,24,42,66,73
Marshall,Georgia State,48,13,73,58
Georgia State,Marshall,21,27,72,65
Marshall,Georgia State,23,20,75,59
Georgia State,Marshall,20,35,76,71
Marshall,Georgia State,37,17,81,54
Georgia State,Marshall,14,35,65,73
Marshall,Georgia State,40,3,86,48
Georgia State,Marshall,24,49,71,69
Marshall,Georgia State,21,17,66,68
Georgia State,Marshall,9,31,68,64
Marshall,Georgia State,27,17,76,71
Georgia State,Marshall,10,28,62,75
Marshall,Georgia State,34,16,73,64
Georgia State,Marshall,28,31,78,65
Marshall,Georgia State,28,24,69,68
Georgia State,Marshall,24,35,70,67
Marshall,Georgia State,27,23,61,81
Georgia State,Marshall,21,13,54,80
Marshall,Georgia State,38,31,68,76
Georgia State,Marshall,31,31,70,71
Marshall,Georgia State,23,20,69,68
Georgia State,Marshall,27,35,73,64
Marshall,Georgia State,30,21,87,56
Georgia State,Marshall,17,44,63,78
Marshall,Georgia State,13,7,71,64
Georgia State,Marshall,21,33,49,84
Marshall,Georgia State,48,10,76,65
Georgia State,Marshall,17,17,69,69
Marshall,Georgia State,21,38,65,73
Georgia State,Marshall,3,28,66,71
Marshall,Georgia State,31,21,71,61
Georgia State,Marshall,17,20,72,68
Marshall,Georgia State,38,10,76,67
Georgia State,Marshall,16,24,67,70
Marshall,Georgia State,31,31,65,79
Georgia State,Marshall,10,48,61,76
Marshall,Georgia State,38,31,64,75
Georgia State,Marshall,17,31,68,67
Marshall,Georgia State,35,31,75,66
