team,opp,pts,opp_pts,plays,opp_plays
Missouri,Mississippi State,38,10,78,55
Mississippi State,Missouri,17,24,69,70
Missouri,Mississippi State,12,13,72,62
Mississippi State,Missouri,24,31,72,71
Missouri,Mississippi State,38,7,82,51
Mississippi State,Missouri,7,44,62,77
Missouri,Mississippi State,24,14,72,62
Mississippi State,Missouri,3,34,60,74
Missouri,Mississippi State,38,7,81,59
Mississippi State,Missouri,17,35,75,67
Missouri,Mississippi State,16,10,72,62
Mississippi State,Missouri,28,31,77,64
Missouri,Mississippi State,21,28,65,64
Mississippi State,Missouri,24,20,62,75
Missouri,Mississippi State,38,10,68,67
Mississippi State,Missouri,28,17,65,70
Missouri,Mississippi State,28,20,72,68
Mississippi State,Missouri,13,20,75,70
Missouri,Mississippi State,10,27,70,67
Mississippi State,Missouri,19,21,66,67
Missouri,Mississippi State,24,16,68,81
Mississippi State,Missouri,6,31,69,66
Missouri,Mississippi State,20,7,76,55
Mississippi State,Missouri,24,17,79,65
Missouri,Mississippi State,24,23,63,69
Mississippi State,Missouri,31,20,78,65
Missouri,Mississippi State,31,10,73,54
Mississippi State,Missouri,10,26,65,76
Missouri,Mississippi State,20,17,66,76
Mississippi State,Missouri,7,35,65,74
Missouri,Mississippi State,38,17,68,72
Mississippi State,Missouri,31,17,81,62
Missouri,Mississippi State,34,14,72,73
Mississippi State,Missouri,10,35,62,68
Missouri,Mississippi State,24,14,56,84
Mississippi State,Missouri,13,21,83,55
Missouri,Mississippi State,28,17,75,59
Mississippi State,Missouri,17,31,64,77
Missouri,Mississippi State,30,14,77,54
Mississippi State,Missouri,7,47,54,77
Missouri,Mississippi State,37,10,87,50
Mississippi State,Missouri,24,6,78,65
Missouri,Mississippi State,17,17,67,73
Mississippi State,Missouri,27,20,73,66
Missouri,Mississippi State,42,10,67,72
Mississippi State,Missouri,13,23,72,69
Missouri,Mississippi State,21,37,68,76
Mississippi State,Missouri,34,34,74,65
Missouri,Mississippi State,41,10,74,59
Mississippi State,Missouri,17,17,72,68
Missouri,Mississippi State,24,20,70,63
Mississippi State,Missouri,10,35,68,73
Missouri,Mississippi State,16,13,80,54
Mississippi State,Missouri,35,24,71,74
Missouri,Mississippi State,30,17,81,64
Mississippi State,Missouri,20,28,69,70
Missouri,Mississippi State,16,22,74,66
Mississippi State,Missouri,31,10,86,61
Missouri,Mississippi State,31,20,66,73
Mississippi State,Missouri,14,31,73,71
Missouri,Mississippi State,17,12,70,73
Mississippi State,Missouri,24,37,81,66
Missouri,Mississippi State,34,6,71,73
Mississippi State,Missouri,10,27,76,65
Missouri,Mississippi State,28,14,73,57
Mississippi State,Missouri,28,30,78,67
Missouri,Mississippi State,16,13,73,62
Mississippi State,Missouri,20,34,77,70
Missouri,Mississippi State,14,31,76,63
Mississippi State,Missouri,10,30,57,78
Missouri,Mississippi State,14,6,71,58
Mississippi State,Missouri,24,17,72,68
Missouri,Mississippi State,34,7,79,59
Mississippi State,Missouri,17,21,86,58
Missouri,Mississippi State,31,52,61,85
Mississippi State,Missouri,26,13,73,69
Missouri,Mississippi State,38,14,69,72
Mississippi State,Missouri,44,13,65,73
Missouri,Mississippi State,17,3,66,71
Mississippi State,Missouri,27,20,82,65
Missouri,Mississippi State,13,24,74,59
Mississippi State,Missouri,17,28,76,68
Missouri,Mississippi State,52,10,71,66
Mississippi State,Missouri,27,21,77,61
Missouri,Mississippi State,17,35,65,78
Mississippi State,Missouri,17,31,69,70
Missouri,Mississippi State,21,30,56,82
Mississippi State,Missouri,20,17,82,58
Missouri,Mississippi State,21,19,61,81
Mississippi State,Missouri,0,27,50,75
Missouri,Mississippi State,3,31,62,81
Mississippi State,Missouri,28,23,66,72
Missouri,Mississippi State,27,6,72,67
Mississippi State,Missouri,14,20,60,74
Missouri,Mississippi State,14,30,56,78
Mississippi State,Missouri,28,48,58,76
Missouri,Mississippi State,24,27,57,82
Mississippi State,Missouri,21,28,76,68
Missouri,Mississippi State,31,21,76,56
Mississippi State,Missouri,17,30,63,75
Missouri,Mississippi State,24,28,76,65
Mississippi State,Missouri,10,28,79,58
Missouri,Mississippi State,38,17,75,58
Mississippi State,Missouri,17,21,70,63
Missouri,Mississippi State,17,6,70,69
Mississippi State,Missouri,14,34,71,69
Missouri,Mississippi State,23,21,76,59
Mississippi State,Missouri,21,59,69,71
Missouri,Mississippi State,0,20,70,74
Mississippi State,Missouri,9,21,73,68
Missouri,Mississippi State,20,24,72,67
Mississippi State,Missouri,20,24,63,79
Missouri,Mississippi State,44,9,83,60
Mississippi State,Missouri,24,6,69,72
Missouri,Mississippi State,10,27,70,76
Mississippi State,Missouri,3,31,51,83
Missouri,Mississippi State,45,7,75,64
Mississippi State,Missouri,14,24,74,65
Missouri,Mississippi State,7,33,67,73
Mississippi State,Missouri,17,24,78,66
Missouri,Mississippi State,28,17,72,62
Mississippi State,Missouri,24,0,77,64
Missouri,Mississippi State,24,31,80,62
Mississippi State,Missouri,20,17,81,68
Missouri,Mississippi State,21,7,68,73
Mississippi State,Missouri,35,21,79,67
Missouri,Mississippi State,17,3,70,65
Mississippi State,Missouri,13,20,59,79
Missouri,Mississippi State,31,16,69,74
Mississippi State,Missouri,24,31,67,70
Missouri,Mississippi State,28,10,74,74
Mississippi State,Missouri,7,33,60,75
Missouri,Mississippi State,17,24,70,61
Mississippi State,Missouri,0,27,65,73
