team,opp,pts,opp_pts,plays,opp_plays
New Mexico,Colorado State,38,13,64,61
Colorado State,New Mexico,17,13,63,58
New Mexico,Colorado State,20,13,67,53
Colorado State,New Mexico,14,19,58,64
New Mexico,Colorado State,24,24,58,73
Colorado State,New Mexico,14,17,69,57
New Mexico,Colorado State,14,27,70,59
Colorado State,New Mexico,21,27,62,65
New Mexico,Colorado State,30,13,72,49
Colorado State,New Mexico,10,35,63,63
New Mexico,Colorado State,20,20,64,58
Colorado State,New Mexico,24,14,68,60
New Mexico,Colorado State,21,13,57,66
Colorado State,New Mexico,3,37,58,61
New Mexico,Colorado State,7,21,61,61
Colorado State,New Mexico,17,31,62,63
New Mexico,Colorado State,38,17,60,66
Colorado State,New Mexico,6,27,58,63
New Mexico,Colorado State,23,13,64,59
Colorado State,New Mexico,17,14,69,54
New Mexico,Colorado State,41,10,66,61
Colorado State,New Mexico,13,28,73,53
New Mexico,Colorado State,27,24,64,63
Colorado State,New Mexico,7,20,71,54
New Mexico,Colorado State,17,24,67,60
Colorado State,New Mexico,13,17,62,61
New Mexico,Colorado State,35,10,73,54
Colorado State,New Mexico,24,10,72,52
New Mexico,Colorado State,24,35,67,57
Colorado State,New Mexico,10,20,57,67
New Mexico,Colorado State,27,24,68,74
Colorado State,New Mexico,10,30,69,62
New Mexico,Colorado State,27,17,67,61
Colorado State,New Mexico,7,17,68,58
New Mexico,Colorado State,52,7,76,48
Colorado State,New Mexico,17,38,61,74
New Mexico,Colorado State,42,10,68,53
Colorado State,New Mexico,13,24,61,60
New Mexico,Colorado State,52,7,65,56
Colorado State,New Mexico,6,27,63,60
New Mexico,Colorado State,17,20,54,70
Colorado State,New Mexico,14,38,64,65
New Mexico,Colorado State,20,42,57,67
Colorado State,New Mexico,27,14,73,50
New Mexico,Colorado State,17,17,59,70
Colorado State,New Mexico,14,38,63,61
New Mexico,Colorado State,30,14,76,55
Colorado State,New Mexico,10,23,46,72
New Mexico,Colorado State,17,23,58,62
Colorado State,New Mexico,13,37,65,66
New Mexico,Colorado State,10,27,65,60
Colorado State,New Mexico,14,20,63,68
New Mexico,Colorado State,27,7,67,58
Colorado State,New Mexico,13,23,50,77
