team,opp,pts,opp_pts,plays,opp_plays
San Diego State,Boise State,13,42,52,67
Boise State,San Diego State,13,10,59,62
San Diego State,Boise State,20,13,60,60
Boise State,San Diego State,7,27,47,69
San Diego State,Boise State,3,30,52,69
Boise State,San Diego State,45,10,71,58
San Diego State,Boise State,7,10,60,62
Boise State,San Diego State,14,7,61,50
San Diego State,Boise State,0,28,58,68
Boise State,San Diego State,3,24,48,67
San Diego State,Boise State,6,7,62,61
Boise State,San Diego State,24,7,67,49
San Diego State,Boise State,24,7,66,54
Boise State,San Diego State,24,7,64,51
San Diego State,Boise State,20,17,71,53
Boise State,San Diego State,3,3,57,56
San Diego State,Boise State,28,10,59,66
Boise State,San Diego State,20,17,69,61
San Diego State,Boise State,7,27,55,61
Boise State,San Diego State,17,31,57,63
San Diego State,Boise State,17,31,59,59
Boise State,San Diego State,27,0,71,44
San Diego State,Boise State,17,10,51,67
Boise State,San Diego State,17,7,63,55
San Diego State,Boise State,7,38,60,63
Boise State,San Diego State,20,13,72,48
San Diego State,Boise State,21,13,62,58
Boise State,San Diego State,14,3,55,62
San Diego State,Boise State,20,13,65,58
Boise State,San Diego State,41,6,64,62
San Diego State,Boise State,14,10,71,53
Boise State,San Diego State,14,10,54,59
San Diego State,Boise State,20,14,64,59
Boise State,San Diego State,20,14,69,49
San Diego State,Boise State,17,17,61,57
Boise State,San Diego State,34,20,68,56
San Diego State,Boise State,3,14,61,55
Boise State,San Diego State,17,10,59,60
San Diego State,Boise State,17,27,71,53
Boise State,San Diego State,31,13,56,63
San Diego State,Boise State,12,10,71,45
Boise State,San Diego State,13,7,65,54
San Diego State,Boise State,13,13,66,51
Boise State,San Diego State,14,37,67,64
San Diego State,Boise State,14,37,61,62
Boise State,San Diego State,24,3,65,59
San Diego State,Boise State,24,7,61,52
Boise State,San Diego State,17,17,48,66
San Diego State,Boise State,13,17,72,51
Boise State,San Diego State,21,41,58,62
San Diego State,Boise State,24,17,71,52
Boise State,San Diego State,20,21,69,54
San Diego State,Boise State,17,10,59,60
Boise State,San Diego State,17,17,65,60
San Diego State,Boise State,10,21,58,58
Boise State,San Diego State,24,28,58,66
San Diego State,Boise State,28,6,70,49
Boise State,San Diego State,14,16,65,55
San Diego State,Boise State,14,27,69,51
Boise State,San Diego State,9,30,55,66
San Diego State,Boise State,17,27,64,60
Boise State,San Diego State,24,13,61,59
San Diego State,Boise State,9,35,61,68
Boise State,San Diego State,27,0,67,52
San Diego State,Boise State,6,6,66,60
Boise State,San Diego State,24,7,71,48
San Diego State,Boise State,10,3,55,59
Boise State,San Diego State,23,10,62,60
San Diego State,Boise State,13,3,59,55
Boise State,San Diego State,24,10,58,58
San Diego State,Boise State,10,13,61,62
Boise State,San Diego State,14,10,68,49
San Diego State,Boise State,7,31,58,61
Boise State,San Diego State,34,7,64,56
San Diego State,Boise State,14,17,60,65
Boise State,San Diego State,6,7,65,53
San Diego State,Boise State,17,31,72,59
Boise State,San Diego State,17,7,66,54
San Diego State,Boise State,7,13,62,68
Boise State,San Diego State,13,10,47,71
San Diego State,Boise State,19,7,65,55
Boise State,San Diego State,6,24,70,57
San Diego State,Boise State,3,17,51,62
Boise State,San Diego State,14,17,56,64
San Diego State,Boise State,3,9,61,57
Boise State,San Diego State,17,13,65,58
San Diego State,Boise State,7,38,51,66
Boise State,San Diego State,28,17,62,59
San Diego State,Boise State,13,10,57,65
Boise State,San Diego State,20,14,72,49
San Diego State,Boise State,28,20,65,55
Boise State,San Diego State,17,24,68,55
San Diego State,Boise State,17,10,70,54
Boise State,San Diego State,17,13,57,62
San Diego State,Boise State,14,31,58,60
Boise State,San Diego State,17,17,68,50
San Diego State,Boise State,3,9,60,57
Boise State,San Diego State,17,14,60,64
San Diego State,Boise State,28,10,70,47
Boise State,San Diego State,31,31,61,57
San Diego State,Boise State,20,20,65,60
Boise State,San Diego State,6,28,51,63
San Diego State,Boise State,9,14,68,50
Boise State,San Diego State,27,10,68,51
San Diego State,Boise State,10,10,62,57
Boise State,San Diego State,21,17,62,57
San Diego State,Boise State,14,14,68,52
Boise State,San Diego State,7,14,53,67
San Diego State,Boise State,10,17,56,57
Boise State,San Diego State,17,17,56,62
San Diego State,Boise State,24,21,69,55
Boise State,San Diego State,31,7,60,59
San Diego State,Boise State,22,10,61,60
Boise State,San Diego State,24,23,59,67
San Diego State,Boise State,20,20,66,59
Boise State,San Diego State,14,17,56,58
San Diego State,Boise State,27,14,58,60
Boise State,San Diego State,22,20,72,52
San Diego State,Boise State,10,27,60,61
Boise State,San Diego State,17,6,61,58
San Diego State,Boise State,6,24,59,65
Boise State,San Diego State,14,21,62,59
San Diego State,Boise State,10,20,65,51
Boise State,San Diego State,28,3,61,55
San Diego State,Boise State,10,28,47,77
Boise State,San Diego State,35,0,60,52
San Diego State,Boise State,27,6,63,65
Boise State,San Diego State,21,13,62,56
San Diego State,Boise State,10,24,53,60
Boise State,San Diego State,17,17,63,57
San Diego State,Boise State,17,27,55,64
Boise State,San Diego State,17,24,55,63
San Diego State,Boise State,14,9,61,66
Boise State,San Diego State,10,10,56,64
San Diego State,Boise State,27,14,59,62
Boise State,San Diego State,21,20,59,68
San Diego State,Boise State,13,24,59,55
Boise State,San Diego State,14,6,63,52
San Diego State,Boise State,17,7,65,58
Boise State,San Diego State,21,24,59,66
San Diego State,Boise State,10,13,60,55
Boise State,San Diego State,7,6,56,61
San Diego State,Boise State,6,10,62,60
Boise State,San Diego State,14,20,57,64
San Diego State,Boise State,28,24,76,51
Boise State,San Diego State,7,17,53,64
San Diego State,Boise State,0,31,50,60
Boise State,San Diego State,37,17,69,51
San Diego State,Boise State,7,23,55,59
Boise State,San Diego State,24,16,65,59
San Diego State,Boise State,17,24,66,48
Boise State,San Diego State,20,13,69,52
San Diego State,Boise State,7,21,53,63
Boise State,San Diego State,34,14,65,58
San Diego State,Boise State,17,6,62,56
Boise State,San Diego State,31,13,60,62
San Diego State,Boise State,14,28,65,54
Boise State,San Diego State,21,17,50,67
San Diego State,Boise State,3,20,62,60
Boise State,San Diego State,20,21,80,51
San Diego State,Boise State,14,7,60,58
Boise State,San Diego State,14,10,57,63
San Diego State,Boise State,31,13,64,56
Boise State,San Diego State,14,20,56,64
San Diego State,Boise State,23,14,53,63
Boise State,San Diego State,24,10,67,51
San Diego State,Boise State,13,21,73,54
Boise State,San Diego State,24,24,58,60
San Diego State,Boise State,17,35,63,58
Boise State,San Diego State,10,21,61,59
San Diego State,Boise State,10,19,57,63
Boise State,San Diego State,24,17,50,63
San Diego State,Boise State,14,10,58,58
Boise State,San Diego State,10,28,67,60
San Diego State,Boise State,31,27,62,64
Boise State,San Diego State,13,17,72,55
San Diego State,Boise State,7,28,57,63
Boise State,San Diego State,27,10,64,54
San Diego State,Boise State,7,24,50,67
Boise State,San Diego State,31,10,55,67
San Diego State,Boise State,24,13,65,65
Boise State,San Diego State,10,14,56,67
San Diego State,Boise State,10,24,62,60
Boise State,San Diego State,20,9,66,54
San Diego State,Boise State,14,28,62,56
Boise State,San Diego State,23,21,67,55
San Diego State,Boise State,27,31,60,60
Boise State,San Diego State,20,10,60,58
San Diego State,Boise State,0,21,66,60
Boise State,San Diego State,31,9,60,59
San Diego State,Boise State,42,17,71,55
Boise State,San Diego State,13,10,59,57
San Diego State,Boise State,7,24,47,71
Boise State,San Diego State,23,0,69,53
San Diego State,Boise State,7,20,55,63
Boise State,San Diego State,14,38,67,55
San Diego State,Boise State,10,23,65,58
Boise State,San Diego State,10,27,53,64
San Diego State,Boise State,17,33,59,71
Boise State,San Diego State,14,20,60,59
San Diego State,Boise State,10,20,62,57
Boise State,San Diego State,10,19,58,61
San Diego State,Boise State,34,10,66,51
Boise State,San Diego State,20,6,57,68
San Diego State,Boise State,7,16,51,59
Boise State,San Diego State,14,34,52,67
San Diego State,Boise State,10,27,51,64
Boise State,San Diego State,14,10,70,55
San Diego State,Boise State,7,16,63,58
Boise State,San Diego State,28,31,51,68
San Diego State,Boise State,31,0,77,44
Boise State,San Diego State,20,6,60,56
San Diego State,Boise State,14,31,56,62
Boise State,San Diego State,41,10,66,57
San Diego State,Boise State,14,17,60,60
Boise State,San Diego State,13,20,70,54
San Diego State,Boise State,16,27,57,66
Boise State,San Diego State,19,3,65,52
San Diego State,Boise State,35,10,65,53
Boise State,San Diego State,28,17,63,53
San Diego State,Boise State,17,3,60,49
Boise State,San Diego State,20,17,62,61
San Diego State,Boise State,17,21,67,51
Boise State,San Diego State,24,7,65,48
San Diego State,Boise State,17,17,58,62
Boise State,San Diego State,35,10,64,57
San Diego State,Boise State,10,17,71,50
Boise State,San Diego State,21,10,56,64
San Diego State,Boise State,0,17,48,59
Boise State,San Diego State,6,13,62,59
San Diego State,Boise State,17,12,57,66
Boise State,San Diego State,24,17,60,58
San Diego State,Boise State,0,23,53,70
Boise State,San Diego State,10,20,54,64
San Diego State,Boise State,7,30,52,63
Boise State,San Diego State,7,16,58,68
San Diego State,Boise State,17,26,62,51
Boise State,San Diego State,10,31,61,61
San Diego State,Boise State,7,23,53,66
Boise State,San Diego State,21,17,60,58
San Diego State,Boise State,16,17,63,52
Boise State,San Diego State,3,31,63,65
San Diego State,Boise State,10,14,63,53
Boise State,San Diego State,17,17,54,63
San Diego State,Boise State,24,20,66,56
Boise State,San Diego State,14,3,65,50
San Diego State,Boise State,41,10,70,54
Boise State,San Diego State,20,17,55,65
San Diego State,Boise State,23,3,70,52
Boise State,San Diego State,14,14,63,58
San Diego State,Boise State,24,28,70,53
Boise State,San Diego State,45,7,67,53
San Diego State,Boise State,31,9,66,58
Boise State,San Diego State,17,24,71,50
San Diego State,Boise State,14,23,55,71
Boise State,San Diego State,24,0,55,59
San Diego State,Boise State,10,10,53,67
Boise State,San Diego State,28,14,68,55
San Diego State,Boise State,10,24,61,56
Boise State,San Diego State,10,17,69,46
San Diego State,Boise State,10,10,62,51
Boise State,San Diego State,24,21,58,58
San Diego State,Boise State,13,13,64,54
Boise State,San Diego State,42,6,65,55
San Diego State,Boise State,13,3,65,64
Boise State,San Diego State,17,3,67,46
San Diego State,Boise State,10,20,57,60
Boise State,San Diego State,17,17,64,55
San Diego State,Boise State,14,6,54,72
Boise State,San Diego State,21,10,65,57
San Diego State,Boise State,0,20,60,60
Boise State,San Diego State,17,20,51,65
San Diego State,Boise State,14,6,50,79
Boise State,San Diego State,0,16,53,62
San Diego State,Boise State,6,24,65,60
Boise State,San Diego State,23,10,52,62
San Diego State,Boise State,10,0,49,68
Boise State,San Diego State,21,14,65,53
San Diego State,Boise State,0,13,65,64
Boise State,San Diego State,31,17,54,70
San Diego State,Boise State,14,23,51,67
Boise State,San Diego State,6,20,66,62
San Diego State,Boise State,13,23,54,66
Boise State,San Diego State,24,9,63,51
San Diego State,Boise State,3,28,49,75
Boise State,San Diego State,10,7,53,67
San Diego State,Boise State,17,21,61,61
Boise State,San Diego State,16,10,64,54
San Diego State,Boise State,16,24,65,61
Boise State,San Diego State,21,26,56,65
San Diego State,Boise State,14,21,62,61
Boise State,San Diego State,16,7,68,55
San Diego State,Boise State,17,14,64,53
Boise State,San Diego State,3,7,62,60
San Diego State,Boise State,7,13,65,61
Boise State,San Diego State,28,10,63,56
San Diego State,Boise State,13,14,54,64
Boise State,San Diego State,27,10,61,55
San Diego State,Boise State,6,9,62,54
Boise State,San Diego State,7,17,60,54
San Diego State,Boise State,7,28,50,61
Boise State,San Diego State,14,17,62,54
San Diego State,Boise State,17,21,71,51
Boise State,San Diego State,13,24,62,59
San Diego State,Boise State,17,20,76,51
Boise State,San Diego State,24,3,57,65
San Diego State,Boise State,0,9,61,57
Boise State,San Diego State,17,13,61,58
San Diego State,Boise State,10,10,58,62
Boise State,San Diego State,0,30,51,66
San Diego State,Boise State,16,14,60,56
Boise State,San Diego State,24,14,62,58
San Diego State,Boise State,42,21,70,56
Boise State,San Diego State,24,3,65,53
San Diego State,Boise State,27,14,73,46
Boise State,San Diego State,10,6,54,60
San Diego State,Boise State,21,13,62,55
Boise State,San Diego State,24,10,66,50
San Diego State,Boise State,10,21,54,66
Boise State,San Diego State,21,31,60,62
San Diego State,Boise State,20,23,60,61
Boise State,San Diego State,24,6,58,62
San Diego State,Boise State,13,24,62,55
Boise State,San Diego State,23,14,69,55
San Diego State,Boise State,10,20,46,71
Boise State,San Diego State,31,20,60,65
San Diego State,Boise State,7,24,47,67
Boise State,San Diego State,10,6,59,65
San Diego State,Boise State,14,28,54,60
Boise State,San Diego State,7,13,62,60
San Diego State,Boise State,28,31,56,59
Boise State,San Diego State,16,13,66,51
San Diego State,Boise State,7,21,58,61
Boise State,San Diego State,0,17,47,67
San Diego State,Boise State,3,10,66,50
Boise State,San Diego State,13,30,64,60
San Diego State,Boise State,16,17,69,50
Boise State,San Diego State,22,0,65,54
San Diego State,Boise State,14,20,62,58
