team,opp,pts,opp_pts,plays,opp_plays
UConn,Air Force,3,40,51,62
Air Force,UConn,24,49,62,67
UConn,Air Force,31,14,73,48
Air Force,UConn,24,21,52,69
UConn,Air Force,21,7,73,52
Air Force,UConn,3,13,60,59
UConn,Air Force,19,14,57,55
Air Force,UConn,21,23,60,62
UConn,Air Force,30,6,66,54
Air Force,UConn,16,10,61,53
UConn,Air Force,17,13,52,61
Air Force,UConn,21,28,68,52
UConn,Air Force,38,14,71,47
Air Force,UConn,10,24,52,69
UConn,Air Force,41,6,71,51
Air Force,UConn,31,14,52,62
UConn,Air Force,31,17,65,53
Air Force,UConn,24,19,55,68
UConn,Air Force,38,17,71,54
Air Force,UConn,24,13,59,61
UConn,Air Force,7,24,63,57
Air Force,UConn,31,10,61,60
UConn,Air Force,10,17,60,62
Air Force,UConn,24,16,64,51
UConn,Air Force,14,34,54,65
Air Force,UConn,21,14,58,50
UConn,Air Force,27,23,64,57
Air Force,UConn,7,17,61,57
UConn,Air Force,24,21,61,58
Air Force,UConn,31,20,57,64
UConn,Air Force,27,21,55,62
Air Force,UConn,7,31,51,64
UConn,Air Force,30,17,69,55
Air Force,UConn,21,38,54,64
UConn,Air Force,24,24,63,52
Air Force,UConn,7,28,55,66
UConn,Air Force,24,24,55,68
Air Force,UConn,10,38,49,67
UConn,Air Force,24,27,70,50
Air Force,UConn,21,27,60,58
UConn,Air Force,31,12,59,55
Air Force,UConn,21,45,54,64
UConn,Air Force,41,7,72,55
Air Force,UConn,10,27,60,57
UConn,Air Force,31,28,63,60
Air Force,UConn,17,38,61,57
UConn,Air Force,27,14,62,60
Air Force,UConn,21,35,56,62
UConn,Air Force,24,20,57,62
Air Force,UConn,7,14,62,56
UConn,Air Force,24,14,65,53
Air Force,UConn,31,17,67,50
UConn,Air Force,7,34,44,67
Air Force,UConn,31,17,62,57
UConn,Air Force,17,3,61,57
Air Force,UConn,35,20,60,73
UConn,Air Force,24,41,63,57
Air Force,UConn,17,24,64,52
UConn,Air Force,0,31,67,59
Air Force,UConn,37,14,66,59
UConn,Air Force,44,24,67,52
Air Force,UConn,7,21,58,65
UConn,Air Force,23,28,61,58
Air Force,UConn,28,17,61,56
UConn,Air Force,21,17,54,67
Air Force,UConn,7,31,56,66
UConn,Air Force,35,24,53,70
Air Force,UConn,13,17,54,65
UConn,Air Force,28,17,70,54
Air Force,UConn,7,49,51,66
UConn,Air Force,24,31,64,58
Air Force,UConn,34,21,64,59
UConn,Air Force,20,38,59,62
Air Force,UConn,38,34,63,63
UConn,Air Force,21,24,51,63
Air Force,UConn,24,24,61,56
UConn,Air Force,21,15,51,70
Air Force,UConn,14,35,57,64
UConn,Air Force,30,7,64,54
Air Force,UConn,17,7,71,44
UConn,Air Force,27,7,65,47
Air Force,UConn,17,14,63,56
UConn,Air Force,38,21,67,55
Air Force,UConn,13,20,61,60
UConn,Air Force,31,21,64,55
Air Force,UConn,45,17,60,56
UConn,Air Force,24,14,81,41
Air Force,UConn,21,42,59,66
UConn,Air Force,38,10,68,53
Air Force,UConn,17,27,58,57
UConn,Air Force,3,30,55,59
Air Force,UConn,13,6,55,66
UConn,Air Force,31,24,61,58
Air Force,UConn,23,21,64,53
UConn,Air Force,30,10,67,53
Air Force,UConn,14,35,58,68
UConn,Air Force,37,14,61,53
Air Force,UConn,10,31,57,58
UConn,Air Force,38,0,75,45
Air Force,UConn,28,23,52,65
UConn,Air Force,17,20,55,61
Air Force,UConn,28,28,61,60
UConn,Air Force,21,24,56,56
Air Force,UConn,10,23,56,63
UConn,Air Force,28,0,61,60
Air Force,UConn,21,20,65,53
UConn,Air Force,17,28,48,63
Air Force,UConn,21,17,61,57
UConn,Air Force,17,17,60,60
Air Force,UConn,17,17,64,60
UConn,Air Force,20,24,70,49
Air Force,UConn,34,38,67,54
UConn,Air Force,12,17,65,57
Air Force,UConn,21,27,52,65
UConn,Air Force,24,28,62,58
Air Force,UConn,28,31,55,70
UConn,Air Force,17,14,62,54
Air Force,UConn,17,38,55,64
UConn,Air Force,24,27,65,60
Air Force,UConn,14,34,57,72
UConn,Air Force,31,34,73,57
Air Force,UConn,28,28,62,57
UConn,Air Force,34,3,62,57
Air Force,UConn,24,21,61,65
UConn,Air Force,10,21,53,69
Air Force,UConn,21,21,57,64
UConn,Air Force,20,14,63,57
Air Force,UConn,17,27,65,59
UConn,Air Force,35,20,63,66
Air Force,UConn,19,35,71,56
UConn,Air Force,6,24,62,54
Air Force,UConn,28,13,60,51
UConn,Air Force,33,14,67,51
Air Force,UConn,3,48,50,65
UConn,Air Force,31,10,55,58
Air Force,UConn,24,42,56,72
UConn,Air Force,37,21,65,57
Air Force,UConn,13,24,59,59
UConn,Air Force,0,13,55,62
Air Force,UConn,7,33,45,69
UConn,Air Force,17,24,69,51
Air Force,UConn,20,34,52,68
UConn,Air Force,33,17,64,55
Air Force,UConn,30,10,65,57
UConn,Air Force,28,7,66,56
Air Force,UConn,14,42,61,59
UConn,Air Force,20,24,72,50
Air Force,UConn,27,31,70,48
UConn,Air Force,21,14,69,60
Air Force,UConn,27,24,61,61
UConn,Air Force,19,14,68,55
Air Force,UConn,27,13,57,64
UConn,Air Force,3,13,54,57
Air Force,UConn,21,21,58,53
UConn,Air Force,28,28,61,57
Air Force,UConn,31,17,67,50
UConn,Air Force,45,31,65,58
Air Force,UConn,28,24,61,58
UConn,Air Force,28,17,64,51
Air Force,UConn,17,34,67,54
UConn,Air Force,17,38,64,62
Air Force,UConn,21,17,58,67
UConn,Air Force,10,38,46,65
Air Force,UConn,30,20,55,54
UConn,Air Force,24,31,60,59
Air Force,UConn,31,21,73,49
UConn,Air Force,24,13,55,63
Air Force,UConn,24,14,64,52
UConn,Air Force,38,17,66,56
Air Force,UConn,17,34,55,66
UConn,Air Force,16,26,54,60
Air Force,UConn,6,31,59,66
UConn,Air Force,20,27,65,61
Air Force,UConn,21,31,64,57
UConn,Air Force,17,20,69,52
Air Force,UConn,21,38,57,68
UConn,Air Force,37,14,70,47
Air Force,UConn,24,38,68,57
UConn,Air Force,31,34,59,65
Air Force,UConn,28,27,61,60
UConn,Air Force,16,20,57,65
Air Force,UConn,24,10,65,54
UConn,Air Force,21,28,64,59
Air Force,UConn,20,14,63,51
UConn,Air Force,34,7,72,48
Air Force,UConn,10,30,53,64
UConn,Air Force,20,17,71,50
Air Force,UConn,23,34,65,51
UConn,Air Force,21,20,55,61
Air Force,UConn,34,10,70,57
UConn,Air Force,41,7,71,54
Air Force,UConn,10,17,64,57
UConn,Air Force,20,21,65,52
Air Force,UConn,31,14,69,50
UConn,Air Force,20,31,64,59
Air Force,UConn,7,22,54,62
UConn,Air Force,52,14,70,56
Air Force,UConn,28,21,57,70
UConn,Air Force,27,14,61,62
Air Force,UConn,27,21,61,56
UConn,Air Force,24,31,65,53
Air Force,UConn,14,35,63,65
UConn,Air Force,28,17,57,61
Air Force,UConn,35,0,66,47
UConn,Air Force,24,24,75,49
Air Force,UConn,24,20,63,57
UConn,Air Force,24,21,56,65
Air Force,UConn,21,14,66,53
UConn,Air Force,31,10,60,57
Air Force,UConn,20,28,65,52
UConn,Air Force,3,21,58,58
Air Force,UConn,17,41,60,68
UConn,Air Force,21,24,56,62
Air Force,UConn,28,16,63,53
UConn,Air Force,41,7,73,51
Air Force,UConn,16,14,66,59
UConn,Air Force,28,24,66,54
Air Force,UConn,45,21,66,57
UConn,Air Force,24,30,70,58
Air Force,UConn,34,24,63,59
UConn,Air Force,30,21,70,52
Air Force,UConn,27,31,57,65
UConn,Air Force,3,14,59,59
Air Force,UConn,28,10,67,52
UConn,Air Force,14,33,44,75
Air Force,UConn,13,10,54,64
UConn,Air Force,38,28,69,57
Air Force,UConn,27,7,74,43
UConn,Air Force,3,21,67,55
Air Force,UConn,10,10,54,63
UConn,Air Force,27,31,66,56
Air Force,UConn,20,24,68,61
UConn,Air Force,21,24,58,59
Air Force,UConn,21,34,53,65
UConn,Air Force,17,28,57,60
Air Force,UConn,10,28,63,55
UConn,Air Force,26,20,57,61
Air Force,UConn,12,28,64,52
UConn,Air Force,27,14,59,60
Air Force,UConn,10,28,61,60
UConn,Air Force,30,28,63,64
Air Force,UConn,28,17,54,64
UConn,Air Force,41,10,68,56
Air Force,UConn,17,31,54,67
UConn,Air Force,21,24,67,53
Air Force,UConn,17,27,61,56
UConn,Air Force,30,14,65,53
Air Force,UConn,10,41,62,58
UConn,Air Force,30,27,64,57
Air Force,UConn,21,34,59,68
UConn,Air Force,41,21,73,50
Air Force,UConn,17,30,55,65
UConn,Air Force,28,6,62,61
Air Force,UConn,7,30,50,66
UConn,Air Force,34,7,78,48
