team,opp,pts,opp_pts,plays,opp_plays
USC,Iowa,38,14,58,57
Iowa,USC,20,17,55,49
USC,Iowa,10,14,63,46
Iowa,USC,31,14,66,46
USC,Iowa,13,6,48,57
Iowa,USC,14,14,64,44
USC,Iowa,28,6,59,52
Iowa,USC,28,17,53,60
USC,Iowa,41,21,67,48
Iowa,USC,10,27,54,54
USC,Iowa,20,14,72,39
Iowa,USC,17,21,65,48
USC,Iowa,16,20,62,54
Iowa,USC,6,31,52,60
USC,Iowa,37,14,58,53
Iowa,USC,7,24,48,61
USC,Iowa,21,9,60,46
Iowa,USC,27,14,47,69
USC,Iowa,45,21,60,48
Iowa,USC,14,34,62,54
USC,Iowa,24,7,60,49
Iowa,USC,10,31,52,59
USC,Iowa,14,21,55,58
Iowa,USC,10,28,63,46
USC,Iowa,14,20,62,51
Iowa,USC,7,17,58,50
USC,Iowa,28,14,61,51
Iowa,USC,21,16,51,58
USC,Iowa,21,17,52,58
Iowa,USC,14,17,52,53
USC,Iowa,27,24,67,51
Iowa,USC,17,0,67,42
USC,Iowa,13,3,60,42
Iowa,USC,27,38,62,52
USC,Iowa,28,24,52,67
Iowa,USC,20,20,51,63
USC,Iowa,10,21,50,59
Iowa,USC,21,35,48,64
USC,Iowa,21,28,52,57
Iowa,USC,6,0,53,52
USC,Iowa,13,28,49,60
Iowa,USC,13,17,57,53
USC,Iowa,14,17,53,59
Iowa,USC,0,13,61,57
USC,Iowa,24,23,58,53
Iowa,USC,17,17,54,53
USC,Iowa,35,7,63,48
Iowa,USC,14,31,68,52
USC,Iowa,16,0,66,40
Iowa,USC,13,35,47,63
USC,Iowa,42,21,60,58
Iowa,USC,7,28,53,65
USC,Iowa,17,14,60,54
Iowa,USC,20,24,59,49
USC,Iowa,38,17,75,39
Iowa,USC,0,14,53,53
USC,Iowa,20,24,57,57
Iowa,USC,7,49,49,68
USC,Iowa,34,10,67,47
Iowa,USC,10,24,51,52
USC,Iowa,20,24,56,54
Iowa,USC,27,28,62,55
USC,Iowa,21,31,60,54
Iowa,USC,17,20,56,55
USC,Iowa,35,31,55,57
Iowa,USC,17,21,61,52
USC,Iowa,37,0,74,46
Iowa,USC,14,21,60,55
USC,Iowa,28,10,53,59
Iowa,USC,21,16,51,61
USC,Iowa,24,27,48,64
Iowa,USC,0,10,56,56
USC,Iowa,24,10,49,59
Iowa,USC,0,27,50,58
USC,Iowa,37,6,68,50
Iowa,USC,27,21,63,47
USC,Iowa,20,31,52,62
Iowa,USC,10,17,64,45
USC,Iowa,10,13,49,54
Iowa,USC,20,41,60,51
USC,Iowa,7,24,53,54
Iowa,USC,13,3,54,52
USC,Iowa,35,10,60,57
Iowa,USC,24,24,56,50
USC,Iowa,24,14,61,48
Iowa,USC,17,27,61,51
USC,Iowa,31,3,54,55
Iowa,USC,38,28,62,48
USC,Iowa,21,23,53,59
Iowa,USC,7,30,43,68
USC,Iowa,20,3,49,63
Iowa,USC,14,35,46,66
USC,Iowa,16,14,66,44
Iowa,USC,13,14,58,46
USC,Iowa,24,17,62,49
Iowa,USC,14,34,44,69
USC,Iowa,27,10,56,51
Iowa,USC,10,23,60,54
USC,Iowa,38,13,60,55
Iowa,USC,24,17,55,55
USC,Iowa,21,10,52,62
Iowa,USC,7,13,44,61
USC,Iowa,17,21,65,54
Iowa,USC,13,28,54,57
USC,Iowa,24,14,51,55
Iowa,USC,10,35,60,51
USC,Iowa,24,24,50,66
Iowa,USC,7,38,55,56
USC,Iowa,14,7,59,54
Iowa,USC,0,21,65,50
USC,Iowa,17,10,44,64
Iowa,USC,20,31,62,48
USC,Iowa,21,21,53,63
Iowa,USC,13,23,52,60
USC,Iowa,21,26,59,51
Iowa,USC,21,41,62,56
USC,Iowa,20,7,64,54
Iowa,USC,20,28,62,51
USC,Iowa,7,24,49,59
Iowa,USC,0,31,47,64
USC,Iowa,28,31,52,66
Iowa,USC,24,45,59,54
USC,Iowa,17,17,57,53
Iowa,USC,10,24,51,64
USC,Iowa,38,14,61,48
Iowa,USC,3,14,50,60
USC,Iowa,21,24,66,53
Iowa,USC,14,7,60,42
USC,Iowa,38,17,57,62
Iowa,USC,10,31,57,49
USC,Iowa,27,7,59,52
Iowa,USC,14,42,55,57
USC,Iowa,17,14,63,50
Iowa,USC,21,27,48,60
USC,Iowa,34,17,55,52
Iowa,USC,24,21,52,63
USC,Iowa,35,24,58,57
Iowa,USC,24,21,62,52
USC,Iowa,21,21,54,58
Iowa,USC,7,31,44,62
USC,Iowa,31,7,66,47
Iowa,USC,17,17,53,55
USC,Iowa,3,22,41,65
Iowa,USC,10,21,56,52
USC,Iowa,24,10,62,54
Iowa,USC,6,28,63,50
USC,Iowa,27,7,56,57
Iowa,USC,24,10,61,50
USC,Iowa,17,17,60,58
Iowa,USC,6,17,52,55
USC,Iowa,34,10,70,45
Iowa,USC,17,51,53,64
USC,Iowa,27,10,49,69
Iowa,USC,24,10,64,54
USC,Iowa,20,7,48,61
Iowa,USC,17,31,59,50
USC,Iowa,17,20,64,55
Iowa,USC,13,42,61,54
USC,Iowa,31,14,57,56
Iowa,USC,17,35,59,59
USC,Iowa,45,14,70,44
Iowa,USC,24,10,62,57
USC,Iowa,20,17,63,47
Iowa,USC,17,7,59,53
USC,Iowa,38,0,58,50
Iowa,USC,31,14,64,45
USC,Iowa,31,13,57,53
Iowa,USC,10,21,49,60
USC,Iowa,33,0,74,40
Iowa,USC,21,24,60,52
USC,Iowa,35,3,61,53
Iowa,USC,31,21,63,59
USC,Iowa,23,12,64,48
Iowa,USC,24,24,56,59
USC,Iowa,23,17,56,55
Iowa,USC,14,14,51,53
USC,Iowa,34,17,62,54
Iowa,USC,24,31,60,57
USC,Iowa,17,0,56,50
Iowa,USC,0,27,47,60
USC,Iowa,27,6,59,53
Iowa,USC,9,17,53,54
USC,Iowa,31,10,54,55
Iowa,USC,14,17,55,58
USC,Iowa,38,17,61,53
Iowa,USC,20,24,65,51
USC,Iowa,14,24,42,60
Iowa,USC,7,49,54,62
USC,Iowa,21,7,52,58
Iowa,USC,10,31,46,66
USC,Iowa,27,21,54,63
Iowa,USC,28,20,58,55
USC,Iowa,24,24,57,51
Iowa,USC,3,27,55,51
USC,Iowa,28,7,58,54
Iowa,USC,13,23,49,58
USC,Iowa,35,17,66,60
Iowa,USC,14,21,45,63
USC,Iowa,21,14,65,45
Iowa,USC,13,10,53,62
USC,Iowa,24,14,53,56
Iowa,USC,7,30,45,70
USC,Iowa,21,28,58,55
Iowa,USC,17,27,63,51
USC,Iowa,38,14,62,47
Iowa,USC,16,9,51,67
USC,Iowa,31,7,58,54
Iowa,USC,13,30,47,64
USC,Iowa,35,17,57,59
Iowa,USC,21,38,54,59
USC,Iowa,27,7,69,47
Iowa,USC,31,13,58,47
USC,Iowa,21,13,42,68
Iowa,USC,14,28,61,55
USC,Iowa,23,21,63,57
Iowa,USC,17,13,63,55
USC,Iowa,38,14,63,44
Iowa,USC,28,31,64,51
USC,Iowa,38,14,67,52
Iowa,USC,6,24,51,52
USC,Iowa,23,17,59,57
Iowa,USC,16,28,64,51
USC,Iowa,27,10,62,43
Iowa,USC,10,24,49,56
USC,Iowa,21,10,58,51
Iowa,USC,30,13,67,46
USC,Iowa,27,10,56,51
Iowa,USC,20,3,64,40
USC,Iowa,31,13,57,57
Iowa,USC,7,24,51,55
USC,Iowa,21,24,55,59
Iowa,USC,10,14,54,55
USC,Iowa,28,13,59,48
Iowa,USC,13,31,64,47
USC,Iowa,31,16,59,50
Iowa,USC,17,21,62,51
USC,Iowa,14,24,52,56
Iowa,USC,3,38,53,61
USC,Iowa,35,14,60,51
Iowa,USC,24,24,57,59
USC,Iowa,28,17,58,52
Iowa,USC,3,27,55,59
USC,Iowa,45,14,59,54
Iowa,USC,10,13,59,54
USC,Iowa,27,3,59,48
Iowa,USC,20,23,60,56
USC,Iowa,27,21,57,55
Iowa,USC,20,3,67,45
USC,Iowa,27,3,54,57
Iowa,USC,10,23,51,58
USC,Iowa,20,17,59,55
Iowa,USC,28,14,65,44
USC,Iowa,27,17,64,47
Iowa,USC,6,16,50,55
USC,Iowa,10,0,61,53
Iowa,USC,9,14,55,53
USC,Iowa,17,7,56,57
Iowa,USC,10,14,49,51
USC,Iowa,34,10,61,52
Iowa,USC,17,21,58,57
USC,Iowa,21,13,52,53
Iowa,USC,14,31,45,61
USC,Iowa,21,17,52,56
Iowa,USC,23,16,52,64
USC,Iowa,27,31,57,56
Iowa,USC,17,13,59,51
USC,Iowa,34,0,60,51
