sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Arizona,Baylor,Noah Fifita,QB,31,24,278.1,3,0,2,0,0.0,0,0,0,0.0,0
48,A,Arizona,Baylor,Noah Fifita,Rusher,0,0,0.0,0,0,0,10,49.3,1,0,0,0.0,0
48,A,Arizona,Baylor,Quincy Craig,Rusher,0,0,0.0,0,0,0,9,20.2,0,0,0,0.0,0
48,A,Arizona,Baylor,Ismail Mahdi,Rusher,0,0,0.0,0,0,0,5,15.1,0,0,0,0.0,0
48,A,Arizona,Baylor,Kedrick Reescano,Rusher,0,0,0.0,0,0,0,10,-3.1,0,0,0,0.0,0
48,A,Arizona,Baylor,Wesley Yarbrough,Rusher,0,0,0.0,0,0,0,1,7.8,0,0,0,0.0,0
48,A,Arizona,Baylor,Javin Whatley,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,46.3,0
48,A,Arizona,Baylor,Kris Hutson,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,62.4,1
48,A,Arizona,Baylor,Isaiah Mizell,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,21.5,1
48,A,Arizona,Baylor,Chris Hunter,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,44.8,0
48,A,Arizona,Baylor,Keyan Burnett,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.9,0
48,A,Arizona,Baylor,Gio Richardson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,36.4,0
48,A,Arizona,Baylor,Tre Spivey,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,14.8,0
48,A,Arizona,Baylor,Sam Olson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,4.3,0
48,A,Arizona,Baylor,Luke Wysong,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,46.7,1
48,A,Baylor,Arizona,Sawyer Robertson,QB,19,16,158.8,1,0,8,0,0.0,0,0,0,0.0,0
48,A,Baylor,Arizona,Michael Turner,Rusher,0,0,0.0,0,0,0,6,22.2,0,0,0,0.0,0
48,A,Baylor,Arizona,Sawyer Robertson,Rusher,0,0,0.0,0,0,0,2,7.3,0,0,0,0.0,0
48,A,Baylor,Arizona,Bryson Washington,Rusher,0,0,0.0,0,0,0,17,32.6,0,0,0,0.0,0
48,A,Baylor,Arizona,Caden Knighten,Rusher,0,0,0.0,0,0,0,6,47.2,1,0,0,0.0,0
48,A,Baylor,Arizona,Joseph Dodds,Rusher,0,0,0.0,0,0,0,4,12.1,0,0,0,0.0,0
48,A,Baylor,Arizona,Kobe Prentice,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,15.7,0
48,A,Baylor,Arizona,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,33.1,1
48,A,Baylor,Arizona,Kole Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,22.2,0
48,A,Baylor,Arizona,Matthew Klopfenstein,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,7.5,0
48,A,Baylor,Arizona,Michael Trigg,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,23.5,0
48,A,Baylor,Arizona,Ashtyn Hawkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,38.5,0
48,A,Baylor,Arizona,Josh Cameron,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,18.3,0
49,B,Baylor,Arizona,Sawyer Robertson,QB,35,23,273.8,2,0,11,0,0.0,0,0,0,0.0,0
49,B,Baylor,Arizona,Bryson Washington,Rusher,0,0,0.0,0,0,0,12,45.4,1,0,0,0.0,0
49,B,Baylor,Arizona,Michael Turner,Rusher,0,0,0.0,0,0,0,6,30.6,0,0,0,0.0,0
49,B,Baylor,Arizona,Caden Knighten,Rusher,0,0,0.0,0,0,0,4,2.8,0,0,0,0.0,0
49,B,Baylor,Arizona,Sawyer Robertson,Rusher,0,0,0.0,0,0,0,1,11.8,0,0,0,0.0,0
49,B,Baylor,Arizona,Michael Trigg,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,11,110.6,1
49,B,Baylor,Arizona,Josh Cameron,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,6.1,0
49,B,Baylor,Arizona,Louis Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,31.3,0
49,B,Baylor,Arizona,Kobe Prentice,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,31.0,0
49,B,Baylor,Arizona,Ashtyn Hawkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,37.7,1
49,B,Baylor,Arizona,Matthew Klopfenstein,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.1,0
49,B,Baylor,Arizona,Kole Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,19.5,0
49,B,Baylor,Arizona,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,18.6,0
49,B,Arizona,Baylor,Noah Fifita,QB,33,27,372.6,1,0,2,0,0.0,0,0,0,0.0,0
49,B,Arizona,Baylor,Noah Fifita,Rusher,0,0,0.0,0,0,0,3,20.6,1,0,0,0.0,0
49,B,Arizona,Baylor,Kedrick Reescano,Rusher,0,0,0.0,0,0,0,13,83.4,2,0,0,0.0,0
49,B,Arizona,Baylor,Ismail Mahdi,Rusher,0,0,0.0,0,0,0,9,13.1,0,0,0,0.0,0
49,B,Arizona,Baylor,Quincy Craig,Rusher,0,0,0.0,0,0,0,6,40.9,1,0,0,0.0,0
