sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Houston,TCU,Conner Weigman,QB,29,20,219.3,3,0,0,0,0.0,0,0,0,0.0,0
16,A,Houston,TCU,Dean Connors,Rusher,0,0,0.0,0,0,0,14,45.6,0,0,0,0.0,0
16,A,Houston,TCU,Conner Weigman,Rusher,0,0,0.0,0,0,0,5,13.5,0,0,0,0.0,0
16,A,Houston,TCU,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,7,43.9,0,0,0,0.0,0
16,A,Houston,TCU,Stacy Sneed,Rusher,0,0,0.0,0,0,0,6,14.8,0,0,0,0.0,0
16,A,Houston,TCU,DJ Butler,Rusher,0,0,0.0,0,0,0,2,3.5,0,0,0,0.0,0
16,A,Houston,TCU,Koby Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,18.2,0
16,A,Houston,TCU,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,50.1,2
16,A,Houston,TCU,Tanner Koziol,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,60.5,1
16,A,Houston,TCU,Amare Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,42.0,0
16,A,Houston,TCU,Stephon Johnson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,29.1,0
16,A,Houston,TCU,Mekhi Mews,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.3,0
16,A,TCU,Houston,Josh Hoover,QB,21,13,174.3,0,0,5,0,0.0,0,0,0,0.0,0
16,A,TCU,Houston,Kevorian Barnes,Rusher,0,0,0.0,0,0,0,12,29.9,1,0,0,0.0,0
16,A,TCU,Houston,Trent Battle,Rusher,0,0,0.0,0,0,0,8,29.7,1,0,0,0.0,0
16,A,TCU,Houston,Jeremy Payne,Rusher,0,0,0.0,0,0,0,8,34.0,0,0,0,0.0,0
16,A,TCU,Houston,Jon Denman,Rusher,0,0,0.0,0,0,0,3,32.3,0,0,0,0.0,0
16,A,TCU,Houston,Josh Hoover,Rusher,0,0,0.0,0,0,0,3,13.8,1,0,0,0.0,0
16,A,TCU,Houston,Nate Palmer,Rusher,0,0,0.0,0,0,0,2,0.6,0,0,0,0.0,0
16,A,TCU,Houston,Jordan Dwyer,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,13.1,0
16,A,TCU,Houston,Joseph Manjack,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,72.1,0
16,A,TCU,Houston,Chase Curtis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,33.2,0
16,A,TCU,Houston,Jordyn Bailey,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,21.0,0
16,A,TCU,Houston,Eric McAlister,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,18.8,0
16,A,TCU,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.2,0
16,A,TCU,Houston,D'Andre Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,8.9,0
17,B,TCU,Houston,Josh Hoover,QB,30,20,218.8,2,0,0,0,0.0,0,0,0,0.0,0
17,B,TCU,Houston,Jon Denman,Rusher,0,0,0.0,0,0,0,6,37.6,0,0,0,0.0,0
17,B,TCU,Houston,Jeremy Payne,Rusher,0,0,0.0,0,0,0,13,53.0,0,0,0,0.0,0
17,B,TCU,Houston,Kevorian Barnes,Rusher,0,0,0.0,0,0,0,12,49.6,2,0,0,0.0,0
17,B,TCU,Houston,Josh Hoover,Rusher,0,0,0.0,0,0,0,4,20.4,0,0,0,0.0,0
17,B,TCU,Houston,Nate Palmer,Rusher,0,0,0.0,0,0,0,2,-1.5,0,0,0,0.0,0
17,B,TCU,Houston,Trent Battle,Rusher,0,0,0.0,0,0,0,1,11.4,0,0,0,0.0,0
17,B,TCU,Houston,Jordan Dwyer,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,81.3,0
17,B,TCU,Houston,Chase Curtis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,21.5,0
17,B,TCU,Houston,Dozie Ezukanma,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.0,0
17,B,TCU,Houston,Eric McAlister,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,47.6,1
17,B,TCU,Houston,Major Everhart,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,16.8,1
17,B,TCU,Houston,D'Andre Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,15.3,0
17,B,TCU,Houston,Ed Small,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,22.4,0
17,B,TCU,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
17,B,TCU,Houston,Joseph Manjack,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
17,B,TCU,Houston,Terry Shelton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.0,0
17,B,TCU,Houston,Jordyn Bailey,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
17,B,Houston,TCU,Conner Weigman,QB,36,21,291.2,0,0,4,0,0.0,0,0,0,0.0,0
17,B,Houston,TCU,Dean Connors,Rusher,0,0,0.0,0,0,0,11,83.5,1,0,0,0.0,0
17,B,Houston,TCU,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,9,44.1,2,0,0,0.0,0
17,B,Houston,TCU,Conner Weigman,Rusher,0,0,0.0,0,0,0,3,6.4,0,0,0,0.0,0
17,B,Houston,TCU,DJ Butler,Rusher,0,0,0.0,0,0,0,2,9.2,0,0,0,0.0,0
17,B,Houston,TCU,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,91.4,0
17,B,Houston,TCU,Luke Mcgary,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,37.6,0
17,B,Houston,TCU,Tanner Koziol,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,23.3,0
17,B,Houston,TCU,Harvey Broussard,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,27.8,0
17,B,Houston,TCU,Amare Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,17.8,0
17,B,Houston,TCU,Koby Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,21.7,0
17,B,Houston,TCU,Stephon Johnson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,9,58.3,0
17,B,Houston,TCU,Mekhi Mews,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.4,0
18,A,Houston,TCU,Conner Weigman,QB,26,16,169.9,1,0,4,0,0.0,0,0,0,0.0,0
18,A,Houston,TCU,Stacy Sneed,Rusher,0,0,0.0,0,0,0,8,45.6,1,0,0,0.0,0
18,A,Houston,TCU,Conner Weigman,Rusher,0,0,0.0,0,0,0,7,16.9,0,0,0,0.0,0
18,A,Houston,TCU,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,12,37.2,0,0,0,0.0,0
18,A,Houston,TCU,Dean Connors,Rusher,0,0,0.0,0,0,0,8,21.3,0,0,0,0.0,0
18,A,Houston,TCU,DJ Butler,Rusher,0,0,0.0,0,0,0,3,18.8,0,0,0,0.0,0
18,A,Houston,TCU,Tanner Koziol,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,42.1,1
18,A,Houston,TCU,Mekhi Mews,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
18,A,Houston,TCU,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,24.2,0
18,A,Houston,TCU,Stephon Johnson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
18,A,Houston,TCU,Koby Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,50.7,0
18,A,Houston,TCU,Amare Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,44.9,0
18,A,Houston,TCU,Harvey Broussard,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
18,A,Houston,TCU,Luke Mcgary,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.9,0
18,A,TCU,Houston,Josh Hoover,QB,41,23,199.5,2,0,3,0,0.0,0,0,0,0.0,0
18,A,TCU,Houston,Kevorian Barnes,Rusher,0,0,0.0,0,0,0,8,29.4,0,0,0,0.0,0
18,A,TCU,Houston,Jeremy Payne,Rusher,0,0,0.0,0,0,0,5,9.7,0,0,0,0.0,0
18,A,TCU,Houston,Josh Hoover,Rusher,0,0,0.0,0,0,0,4,28.5,0,0,0,0.0,0
18,A,TCU,Houston,Nate Palmer,Rusher,0,0,0.0,0,0,0,2,12.8,0,0,0,0.0,0
18,A,TCU,Houston,Jon Denman,Rusher,0,0,0.0,0,0,0,1,7.7,0,0,0,0.0,0
18,A,TCU,Houston,Trent Battle,Rusher,0,0,0.0,0,0,0,1,-2.3,0,0,0,0.0,0
18,A,TCU,Houston,Chase Curtis,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
