sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Kent State,Central Michigan,CJ Montes,QB,27,18,150.5,0,0,8,0,0.0,0,0,0,0.0,0
0,A,Kent State,Central Michigan,Gavin Garcia,Rusher,0,0,0.0,0,0,0,13,43.2,0,0,0,0.0,0
0,A,Kent State,Central Michigan,CJ Montes,Rusher,0,0,0.0,0,0,0,2,5.1,0,0,0,0.0,0
0,A,Kent State,Central Michigan,Jahzae Kimbrough,Rusher,0,0,0.0,0,0,0,5,11.7,0,0,0,0.0,0
0,A,Kent State,Central Michigan,Dru Deshields,Rusher,0,0,0.0,0,0,0,1,-3.8,0,0,0,0.0,0
0,A,Kent State,Central Michigan,Donovan Delaney,Rusher,0,0,0.0,0,0,0,2,-0.4,0,0,0,0.0,0
0,A,Kent State,Central Michigan,Jay Jay Etheridge,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,15.6,0
0,A,Kent State,Central Michigan,Da'Realyst Clark,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,37.1,0
0,A,Kent State,Central Michigan,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,4.1,0
0,A,Kent State,Central Michigan,Sebastian Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,20.6,0
0,A,Kent State,Central Michigan,Wayne Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,31.4,0
0,A,Kent State,Central Michigan,Ardell Banks,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Kent State,Central Michigan,Terik Mulder,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,30.1,0
0,A,Kent State,Central Michigan,Hunter Hopperton,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,11.7,0
0,A,Kent State,Central Michigan,Dashawn Martin,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
