sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,North Carolina,Duke,Giovanni Lopez,QB,26,18,113.8,1,0,6,0,0.0,0,0,0,0.0,0
16,A,North Carolina,Duke,Demon June,Rusher,0,0,0.0,0,0,0,9,26.0,0,0,0,0.0,0
16,A,North Carolina,Duke,Davion Gause,Rusher,0,0,0.0,0,0,0,1,6.8,0,0,0,0.0,0
16,A,North Carolina,Duke,Giovanni Lopez,Rusher,0,0,0.0,0,0,0,10,43.1,0,0,0,0.0,0
16,A,North Carolina,Duke,Caleb Hood,Rusher,0,0,0.0,0,0,0,7,29.3,0,0,0,0.0,0
16,A,North Carolina,Duke,Benjamin Hall,Rusher,0,0,0.0,0,0,0,4,9.3,0,0,0,0.0,0
16,A,North Carolina,Duke,Charleston French,Rusher,0,0,0.0,0,0,0,1,7.5,0,0,0,0.0,0
16,A,North Carolina,Duke,Jordan Shipp,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,26.9,0
16,A,North Carolina,Duke,Javarius Green,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,25.8,1
16,A,North Carolina,Duke,Jake Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,22.5,0
16,A,North Carolina,Duke,Aziah Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,8.3,0
16,A,North Carolina,Duke,Shanard Clower,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,18.4,0
16,A,North Carolina,Duke,Chris Culliver,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,North Carolina,Duke,Kobe Paysour,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.7,0
16,A,North Carolina,Duke,Alex Taylor,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,North Carolina,Duke,Jordan Owens,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
16,A,Duke,North Carolina,Darian Mensah,QB,14,9,97.6,0,0,8,0,0.0,0,0,0,0.0,0
16,A,Duke,North Carolina,Peyton Jones,Rusher,0,0,0.0,0,0,0,5,17.7,0,0,0,0.0,0
16,A,Duke,North Carolina,Anderson Castle,Rusher,0,0,0.0,0,0,0,11,30.8,0,0,0,0.0,0
16,A,Duke,North Carolina,Nate Sheppard,Rusher,0,0,0.0,0,0,0,7,18.8,0,0,0,0.0,0
16,A,Duke,North Carolina,Jaquez Moore,Rusher,0,0,0.0,0,0,0,9,46.0,1,0,0,0.0,0
16,A,Duke,North Carolina,Darian Mensah,Rusher,0,0,0.0,0,0,0,3,26.2,1,0,0,0.0,0
16,A,Duke,North Carolina,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,56.8,0
16,A,Duke,North Carolina,Andrel Anthony Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,Duke,North Carolina,Cooper Barkate,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,20.9,0
16,A,Duke,North Carolina,Sahmir Hagans,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.3,0
16,A,Duke,North Carolina,Que'Sean Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Duke,North Carolina,Jeremiah Hasley,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,Duke,North Carolina,Jayden Moore,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,7.6,0
16,A,Duke,North Carolina,Chase Tyler,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
17,B,Duke,North Carolina,Darian Mensah,QB,30,24,277.6,2,0,3,0,0.0,0,0,0,0.0,0
17,B,Duke,North Carolina,Anderson Castle,Rusher,0,0,0.0,0,0,0,9,60.8,1,0,0,0.0,0
17,B,Duke,North Carolina,Jaquez Moore,Rusher,0,0,0.0,0,0,0,10,45.5,2,0,0,0.0,0
17,B,Duke,North Carolina,Nate Sheppard,Rusher,0,0,0.0,0,0,0,7,21.1,0,0,0,0.0,0
17,B,Duke,North Carolina,Darian Mensah,Rusher,0,0,0.0,0,0,0,3,16.3,0,0,0,0.0,0
17,B,Duke,North Carolina,Peyton Jones,Rusher,0,0,0.0,0,0,0,2,14.1,0,0,0,0.0,0
17,B,Duke,North Carolina,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,12,14,140.4,2
17,B,Duke,North Carolina,Cooper Barkate,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,31.3,0
17,B,Duke,North Carolina,Sahmir Hagans,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,33.4,0
17,B,Duke,North Carolina,Jayden Moore,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.1,0
17,B,Duke,North Carolina,Jeremiah Hasley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,15.3,0
17,B,Duke,North Carolina,Que'Sean Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,44.3,0
17,B,Duke,North Carolina,Chase Tyler,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
17,B,Duke,North Carolina,Landen King,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.8,0
17,B,North Carolina,Duke,Giovanni Lopez,QB,32,19,137.7,0,0,9,0,0.0,0,0,0,0.0,0
17,B,North Carolina,Duke,Davion Gause,Rusher,0,0,0.0,0,0,0,2,6.1,0,0,0,0.0,0
17,B,North Carolina,Duke,Benjamin Hall,Rusher,0,0,0.0,0,0,0,4,2.6,0,0,0,0.0,0
17,B,North Carolina,Duke,Caleb Hood,Rusher,0,0,0.0,0,0,0,6,43.2,0,0,0,0.0,0
17,B,North Carolina,Duke,Charleston French,Rusher,0,0,0.0,0,0,0,2,-0.4,0,0,0,0.0,0
17,B,North Carolina,Duke,Demon June,Rusher,0,0,0.0,0,0,0,6,52.8,1,0,0,0.0,0
17,B,North Carolina,Duke,Giovanni Lopez,Rusher,0,0,0.0,0,0,0,6,35.1,0,0,0,0.0,0
17,B,North Carolina,Duke,Jake Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,30.4,0
17,B,North Carolina,Duke,Jordan Owens,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,12.3,0
17,B,North Carolina,Duke,Javarius Green,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,49.4,0
17,B,North Carolina,Duke,Shanard Clower,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,10.6,0
17,B,North Carolina,Duke,Jordan Shipp,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,24.7,0
17,B,North Carolina,Duke,Kobe Paysour,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
17,B,North Carolina,Duke,Chris Culliver,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
17,B,North Carolina,Duke,Aziah Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,10.4,0
17,B,North Carolina,Duke,Alex Taylor,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
18,A,North Carolina,Duke,Giovanni Lopez,QB,37,18,135.3,0,0,7,0,0.0,0,0,0,0.0,0
18,A,North Carolina,Duke,Davion Gause,Rusher,0,0,0.0,0,0,0,3,3.0,0,0,0,0.0,0
18,A,North Carolina,Duke,Demon June,Rusher,0,0,0.0,0,0,0,9,45.5,0,0,0,0.0,0
18,A,North Carolina,Duke,Giovanni Lopez,Rusher,0,0,0.0,0,0,0,2,11.4,0,0,0,0.0,0
18,A,North Carolina,Duke,Benjamin Hall,Rusher,0,0,0.0,0,0,0,3,22.6,1,0,0,0.0,0
18,A,North Carolina,Duke,Charleston French,Rusher,0,0,0.0,0,0,0,2,-2.9,0,0,0,0.0,0
18,A,North Carolina,Duke,Caleb Hood,Rusher,0,0,0.0,0,0,0,1,-3.9,0,0,0,0.0,0
18,A,North Carolina,Duke,Javarius Green,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,17.6,0
