sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,UCF,Oklahoma State,Tayven Jackson,QB,34,24,273.0,3,0,2,0,0.0,0,0,0,0.0,0
32,A,UCF,Oklahoma State,Jacurri Brown,Rusher,0,0,0.0,0,0,0,7,24.6,0,0,0,0.0,0
32,A,UCF,Oklahoma State,Cam Fancher,Rusher,0,0,0.0,0,0,0,5,18.0,0,0,0,0.0,0
32,A,UCF,Oklahoma State,Myles Montgomery,Rusher,0,0,0.0,0,0,0,17,31.9,0,0,0,0.0,0
32,A,UCF,Oklahoma State,Tayven Jackson,Rusher,0,0,0.0,0,0,0,6,34.0,0,0,0,0.0,0
32,A,UCF,Oklahoma State,Stacy Gage,Rusher,0,0,0.0,0,0,0,3,14.7,0,0,0,0.0,0
32,A,UCF,Oklahoma State,Jaden Nixon,Rusher,0,0,0.0,0,0,0,6,6.9,0,0,0,0.0,0
32,A,UCF,Oklahoma State,Marcus Burke,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,88.3,2
32,A,UCF,Oklahoma State,Kylan Fox,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,17.5,0
32,A,UCF,Oklahoma State,DJ Black,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,29.5,0
32,A,UCF,Oklahoma State,Chris Domercant,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,15.0,0
32,A,UCF,Oklahoma State,Duane Thomas Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,36.4,0
32,A,UCF,Oklahoma State,Waden Charles,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,23.6,1
32,A,UCF,Oklahoma State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,13.8,0
32,A,UCF,Oklahoma State,Dylan Wade,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,48.8,0
32,A,Oklahoma State,UCF,Zane Flores,QB,20,15,145.0,0,0,9,0,0.0,0,0,0,0.0,0
32,A,Oklahoma State,UCF,Rodney Fields Jr.,Rusher,0,0,0.0,0,0,0,4,9.3,0,0,0,0.0,0
32,A,Oklahoma State,UCF,Zane Flores,Rusher,0,0,0.0,0,0,0,1,3.7,0,0,0,0.0,0
32,A,Oklahoma State,UCF,Trenten Howland,Rusher,0,0,0.0,0,0,0,2,3.8,0,0,0,0.0,0
32,A,Oklahoma State,UCF,Sesi Vailahi,Rusher,0,0,0.0,0,0,0,1,-0.5,0,0,0,0.0,0
32,A,Oklahoma State,UCF,Kalib Hicks,Rusher,0,0,0.0,0,0,0,1,-1.5,0,0,0,0.0,0
32,A,Oklahoma State,UCF,Hauss Hejny,Rusher,0,0,0.0,0,0,0,3,5.2,0,0,0,0.0,0
32,A,Oklahoma State,UCF,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Oklahoma State,UCF,Gavin Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,10.0,0
