sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Utah,Kansas State,Devon Dampier,QB,36,27,325.0,4,0,2,0,0.0,0,0,0,0.0,0
32,A,Utah,Kansas State,Wayshawn Parker,Rusher,0,0,0.0,0,0,0,9,53.4,0,0,0,0.0,0
32,A,Utah,Kansas State,Other RB,Rusher,0,0,0.0,0,0,0,7,49.7,0,0,0,0.0,0
32,A,Utah,Kansas State,Devon Dampier,Rusher,0,0,0.0,0,0,0,8,41.3,1,0,0,0.0,0
32,A,Utah,Kansas State,NaQuari Rogers,Rusher,0,0,0.0,0,0,0,20,148.6,3,0,0,0.0,0
32,A,Utah,Kansas State,Byrd Ficklin,Rusher,0,0,0.0,0,0,0,2,-3.5,0,0,0,0.0,0
32,A,Utah,Kansas State,Dallen Bentley,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,68.5,1
32,A,Utah,Kansas State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,10,170.9,1
32,A,Utah,Kansas State,JJ Buchanan,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,15.0,0
32,A,Utah,Kansas State,Ryan Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,33.4,1
32,A,Utah,Kansas State,Tobias Merriweather,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,3.2,1
32,A,Utah,Kansas State,Hunter Andrews,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,0.5,0
32,A,Utah,Kansas State,Larry Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,33.6,0
32,A,Kansas State,Utah,Avery Johnson,QB,19,11,87.3,0,0,3,0,0.0,0,0,0,0.0,0
32,A,Kansas State,Utah,Blake Barnett,Rusher,0,0,0.0,0,0,0,2,-4.6,0,0,0,0.0,0
32,A,Kansas State,Utah,Dylan Edwards,Rusher,0,0,0.0,0,0,0,6,14.5,0,0,0,0.0,0
32,A,Kansas State,Utah,Devon Rice,Rusher,0,0,0.0,0,0,0,4,10.2,0,0,0,0.0,0
32,A,Kansas State,Utah,Avery Johnson,Rusher,0,0,0.0,0,0,0,1,0.8,0,0,0,0.0,0
32,A,Kansas State,Utah,JB Price,Rusher,0,0,0.0,0,0,0,4,13.4,0,0,0,0.0,0
32,A,Kansas State,Utah,Antonio Martin,Rusher,0,0,0.0,0,0,0,1,3.2,0,0,0,0.0,0
32,A,Kansas State,Utah,Jayce Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,67.4,0
32,A,Kansas State,Utah,Sterling Lockett,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,2.9,0
32,A,Kansas State,Utah,Jaron Tibbs,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,7.1,0
32,A,Kansas State,Utah,Linkon Cure,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.6,0
32,A,Kansas State,Utah,Garrett Oakley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,0.0,0
32,A,Kansas State,Utah,Jerand Bradley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,1.2,0
32,A,Kansas State,Utah,Adonis Moise,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Kansas State,Utah,Will Anciaux,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Kansas State,Utah,Will Swanson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Kansas State,Utah,Avery Johnson,QB,26,17,146.1,0,0,1,0,0.0,0,0,0,0.0,0
33,B,Kansas State,Utah,Joe Jackson,Rusher,0,0,0.0,0,0,0,6,18.3,0,0,0,0.0,0
33,B,Kansas State,Utah,Avery Johnson,Rusher,0,0,0.0,0,0,0,4,5.2,0,0,0,0.0,0
33,B,Kansas State,Utah,Devon Rice,Rusher,0,0,0.0,0,0,0,10,55.2,1,0,0,0.0,0
33,B,Kansas State,Utah,JB Price,Rusher,0,0,0.0,0,0,0,2,5.8,0,0,0,0.0,0
33,B,Kansas State,Utah,Antonio Martin,Rusher,0,0,0.0,0,0,0,9,36.2,0,0,0,0.0,0
33,B,Kansas State,Utah,Dylan Edwards,Rusher,0,0,0.0,0,0,0,7,15.5,0,0,0,0.0,0
33,B,Kansas State,Utah,Blake Barnett,Rusher,0,0,0.0,0,0,0,1,20.2,1,0,0,0.0,0
33,B,Kansas State,Utah,Jayce Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,26.2,0
33,B,Kansas State,Utah,Garrett Oakley,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
33,B,Kansas State,Utah,Linkon Cure,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,2.7,0
33,B,Kansas State,Utah,Jaron Tibbs,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,52.9,0
33,B,Kansas State,Utah,Will Swanson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.7,0
33,B,Kansas State,Utah,Jerand Bradley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,29.8,0
33,B,Kansas State,Utah,Sterling Lockett,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,10.5,0
33,B,Kansas State,Utah,Brayden Loftin,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
33,B,Kansas State,Utah,Will Anciaux,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.3,0
33,B,Utah,Kansas State,Devon Dampier,QB,27,22,228.8,0,0,4,0,0.0,0,0,0,0.0,0
33,B,Utah,Kansas State,Devon Dampier,Rusher,0,0,0.0,0,0,0,9,10.1,0,0,0,0.0,0
33,B,Utah,Kansas State,Wayshawn Parker,Rusher,0,0,0.0,0,0,0,4,-2.0,0,0,0,0.0,0
33,B,Utah,Kansas State,Other RB,Rusher,0,0,0.0,0,0,0,2,8.8,0,0,0,0.0,0
33,B,Utah,Kansas State,NaQuari Rogers,Rusher,0,0,0.0,0,0,0,4,24.4,0,0,0,0.0,0
33,B,Utah,Kansas State,Byrd Ficklin,Rusher,0,0,0.0,0,0,0,1,-0.7,0,0,0,0.0,0
33,B,Utah,Kansas State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,73.9,0
33,B,Utah,Kansas State,Tobias Merriweather,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,34.5,0
33,B,Utah,Kansas State,JJ Buchanan,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,58.8,0
33,B,Utah,Kansas State,Dallen Bentley,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,5.9,0
33,B,Utah,Kansas State,Ryan Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,55.7,0
34,A,Utah,Kansas State,Devon Dampier,QB,27,20,154.4,0,0,6,0,0.0,0,0,0,0.0,0
34,A,Utah,Kansas State,NaQuari Rogers,Rusher,0,0,0.0,0,0,0,8,6.4,0,0,0,0.0,0
34,A,Utah,Kansas State,Devon Dampier,Rusher,0,0,0.0,0,0,0,6,28.6,0,0,0,0.0,0
34,A,Utah,Kansas State,Wayshawn Parker,Rusher,0,0,0.0,0,0,0,4,-2.6,0,0,0,0.0,0
34,A,Utah,Kansas State,Other RB,Rusher,0,0,0.0,0,0,0,7,26.6,0,0,0,0.0,0
34,A,Utah,Kansas State,Dallen Bentley,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,28.7,0
34,A,Utah,Kansas State,Tobias Merriweather,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,11.3,0
34,A,Utah,Kansas State,Ryan Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,10,24.4,0
34,A,Utah,Kansas State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,34.2,0
34,A,Utah,Kansas State,Hunter Andrews,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,45.1,0
34,A,Utah,Kansas State,JJ Buchanan,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.7,0
34,A,Kansas State,Utah,Avery Johnson,QB,22,9,81.6,0,0,5,0,0.0,0,0,0,0.0,0
34,A,Kansas State,Utah,Devon Rice,Rusher,0,0,0.0,0,0,0,5,27.5,0,0,0,0.0,0
34,A,Kansas State,Utah,Avery Johnson,Rusher,0,0,0.0,0,0,0,4,6.6,0,0,0,0.0,0
34,A,Kansas State,Utah,Dylan Edwards,Rusher,0,0,0.0,0,0,0,11,43.4,0,0,0,0.0,0
34,A,Kansas State,Utah,Joe Jackson,Rusher,0,0,0.0,0,0,0,7,34.4,1,0,0,0.0,0
34,A,Kansas State,Utah,JB Price,Rusher,0,0,0.0,0,0,0,4,40.3,1,0,0,0.0,0
34,A,Kansas State,Utah,Antonio Martin,Rusher,0,0,0.0,0,0,0,3,8.6,0,0,0,0.0,0
34,A,Kansas State,Utah,Blake Barnett,Rusher,0,0,0.0,0,0,0,1,-0.7,0,0,0,0.0,0
34,A,Kansas State,Utah,Brayden Loftin,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
34,A,Kansas State,Utah,Linkon Cure,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
34,A,Kansas State,Utah,Will Anciaux,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,14.7,0
34,A,Kansas State,Utah,Will Swanson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,9.6,0
34,A,Kansas State,Utah,Garrett Oakley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,10.6,0
34,A,Kansas State,Utah,Jerand Bradley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,14.8,0
34,A,Kansas State,Utah,Jayce Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,4.1,0
34,A,Kansas State,Utah,Adonis Moise,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,27.8,0
34,A,Kansas State,Utah,Jaron Tibbs,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
35,B,Kansas State,Utah,Avery Johnson,QB,29,20,153.9,2,0,4,0,0.0,0,0,0,0.0,0
35,B,Kansas State,Utah,Antonio Martin,Rusher,0,0,0.0,0,0,0,5,35.0,0,0,0,0.0,0
35,B,Kansas State,Utah,JB Price,Rusher,0,0,0.0,0,0,0,3,10.7,0,0,0,0.0,0
35,B,Kansas State,Utah,Joe Jackson,Rusher,0,0,0.0,0,0,0,8,31.3,0,0,0,0.0,0
35,B,Kansas State,Utah,Dylan Edwards,Rusher,0,0,0.0,0,0,0,8,34.4,0,0,0,0.0,0
35,B,Kansas State,Utah,Blake Barnett,Rusher,0,0,0.0,0,0,0,1,-3.9,0,0,0,0.0,0
35,B,Kansas State,Utah,Avery Johnson,Rusher,0,0,0.0,0,0,0,4,21.2,0,0,0,0.0,0
35,B,Kansas State,Utah,Devon Rice,Rusher,0,0,0.0,0,0,0,3,12.7,0,0,0,0.0,0
35,B,Kansas State,Utah,Jayce Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,58.0,1
35,B,Kansas State,Utah,Jerand Bradley,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,20.7,0
35,B,Kansas State,Utah,Jaron Tibbs,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,14.1,0
35,B,Kansas State,Utah,Sterling Lockett,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,5.2,1
35,B,Kansas State,Utah,Linkon Cure,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,5.3,0
35,B,Kansas State,Utah,Adonis Moise,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,10.4,0
35,B,Kansas State,Utah,Brayden Loftin,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,24.2,0
35,B,Kansas State,Utah,Garrett Oakley,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,16.0,0
35,B,Utah,Kansas State,Devon Dampier,QB,17,15,157.7,1,0,4,0,0.0,0,0,0,0.0,0
35,B,Utah,Kansas State,Other RB,Rusher,0,0,0.0,0,0,0,5,28.5,1,0,0,0.0,0
35,B,Utah,Kansas State,NaQuari Rogers,Rusher,0,0,0.0,0,0,0,10,43.2,0,0,0,0.0,0
35,B,Utah,Kansas State,Devon Dampier,Rusher,0,0,0.0,0,0,0,10,70.8,1,0,0,0.0,0
35,B,Utah,Kansas State,Wayshawn Parker,Rusher,0,0,0.0,0,0,0,5,21.3,0,0,0,0.0,0
35,B,Utah,Kansas State,Tobias Merriweather,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,46.7,0
35,B,Utah,Kansas State,Hunter Andrews,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.8,0
35,B,Utah,Kansas State,Dallen Bentley,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,11.2,0
35,B,Utah,Kansas State,Ryan Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,26.5,0
35,B,Utah,Kansas State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,43.4,1
