team,opp,pts,opp_pts,plays,opp_plays
Florida Atlantic,UConn,34,3,95,65
UConn,Florida Atlantic,28,35,78,68
Florida Atlantic,UConn,10,34,58,82
UConn,Florida Atlantic,41,3,81,66
Florida Atlantic,UConn,14,23,62,76
UConn,Florida Atlantic,56,21,73,65
Florida Atlantic,UConn,31,31,79,73
UConn,Florida Atlantic,35,31,68,86
Florida Atlantic,UConn,13,20,74,71
UConn,Florida Atlantic,31,10,76,62
Florida Atlantic,UConn,14,38,57,81
UConn,Florida Atlantic,13,23,68,74
Florida Atlantic,UConn,30,27,73,85
UConn,Florida Atlantic,34,28,75,74
Florida Atlantic,UConn,7,21,79,70
UConn,Florida Atlantic,42,6,82,61
Florida Atlantic,UConn,14,45,76,82
UConn,Florida Atlantic,34,31,78,69
Florida Atlantic,UConn,20,37,79,68
UConn,Florida Atlantic,13,38,73,74
Florida Atlantic,UConn,10,28,77,66
UConn,Florida Atlantic,45,10,84,66
Florida Atlantic,UConn,10,30,60,80
UConn,Florida Atlantic,16,10,75,79
Florida Atlantic,UConn,31,7,71,78
UConn,Florida Atlantic,24,13,76,71
Florida Atlantic,UConn,28,19,74,77
UConn,Florida Atlantic,20,16,74,71
Florida Atlantic,UConn,10,45,72,76
UConn,Florida Atlantic,34,20,76,69
Florida Atlantic,UConn,27,17,73,71
UConn,Florida Atlantic,27,20,75,65
Florida Atlantic,UConn,17,43,62,81
UConn,Florida Atlantic,52,6,74,77
Florida Atlantic,UConn,31,38,78,77
UConn,Florida Atlantic,38,24,77,74
Florida Atlantic,UConn,21,39,67,83
UConn,Florida Atlantic,27,17,74,67
Florida Atlantic,UConn,31,20,82,67
UConn,Florida Atlantic,24,16,73,76
Florida Atlantic,UConn,10,30,65,73
UConn,Florida Atlantic,38,24,68,88
Florida Atlantic,UConn,30,52,74,75
UConn,Florida Atlantic,24,21,78,68
Florida Atlantic,UConn,21,26,68,83
UConn,Florida Atlantic,30,7,80,68
Florida Atlantic,UConn,6,38,85,65
UConn,Florida Atlantic,13,40,78,79
Florida Atlantic,UConn,31,20,84,65
UConn,Florida Atlantic,20,16,74,75
Florida Atlantic,UConn,17,42,65,77
UConn,Florida Atlantic,28,48,68,80
Florida Atlantic,UConn,21,31,76,78
UConn,Florida Atlantic,30,20,71,78
Florida Atlantic,UConn,20,35,74,75
UConn,Florida Atlantic,36,24,78,73
Florida Atlantic,UConn,13,34,82,74
UConn,Florida Atlantic,52,17,91,64
Florida Atlantic,UConn,20,45,67,78
UConn,Florida Atlantic,62,0,88,55
Florida Atlantic,UConn,44,24,83,70
UConn,Florida Atlantic,43,3,88,52
Florida Atlantic,UConn,13,41,72,79
UConn,Florida Atlantic,34,0,79,82
Florida Atlantic,UConn,34,38,77,66
UConn,Florida Atlantic,48,20,80,66
Florida Atlantic,UConn,35,17,84,72
UConn,Florida Atlantic,34,24,81,65
Florida Atlantic,UConn,6,31,69,77
UConn,Florida Atlantic,42,34,71,87
Florida Atlantic,UConn,10,56,65,84
UConn,Florida Atlantic,20,23,78,71
Florida Atlantic,UConn,20,28,76,72
UConn,Florida Atlantic,23,27,76,70
Florida Atlantic,UConn,41,34,79,71
UConn,Florida Atlantic,28,28,72,73
Florida Atlantic,UConn,21,20,67,80
UConn,Florida Atlantic,27,17,77,77
Florida Atlantic,UConn,17,31,80,70
UConn,Florida Atlantic,31,7,66,85
Florida Atlantic,UConn,35,34,59,87
UConn,Florida Atlantic,10,20,77,76
Florida Atlantic,UConn,27,48,80,71
UConn,Florida Atlantic,31,31,85,75
Florida Atlantic,UConn,20,21,103,52
UConn,Florida Atlantic,31,17,79,74
Florida Atlantic,UConn,21,35,85,75
UConn,Florida Atlantic,27,20,71,77
Florida Atlantic,UConn,10,55,69,77
UConn,Florida Atlantic,17,24,74,62
Florida Atlantic,UConn,41,23,75,74
UConn,Florida Atlantic,17,50,73,79
Florida Atlantic,UConn,42,16,78,72
UConn,Florida Atlantic,37,13,70,74
Florida Atlantic,UConn,38,17,78,79
UConn,Florida Atlantic,40,20,75,66
Florida Atlantic,UConn,9,20,70,79
UConn,Florida Atlantic,36,31,79,71
Florida Atlantic,UConn,34,31,69,83
UConn,Florida Atlantic,42,19,82,65
Florida Atlantic,UConn,31,24,66,80
UConn,Florida Atlantic,20,14,70,72
Florida Atlantic,UConn,10,24,85,68
UConn,Florida Atlantic,21,17,69,84
Florida Atlantic,UConn,13,26,72,75
UConn,Florida Atlantic,30,13,72,73
Florida Atlantic,UConn,9,33,69,76
UConn,Florida Atlantic,52,14,82,66
Florida Atlantic,UConn,14,34,70,73
UConn,Florida Atlantic,17,14,73,81
Florida Atlantic,UConn,42,38,76,78
UConn,Florida Atlantic,24,28,78,79
Florida Atlantic,UConn,24,19,80,69
UConn,Florida Atlantic,28,34,78,78
Florida Atlantic,UConn,17,20,85,69
UConn,Florida Atlantic,37,17,77,64
Florida Atlantic,UConn,14,45,64,80
UConn,Florida Atlantic,34,24,74,76
Florida Atlantic,UConn,6,56,70,80
UConn,Florida Atlantic,34,0,77,80
Florida Atlantic,UConn,16,24,65,74
UConn,Florida Atlantic,35,14,72,70
Florida Atlantic,UConn,20,34,83,74
UConn,Florida Atlantic,27,27,79,66
Florida Atlantic,UConn,27,27,73,80
UConn,Florida Atlantic,45,7,88,50
Florida Atlantic,UConn,17,34,71,76
UConn,Florida Atlantic,35,34,73,71
Florida Atlantic,UConn,24,37,67,76
UConn,Florida Atlantic,27,24,73,78
Florida Atlantic,UConn,17,24,82,69
UConn,Florida Atlantic,38,14,86,57
Florida Atlantic,UConn,10,30,64,85
UConn,Florida Atlantic,41,14,77,62
Florida Atlantic,UConn,38,45,79,70
UConn,Florida Atlantic,48,20,81,69
Florida Atlantic,UConn,21,23,84,69
UConn,Florida Atlantic,30,24,78,68
Florida Atlantic,UConn,14,30,74,79
UConn,Florida Atlantic,30,10,77,68
Florida Atlantic,UConn,13,38,62,84
UConn,Florida Atlantic,17,34,65,83
Florida Atlantic,UConn,7,31,73,80
UConn,Florida Atlantic,55,10,84,55
Florida Atlantic,UConn,20,24,76,76
UConn,Florida Atlantic,30,23,75,73
Florida Atlantic,UConn,21,52,69,84
UConn,Florida Atlantic,30,38,75,75
Florida Atlantic,UConn,21,35,62,79
UConn,Florida Atlantic,49,10,76,67
Florida Atlantic,UConn,24,24,86,69
UConn,Florida Atlantic,14,24,70,76
Florida Atlantic,UConn,23,24,84,67
UConn,Florida Atlantic,28,7,73,73
Florida Atlantic,UConn,7,35,59,85
UConn,Florida Atlantic,38,38,85,69
Florida Atlantic,UConn,21,34,72,73
UConn,Florida Atlantic,24,24,73,75
Florida Atlantic,UConn,28,24,84,70
UConn,Florida Atlantic,27,3,80,69
Florida Atlantic,UConn,31,24,78,79
UConn,Florida Atlantic,34,7,83,65
Florida Atlantic,UConn,20,42,81,71
UConn,Florida Atlantic,38,31,78,67
Florida Atlantic,UConn,20,27,59,79
UConn,Florida Atlantic,49,17,77,72
Florida Atlantic,UConn,24,26,81,74
UConn,Florida Atlantic,47,13,79,68
Florida Atlantic,UConn,10,35,81,71
UConn,Florida Atlantic,17,14,90,58
Florida Atlantic,UConn,10,52,64,73
UConn,Florida Atlantic,34,10,83,59
Florida Atlantic,UConn,38,19,70,79
UConn,Florida Atlantic,45,16,78,78
Florida Atlantic,UConn,28,37,67,80
UConn,Florida Atlantic,59,14,84,61
Florida Atlantic,UConn,17,42,75,76
UConn,Florida Atlantic,34,7,79,55
Florida Atlantic,UConn,14,6,77,72
UConn,Florida Atlantic,3,3,73,71
Florida Atlantic,UConn,14,51,76,77
UConn,Florida Atlantic,13,24,68,81
Florida Atlantic,UConn,20,38,67,77
UConn,Florida Atlantic,34,27,68,76
Florida Atlantic,UConn,7,31,62,82
UConn,Florida Atlantic,38,19,79,80
Florida Atlantic,UConn,17,41,65,78
UConn,Florida Atlantic,48,13,81,69
Florida Atlantic,UConn,9,55,72,76
UConn,Florida Atlantic,41,28,83,68
Florida Atlantic,UConn,10,56,58,85
UConn,Florida Atlantic,45,38,82,64
Florida Atlantic,UConn,7,51,75,72
UConn,Florida Atlantic,42,14,71,76
Florida Atlantic,UConn,27,38,87,64
UConn,Florida Atlantic,27,27,74,75
Florida Atlantic,UConn,35,23,71,79
UConn,Florida Atlantic,13,17,81,66
Florida Atlantic,UConn,44,42,82,72
UConn,Florida Atlantic,34,14,68,82
Florida Atlantic,UConn,14,30,61,83
UConn,Florida Atlantic,24,27,69,86
Florida Atlantic,UConn,28,49,66,83
UConn,Florida Atlantic,24,21,69,77
Florida Atlantic,UConn,41,24,67,78
UConn,Florida Atlantic,19,14,85,55
Florida Atlantic,UConn,27,28,82,68
UConn,Florida Atlantic,59,0,92,53
Florida Atlantic,UConn,10,35,64,73
UConn,Florida Atlantic,45,24,71,77
Florida Atlantic,UConn,28,35,71,76
UConn,Florida Atlantic,20,12,71,80
Florida Atlantic,UConn,21,41,59,77
UConn,Florida Atlantic,59,6,79,60
Florida Atlantic,UConn,10,38,63,85
UConn,Florida Atlantic,35,34,77,67
Florida Atlantic,UConn,24,14,80,70
UConn,Florida Atlantic,51,23,75,85
Florida Atlantic,UConn,31,31,71,70
UConn,Florida Atlantic,48,16,83,68
Florida Atlantic,UConn,21,37,75,77
UConn,Florida Atlantic,45,10,75,65
Florida Atlantic,UConn,10,48,82,74
UConn,Florida Atlantic,20,34,74,82
Florida Atlantic,UConn,21,27,64,81
UConn,Florida Atlantic,35,24,72,78
Florida Atlantic,UConn,6,37,76,75
UConn,Florida Atlantic,27,10,81,71
Florida Atlantic,UConn,28,10,75,68
UConn,Florida Atlantic,37,24,64,85
Florida Atlantic,UConn,17,31,72,73
UConn,Florida Atlantic,34,21,79,73
Florida Atlantic,UConn,37,13,83,70
UConn,Florida Atlantic,17,37,76,71
Florida Atlantic,UConn,13,52,78,74
UConn,Florida Atlantic,31,24,77,73
Florida Atlantic,UConn,20,27,81,67
UConn,Florida Atlantic,49,28,79,72
Florida Atlantic,UConn,20,31,77,72
UConn,Florida Atlantic,34,16,72,78
Florida Atlantic,UConn,21,31,70,78
UConn,Florida Atlantic,52,3,76,68
Florida Atlantic,UConn,17,35,68,72
UConn,Florida Atlantic,34,31,80,71
Florida Atlantic,UConn,33,24,88,70
UConn,Florida Atlantic,34,20,68,85
Florida Atlantic,UConn,34,42,88,67
UConn,Florida Atlantic,41,31,76,76
Florida Atlantic,UConn,14,45,69,79
UConn,Florida Atlantic,24,41,80,69
Florida Atlantic,UConn,20,54,68,77
UConn,Florida Atlantic,38,14,74,75
Florida Atlantic,UConn,24,24,71,80
UConn,Florida Atlantic,30,20,72,80
Florida Atlantic,UConn,31,28,90,65
UConn,Florida Atlantic,13,24,80,77
Florida Atlantic,UConn,45,30,80,73
UConn,Florida Atlantic,37,24,85,59
Florida Atlantic,UConn,20,31,89,68
UConn,Florida Atlantic,31,28,81,61
Florida Atlantic,UConn,31,34,88,71
UConn,Florida Atlantic,24,16,67,83
Florida Atlantic,UConn,13,35,71,73
UConn,Florida Atlantic,28,13,80,62
Florida Atlantic,UConn,20,45,63,84
UConn,Florida Atlantic,38,13,71,75
Florida Atlantic,UConn,0,16,71,71
UConn,Florida Atlantic,35,23,69,82
Florida Atlantic,UConn,34,21,93,64
UConn,Florida Atlantic,38,17,79,83
Florida Atlantic,UConn,27,31,84,71
UConn,Florida Atlantic,45,20,71,77
Florida Atlantic,UConn,27,27,79,68
UConn,Florida Atlantic,52,0,87,50
Florida Atlantic,UConn,34,23,80,67
UConn,Florida Atlantic,34,7,85,61
Florida Atlantic,UConn,21,21,77,75
UConn,Florida Atlantic,35,28,69,80
Florida Atlantic,UConn,24,17,82,69
UConn,Florida Atlantic,31,38,80,70
Florida Atlantic,UConn,10,30,67,77
UConn,Florida Atlantic,34,20,68,82
Florida Atlantic,UConn,13,38,71,71
UConn,Florida Atlantic,44,17,81,63
Florida Atlantic,UConn,34,28,83,68
UConn,Florida Atlantic,45,20,86,68
Florida Atlantic,UConn,27,20,88,65
