team,opp,pts,opp_pts,plays,opp_plays
Florida International,Jacksonville State,10,31,56,77
Jacksonville State,Florida International,31,23,62,69
Florida International,Jacksonville State,34,24,73,58
Jacksonville State,Florida International,28,24,71,67
Florida International,Jacksonville State,28,20,63,65
Jacksonville State,Florida International,24,17,80,59
Florida International,Jacksonville State,21,31,60,68
Jacksonville State,Florida International,24,10,64,62
Florida International,Jacksonville State,30,28,66,74
Jacksonville State,Florida International,27,0,81,48
Florida International,Jacksonville State,10,34,60,73
Jacksonville State,Florida International,24,34,64,63
Florida International,Jacksonville State,10,24,62,77
Jacksonville State,Florida International,24,13,71,65
Florida International,Jacksonville State,37,6,76,50
Jacksonville State,Florida International,27,24,71,58
Florida International,Jacksonville State,10,10,61,70
Jacksonville State,Florida International,34,28,65,66
Florida International,Jacksonville State,41,38,72,72
Jacksonville State,Florida International,21,27,55,74
Florida International,Jacksonville State,27,24,70,65
Jacksonville State,Florida International,17,20,62,62
Florida International,Jacksonville State,17,24,61,71
Jacksonville State,Florida International,41,14,78,68
Florida International,Jacksonville State,21,38,65,68
Jacksonville State,Florida International,3,34,56,66
Florida International,Jacksonville State,9,24,59,71
Jacksonville State,Florida International,17,13,53,75
Florida International,Jacksonville State,17,28,75,57
Jacksonville State,Florida International,23,17,80,60
Florida International,Jacksonville State,14,31,59,73
Jacksonville State,Florida International,41,13,72,64
Florida International,Jacksonville State,3,28,60,63
Jacksonville State,Florida International,17,45,60,72
Florida International,Jacksonville State,37,14,78,52
Jacksonville State,Florida International,14,30,58,76
Florida International,Jacksonville State,24,21,74,59
Jacksonville State,Florida International,34,31,61,71
Florida International,Jacksonville State,10,20,75,56
Jacksonville State,Florida International,7,23,64,66
Florida International,Jacksonville State,28,14,69,64
Jacksonville State,Florida International,10,27,68,62
Florida International,Jacksonville State,16,26,60,78
Jacksonville State,Florida International,27,14,64,70
Florida International,Jacksonville State,28,24,66,67
Jacksonville State,Florida International,31,28,73,60
Florida International,Jacksonville State,41,14,74,58
Jacksonville State,Florida International,30,17,85,49
Florida International,Jacksonville State,30,10,80,52
Jacksonville State,Florida International,20,10,74,55
Florida International,Jacksonville State,16,24,72,64
Jacksonville State,Florida International,27,14,60,67
Florida International,Jacksonville State,14,23,66,66
Jacksonville State,Florida International,42,42,72,57
Florida International,Jacksonville State,6,38,78,64
Jacksonville State,Florida International,30,17,71,72
Florida International,Jacksonville State,38,21,77,65
Jacksonville State,Florida International,20,42,62,66
Florida International,Jacksonville State,20,31,67,66
Jacksonville State,Florida International,28,17,68,71
Florida International,Jacksonville State,17,14,68,56
Jacksonville State,Florida International,23,17,79,59
Florida International,Jacksonville State,20,7,71,58
Jacksonville State,Florida International,21,38,55,74
Florida International,Jacksonville State,6,31,47,73
Jacksonville State,Florida International,40,7,71,61
Florida International,Jacksonville State,17,24,55,71
Jacksonville State,Florida International,17,21,65,64
Florida International,Jacksonville State,21,21,69,57
Jacksonville State,Florida International,27,6,68,63
Florida International,Jacksonville State,17,13,67,64
Jacksonville State,Florida International,28,31,60,78
Florida International,Jacksonville State,23,20,68,61
Jacksonville State,Florida International,24,20,62,61
Florida International,Jacksonville State,10,45,65,76
Jacksonville State,Florida International,27,16,63,63
Florida International,Jacksonville State,28,20,71,65
Jacksonville State,Florida International,21,17,66,61
Florida International,Jacksonville State,20,37,65,69
Jacksonville State,Florida International,29,24,63,64
Florida International,Jacksonville State,23,13,79,54
Jacksonville State,Florida International,34,3,70,62
Florida International,Jacksonville State,31,10,71,61
Jacksonville State,Florida International,23,10,63,65
Florida International,Jacksonville State,28,27,65,68
Jacksonville State,Florida International,28,24,63,66
Florida International,Jacksonville State,19,28,58,71
Jacksonville State,Florida International,34,17,79,61
Florida International,Jacksonville State,34,26,59,76
Jacksonville State,Florida International,22,17,68,63
Florida International,Jacksonville State,10,20,68,56
Jacksonville State,Florida International,21,20,68,67
Florida International,Jacksonville State,7,23,65,72
Jacksonville State,Florida International,10,21,56,71
Florida International,Jacksonville State,24,20,72,70
Jacksonville State,Florida International,20,17,72,61
Florida International,Jacksonville State,17,14,60,73
Jacksonville State,Florida International,34,31,70,70
Florida International,Jacksonville State,24,10,74,59
Jacksonville State,Florida International,17,6,72,55
Florida International,Jacksonville State,14,35,58,76
Jacksonville State,Florida International,17,34,68,69
Florida International,Jacksonville State,24,20,72,59
Jacksonville State,Florida International,14,24,71,65
Florida International,Jacksonville State,21,27,70,64
Jacksonville State,Florida International,24,42,55,84
Florida International,Jacksonville State,14,20,66,61
Jacksonville State,Florida International,16,20,60,64
Florida International,Jacksonville State,7,24,67,69
Jacksonville State,Florida International,33,20,71,60
Florida International,Jacksonville State,20,38,59,71
Jacksonville State,Florida International,13,17,69,56
Florida International,Jacksonville State,28,21,60,67
Jacksonville State,Florida International,17,34,56,77
Florida International,Jacksonville State,20,14,77,55
Jacksonville State,Florida International,24,21,64,73
Florida International,Jacksonville State,37,6,80,58
Jacksonville State,Florida International,17,17,70,60
Florida International,Jacksonville State,41,38,71,66
Jacksonville State,Florida International,21,17,64,71
Florida International,Jacksonville State,14,20,61,63
Jacksonville State,Florida International,35,10,76,59
Florida International,Jacksonville State,21,37,69,61
Jacksonville State,Florida International,14,16,75,64
Florida International,Jacksonville State,10,31,71,62
Jacksonville State,Florida International,38,17,74,60
Florida International,Jacksonville State,27,7,69,68
Jacksonville State,Florida International,37,13,78,57
Florida International,Jacksonville State,0,24,52,74
Jacksonville State,Florida International,14,31,69,65
Florida International,Jacksonville State,21,27,65,62
Jacksonville State,Florida International,14,31,64,69
Florida International,Jacksonville State,20,20,65,66
Jacksonville State,Florida International,17,38,64,67
Florida International,Jacksonville State,7,34,56,77
Jacksonville State,Florida International,34,14,84,54
Florida International,Jacksonville State,13,30,67,68
Jacksonville State,Florida International,24,14,77,63
Florida International,Jacksonville State,31,26,61,81
Jacksonville State,Florida International,7,13,64,58
Florida International,Jacksonville State,24,21,77,55
Jacksonville State,Florida International,27,7,60,64
Florida International,Jacksonville State,35,21,69,58
Jacksonville State,Florida International,27,17,79,52
Florida International,Jacksonville State,31,28,62,75
Jacksonville State,Florida International,27,14,72,62
Florida International,Jacksonville State,20,17,69,56
Jacksonville State,Florida International,35,13,56,66
Florida International,Jacksonville State,14,23,70,60
Jacksonville State,Florida International,38,14,66,66
Florida International,Jacksonville State,16,10,65,65
Jacksonville State,Florida International,15,10,83,60
Florida International,Jacksonville State,16,21,68,62
Jacksonville State,Florida International,20,20,64,61
Florida International,Jacksonville State,30,24,70,59
Jacksonville State,Florida International,20,21,74,62
Florida International,Jacksonville State,7,34,66,68
Jacksonville State,Florida International,10,13,64,62
Florida International,Jacksonville State,13,13,68,61
Jacksonville State,Florida International,28,21,73,62
Florida International,Jacksonville State,10,30,55,72
Jacksonville State,Florida International,27,31,67,60
Florida International,Jacksonville State,13,34,64,76
Jacksonville State,Florida International,38,10,82,56
Florida International,Jacksonville State,27,37,73,63
Jacksonville State,Florida International,42,20,81,54
Florida International,Jacksonville State,9,7,63,59
Jacksonville State,Florida International,20,16,72,58
Florida International,Jacksonville State,10,10,67,62
Jacksonville State,Florida International,41,13,77,57
Florida International,Jacksonville State,20,24,73,50
Jacksonville State,Florida International,3,14,69,56
Florida International,Jacksonville State,27,16,71,60
Jacksonville State,Florida International,28,17,70,61
Florida International,Jacksonville State,17,20,72,66
Jacksonville State,Florida International,9,24,75,55
Florida International,Jacksonville State,28,28,79,61
Jacksonville State,Florida International,23,13,68,59
Florida International,Jacksonville State,20,20,71,64
Jacksonville State,Florida International,28,13,71,58
Florida International,Jacksonville State,21,45,63,70
Jacksonville State,Florida International,24,10,73,62
Florida International,Jacksonville State,17,13,69,58
Jacksonville State,Florida International,7,30,54,75
Florida International,Jacksonville State,17,17,68,63
Jacksonville State,Florida International,37,27,66,64
Florida International,Jacksonville State,13,20,64,67
Jacksonville State,Florida International,27,6,69,61
Florida International,Jacksonville State,20,28,63,69
Jacksonville State,Florida International,20,27,59,70
Florida International,Jacksonville State,38,20,73,57
Jacksonville State,Florida International,31,21,64,73
Florida International,Jacksonville State,7,40,56,73
Jacksonville State,Florida International,40,28,69,60
Florida International,Jacksonville State,26,31,71,62
Jacksonville State,Florida International,31,35,72,61
Florida International,Jacksonville State,24,28,70,57
Jacksonville State,Florida International,27,10,71,67
Florida International,Jacksonville State,30,14,61,69
Jacksonville State,Florida International,27,28,70,66
Florida International,Jacksonville State,20,17,71,62
Jacksonville State,Florida International,17,21,64,66
Florida International,Jacksonville State,34,31,71,65
Jacksonville State,Florida International,21,10,70,61
Florida International,Jacksonville State,27,17,76,50
Jacksonville State,Florida International,3,31,54,75
Florida International,Jacksonville State,31,20,69,60
Jacksonville State,Florida International,17,31,71,60
Florida International,Jacksonville State,20,3,65,64
Jacksonville State,Florida International,31,24,71,69
Florida International,Jacksonville State,14,49,58,71
Jacksonville State,Florida International,30,17,73,57
Florida International,Jacksonville State,17,14,69,70
Jacksonville State,Florida International,35,24,68,58
Florida International,Jacksonville State,28,31,57,71
Jacksonville State,Florida International,17,3,63,62
Florida International,Jacksonville State,42,3,73,58
Jacksonville State,Florida International,24,30,63,66
Florida International,Jacksonville State,14,21,70,72
Jacksonville State,Florida International,20,20,56,76
Florida International,Jacksonville State,37,31,71,63
Jacksonville State,Florida International,23,42,69,68
Florida International,Jacksonville State,24,27,58,75
Jacksonville State,Florida International,34,21,86,56
Florida International,Jacksonville State,3,30,54,73
Jacksonville State,Florida International,13,27,64,65
Florida International,Jacksonville State,20,24,66,61
Jacksonville State,Florida International,14,20,66,65
Florida International,Jacksonville State,10,27,67,66
Jacksonville State,Florida International,42,10,65,62
Florida International,Jacksonville State,49,17,70,60
Jacksonville State,Florida International,20,24,77,56
Florida International,Jacksonville State,17,24,71,61
Jacksonville State,Florida International,20,24,72,61
Florida International,Jacksonville State,31,24,63,72
Jacksonville State,Florida International,34,24,67,66
Florida International,Jacksonville State,10,20,68,63
Jacksonville State,Florida International,21,41,58,73
Florida International,Jacksonville State,28,27,66,70
Jacksonville State,Florida International,45,21,81,57
Florida International,Jacksonville State,27,24,71,60
Jacksonville State,Florida International,20,14,75,64
Florida International,Jacksonville State,24,10,60,74
Jacksonville State,Florida International,17,20,62,67
Florida International,Jacksonville State,21,17,65,62
Jacksonville State,Florida International,13,13,68,61
Florida International,Jacksonville State,24,31,66,64
Jacksonville State,Florida International,34,34,73,64
Florida International,Jacksonville State,21,28,64,67
Jacksonville State,Florida International,42,20,71,67
Florida International,Jacksonville State,27,10,74,61
Jacksonville State,Florida International,14,40,63,69
Florida International,Jacksonville State,30,20,68,62
Jacksonville State,Florida International,17,14,73,62
Florida International,Jacksonville State,28,35,60,75
Jacksonville State,Florida International,24,13,65,65
Florida International,Jacksonville State,21,31,70,59
Jacksonville State,Florida International,20,17,63,70
Florida International,Jacksonville State,38,24,73,63
Jacksonville State,Florida International,21,30,59,77
Florida International,Jacksonville State,24,21,76,55
Jacksonville State,Florida International,24,21,67,65
Florida International,Jacksonville State,20,24,58,82
Jacksonville State,Florida International,27,10,76,58
Florida International,Jacksonville State,6,16,71,62
Jacksonville State,Florida International,20,52,69,63
Florida International,Jacksonville State,27,17,72,56
Jacksonville State,Florida International,23,13,61,66
Florida International,Jacksonville State,21,35,70,63
Jacksonville State,Florida International,16,19,58,73
Florida International,Jacksonville State,17,21,76,55
Jacksonville State,Florida International,31,7,76,58
Florida International,Jacksonville State,0,24,55,77
Jacksonville State,Florida International,17,27,74,64
Florida International,Jacksonville State,21,31,70,74
Jacksonville State,Florida International,21,34,66,58
Florida International,Jacksonville State,35,10,65,75
Jacksonville State,Florida International,28,14,60,72
Florida International,Jacksonville State,31,24,68,60
Jacksonville State,Florida International,23,28,71,58
Florida International,Jacksonville State,17,28,73,57
Jacksonville State,Florida International,41,7,81,49
Florida International,Jacksonville State,24,17,67,71
Jacksonville State,Florida International,21,16,63,66
Florida International,Jacksonville State,31,13,68,66
Jacksonville State,Florida International,21,27,61,74
Florida International,Jacksonville State,27,23,65,62
Jacksonville State,Florida International,27,16,66,67
Florida International,Jacksonville State,17,6,64,62
Jacksonville State,Florida International,26,16,62,64
Florida International,Jacksonville State,28,31,70,67
Jacksonville State,Florida International,20,27,69,67
Florida International,Jacksonville State,10,27,55,75
Jacksonville State,Florida International,17,21,66,64
Florida International,Jacksonville State,10,45,68,67
Jacksonville State,Florida International,26,30,62,70
Florida International,Jacksonville State,20,31,67,64
Jacksonville State,Florida International,17,34,59,71
Florida International,Jacksonville State,9,41,66,63
Jacksonville State,Florida International,28,31,62,62
Florida International,Jacksonville State,16,28,70,61
Jacksonville State,Florida International,38,28,73,64
Florida International,Jacksonville State,23,24,69,51
Jacksonville State,Florida International,14,20,61,71
Florida International,Jacksonville State,10,35,75,58
Jacksonville State,Florida International,31,24,60,73
Florida International,Jacksonville State,21,27,66,58
Jacksonville State,Florida International,20,30,74,59
Florida International,Jacksonville State,31,17,70,60
Jacksonville State,Florida International,10,20,57,71
Florida International,Jacksonville State,13,34,55,76
Jacksonville State,Florida International,17,20,70,61
Florida International,Jacksonville State,21,35,71,68
Jacksonville State,Florida International,16,14,66,72
Florida International,Jacksonville State,27,27,74,65
Jacksonville State,Florida International,26,34,69,65
Florida International,Jacksonville State,23,21,65,61
Jacksonville State,Florida International,14,42,58,73
Florida International,Jacksonville State,17,3,69,52
Jacksonville State,Florida International,34,6,75,61
Florida International,Jacksonville State,7,21,69,60
Jacksonville State,Florida International,14,17,71,65
Florida International,Jacksonville State,20,21,66,67
Jacksonville State,Florida International,34,10,67,58
Florida International,Jacksonville State,13,28,71,59
Jacksonville State,Florida International,31,10,69,68
Florida International,Jacksonville State,7,28,62,68
Jacksonville State,Florida International,35,21,64,67
Florida International,Jacksonville State,24,17,77,63
Jacksonville State,Florida International,27,24,58,82
Florida International,Jacksonville State,35,27,66,69
Jacksonville State,Florida International,13,38,63,69
Florida International,Jacksonville State,14,34,57,74
Jacksonville State,Florida International,31,6,57,67
Florida International,Jacksonville State,13,34,62,65
Jacksonville State,Florida International,14,17,57,74
Florida International,Jacksonville State,14,23,69,63
Jacksonville State,Florida International,28,3,78,51
Florida International,Jacksonville State,16,21,80,48
