team,opp,pts,opp_pts,plays,opp_plays
Georgia,Charlotte,38,0,67,47
Charlotte,Georgia,0,37,43,71
Georgia,Charlotte,49,0,73,46
Charlotte,Georgia,13,21,53,59
Georgia,Charlotte,36,10,60,59
Charlotte,Georgia,0,47,53,68
Georgia,Charlotte,49,7,68,50
Charlotte,Georgia,0,41,53,64
Georgia,Charlotte,48,7,71,47
Charlotte,Georgia,10,37,51,62
Georgia,Charlotte,20,3,69,50
Charlotte,Georgia,3,24,63,51
Georgia,Charlotte,56,14,57,60
Charlotte,Georgia,6,20,51,64
Georgia,Charlotte,34,7,69,51
Charlotte,Georgia,10,52,55,63
Georgia,Charlotte,38,13,57,59
Charlotte,Georgia,3,41,58,63
Georgia,Charlotte,30,10,53,60
Charlotte,Georgia,7,30,66,59
Georgia,Charlotte,31,0,58,58
Charlotte,Georgia,13,45,59,61
Georgia,Charlotte,14,9,56,58
Charlotte,Georgia,3,48,49,69
Georgia,Charlotte,63,3,69,50
Charlotte,Georgia,0,41,48,63
Georgia,Charlotte,21,6,57,60
Charlotte,Georgia,0,16,49,66
Georgia,Charlotte,31,3,53,60
Charlotte,Georgia,13,48,58,63
Georgia,Charlotte,41,0,68,52
Charlotte,Georgia,0,27,45,75
Georgia,Charlotte,42,7,66,54
Charlotte,Georgia,3,55,52,66
Georgia,Charlotte,42,0,74,41
Charlotte,Georgia,3,42,46,68
Georgia,Charlotte,41,10,69,54
Charlotte,Georgia,7,20,54,63
Georgia,Charlotte,41,0,67,50
Charlotte,Georgia,3,49,53,66
Georgia,Charlotte,34,0,63,59
Charlotte,Georgia,7,31,49,69
Georgia,Charlotte,27,3,57,60
Charlotte,Georgia,14,42,67,52
Georgia,Charlotte,35,6,63,67
Charlotte,Georgia,0,45,47,71
Georgia,Charlotte,17,10,72,45
Charlotte,Georgia,0,34,66,58
Georgia,Charlotte,35,7,62,61
Charlotte,Georgia,0,63,41,77
Georgia,Charlotte,58,7,68,52
Charlotte,Georgia,0,49,67,56
Georgia,Charlotte,31,7,65,63
Charlotte,Georgia,6,45,58,62
Georgia,Charlotte,28,10,60,57
Charlotte,Georgia,7,24,57,62
Georgia,Charlotte,56,0,66,51
Charlotte,Georgia,10,30,51,66
Georgia,Charlotte,34,13,62,61
Charlotte,Georgia,3,35,53,68
Georgia,Charlotte,35,7,70,60
Charlotte,Georgia,6,20,61,55
Georgia,Charlotte,42,10,65,54
Charlotte,Georgia,0,48,48,72
Georgia,Charlotte,38,6,57,71
Charlotte,Georgia,14,37,58,65
Georgia,Charlotte,17,3,60,66
Charlotte,Georgia,7,45,48,74
Georgia,Charlotte,45,7,67,52
Charlotte,Georgia,0,38,56,58
Georgia,Charlotte,49,3,67,54
Charlotte,Georgia,0,56,43,72
Georgia,Charlotte,41,0,75,46
Charlotte,Georgia,3,17,59,59
Georgia,Charlotte,48,0,68,49
Charlotte,Georgia,10,31,50,60
Georgia,Charlotte,34,0,67,52
Charlotte,Georgia,7,28,58,59
Georgia,Charlotte,45,3,63,54
Charlotte,Georgia,10,34,73,52
Georgia,Charlotte,27,7,65,52
Charlotte,Georgia,0,41,49,65
Georgia,Charlotte,27,6,53,73
Charlotte,Georgia,0,31,53,60
Georgia,Charlotte,42,7,63,57
Charlotte,Georgia,14,49,52,65
Georgia,Charlotte,38,0,58,63
Charlotte,Georgia,21,23,58,57
Georgia,Charlotte,49,6,70,56
Charlotte,Georgia,14,27,55,64
Georgia,Charlotte,47,10,79,48
Charlotte,Georgia,6,42,65,55
Georgia,Charlotte,38,0,66,49
Charlotte,Georgia,13,17,50,69
Georgia,Charlotte,31,6,59,61
Charlotte,Georgia,3,52,48,68
Georgia,Charlotte,31,13,59,61
Charlotte,Georgia,7,49,52,64
Georgia,Charlotte,41,0,64,54
Charlotte,Georgia,10,17,60,56
Georgia,Charlotte,44,3,71,50
Charlotte,Georgia,10,35,56,61
Georgia,Charlotte,28,3,58,64
Charlotte,Georgia,13,45,65,57
Georgia,Charlotte,52,3,70,46
Charlotte,Georgia,10,28,53,64
Georgia,Charlotte,38,10,64,56
Charlotte,Georgia,0,37,53,67
Georgia,Charlotte,38,7,66,63
Charlotte,Georgia,6,24,62,55
Georgia,Charlotte,35,3,77,44
Charlotte,Georgia,10,34,66,62
Georgia,Charlotte,24,6,66,63
Charlotte,Georgia,17,35,60,55
Georgia,Charlotte,41,3,72,51
Charlotte,Georgia,3,23,65,51
Georgia,Charlotte,45,0,77,45
Charlotte,Georgia,0,35,52,68
Georgia,Charlotte,48,3,72,48
Charlotte,Georgia,10,49,58,67
Georgia,Charlotte,49,10,65,58
Charlotte,Georgia,21,42,66,54
Georgia,Charlotte,52,7,74,49
Charlotte,Georgia,3,42,69,62
Georgia,Charlotte,16,0,68,49
Charlotte,Georgia,3,27,58,63
Georgia,Charlotte,31,10,58,57
Charlotte,Georgia,6,42,58,63
Georgia,Charlotte,24,0,62,57
Charlotte,Georgia,0,38,63,53
Georgia,Charlotte,20,14,55,64
Charlotte,Georgia,0,56,51,71
Georgia,Charlotte,31,14,56,63
Charlotte,Georgia,14,24,61,63
Georgia,Charlotte,52,7,69,52
Charlotte,Georgia,0,41,43,71
Georgia,Charlotte,55,0,77,42
Charlotte,Georgia,16,31,70,53
Georgia,Charlotte,36,3,64,48
Charlotte,Georgia,7,31,48,63
Georgia,Charlotte,34,0,64,47
Charlotte,Georgia,0,27,54,66
