team,opp,pts,opp_pts,plays,opp_plays
Georgia Tech,Pittsburgh,59,13,74,52
Pittsburgh,Georgia Tech,7,41,63,72
Georgia Tech,Pittsburgh,24,20,71,67
Pittsburgh,Georgia Tech,19,14,70,61
Georgia Tech,Pittsburgh,27,10,57,73
Pittsburgh,Georgia Tech,14,12,71,62
Georgia Tech,Pittsburgh,31,20,66,67
Pittsburgh,Georgia Tech,10,21,68,60
Georgia Tech,Pittsburgh,24,17,63,68
Pittsburgh,Georgia Tech,3,23,54,74
Georgia Tech,Pittsburgh,24,27,71,64
Pittsburgh,Georgia Tech,24,21,72,63
Georgia Tech,Pittsburgh,21,30,60,74
Pittsburgh,Georgia Tech,7,30,59,70
Georgia Tech,Pittsburgh,38,16,66,61
Pittsburgh,Georgia Tech,24,10,62,68
Georgia Tech,Pittsburgh,59,13,77,64
Pittsburgh,Georgia Tech,17,14,63,67
Georgia Tech,Pittsburgh,31,21,64,58
Pittsburgh,Georgia Tech,42,31,66,68
Georgia Tech,Pittsburgh,31,13,67,60
Pittsburgh,Georgia Tech,24,27,62,69
Georgia Tech,Pittsburgh,30,17,67,61
Pittsburgh,Georgia Tech,38,14,88,49
Georgia Tech,Pittsburgh,13,14,56,70
Pittsburgh,Georgia Tech,20,12,73,51
Georgia Tech,Pittsburgh,34,24,66,56
Pittsburgh,Georgia Tech,26,27,81,59
Georgia Tech,Pittsburgh,10,3,68,62
Pittsburgh,Georgia Tech,38,10,64,68
Georgia Tech,Pittsburgh,21,21,76,50
Pittsburgh,Georgia Tech,10,27,63,67
Georgia Tech,Pittsburgh,20,17,70,68
Pittsburgh,Georgia Tech,17,17,59,69
Georgia Tech,Pittsburgh,20,27,66,72
Pittsburgh,Georgia Tech,14,21,70,61
Georgia Tech,Pittsburgh,24,24,62,63
Pittsburgh,Georgia Tech,20,17,64,74
Georgia Tech,Pittsburgh,10,28,74,62
Pittsburgh,Georgia Tech,30,27,71,62
Georgia Tech,Pittsburgh,17,23,65,70
Pittsburgh,Georgia Tech,21,24,68,63
Georgia Tech,Pittsburgh,21,23,65,66
Pittsburgh,Georgia Tech,45,24,76,55
Georgia Tech,Pittsburgh,28,3,65,68
Pittsburgh,Georgia Tech,24,14,68,59
Georgia Tech,Pittsburgh,14,23,65,65
Pittsburgh,Georgia Tech,0,24,69,69
Georgia Tech,Pittsburgh,6,20,69,64
Pittsburgh,Georgia Tech,31,16,67,62
Georgia Tech,Pittsburgh,14,10,69,58
Pittsburgh,Georgia Tech,34,35,72,62
Georgia Tech,Pittsburgh,38,17,67,66
Pittsburgh,Georgia Tech,17,6,60,65
Georgia Tech,Pittsburgh,14,37,60,77
Pittsburgh,Georgia Tech,23,28,81,59
Georgia Tech,Pittsburgh,28,35,66,70
Pittsburgh,Georgia Tech,17,17,62,67
Georgia Tech,Pittsburgh,28,17,66,68
Pittsburgh,Georgia Tech,13,17,76,56
Georgia Tech,Pittsburgh,14,17,65,66
Pittsburgh,Georgia Tech,49,10,80,54
Georgia Tech,Pittsburgh,17,14,62,68
Pittsburgh,Georgia Tech,20,17,65,63
Georgia Tech,Pittsburgh,24,17,69,62
Pittsburgh,Georgia Tech,35,17,68,60
Georgia Tech,Pittsburgh,34,14,68,65
Pittsburgh,Georgia Tech,21,13,63,63
Georgia Tech,Pittsburgh,27,27,67,64
Pittsburgh,Georgia Tech,28,17,69,62
Georgia Tech,Pittsburgh,21,24,61,66
Pittsburgh,Georgia Tech,24,13,65,62
Georgia Tech,Pittsburgh,17,21,65,66
Pittsburgh,Georgia Tech,10,24,66,65
Georgia Tech,Pittsburgh,38,21,66,61
Pittsburgh,Georgia Tech,17,10,75,60
Georgia Tech,Pittsburgh,28,10,69,59
Pittsburgh,Georgia Tech,23,20,71,59
Georgia Tech,Pittsburgh,28,49,76,59
Pittsburgh,Georgia Tech,35,24,82,51
Georgia Tech,Pittsburgh,38,21,72,66
Pittsburgh,Georgia Tech,28,31,67,72
Georgia Tech,Pittsburgh,21,24,56,73
Pittsburgh,Georgia Tech,24,38,67,64
Georgia Tech,Pittsburgh,23,24,65,70
Pittsburgh,Georgia Tech,21,34,59,66
Georgia Tech,Pittsburgh,7,17,64,67
Pittsburgh,Georgia Tech,21,38,68,66
Georgia Tech,Pittsburgh,41,13,67,56
Pittsburgh,Georgia Tech,21,16,69,70
Georgia Tech,Pittsburgh,17,45,70,69
Pittsburgh,Georgia Tech,7,24,77,55
Georgia Tech,Pittsburgh,23,42,70,66
Pittsburgh,Georgia Tech,33,10,81,48
Georgia Tech,Pittsburgh,24,24,75,61
Pittsburgh,Georgia Tech,31,21,66,57
Georgia Tech,Pittsburgh,28,20,62,72
Pittsburgh,Georgia Tech,17,17,67,63
Georgia Tech,Pittsburgh,20,14,68,67
Pittsburgh,Georgia Tech,31,20,72,57
Georgia Tech,Pittsburgh,45,21,68,64
Pittsburgh,Georgia Tech,17,24,62,70
Georgia Tech,Pittsburgh,44,16,61,71
Pittsburgh,Georgia Tech,35,35,74,55
Georgia Tech,Pittsburgh,14,17,67,64
Pittsburgh,Georgia Tech,10,34,60,72
Georgia Tech,Pittsburgh,17,20,65,70
Pittsburgh,Georgia Tech,9,34,71,56
Georgia Tech,Pittsburgh,10,21,65,62
Pittsburgh,Georgia Tech,27,17,70,69
Georgia Tech,Pittsburgh,28,28,63,70
Pittsburgh,Georgia Tech,9,24,74,51
Georgia Tech,Pittsburgh,13,24,67,64
Pittsburgh,Georgia Tech,17,21,75,55
Georgia Tech,Pittsburgh,28,23,70,64
Pittsburgh,Georgia Tech,21,21,66,63
Georgia Tech,Pittsburgh,33,21,65,69
Pittsburgh,Georgia Tech,24,13,64,71
Georgia Tech,Pittsburgh,17,24,73,65
Pittsburgh,Georgia Tech,21,20,65,63
Georgia Tech,Pittsburgh,31,28,71,64
Pittsburgh,Georgia Tech,20,35,55,75
Georgia Tech,Pittsburgh,44,17,87,44
Pittsburgh,Georgia Tech,24,44,63,69
Georgia Tech,Pittsburgh,23,17,75,57
Pittsburgh,Georgia Tech,26,14,76,61
Georgia Tech,Pittsburgh,7,30,62,78
Pittsburgh,Georgia Tech,21,21,68,67
Georgia Tech,Pittsburgh,37,20,78,60
Pittsburgh,Georgia Tech,7,17,52,81
Georgia Tech,Pittsburgh,28,27,66,63
Pittsburgh,Georgia Tech,20,35,80,55
Georgia Tech,Pittsburgh,20,24,60,76
Pittsburgh,Georgia Tech,20,24,72,50
Georgia Tech,Pittsburgh,14,17,61,68
Pittsburgh,Georgia Tech,13,31,64,62
Georgia Tech,Pittsburgh,17,10,63,67
Pittsburgh,Georgia Tech,10,35,64,64
