team,opp,pts,opp_pts,plays,opp_plays
Houston,TCU,21,24,63,62
TCU,Houston,31,21,68,65
Houston,TCU,17,17,68,65
TCU,Houston,17,21,65,62
Houston,TCU,23,31,64,61
TCU,Houston,17,14,60,71
Houston,TCU,13,3,62,61
TCU,Houston,38,14,68,60
Houston,TCU,27,7,61,62
TCU,Houston,14,20,58,62
Houston,TCU,21,13,68,59
TCU,Houston,21,27,61,67
Houston,TCU,7,21,70,57
TCU,Houston,42,21,77,54
Houston,TCU,30,17,64,64
TCU,Houston,21,13,71,63
Houston,TCU,34,24,74,54
TCU,Houston,10,38,67,63
Houston,TCU,17,17,73,51
TCU,Houston,28,35,70,58
Houston,TCU,21,27,66,73
TCU,Houston,23,17,73,69
Houston,TCU,10,37,48,76
TCU,Houston,24,28,66,63
Houston,TCU,24,24,69,66
TCU,Houston,7,24,65,69
Houston,TCU,21,17,62,68
TCU,Houston,7,20,64,70
Houston,TCU,0,21,63,60
TCU,Houston,17,16,62,64
Houston,TCU,24,24,66,69
TCU,Houston,27,7,64,64
Houston,TCU,17,59,66,72
TCU,Houston,20,38,63,63
Houston,TCU,21,10,68,59
TCU,Houston,30,20,78,57
Houston,TCU,28,34,66,61
TCU,Houston,28,20,66,66
Houston,TCU,23,20,62,62
TCU,Houston,17,21,66,63
Houston,TCU,28,17,65,58
TCU,Houston,23,13,75,52
Houston,TCU,17,27,70,59
TCU,Houston,20,24,75,64
Houston,TCU,20,16,59,71
TCU,Houston,27,27,69,60
Houston,TCU,13,14,70,66
TCU,Houston,23,17,69,58
Houston,TCU,38,10,65,67
TCU,Houston,17,20,67,62
Houston,TCU,31,17,60,67
TCU,Houston,34,3,75,49
Houston,TCU,14,30,52,82
TCU,Houston,24,13,62,73
Houston,TCU,31,28,61,68
TCU,Houston,17,17,73,67
Houston,TCU,26,17,73,57
TCU,Houston,9,7,56,66
Houston,TCU,30,6,71,57
TCU,Houston,17,35,68,70
Houston,TCU,35,20,69,53
TCU,Houston,27,27,67,65
Houston,TCU,35,20,58,79
TCU,Houston,21,16,59,77
Houston,TCU,31,27,68,57
TCU,Houston,17,34,62,70
Houston,TCU,14,21,63,70
TCU,Houston,38,24,67,66
Houston,TCU,14,17,69,58
TCU,Houston,10,24,61,66
Houston,TCU,24,14,63,63
TCU,Houston,24,10,65,67
Houston,TCU,21,36,54,73
TCU,Houston,42,17,63,63
Houston,TCU,17,17,62,63
TCU,Houston,14,35,60,68
Houston,TCU,38,0,69,51
TCU,Houston,17,20,69,59
Houston,TCU,27,28,64,68
TCU,Houston,22,14,60,66
Houston,TCU,13,20,63,64
TCU,Houston,13,24,62,64
Houston,TCU,28,38,69,58
TCU,Houston,10,14,66,61
Houston,TCU,38,21,72,52
TCU,Houston,27,7,75,56
Houston,TCU,20,20,61,69
TCU,Houston,20,17,71,63
Houston,TCU,30,14,66,57
TCU,Houston,17,14,72,62
Houston,TCU,27,21,64,70
TCU,Houston,21,23,64,65
Houston,TCU,21,24,73,55
TCU,Houston,13,20,68,66
Houston,TCU,10,31,66,66
TCU,Houston,34,19,75,60
Houston,TCU,10,17,66,60
TCU,Houston,17,24,57,68
Houston,TCU,14,27,55,76
TCU,Houston,17,24,62,68
Houston,TCU,24,30,66,70
TCU,Houston,20,14,74,56
Houston,TCU,26,3,71,54
TCU,Houston,17,7,64,63
Houston,TCU,21,30,63,67
TCU,Houston,10,24,68,61
Houston,TCU,3,27,74,60
TCU,Houston,20,30,66,64
Houston,TCU,24,34,67,62
