team,opp,pts,opp_pts,plays,opp_plays
Iowa,Michigan State,21,3,52,60
Michigan State,Iowa,6,24,57,58
Iowa,Michigan State,13,3,68,38
Michigan State,Iowa,6,13,54,56
Iowa,Michigan State,21,7,53,72
Michigan State,Iowa,17,23,53,66
Iowa,Michigan State,38,7,61,55
Michigan State,Iowa,13,24,60,62
Iowa,Michigan State,10,10,58,58
Michigan State,Iowa,7,28,53,62
Iowa,Michigan State,28,13,63,53
Michigan State,Iowa,21,21,50,66
Iowa,Michigan State,31,10,64,52
Michigan State,Iowa,3,21,63,57
Iowa,Michigan State,41,14,68,55
Michigan State,Iowa,13,10,51,59
Iowa,Michigan State,31,10,62,58
Michigan State,Iowa,10,3,71,49
Iowa,Michigan State,0,14,60,51
Michigan State,Iowa,17,19,52,65
Iowa,Michigan State,16,7,59,58
Michigan State,Iowa,7,17,58,64
Iowa,Michigan State,14,7,59,57
Michigan State,Iowa,20,24,57,63
Iowa,Michigan State,23,17,66,52
Michigan State,Iowa,6,20,77,49
Iowa,Michigan State,24,7,67,54
Michigan State,Iowa,9,24,57,61
Iowa,Michigan State,34,17,65,49
Michigan State,Iowa,31,10,64,63
Iowa,Michigan State,38,10,71,45
Michigan State,Iowa,3,38,52,65
Iowa,Michigan State,49,7,66,47
Michigan State,Iowa,7,17,60,54
Iowa,Michigan State,41,0,70,45
Michigan State,Iowa,10,21,67,53
Iowa,Michigan State,21,7,53,64
Michigan State,Iowa,34,10,71,49
Iowa,Michigan State,42,10,65,49
Michigan State,Iowa,6,17,54,60
Iowa,Michigan State,38,3,72,42
Michigan State,Iowa,13,17,56,66
Iowa,Michigan State,21,10,59,70
Michigan State,Iowa,34,13,68,56
Iowa,Michigan State,28,10,59,58
Michigan State,Iowa,38,21,61,60
Iowa,Michigan State,35,7,74,48
Michigan State,Iowa,21,17,64,59
Iowa,Michigan State,14,10,63,52
Michigan State,Iowa,14,31,53,68
Iowa,Michigan State,21,7,63,57
Michigan State,Iowa,14,21,60,62
Iowa,Michigan State,14,10,56,61
Michigan State,Iowa,24,21,61,62
Iowa,Michigan State,17,21,65,57
Michigan State,Iowa,0,41,57,60
Iowa,Michigan State,28,21,65,55
Michigan State,Iowa,10,17,52,65
Iowa,Michigan State,21,17,59,57
Michigan State,Iowa,17,21,73,56
Iowa,Michigan State,28,13,68,52
Michigan State,Iowa,14,28,75,48
Iowa,Michigan State,21,17,58,59
Michigan State,Iowa,14,34,48,65
Iowa,Michigan State,7,3,58,56
Michigan State,Iowa,3,24,55,62
Iowa,Michigan State,24,14,59,65
Michigan State,Iowa,17,27,51,70
Iowa,Michigan State,28,0,75,38
Michigan State,Iowa,14,28,60,56
Iowa,Michigan State,20,9,69,49
Michigan State,Iowa,14,14,67,46
Iowa,Michigan State,24,14,60,59
Michigan State,Iowa,6,14,61,58
Iowa,Michigan State,56,16,67,55
Michigan State,Iowa,17,7,68,51
Iowa,Michigan State,17,3,64,61
Michigan State,Iowa,17,20,71,55
Iowa,Michigan State,28,7,61,57
Michigan State,Iowa,23,14,58,65
Iowa,Michigan State,24,3,64,51
Michigan State,Iowa,21,27,65,57
Iowa,Michigan State,10,7,44,68
Michigan State,Iowa,13,21,74,53
Iowa,Michigan State,27,9,51,62
Michigan State,Iowa,3,27,58,64
Iowa,Michigan State,28,3,60,66
Michigan State,Iowa,6,20,52,61
Iowa,Michigan State,17,17,63,58
Michigan State,Iowa,0,28,54,60
Iowa,Michigan State,13,13,64,57
Michigan State,Iowa,3,28,58,57
Iowa,Michigan State,10,7,53,63
Michigan State,Iowa,20,31,79,48
Iowa,Michigan State,24,0,58,53
Michigan State,Iowa,10,38,53,65
Iowa,Michigan State,29,7,70,45
Michigan State,Iowa,3,21,47,64
Iowa,Michigan State,35,17,61,63
Michigan State,Iowa,3,16,63,52
Iowa,Michigan State,14,24,58,70
Michigan State,Iowa,10,34,59,60
Iowa,Michigan State,17,3,56,62
Michigan State,Iowa,7,23,54,65
Iowa,Michigan State,31,6,64,50
Michigan State,Iowa,16,17,66,61
Iowa,Michigan State,31,17,63,53
Michigan State,Iowa,6,17,69,49
Iowa,Michigan State,52,10,66,53
Michigan State,Iowa,0,38,48,65
Iowa,Michigan State,24,21,64,51
Michigan State,Iowa,10,10,55,61
Iowa,Michigan State,31,3,62,57
Michigan State,Iowa,3,49,64,59
Iowa,Michigan State,35,14,66,52
