team,opp,pts,opp_pts,plays,opp_plays
Maryland,Michigan,42,7,69,60
Michigan,Maryland,10,0,66,56
Maryland,Michigan,17,28,67,58
Michigan,Maryland,0,17,72,53
Maryland,Michigan,14,17,58,69
Michigan,Maryland,10,27,52,69
Maryland,Michigan,27,14,70,58
Michigan,Maryland,31,7,75,45
Maryland,Michigan,13,14,66,55
Michigan,Maryland,41,3,75,50
Maryland,Michigan,7,31,46,67
Michigan,Maryland,28,0,66,53
Maryland,Michigan,35,10,70,56
Michigan,Maryland,10,10,60,66
Maryland,Michigan,7,7,61,55
Michigan,Maryland,7,17,60,61
Maryland,Michigan,9,23,57,66
Michigan,Maryland,34,6,63,63
Maryland,Michigan,3,21,62,58
Michigan,Maryland,27,3,67,54
Maryland,Michigan,10,28,56,63
Michigan,Maryland,17,7,61,62
Maryland,Michigan,30,3,73,55
Michigan,Maryland,17,3,61,64
Maryland,Michigan,17,31,71,56
Michigan,Maryland,21,7,64,53
Maryland,Michigan,10,7,65,59
Michigan,Maryland,24,10,68,57
Maryland,Michigan,10,7,63,57
Michigan,Maryland,24,16,56,70
Maryland,Michigan,3,17,82,56
Michigan,Maryland,13,10,64,60
Maryland,Michigan,7,13,60,62
Michigan,Maryland,21,7,65,57
Maryland,Michigan,9,10,73,57
Michigan,Maryland,17,10,60,64
Maryland,Michigan,17,7,78,52
Michigan,Maryland,13,20,57,64
Maryland,Michigan,20,3,59,60
Michigan,Maryland,31,17,64,56
Maryland,Michigan,10,7,63,55
Michigan,Maryland,21,7,59,71
Maryland,Michigan,21,24,69,62
Michigan,Maryland,31,7,60,64
Maryland,Michigan,7,23,51,64
Michigan,Maryland,28,7,76,61
Maryland,Michigan,3,45,45,74
Michigan,Maryland,28,10,64,68
Maryland,Michigan,10,14,61,64
Michigan,Maryland,21,17,69,57
Maryland,Michigan,6,24,70,65
Michigan,Maryland,13,14,69,56
Maryland,Michigan,10,31,66,63
Michigan,Maryland,35,7,66,67
Maryland,Michigan,7,31,52,69
Michigan,Maryland,42,0,71,46
Maryland,Michigan,10,34,64,62
Michigan,Maryland,17,27,54,68
Maryland,Michigan,13,40,55,72
Michigan,Maryland,21,3,65,56
Maryland,Michigan,10,16,52,74
Michigan,Maryland,28,24,67,57
Maryland,Michigan,10,15,70,59
Michigan,Maryland,20,7,69,48
Maryland,Michigan,17,14,70,55
Michigan,Maryland,27,7,68,55
Maryland,Michigan,6,17,46,71
Michigan,Maryland,37,10,64,53
Maryland,Michigan,17,17,55,71
Michigan,Maryland,31,6,67,57
Maryland,Michigan,12,14,70,58
Michigan,Maryland,14,24,67,63
Maryland,Michigan,7,9,49,63
Michigan,Maryland,6,7,66,52
Maryland,Michigan,0,48,39,79
Michigan,Maryland,21,10,71,51
Maryland,Michigan,21,28,59,65
Michigan,Maryland,31,14,64,64
Maryland,Michigan,7,24,57,69
Michigan,Maryland,16,7,70,52
Maryland,Michigan,13,14,64,61
Michigan,Maryland,34,17,56,63
Maryland,Michigan,7,10,72,52
Michigan,Maryland,21,20,58,69
Maryland,Michigan,13,6,70,50
Michigan,Maryland,35,16,59,64
Maryland,Michigan,10,13,62,62
Michigan,Maryland,24,6,60,61
Maryland,Michigan,14,13,52,70
Michigan,Maryland,14,0,72,49
Maryland,Michigan,13,3,58,62
Michigan,Maryland,13,3,65,56
Maryland,Michigan,26,7,76,56
Michigan,Maryland,41,3,67,63
Maryland,Michigan,23,7,66,57
Michigan,Maryland,24,10,66,59
Maryland,Michigan,0,28,50,75
Michigan,Maryland,35,13,71,56
Maryland,Michigan,7,10,66,56
Michigan,Maryland,62,6,74,57
Maryland,Michigan,10,14,62,63
Michigan,Maryland,17,7,73,52
Maryland,Michigan,7,3,54,74
Michigan,Maryland,3,14,64,65
Maryland,Michigan,6,14,61,64
Michigan,Maryland,21,7,73,49
Maryland,Michigan,6,55,51,77
Michigan,Maryland,16,14,70,52
Maryland,Michigan,9,3,73,55
Michigan,Maryland,24,17,66,55
Maryland,Michigan,0,16,49,72
Michigan,Maryland,17,13,54,72
Maryland,Michigan,7,13,70,56
Michigan,Maryland,21,13,74,49
Maryland,Michigan,3,16,65,58
Michigan,Maryland,17,10,53,71
Maryland,Michigan,13,10,63,65
Michigan,Maryland,27,20,66,61
Maryland,Michigan,10,30,63,61
Michigan,Maryland,14,10,55,63
Maryland,Michigan,6,20,69,62
Michigan,Maryland,30,7,70,54
Maryland,Michigan,30,20,63,66
Michigan,Maryland,31,10,57,67
Maryland,Michigan,24,21,63,67
Michigan,Maryland,31,7,57,60
Maryland,Michigan,0,20,63,61
Michigan,Maryland,24,21,60,63
Maryland,Michigan,19,7,68,56
Michigan,Maryland,42,7,73,55
Maryland,Michigan,17,35,65,60
Michigan,Maryland,20,27,65,61
Maryland,Michigan,13,27,63,59
Michigan,Maryland,35,10,72,58
Maryland,Michigan,7,28,58,63
Michigan,Maryland,28,10,71,55
Maryland,Michigan,17,28,55,69
Michigan,Maryland,27,14,62,56
Maryland,Michigan,3,17,66,60
Michigan,Maryland,20,0,67,52
Maryland,Michigan,0,13,63,59
Michigan,Maryland,30,10,77,61
Maryland,Michigan,10,17,66,57
Michigan,Maryland,20,28,66,63
Maryland,Michigan,16,16,63,64
Michigan,Maryland,14,20,59,65
Maryland,Michigan,0,27,62,55
Michigan,Maryland,21,13,61,64
Maryland,Michigan,14,49,56,74
Michigan,Maryland,6,23,63,62
Maryland,Michigan,30,14,70,57
Michigan,Maryland,16,3,69,44
Maryland,Michigan,14,21,66,62
Michigan,Maryland,24,20,65,57
Maryland,Michigan,38,14,75,51
Michigan,Maryland,17,13,59,64
Maryland,Michigan,16,3,66,61
Michigan,Maryland,24,17,62,71
Maryland,Michigan,7,14,70,61
Michigan,Maryland,21,7,64,56
Maryland,Michigan,0,38,59,69
Michigan,Maryland,24,14,68,60
Maryland,Michigan,7,13,59,62
Michigan,Maryland,37,0,73,44
Maryland,Michigan,13,35,63,63
Michigan,Maryland,28,10,63,59
Maryland,Michigan,6,24,62,63
Michigan,Maryland,38,17,70,54
Maryland,Michigan,10,23,66,63
Michigan,Maryland,14,9,59,67
Maryland,Michigan,27,17,61,62
Michigan,Maryland,27,14,60,65
Maryland,Michigan,14,34,56,71
Michigan,Maryland,3,14,63,56
Maryland,Michigan,6,14,63,59
Michigan,Maryland,17,0,66,61
Maryland,Michigan,19,6,69,60
Michigan,Maryland,34,17,72,49
Maryland,Michigan,23,17,67,59
Michigan,Maryland,14,26,56,66
Maryland,Michigan,17,13,59,66
Michigan,Maryland,31,7,58,70
Maryland,Michigan,7,31,71,58
Michigan,Maryland,24,14,65,59
Maryland,Michigan,10,7,51,74
Michigan,Maryland,17,14,65,64
Maryland,Michigan,7,16,67,59
Michigan,Maryland,26,13,74,54
Maryland,Michigan,14,7,61,67
Michigan,Maryland,13,0,66,56
Maryland,Michigan,41,17,71,58
Michigan,Maryland,14,24,60,69
Maryland,Michigan,24,27,69,58
Michigan,Maryland,27,3,65,55
Maryland,Michigan,9,0,71,57
Michigan,Maryland,21,17,58,66
Maryland,Michigan,17,10,72,53
Michigan,Maryland,20,6,58,73
Maryland,Michigan,24,13,57,66
Michigan,Maryland,24,7,70,50
Maryland,Michigan,17,27,61,66
Michigan,Maryland,9,16,68,54
Maryland,Michigan,13,24,69,65
Michigan,Maryland,14,14,65,61
Maryland,Michigan,13,17,67,61
Michigan,Maryland,27,28,70,61
Maryland,Michigan,13,10,60,62
Michigan,Maryland,24,24,64,60
Maryland,Michigan,10,21,58,64
Michigan,Maryland,6,13,61,65
Maryland,Michigan,10,17,63,58
Michigan,Maryland,31,3,58,60
Maryland,Michigan,7,31,50,70
Michigan,Maryland,10,7,57,62
Maryland,Michigan,7,31,52,74
Michigan,Maryland,28,21,68,60
Maryland,Michigan,17,31,55,66
Michigan,Maryland,24,13,66,60
Maryland,Michigan,24,20,64,59
Michigan,Maryland,7,17,67,56
Maryland,Michigan,7,14,69,56
Michigan,Maryland,17,14,71,58
Maryland,Michigan,3,9,64,64
Michigan,Maryland,21,7,67,50
Maryland,Michigan,13,31,65,64
Michigan,Maryland,17,10,61,60
Maryland,Michigan,10,23,61,68
Michigan,Maryland,24,20,67,53
Maryland,Michigan,13,10,75,53
Michigan,Maryland,17,10,57,60
Maryland,Michigan,17,13,71,59
Michigan,Maryland,13,10,65,57
Maryland,Michigan,16,3,61,59
Michigan,Maryland,10,24,59,66
Maryland,Michigan,6,28,62,66
Michigan,Maryland,17,14,70,54
Maryland,Michigan,23,10,75,53
Michigan,Maryland,13,16,61,62
Maryland,Michigan,14,23,61,63
Michigan,Maryland,17,3,62,53
Maryland,Michigan,14,31,60,66
Michigan,Maryland,41,7,67,52
Maryland,Michigan,13,21,68,56
Michigan,Maryland,35,10,58,60
Maryland,Michigan,7,27,54,66
Michigan,Maryland,10,38,57,69
Maryland,Michigan,24,14,66,65
Michigan,Maryland,35,7,62,59
Maryland,Michigan,3,35,54,67
Michigan,Maryland,20,0,74,41
Maryland,Michigan,17,10,74,54
Michigan,Maryland,31,7,65,50
Maryland,Michigan,13,17,71,57
Michigan,Maryland,14,13,53,65
Maryland,Michigan,6,34,62,67
Michigan,Maryland,24,0,70,49
Maryland,Michigan,24,10,62,57
Michigan,Maryland,16,6,63,70
Maryland,Michigan,16,14,58,67
Michigan,Maryland,28,3,66,55
Maryland,Michigan,7,41,49,74
Michigan,Maryland,31,10,66,57
Maryland,Michigan,21,21,73,52
Michigan,Maryland,20,14,61,70
Maryland,Michigan,10,20,63,62
Michigan,Maryland,45,7,73,53
Maryland,Michigan,7,27,53,64
Michigan,Maryland,24,7,68,57
Maryland,Michigan,23,21,71,58
Michigan,Maryland,3,17,55,64
Maryland,Michigan,17,17,63,61
Michigan,Maryland,24,0,73,45
Maryland,Michigan,10,24,57,66
Michigan,Maryland,21,12,65,63
Maryland,Michigan,6,34,56,66
Michigan,Maryland,27,14,68,54
Maryland,Michigan,0,31,51,70
Michigan,Maryland,28,20,57,73
Maryland,Michigan,24,10,63,62
Michigan,Maryland,20,3,73,46
Maryland,Michigan,3,24,51,67
Michigan,Maryland,13,10,65,57
Maryland,Michigan,17,21,73,57
Michigan,Maryland,56,7,76,47
Maryland,Michigan,7,24,54,63
Michigan,Maryland,20,7,70,57
Maryland,Michigan,10,10,64,63
Michigan,Maryland,22,17,55,78
Maryland,Michigan,16,7,78,41
Michigan,Maryland,10,13,65,58
Maryland,Michigan,17,3,56,71
Michigan,Maryland,23,6,68,62
Maryland,Michigan,14,14,62,66
Michigan,Maryland,17,23,57,61
Maryland,Michigan,6,31,55,66
Michigan,Maryland,27,10,60,65
Maryland,Michigan,3,17,51,73
Michigan,Maryland,24,14,70,57
Maryland,Michigan,0,20,60,63
Michigan,Maryland,24,10,70,58
Maryland,Michigan,31,0,71,57
Michigan,Maryland,24,0,62,56
Maryland,Michigan,24,30,60,69
Michigan,Maryland,34,3,69,53
Maryland,Michigan,13,24,58,66
Michigan,Maryland,14,20,64,59
Maryland,Michigan,17,6,71,50
Michigan,Maryland,19,0,71,48
Maryland,Michigan,7,35,65,58
Michigan,Maryland,10,7,66,54
Maryland,Michigan,7,13,59,58
Michigan,Maryland,34,14,71,54
Maryland,Michigan,7,17,69,64
Michigan,Maryland,7,31,51,71
Maryland,Michigan,0,20,58,69
Michigan,Maryland,13,13,65,60
Maryland,Michigan,0,35,55,62
Michigan,Maryland,20,7,67,59
Maryland,Michigan,20,7,66,55
Michigan,Maryland,27,7,68,60
Maryland,Michigan,7,17,64,61
Michigan,Maryland,37,0,72,53
Maryland,Michigan,23,14,78,50
Michigan,Maryland,3,14,57,64
Maryland,Michigan,7,38,49,70
Michigan,Maryland,20,7,66,53
Maryland,Michigan,7,21,59,61
Michigan,Maryland,20,21,73,58
Maryland,Michigan,10,17,61,63
Michigan,Maryland,21,3,61,65
Maryland,Michigan,10,24,46,73
Michigan,Maryland,45,3,73,54
Maryland,Michigan,7,17,57,66
Michigan,Maryland,45,7,73,51
Maryland,Michigan,24,31,58,64
Michigan,Maryland,20,3,72,58
Maryland,Michigan,13,42,63,62
Michigan,Maryland,7,10,54,61
Maryland,Michigan,17,13,67,59
Michigan,Maryland,31,3,74,45
Maryland,Michigan,21,24,63,68
Michigan,Maryland,24,10,65,56
Maryland,Michigan,10,14,58,59
Michigan,Maryland,9,10,62,61
Maryland,Michigan,17,21,72,55
Michigan,Maryland,42,3,66,57
Maryland,Michigan,21,24,70,59
Michigan,Maryland,30,7,63,66
Maryland,Michigan,24,21,60,64
Michigan,Maryland,7,17,64,66
Maryland,Michigan,14,31,54,63
Michigan,Maryland,34,0,69,48
Maryland,Michigan,13,17,65,55
Michigan,Maryland,10,10,56,65
Maryland,Michigan,21,19,59,61
Michigan,Maryland,7,38,50,77
Maryland,Michigan,27,31,63,59
Michigan,Maryland,21,14,67,57
Maryland,Michigan,14,23,59,63
Michigan,Maryland,31,14,72,51
Maryland,Michigan,7,33,62,67
Michigan,Maryland,31,7,66,65
Maryland,Michigan,31,21,59,61
Michigan,Maryland,24,17,69,53
Maryland,Michigan,17,16,53,68
Michigan,Maryland,24,9,59,61
Maryland,Michigan,17,13,71,52
Michigan,Maryland,10,24,55,69
Maryland,Michigan,10,24,68,61
Michigan,Maryland,24,7,68,54
Maryland,Michigan,27,6,59,63
Michigan,Maryland,24,17,69,59
Maryland,Michigan,41,17,80,57
Michigan,Maryland,21,3,68,56
Maryland,Michigan,10,24,65,61
Michigan,Maryland,24,10,67,59
Maryland,Michigan,20,10,74,58
Michigan,Maryland,7,7,63,63
Maryland,Michigan,7,24,54,71
Michigan,Maryland,27,7,63,59
Maryland,Michigan,0,23,58,66
Michigan,Maryland,30,0,67,58
Maryland,Michigan,7,38,59,63
Michigan,Maryland,7,14,66,55
Maryland,Michigan,20,7,75,52
Michigan,Maryland,23,9,57,71
Maryland,Michigan,16,0,76,51
Michigan,Maryland,24,20,62,59
Maryland,Michigan,17,0,64,58
Michigan,Maryland,20,3,63,51
Maryland,Michigan,14,17,65,60
Michigan,Maryland,24,10,68,60
Maryland,Michigan,0,31,52,71
Michigan,Maryland,17,6,65,56
Maryland,Michigan,7,35,55,70
Michigan,Maryland,10,10,68,54
Maryland,Michigan,0,27,61,59
Michigan,Maryland,27,7,65,61
Maryland,Michigan,14,21,59,60
