team,opp,pts,opp_pts,plays,opp_plays
North Carolina,Duke,13,17,64,57
Duke,North Carolina,38,10,64,67
North Carolina,Duke,7,30,64,78
Duke,North Carolina,21,31,57,65
North Carolina,Duke,10,38,64,62
Duke,North Carolina,14,31,51,73
North Carolina,Duke,31,10,68,54
Duke,North Carolina,19,17,61,60
North Carolina,Duke,24,10,63,63
Duke,North Carolina,17,17,59,64
North Carolina,Duke,17,24,59,74
Duke,North Carolina,17,17,59,66
North Carolina,Duke,16,17,68,59
Duke,North Carolina,23,3,61,64
North Carolina,Duke,20,28,60,67
Duke,North Carolina,21,6,57,65
North Carolina,Duke,0,34,60,63
Duke,North Carolina,3,16,60,64
North Carolina,Duke,24,3,62,63
Duke,North Carolina,20,17,71,60
North Carolina,Duke,10,41,59,70
Duke,North Carolina,21,10,61,64
North Carolina,Duke,24,17,65,56
Duke,North Carolina,37,0,75,53
North Carolina,Duke,17,20,66,56
Duke,North Carolina,17,13,66,62
North Carolina,Duke,7,28,52,74
Duke,North Carolina,30,17,71,54
North Carolina,Duke,28,21,66,57
Duke,North Carolina,17,10,65,61
North Carolina,Duke,14,14,60,62
Duke,North Carolina,17,3,63,64
North Carolina,Duke,13,30,64,59
Duke,North Carolina,31,6,65,62
North Carolina,Duke,3,7,67,63
Duke,North Carolina,45,10,71,57
North Carolina,Duke,7,30,57,71
Duke,North Carolina,14,34,63,63
North Carolina,Duke,7,31,50,81
Duke,North Carolina,34,10,72,62
North Carolina,Duke,21,38,59,66
Duke,North Carolina,31,6,61,66
North Carolina,Duke,10,35,59,67
Duke,North Carolina,44,7,67,57
North Carolina,Duke,42,14,80,37
Duke,North Carolina,45,0,75,54
North Carolina,Duke,20,31,63,67
Duke,North Carolina,41,13,73,62
North Carolina,Duke,10,31,62,62
Duke,North Carolina,27,10,60,65
North Carolina,Duke,10,49,67,63
Duke,North Carolina,41,6,72,54
North Carolina,Duke,21,27,61,64
Duke,North Carolina,34,24,53,71
North Carolina,Duke,28,38,56,71
Duke,North Carolina,13,6,58,68
North Carolina,Duke,28,27,61,63
Duke,North Carolina,24,9,53,67
