team,opp,pts,opp_pts,plays,opp_plays
South Alabama,Southern Miss,17,0,71,64
Southern Miss,South Alabama,20,34,67,68
South Alabama,Southern Miss,35,21,69,71
Southern Miss,South Alabama,35,21,78,61
South Alabama,Southern Miss,31,16,75,56
Southern Miss,South Alabama,28,17,69,72
South Alabama,Southern Miss,17,27,65,69
Southern Miss,South Alabama,6,16,66,68
South Alabama,Southern Miss,26,7,86,48
Southern Miss,South Alabama,24,21,81,68
South Alabama,Southern Miss,20,10,76,66
Southern Miss,South Alabama,24,24,79,64
South Alabama,Southern Miss,7,37,72,66
Southern Miss,South Alabama,13,41,74,64
South Alabama,Southern Miss,17,27,60,78
Southern Miss,South Alabama,23,3,74,61
South Alabama,Southern Miss,27,17,69,65
Southern Miss,South Alabama,20,24,84,61
South Alabama,Southern Miss,24,14,70,68
Southern Miss,South Alabama,41,12,71,68
South Alabama,Southern Miss,10,34,71,68
Southern Miss,South Alabama,20,10,68,69
South Alabama,Southern Miss,31,3,80,47
Southern Miss,South Alabama,38,14,78,63
South Alabama,Southern Miss,13,24,62,66
Southern Miss,South Alabama,27,23,63,74
South Alabama,Southern Miss,14,13,67,67
Southern Miss,South Alabama,41,3,73,61
South Alabama,Southern Miss,13,17,79,60
Southern Miss,South Alabama,28,34,64,70
South Alabama,Southern Miss,31,7,83,48
Southern Miss,South Alabama,34,27,63,76
South Alabama,Southern Miss,35,21,73,61
Southern Miss,South Alabama,16,21,64,72
South Alabama,Southern Miss,23,23,64,78
Southern Miss,South Alabama,52,38,70,76
South Alabama,Southern Miss,38,26,70,75
Southern Miss,South Alabama,17,12,70,71
South Alabama,Southern Miss,23,24,83,53
Southern Miss,South Alabama,10,17,69,63
South Alabama,Southern Miss,19,13,80,60
Southern Miss,South Alabama,27,14,77,57
South Alabama,Southern Miss,30,27,65,76
Southern Miss,South Alabama,38,27,71,68
South Alabama,Southern Miss,13,20,72,63
Southern Miss,South Alabama,27,28,67,67
South Alabama,Southern Miss,34,13,79,54
