team,opp,pts,opp_pts,plays,opp_plays
Stanford,California,3,27,54,67
California,Stanford,38,17,69,51
Stanford,California,17,20,64,60
California,Stanford,36,3,69,56
Stanford,California,3,10,60,59
California,Stanford,34,3,66,56
Stanford,California,7,20,66,58
California,Stanford,27,3,80,48
Stanford,California,3,3,52,68
California,Stanford,13,27,66,59
Stanford,California,7,31,62,64
California,Stanford,34,7,69,55
Stanford,California,16,24,65,57
California,Stanford,20,7,69,62
Stanford,California,28,28,64,65
California,Stanford,14,14,55,66
Stanford,California,0,20,50,70
California,Stanford,28,7,70,51
Stanford,California,31,10,66,60
California,Stanford,42,10,79,45
Stanford,California,13,37,69,62
California,Stanford,21,27,55,67
Stanford,California,21,17,72,55
California,Stanford,14,14,67,56
Stanford,California,37,24,64,65
California,Stanford,17,13,66,62
Stanford,California,3,45,56,69
California,Stanford,34,6,68,58
Stanford,California,7,23,54,71
California,Stanford,13,10,63,64
Stanford,California,30,24,67,56
California,Stanford,13,23,62,63
Stanford,California,17,21,63,67
California,Stanford,17,10,63,70
Stanford,California,9,28,56,65
California,Stanford,13,23,56,68
Stanford,California,24,24,58,67
California,Stanford,21,10,58,63
Stanford,California,6,17,54,67
California,Stanford,37,6,80,49
Stanford,California,17,20,59,63
California,Stanford,6,13,68,62
Stanford,California,21,26,84,56
California,Stanford,17,3,63,61
Stanford,California,17,30,69,55
California,Stanford,42,7,75,55
Stanford,California,10,14,57,66
California,Stanford,45,17,69,58
Stanford,California,0,17,61,67
California,Stanford,14,21,72,58
Stanford,California,7,35,55,69
California,Stanford,10,10,65,61
Stanford,California,14,52,64,55
California,Stanford,21,10,68,48
Stanford,California,10,20,60,63
California,Stanford,6,3,58,69
Stanford,California,17,31,68,60
California,Stanford,23,10,64,57
Stanford,California,0,23,66,63
California,Stanford,34,13,70,66
Stanford,California,16,10,72,51
California,Stanford,31,17,53,75
Stanford,California,20,24,73,63
California,Stanford,27,10,64,59
Stanford,California,17,20,65,67
California,Stanford,21,16,55,70
Stanford,California,3,38,53,75
California,Stanford,34,3,74,46
Stanford,California,6,21,73,60
California,Stanford,47,7,78,50
Stanford,California,21,10,65,59
California,Stanford,24,10,69,60
Stanford,California,20,10,62,66
