team,opp,pts,opp_pts,plays,opp_plays
Texas,Arkansas,41,6,67,59
Arkansas,Texas,10,27,62,59
Texas,Arkansas,20,3,62,55
Arkansas,Texas,23,7,60,61
Texas,Arkansas,17,17,65,57
Arkansas,Texas,17,28,64,59
Texas,Arkansas,7,24,52,67
Arkansas,Texas,24,17,65,54
Texas,Arkansas,24,21,55,63
Arkansas,Texas,23,16,73,55
Texas,Arkansas,34,10,64,58
Arkansas,Texas,28,7,67,54
Texas,Arkansas,34,24,68,59
Arkansas,Texas,24,21,71,56
Texas,Arkansas,28,14,59,58
Arkansas,Texas,14,28,51,66
Texas,Arkansas,31,17,66,61
Arkansas,Texas,20,28,62,58
Texas,Arkansas,6,17,70,50
Arkansas,Texas,28,21,62,61
Texas,Arkansas,23,14,72,52
Arkansas,Texas,7,45,54,74
Texas,Arkansas,31,21,63,62
Arkansas,Texas,17,27,59,68
Texas,Arkansas,14,27,62,61
Arkansas,Texas,20,17,70,53
Texas,Arkansas,24,21,62,54
Arkansas,Texas,10,14,59,62
Texas,Arkansas,16,14,51,75
Arkansas,Texas,14,35,57,67
Texas,Arkansas,24,24,72,59
Arkansas,Texas,20,13,51,73
Texas,Arkansas,49,13,64,61
Arkansas,Texas,24,7,56,66
Texas,Arkansas,27,27,53,64
Arkansas,Texas,42,17,65,63
Texas,Arkansas,24,7,61,64
Arkansas,Texas,14,30,55,72
Texas,Arkansas,6,35,57,64
Arkansas,Texas,17,28,67,56
Texas,Arkansas,21,17,60,71
Arkansas,Texas,10,38,56,67
Texas,Arkansas,24,24,62,60
Arkansas,Texas,28,17,62,58
Texas,Arkansas,21,31,60,61
Arkansas,Texas,24,38,59,67
Texas,Arkansas,37,0,72,50
Arkansas,Texas,21,14,64,53
Texas,Arkansas,10,45,58,65
Arkansas,Texas,24,28,75,48
Texas,Arkansas,34,17,56,67
Arkansas,Texas,21,28,65,54
Texas,Arkansas,24,20,55,73
Arkansas,Texas,35,20,62,63
Texas,Arkansas,21,0,79,45
Arkansas,Texas,21,24,62,60
Texas,Arkansas,31,14,67,58
Arkansas,Texas,20,34,67,63
Texas,Arkansas,31,14,65,58
Arkansas,Texas,17,33,54,72
Texas,Arkansas,16,6,67,53
Arkansas,Texas,17,31,66,61
Texas,Arkansas,13,17,59,58
Arkansas,Texas,20,14,66,55
Texas,Arkansas,20,9,66,60
Arkansas,Texas,14,21,64,60
Texas,Arkansas,31,24,74,52
Arkansas,Texas,31,20,63,57
Texas,Arkansas,20,14,57,65
Arkansas,Texas,20,21,60,58
Texas,Arkansas,27,21,66,53
Arkansas,Texas,6,42,66,67
Texas,Arkansas,27,48,56,63
Arkansas,Texas,19,49,71,59
Texas,Arkansas,10,23,52,68
Arkansas,Texas,14,17,56,67
Texas,Arkansas,37,13,62,56
Arkansas,Texas,21,14,63,60
Texas,Arkansas,38,7,74,49
Arkansas,Texas,20,21,71,56
Texas,Arkansas,14,24,62,64
Arkansas,Texas,17,20,54,67
Texas,Arkansas,35,12,68,65
Arkansas,Texas,17,27,53,64
Texas,Arkansas,23,14,60,59
Arkansas,Texas,35,14,68,57
Texas,Arkansas,38,17,71,56
Arkansas,Texas,21,28,63,59
Texas,Arkansas,42,3,68,54
Arkansas,Texas,13,24,57,62
Texas,Arkansas,31,17,71,56
Arkansas,Texas,41,17,62,57
Texas,Arkansas,3,28,59,59
Arkansas,Texas,34,17,67,50
Texas,Arkansas,21,7,60,67
Arkansas,Texas,6,31,61,66
Texas,Arkansas,20,7,73,51
Arkansas,Texas,24,14,64,59
Texas,Arkansas,21,17,60,59
Arkansas,Texas,34,21,67,55
Texas,Arkansas,24,21,74,54
Arkansas,Texas,34,17,61,57
Texas,Arkansas,10,21,70,55
Arkansas,Texas,27,10,71,46
Texas,Arkansas,21,31,48,77
Arkansas,Texas,17,10,62,59
Texas,Arkansas,17,28,62,54
Arkansas,Texas,27,10,74,47
Texas,Arkansas,49,7,70,55
Arkansas,Texas,27,7,66,64
Texas,Arkansas,38,17,74,52
Arkansas,Texas,14,34,58,66
Texas,Arkansas,17,28,62,64
Arkansas,Texas,24,56,51,73
Texas,Arkansas,16,14,72,54
Arkansas,Texas,27,13,65,65
Texas,Arkansas,17,14,58,60
Arkansas,Texas,14,14,55,62
Texas,Arkansas,21,35,63,67
Arkansas,Texas,14,20,60,58
Texas,Arkansas,30,17,67,54
Arkansas,Texas,31,13,67,58
Texas,Arkansas,38,17,71,55
Arkansas,Texas,6,24,61,58
Texas,Arkansas,21,28,62,55
Arkansas,Texas,17,24,64,61
Texas,Arkansas,10,41,57,66
Arkansas,Texas,23,13,65,59
Texas,Arkansas,38,35,73,61
Arkansas,Texas,17,17,70,48
Texas,Arkansas,16,24,69,51
Arkansas,Texas,7,28,57,66
Texas,Arkansas,31,31,69,56
Arkansas,Texas,14,28,63,61
Texas,Arkansas,14,24,57,60
Arkansas,Texas,27,28,68,58
Texas,Arkansas,38,13,60,63
Arkansas,Texas,13,26,56,65
Texas,Arkansas,20,14,55,60
Arkansas,Texas,20,24,60,62
Texas,Arkansas,20,24,59,64
Arkansas,Texas,23,24,69,55
Texas,Arkansas,42,17,70,53
Arkansas,Texas,17,35,69,54
Texas,Arkansas,7,24,63,62
Arkansas,Texas,10,28,57,68
Texas,Arkansas,16,20,68,54
Arkansas,Texas,27,10,68,50
Texas,Arkansas,6,14,61,58
Arkansas,Texas,27,40,57,71
Texas,Arkansas,38,0,76,53
Arkansas,Texas,24,23,61,70
Texas,Arkansas,17,21,57,61
Arkansas,Texas,20,42,66,60
Texas,Arkansas,20,17,64,62
Arkansas,Texas,21,24,61,56
Texas,Arkansas,27,17,67,53
Arkansas,Texas,14,13,66,57
Texas,Arkansas,27,21,76,53
Arkansas,Texas,31,14,60,57
Texas,Arkansas,28,13,70,53
Arkansas,Texas,24,10,66,50
Texas,Arkansas,28,6,53,68
Arkansas,Texas,3,38,48,72
Texas,Arkansas,27,7,65,62
Arkansas,Texas,7,17,48,76
Texas,Arkansas,13,14,68,54
Arkansas,Texas,14,27,59,64
Texas,Arkansas,27,27,57,67
Arkansas,Texas,21,14,63,56
Texas,Arkansas,14,20,60,63
Arkansas,Texas,27,13,60,60
