team,opp,pts,opp_pts,plays,opp_plays
Toledo,Ball State,41,14,68,55
Ball State,Toledo,3,21,54,62
Toledo,Ball State,14,6,52,71
Ball State,Toledo,17,34,50,69
Toledo,Ball State,10,3,61,58
Ball State,Toledo,0,23,52,64
Toledo,Ball State,24,3,72,48
Ball State,Toledo,6,21,66,64
Toledo,Ball State,10,0,59,54
Ball State,Toledo,3,14,68,56
Toledo,Ball State,35,7,70,51
Ball State,Toledo,7,31,59,59
Toledo,Ball State,38,0,65,47
Ball State,Toledo,3,27,50,65
Toledo,Ball State,35,0,68,55
Ball State,Toledo,7,38,50,66
Toledo,Ball State,28,10,65,58
Ball State,Toledo,10,20,70,52
Toledo,Ball State,30,10,73,48
Ball State,Toledo,3,27,59,66
Toledo,Ball State,27,3,64,59
Ball State,Toledo,7,17,63,52
Toledo,Ball State,27,0,80,45
Ball State,Toledo,0,34,51,63
Toledo,Ball State,24,14,75,42
Ball State,Toledo,0,41,56,69
Toledo,Ball State,24,7,64,50
Ball State,Toledo,0,34,53,69
Toledo,Ball State,34,7,63,59
Ball State,Toledo,3,21,59,58
Toledo,Ball State,21,10,60,62
Ball State,Toledo,3,19,55,59
Toledo,Ball State,28,7,62,54
Ball State,Toledo,0,28,50,67
Toledo,Ball State,27,7,66,48
Ball State,Toledo,0,52,68,58
Toledo,Ball State,10,10,61,56
Ball State,Toledo,3,34,61,66
Toledo,Ball State,24,3,73,50
Ball State,Toledo,13,31,69,63
Toledo,Ball State,17,7,65,63
Ball State,Toledo,0,41,53,59
Toledo,Ball State,27,0,69,51
Ball State,Toledo,0,38,47,74
Toledo,Ball State,41,0,79,40
Ball State,Toledo,3,37,55,66
Toledo,Ball State,27,3,76,53
Ball State,Toledo,7,20,49,71
Toledo,Ball State,31,6,77,52
Ball State,Toledo,7,35,59,64
Toledo,Ball State,14,13,58,59
Ball State,Toledo,13,10,64,62
Toledo,Ball State,31,0,71,50
Ball State,Toledo,0,34,52,70
Toledo,Ball State,42,0,63,56
Ball State,Toledo,10,24,64,59
Toledo,Ball State,30,9,57,67
Ball State,Toledo,3,34,57,63
Toledo,Ball State,30,3,74,62
Ball State,Toledo,6,31,57,64
Toledo,Ball State,14,7,59,65
Ball State,Toledo,0,33,52,69
Toledo,Ball State,31,10,73,50
Ball State,Toledo,0,34,55,65
Toledo,Ball State,13,10,58,55
Ball State,Toledo,3,41,55,67
Toledo,Ball State,31,0,70,53
Ball State,Toledo,7,24,66,60
Toledo,Ball State,38,3,60,64
Ball State,Toledo,24,10,67,50
