sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Arkansas,Missouri,Taylen Green,QB,33,20,213.6,1,0,1,0,0.0,0,0,0,0.0,0
32,A,Arkansas,Missouri,Taylen Green,Rusher,0,0,0.0,0,0,0,11,41.2,0,0,0,0.0,0
32,A,Arkansas,Missouri,Braylen Russell,Rusher,0,0,0.0,0,0,0,5,22.7,0,0,0,0.0,0
32,A,Arkansas,Missouri,Michael Washington,Rusher,0,0,0.0,0,0,0,14,50.1,1,0,0,0.0,0
32,A,Arkansas,Missouri,Rodney Hill,Rusher,0,0,0.0,0,0,0,6,13.4,0,0,0,0.0,0
32,A,Arkansas,Missouri,Jalen Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,28.5,0
32,A,Arkansas,Missouri,O'Mega Blake,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,31.5,0
32,A,Arkansas,Missouri,Raylen Sharpe,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,2.6,0
32,A,Arkansas,Missouri,CJ Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,33.3,0
32,A,Arkansas,Missouri,Andreas Paaske,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,11.7,0
32,A,Arkansas,Missouri,Rohan Jones,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,35.6,0
32,A,Arkansas,Missouri,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,64.3,1
32,A,Arkansas,Missouri,Kameran Shanks,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,5.9,0
32,A,Missouri,Arkansas,Beau Pribula,QB,28,21,197.8,1,0,8,0,0.0,0,0,0,0.0,0
32,A,Missouri,Arkansas,Jamal Roberts,Rusher,0,0,0.0,0,0,0,8,21.6,1,0,0,0.0,0
32,A,Missouri,Arkansas,Ahmad Hardy,Rusher,0,0,0.0,0,0,0,11,43.9,0,0,0,0.0,0
32,A,Missouri,Arkansas,Beau Pribula,Rusher,0,0,0.0,0,0,0,2,12.3,0,0,0,0.0,0
32,A,Missouri,Arkansas,Sam Horn,Rusher,0,0,0.0,0,0,0,1,-3.3,0,0,0,0.0,0
32,A,Missouri,Arkansas,Jude James,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,12.7,0
32,A,Missouri,Arkansas,Kevin Coleman Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,9,93.3,0
32,A,Missouri,Arkansas,Brett Norfleet,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,6.1,0
32,A,Missouri,Arkansas,Marquis Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Missouri,Arkansas,Donovan Olugbode,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,13.1,1
32,A,Missouri,Arkansas,Joshua Manning,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,40.0,0
