sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Coastal Carolina,James Madison,MJ Morris,QB,30,14,115.0,0,0,12,0,0.0,0,0,0,0.0,0
16,A,Coastal Carolina,James Madison,Ja'Vin Simpkins,Rusher,0,0,0.0,0,0,0,8,45.2,0,0,0,0.0,0
16,A,Coastal Carolina,James Madison,MJ Morris,Rusher,0,0,0.0,0,0,0,3,9.0,0,0,0,0.0,0
16,A,Coastal Carolina,James Madison,Jalen John,Rusher,0,0,0.0,0,0,0,8,23.6,0,0,0,0.0,0
16,A,Coastal Carolina,James Madison,Dominic Knicely,Rusher,0,0,0.0,0,0,0,10,25.7,0,0,0,0.0,0
16,A,Coastal Carolina,James Madison,Jevon Edwards,Rusher,0,0,0.0,0,0,0,3,20.2,0,0,0,0.0,0
16,A,Coastal Carolina,James Madison,Karmello English,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.6,0
16,A,Coastal Carolina,James Madison,Malcolm Gillie,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,14.6,0
16,A,Coastal Carolina,James Madison,Brooks Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,11.4,0
16,A,Coastal Carolina,James Madison,Bryson Graves,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,8,11.4,0
16,A,Coastal Carolina,James Madison,Robby Washington,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,57.7,0
16,A,Coastal Carolina,James Madison,Cameron Wright,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,18.4,0
16,A,Coastal Carolina,James Madison,Jameson Tucker,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,Coastal Carolina,James Madison,Colton Hinton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
16,A,Coastal Carolina,James Madison,Malick Meiga,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,James Madison,Coastal Carolina,Alonza Barnett,QB,26,19,213.9,1,0,3,0,0.0,0,0,0,0.0,0
16,A,James Madison,Coastal Carolina,Alonza Barnett,Rusher,0,0,0.0,0,0,0,1,6.4,0,0,0,0.0,0
16,A,James Madison,Coastal Carolina,Wayne Knight,Rusher,0,0,0.0,0,0,0,9,44.3,1,0,0,0.0,0
16,A,James Madison,Coastal Carolina,Matthew Sluka,Rusher,0,0,0.0,0,0,0,9,68.9,1,0,0,0.0,0
16,A,James Madison,Coastal Carolina,Ayo Adeyi,Rusher,0,0,0.0,0,0,0,3,17.7,1,0,0,0.0,0
16,A,James Madison,Coastal Carolina,Jordan Fuller,Rusher,0,0,0.0,0,0,0,3,5.7,0,0,0,0.0,0
16,A,James Madison,Coastal Carolina,George Pettaway,Rusher,0,0,0.0,0,0,0,1,1.7,0,0,0,0.0,0
16,A,James Madison,Coastal Carolina,Jaylan Sanchez,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,24.3,0
16,A,James Madison,Coastal Carolina,Logan Kyle,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,30.2,1
16,A,James Madison,Coastal Carolina,Landon Ellis,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,28.1,0
16,A,James Madison,Coastal Carolina,Isaiah Alston,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.2,0
16,A,James Madison,Coastal Carolina,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,53.3,0
