sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Florida,Florida State,D.J. Lagway,QB,28,16,183.3,1,0,7,0,0.0,0,0,0,0.0,0
32,A,Florida,Florida State,Ja'Kobi Jackson,Rusher,0,0,0.0,0,0,0,9,41.7,0,0,0,0.0,0
32,A,Florida,Florida State,Duke Clark,Rusher,0,0,0.0,0,0,0,2,7.7,0,0,0,0.0,0
32,A,Florida,Florida State,Jadan Baugh,Rusher,0,0,0.0,0,0,0,7,38.5,0,0,0,0.0,0
32,A,Florida,Florida State,D.J. Lagway,Rusher,0,0,0.0,0,0,0,4,18.4,1,0,0,0.0,0
32,A,Florida,Florida State,Vernell Brown III,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,10.7,0
32,A,Florida,Florida State,Eugene Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,4,0.0,0
32,A,Florida,Florida State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,113.4,0
32,A,Florida,Florida State,Hayden Hansen,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,26.6,0
32,A,Florida,Florida State,Tony Livingston,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.1,1
32,A,Florida,Florida State,Tawaski Abrams,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,22.6,0
32,A,Florida,Florida State,Muizz Tounkara,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Florida State,Florida,Thomas Castellanos,QB,28,20,195.2,2,0,3,0,0.0,0,0,0,0.0,0
32,A,Florida State,Florida,Gavin Sawchuk,Rusher,0,0,0.0,0,0,0,12,53.4,1,0,0,0.0,0
32,A,Florida State,Florida,Kam Davis,Rusher,0,0,0.0,0,0,0,2,3.5,0,0,0,0.0,0
32,A,Florida State,Florida,Ousmane Kromah,Rusher,0,0,0.0,0,0,0,11,92.4,1,0,0,0.0,0
32,A,Florida State,Florida,Thomas Castellanos,Rusher,0,0,0.0,0,0,0,7,33.4,1,0,0,0.0,0
32,A,Florida State,Florida,Samuel Singleton,Rusher,0,0,0.0,0,0,0,7,18.4,0,0,0,0.0,0
32,A,Florida State,Florida,Jaylin Lucas,Rusher,0,0,0.0,0,0,0,2,9.3,0,0,0,0.0,0
32,A,Florida State,Florida,Roydell Williams,Rusher,0,0,0.0,0,0,0,2,9.0,0,0,0,0.0,0
