sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Minnesota,Wisconsin,Drake Lindsey,QB,27,18,176.7,2,0,2,0,0.0,0,0,0,0.0,0
0,A,Minnesota,Wisconsin,Fame Ijeboi,Rusher,0,0,0.0,0,0,0,11,49.3,0,0,0,0.0,0
0,A,Minnesota,Wisconsin,Darius Taylor,Rusher,0,0,0.0,0,0,0,10,30.5,0,0,0,0.0,0
0,A,Minnesota,Wisconsin,A.J. Turner,Rusher,0,0,0.0,0,0,0,3,7.1,0,0,0,0.0,0
0,A,Minnesota,Wisconsin,Cameron Davis,Rusher,0,0,0.0,0,0,0,6,20.3,0,0,0,0.0,0
0,A,Minnesota,Wisconsin,Drake Lindsey,Rusher,0,0,0.0,0,0,0,1,1.5,0,0,0,0.0,0
0,A,Minnesota,Wisconsin,Jalen Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,39.7,0
0,A,Minnesota,Wisconsin,Javon Tracy,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,26.5,0
0,A,Minnesota,Wisconsin,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,47.9,1
0,A,Minnesota,Wisconsin,Jameson Geers,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,11.1,0
0,A,Minnesota,Wisconsin,Lemeke Brockington,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,31.0,1
0,A,Minnesota,Wisconsin,Drew Biber,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,20.5,0
0,A,Minnesota,Wisconsin,Frank Bierman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Minnesota,Wisconsin,Logan Loya,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
0,A,Wisconsin,Minnesota,Danny O'Neil,QB,23,15,119.2,0,0,4,0,0.0,0,0,0,0.0,0
0,A,Wisconsin,Minnesota,Dilin Jones,Rusher,0,0,0.0,0,0,0,11,11.4,0,0,0,0.0,0
0,A,Wisconsin,Minnesota,Darrion Dupree,Rusher,0,0,0.0,0,0,0,8,56.8,0,0,0,0.0,0
0,A,Wisconsin,Minnesota,Danny O'Neil,Rusher,0,0,0.0,0,0,0,6,14.3,0,0,0,0.0,0
0,A,Wisconsin,Minnesota,Other RB,Rusher,0,0,0.0,0,0,0,3,9.8,1,0,0,0.0,0
0,A,Wisconsin,Minnesota,Chris Brooks Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,16.0,0
0,A,Wisconsin,Minnesota,Lance Mason,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
0,A,Wisconsin,Minnesota,Eugene Hilton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
0,A,Wisconsin,Minnesota,Grant Stec,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,23.7,0
0,A,Wisconsin,Minnesota,Vinny Anthony,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,23.1,0
0,A,Wisconsin,Minnesota,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,56.4,0
0,A,Wisconsin,Minnesota,Jayden Ballard,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
0,A,Wisconsin,Minnesota,Trech Kekahuna,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,Wisconsin,Minnesota,Danny O'Neil,QB,19,10,113.4,0,0,6,0,0.0,0,0,0,0.0,0
1,B,Wisconsin,Minnesota,Dilin Jones,Rusher,0,0,0.0,0,0,0,6,17.6,1,0,0,0.0,0
1,B,Wisconsin,Minnesota,Danny O'Neil,Rusher,0,0,0.0,0,0,0,3,1.8,0,0,0,0.0,0
1,B,Wisconsin,Minnesota,Cade Yacamelli,Rusher,0,0,0.0,0,0,0,3,13.1,0,0,0,0.0,0
1,B,Wisconsin,Minnesota,Darrion Dupree,Rusher,0,0,0.0,0,0,0,6,-2.2,0,0,0,0.0,0
1,B,Wisconsin,Minnesota,Other RB,Rusher,0,0,0.0,0,0,0,2,2.5,0,0,0,0.0,0
1,B,Wisconsin,Minnesota,Vinny Anthony,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,4,0.0,0
1,B,Wisconsin,Minnesota,Trech Kekahuna,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,35.4,0
1,B,Wisconsin,Minnesota,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,16.5,0
1,B,Wisconsin,Minnesota,Lance Mason,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.0,0
1,B,Wisconsin,Minnesota,Jayden Ballard,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,18.3,0
1,B,Wisconsin,Minnesota,Tyrell Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
1,B,Wisconsin,Minnesota,Grant Stec,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,21.0,0
1,B,Wisconsin,Minnesota,Eugene Hilton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,10.3,0
1,B,Minnesota,Wisconsin,Drake Lindsey,QB,27,11,91.0,0,1,7,0,0.0,0,0,0,0.0,0
1,B,Minnesota,Wisconsin,Cameron Davis,Rusher,0,0,0.0,0,0,0,2,4.6,0,0,0,0.0,0
1,B,Minnesota,Wisconsin,Darius Taylor,Rusher,0,0,0.0,0,0,0,15,40.4,0,0,0,0.0,0
1,B,Minnesota,Wisconsin,Fame Ijeboi,Rusher,0,0,0.0,0,0,0,12,76.1,0,0,0,0.0,0
1,B,Minnesota,Wisconsin,A.J. Turner,Rusher,0,0,0.0,0,0,0,9,42.6,0,0,0,0.0,0
1,B,Minnesota,Wisconsin,Jameson Geers,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,24.7,0
1,B,Minnesota,Wisconsin,Drew Biber,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
1,B,Minnesota,Wisconsin,Javon Tracy,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,29.6,0
1,B,Minnesota,Wisconsin,Lemeke Brockington,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,13.4,0
1,B,Minnesota,Wisconsin,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
1,B,Minnesota,Wisconsin,Jalen Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,23.4,0
1,B,Minnesota,Wisconsin,Logan Loya,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
1,B,Minnesota,Wisconsin,Frank Bierman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
2,A,Minnesota,Wisconsin,Drake Lindsey,QB,24,17,217.3,1,0,3,0,0.0,0,0,0,0.0,0
2,A,Minnesota,Wisconsin,Fame Ijeboi,Rusher,0,0,0.0,0,0,0,11,41.0,0,0,0,0.0,0
2,A,Minnesota,Wisconsin,Darius Taylor,Rusher,0,0,0.0,0,0,0,14,34.8,1,0,0,0.0,0
2,A,Minnesota,Wisconsin,Cameron Davis,Rusher,0,0,0.0,0,0,0,4,-8.3,0,0,0,0.0,0
2,A,Minnesota,Wisconsin,A.J. Turner,Rusher,0,0,0.0,0,0,0,8,11.2,0,0,0,0.0,0
2,A,Minnesota,Wisconsin,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,7,86.0,0
2,A,Minnesota,Wisconsin,Jalen Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,8.3,0
2,A,Minnesota,Wisconsin,Javon Tracy,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,40.3,0
2,A,Minnesota,Wisconsin,Lemeke Brockington,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,32.8,0
2,A,Minnesota,Wisconsin,Drew Biber,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,23.6,0
2,A,Minnesota,Wisconsin,Jameson Geers,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.5,1
2,A,Minnesota,Wisconsin,Logan Loya,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,6.7,0
2,A,Wisconsin,Minnesota,Danny O'Neil,QB,19,8,37.8,0,0,9,0,0.0,0,0,0,0.0,0
2,A,Wisconsin,Minnesota,Danny O'Neil,Rusher,0,0,0.0,0,0,0,6,34.7,0,0,0,0.0,0
2,A,Wisconsin,Minnesota,Dilin Jones,Rusher,0,0,0.0,0,0,0,7,17.7,0,0,0,0.0,0
2,A,Wisconsin,Minnesota,Darrion Dupree,Rusher,0,0,0.0,0,0,0,8,30.4,0,0,0,0.0,0
2,A,Wisconsin,Minnesota,Other RB,Rusher,0,0,0.0,0,0,0,3,18.1,0,0,0,0.0,0
2,A,Wisconsin,Minnesota,Cade Yacamelli,Rusher,0,0,0.0,0,0,0,1,3.7,0,0,0,0.0,0
2,A,Wisconsin,Minnesota,Lance Mason,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
