sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,South Carolina,Clemson,Lanorris Sellers,QB,25,10,106.1,0,0,6,0,0.0,0,0,0,0.0,0
48,A,South Carolina,Clemson,Oscar Adaway III,Rusher,0,0,0.0,0,0,0,7,42.6,0,0,0,0.0,0
48,A,South Carolina,Clemson,Matthew Fuller,Rusher,0,0,0.0,0,0,0,13,39.0,0,0,0,0.0,0
48,A,South Carolina,Clemson,Rahsul Faison,Rusher,0,0,0.0,0,0,0,5,21.7,0,0,0,0.0,0
48,A,South Carolina,Clemson,Isaiah Augustave,Rusher,0,0,0.0,0,0,0,2,18.9,1,0,0,0.0,0
48,A,South Carolina,Clemson,Lanorris Sellers,Rusher,0,0,0.0,0,0,0,4,2.9,0,0,0,0.0,0
48,A,South Carolina,Clemson,Donovan Murph,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,South Carolina,Clemson,Michael Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.6,0
48,A,South Carolina,Clemson,Luke Doty,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,10,36.8,0
48,A,South Carolina,Clemson,Brian Rowe Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,8.4,0
48,A,South Carolina,Clemson,Jordan Dingle,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.1,0
48,A,South Carolina,Clemson,Vandrevious Jacobs,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,0.0,0
48,A,South Carolina,Clemson,Jared Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,26.1,0
48,A,South Carolina,Clemson,Brady Hunt,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
48,A,South Carolina,Clemson,Maurice Brown II,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.0,0
48,A,Clemson,South Carolina,Cade Klubnik,QB,27,15,160.1,1,0,2,0,0.0,0,0,0,0.0,0
48,A,Clemson,South Carolina,Adam Randall,Rusher,0,0,0.0,0,0,0,18,18.2,1,0,0,0.0,0
48,A,Clemson,South Carolina,Cade Klubnik,Rusher,0,0,0.0,0,0,0,9,31.3,0,0,0,0.0,0
48,A,Clemson,South Carolina,Keith Adams Jr.,Rusher,0,0,0.0,0,0,0,3,23.9,0,0,0,0.0,0
48,A,Clemson,South Carolina,Christopher Vizzina,Rusher,0,0,0.0,0,0,0,1,6.1,0,0,0,0.0,0
48,A,Clemson,South Carolina,Gideon Davidson,Rusher,0,0,0.0,0,0,0,4,3.8,0,0,0,0.0,0
48,A,Clemson,South Carolina,Cole Turner,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,31.4,0
48,A,Clemson,South Carolina,Bryant Wesco Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,43.4,0
48,A,Clemson,South Carolina,Tristan Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,23.5,1
48,A,Clemson,South Carolina,T.J. Moore,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,8.5,0
48,A,Clemson,South Carolina,Antonio Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,7.5,0
48,A,Clemson,South Carolina,Tyler Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,45.8,0
48,A,Clemson,South Carolina,Christian Bentancur,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
48,A,Clemson,South Carolina,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
48,A,Clemson,South Carolina,Josh Sapp,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
