sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Tennessee,Vanderbilt,Joey Aguilar,QB,27,20,209.7,3,0,7,0,0.0,0,0,0,0.0,0
16,A,Tennessee,Vanderbilt,DeSean Bishop,Rusher,0,0,0.0,0,0,0,12,62.3,0,0,0,0.0,0
16,A,Tennessee,Vanderbilt,Star Thomas,Rusher,0,0,0.0,0,0,0,10,62.8,0,0,0,0.0,0
16,A,Tennessee,Vanderbilt,Joey Aguilar,Rusher,0,0,0.0,0,0,0,2,12.7,0,0,0,0.0,0
16,A,Tennessee,Vanderbilt,Daune Morris,Rusher,0,0,0.0,0,0,0,1,9.3,0,0,0,0.0,0
16,A,Tennessee,Vanderbilt,Peyton Lewis,Rusher,0,0,0.0,0,0,0,4,8.2,0,0,0,0.0,0
16,A,Tennessee,Vanderbilt,Mike Matthews,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,25.9,0
16,A,Tennessee,Vanderbilt,Chris Brazzell II,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,43.2,0
16,A,Tennessee,Vanderbilt,Miles Kitselman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Tennessee,Vanderbilt,Braylon Staley,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,57.0,0
16,A,Tennessee,Vanderbilt,Travis Smith Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,13.8,1
16,A,Tennessee,Vanderbilt,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,41.5,2
16,A,Tennessee,Vanderbilt,Ethan Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,28.4,0
16,A,Vanderbilt,Tennessee,Diego Pavia,QB,33,23,255.1,2,0,4,0,0.0,0,0,0,0.0,0
16,A,Vanderbilt,Tennessee,Jamezell Lassiter,Rusher,0,0,0.0,0,0,0,2,15.3,0,0,0,0.0,0
16,A,Vanderbilt,Tennessee,Makhilyn Young,Rusher,0,0,0.0,0,0,0,3,-1.0,0,0,0,0.0,0
16,A,Vanderbilt,Tennessee,Sedrick Alexander,Rusher,0,0,0.0,0,0,0,8,22.5,0,0,0,0.0,0
16,A,Vanderbilt,Tennessee,AJ Newberry,Rusher,0,0,0.0,0,0,0,7,46.4,0,0,0,0.0,0
16,A,Vanderbilt,Tennessee,Diego Pavia,Rusher,0,0,0.0,0,0,0,12,28.5,0,0,0,0.0,0
16,A,Vanderbilt,Tennessee,Blaze Berlowitz,Rusher,0,0,0.0,0,0,0,1,3.6,0,0,0,0.0,0
16,A,Vanderbilt,Tennessee,Tre Richardson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,39.0,0
