sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Tulsa,UAB,Baylor Hayes,QB,31,27,201.6,1,0,2,0,0.0,0,0,0,0.0,0
32,A,Tulsa,UAB,Dominic Richardson,Rusher,0,0,0.0,0,0,0,26,122.8,1,0,0,0.0,0
32,A,Tulsa,UAB,Kirk Francis,Rusher,0,0,0.0,0,0,0,2,8.1,0,0,0,0.0,0
32,A,Tulsa,UAB,Braylin Presley,Rusher,0,0,0.0,0,0,0,7,40.3,0,0,0,0.0,0
32,A,Tulsa,UAB,Baylor Hayes,Rusher,0,0,0.0,0,0,0,6,12.4,0,0,0,0.0,0
32,A,Tulsa,UAB,Ajay Allen,Rusher,0,0,0.0,0,0,0,2,1.9,0,0,0,0.0,0
32,A,Tulsa,UAB,Micah Tease,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,35.3,0
32,A,Tulsa,UAB,Mekhi Miller,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,9.4,0
32,A,Tulsa,UAB,Grayson Tempest,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,24.6,0
32,A,Tulsa,UAB,CJ Johnson II,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.4,0
32,A,Tulsa,UAB,Josh Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,26.4,0
32,A,Tulsa,UAB,Zion Booker,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,33.0,1
32,A,Tulsa,UAB,Jewlyen Roberts,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Tulsa,UAB,Zion Steptoe,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,24.6,0
32,A,Tulsa,UAB,Brody Foley,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,29.5,0
32,A,Tulsa,UAB,Landen Lucas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,2.3,0
32,A,Tulsa,UAB,Jacob Emmers,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.2,0
32,A,UAB,Tulsa,Jalen Kitna,QB,24,16,182.1,1,0,5,0,0.0,0,0,0,0.0,0
32,A,UAB,Tulsa,Isaiah Jacobs,Rusher,0,0,0.0,0,0,0,7,24.2,1,0,0,0.0,0
32,A,UAB,Tulsa,Jevon Jackson,Rusher,0,0,0.0,0,0,0,11,48.7,0,0,0,0.0,0
32,A,UAB,Tulsa,Nate Rogers,Rusher,0,0,0.0,0,0,0,3,1.8,0,0,0,0.0,0
32,A,UAB,Tulsa,Other RB,Rusher,0,0,0.0,0,0,0,2,9.8,0,0,0,0.0,0
32,A,UAB,Tulsa,Solomon Beebe,Rusher,0,0,0.0,0,0,0,4,17.6,0,0,0,0.0,0
32,A,UAB,Tulsa,AJ Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,2.9,0
32,A,UAB,Tulsa,J.C. Sivley,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,19.3,0
32,A,UAB,Tulsa,Evan McCray,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,21.1,0
32,A,UAB,Tulsa,BJ Hawkins Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,7.6,0
32,A,UAB,Tulsa,Elijah Lagg,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,6.4,0
32,A,UAB,Tulsa,Xavier Daisy,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,36.9,0
32,A,UAB,Tulsa,Kaleb Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,22.3,0
32,A,UAB,Tulsa,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.4,1
32,A,UAB,Tulsa,Iverson Hooks,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,4.4,0
32,A,UAB,Tulsa,Corri Milliner,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,51.8,0
33,B,UAB,Tulsa,Jalen Kitna,QB,33,21,226.9,0,0,7,0,0.0,0,0,0,0.0,0
33,B,UAB,Tulsa,Isaiah Jacobs,Rusher,0,0,0.0,0,0,0,7,44.4,1,0,0,0.0,0
33,B,UAB,Tulsa,Jevon Jackson,Rusher,0,0,0.0,0,0,0,22,121.9,2,0,0,0.0,0
33,B,UAB,Tulsa,Solomon Beebe,Rusher,0,0,0.0,0,0,0,6,71.5,1,0,0,0.0,0
33,B,UAB,Tulsa,Nate Rogers,Rusher,0,0,0.0,0,0,0,1,8.7,0,0,0,0.0,0
33,B,UAB,Tulsa,Jalen Kitna,Rusher,0,0,0.0,0,0,0,1,0.7,0,0,0,0.0,0
33,B,UAB,Tulsa,Elijah Lagg,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,UAB,Tulsa,BJ Hawkins Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,63.9,0
33,B,UAB,Tulsa,Evan McCray,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,44.8,0
33,B,UAB,Tulsa,Corri Milliner,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,30.7,0
33,B,UAB,Tulsa,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,9.0,0
33,B,UAB,Tulsa,Kaleb Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,UAB,Tulsa,Iverson Hooks,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,32.4,0
33,B,UAB,Tulsa,Xavier Daisy,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,16.5,0
33,B,UAB,Tulsa,J.C. Sivley,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,29.5,0
33,B,Tulsa,UAB,Baylor Hayes,QB,32,15,211.8,1,0,5,0,0.0,0,0,0,0.0,0
33,B,Tulsa,UAB,Braylin Presley,Rusher,0,0,0.0,0,0,0,5,16.5,0,0,0,0.0,0
33,B,Tulsa,UAB,Kirk Francis,Rusher,0,0,0.0,0,0,0,1,3.3,0,0,0,0.0,0
33,B,Tulsa,UAB,Baylor Hayes,Rusher,0,0,0.0,0,0,0,7,32.2,0,0,0,0.0,0
33,B,Tulsa,UAB,Dominic Richardson,Rusher,0,0,0.0,0,0,0,9,7.1,0,0,0,0.0,0
33,B,Tulsa,UAB,Ajay Allen,Rusher,0,0,0.0,0,0,0,4,10.2,0,0,0,0.0,0
33,B,Tulsa,UAB,Micah Tease,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,79.8,1
33,B,Tulsa,UAB,Zion Booker,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,32.9,0
33,B,Tulsa,UAB,Zion Steptoe,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,65.2,0
33,B,Tulsa,UAB,Grayson Tempest,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,24.4,0
33,B,Tulsa,UAB,Landen Lucas,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Tulsa,UAB,Mekhi Miller,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
33,B,Tulsa,UAB,CJ Johnson II,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
33,B,Tulsa,UAB,Jacob Emmers,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,9.5,0
34,A,Tulsa,UAB,Baylor Hayes,QB,37,24,205.8,1,0,5,0,0.0,0,0,0,0.0,0
34,A,Tulsa,UAB,Baylor Hayes,Rusher,0,0,0.0,0,0,0,5,30.7,1,0,0,0.0,0
34,A,Tulsa,UAB,Ajay Allen,Rusher,0,0,0.0,0,0,0,4,21.8,0,0,0,0.0,0
34,A,Tulsa,UAB,Braylin Presley,Rusher,0,0,0.0,0,0,0,3,10.6,0,0,0,0.0,0
34,A,Tulsa,UAB,Dominic Richardson,Rusher,0,0,0.0,0,0,0,12,62.8,0,0,0,0.0,0
34,A,Tulsa,UAB,Kirk Francis,Rusher,0,0,0.0,0,0,0,3,-0.4,0,0,0,0.0,0
34,A,Tulsa,UAB,Other RB,Rusher,0,0,0.0,0,0,0,1,5.5,0,0,0,0.0,0
