sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,USC,UCLA,Jayden Maiava,QB,25,19,242.4,1,0,1,0,0.0,0,0,0,0.0,0
0,A,USC,UCLA,Waymond Jordan,Rusher,0,0,0.0,0,0,0,18,82.2,1,0,0,0.0,0
0,A,USC,UCLA,Eli Sanders,Rusher,0,0,0.0,0,0,0,12,74.1,1,0,0,0.0,0
0,A,USC,UCLA,Jayden Maiava,Rusher,0,0,0.0,0,0,0,3,15.8,0,0,0,0.0,0
0,A,USC,UCLA,Bryan Jackson,Rusher,0,0,0.0,0,0,0,1,19.4,1,0,0,0.0,0
0,A,USC,UCLA,King Miller,Rusher,0,0,0.0,0,0,0,5,29.4,0,0,0,0.0,0
0,A,USC,UCLA,Husan Longstreet,Rusher,0,0,0.0,0,0,0,2,10.8,0,0,0,0.0,0
0,A,USC,UCLA,Ja'Kobi Lane,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,14.9,0
0,A,USC,UCLA,Makai Lemon,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,38.4,0
0,A,USC,UCLA,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,81.6,1
0,A,USC,UCLA,Tanook Hines,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.4,0
0,A,USC,UCLA,Lake McRee,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,64.7,0
0,A,USC,UCLA,Zach Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.6,0
0,A,USC,UCLA,Walker Lyons,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
0,A,USC,UCLA,Jaden Richardson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,29.8,0
0,A,UCLA,USC,Nico Iamaleava,QB,25,21,200.3,1,0,13,0,0.0,0,0,0,0.0,0
0,A,UCLA,USC,Jaivian Thomas,Rusher,0,0,0.0,0,0,0,4,9.6,1,0,0,0.0,0
0,A,UCLA,USC,Nico Iamaleava,Rusher,0,0,0.0,0,0,0,5,19.3,0,0,0,0.0,0
0,A,UCLA,USC,Anthony Woods,Rusher,0,0,0.0,0,0,0,2,5.9,0,0,0,0.0,0
0,A,UCLA,USC,Jalen Berger,Rusher,0,0,0.0,0,0,0,3,5.5,0,0,0,0.0,0
0,A,UCLA,USC,Kwazi Gilmer,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,10,122.8,1
0,A,UCLA,USC,Rico Flores,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,51.9,0
0,A,UCLA,USC,Mikey Matthews,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,22.1,0
0,A,UCLA,USC,Jack Pedersen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.5,0
0,A,UCLA,USC,Titus Mokiao-Atimalala,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
0,A,UCLA,USC,Hudson Habermehl,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
0,A,UCLA,USC,Jaedon Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
1,B,UCLA,USC,Nico Iamaleava,QB,32,22,169.5,1,0,10,0,0.0,0,0,0,0.0,0
1,B,UCLA,USC,Anthony Woods,Rusher,0,0,0.0,0,0,0,6,18.0,0,0,0,0.0,0
1,B,UCLA,USC,Nico Iamaleava,Rusher,0,0,0.0,0,0,0,7,38.8,0,0,0,0.0,0
1,B,UCLA,USC,Jalen Berger,Rusher,0,0,0.0,0,0,0,6,40.6,1,0,0,0.0,0
1,B,UCLA,USC,Jaivian Thomas,Rusher,0,0,0.0,0,0,0,5,24.4,0,0,0,0.0,0
1,B,UCLA,USC,Noah Fox-Flores,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,UCLA,USC,Jack Pedersen,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,8.6,0
1,B,UCLA,USC,Kwazi Gilmer,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,10,35.9,0
1,B,UCLA,USC,Jaedon Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,15.7,0
1,B,UCLA,USC,Mikey Matthews,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,21.4,0
1,B,UCLA,USC,Ezavier Staples,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.3,0
1,B,UCLA,USC,Titus Mokiao-Atimalala,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,67.5,1
1,B,UCLA,USC,Rico Flores,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,12.1,0
1,B,UCLA,USC,Hudson Habermehl,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
1,B,USC,UCLA,Jayden Maiava,QB,27,23,356.8,4,0,0,0,0.0,0,0,0,0.0,0
1,B,USC,UCLA,Bryan Jackson,Rusher,0,0,0.0,0,0,0,3,-4.0,0,0,0,0.0,0
1,B,USC,UCLA,Waymond Jordan,Rusher,0,0,0.0,0,0,0,12,55.3,2,0,0,0.0,0
1,B,USC,UCLA,Eli Sanders,Rusher,0,0,0.0,0,0,0,11,70.4,0,0,0,0.0,0
1,B,USC,UCLA,Jayden Maiava,Rusher,0,0,0.0,0,0,0,5,3.4,0,0,0,0.0,0
1,B,USC,UCLA,King Miller,Rusher,0,0,0.0,0,0,0,1,-0.7,0,0,0,0.0,0
1,B,USC,UCLA,Lake McRee,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,54.3,1
1,B,USC,UCLA,Zach Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,17.7,1
1,B,USC,UCLA,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,103.1,2
1,B,USC,UCLA,Makai Lemon,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,89.8,0
1,B,USC,UCLA,Jaden Richardson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,38.2,0
1,B,USC,UCLA,Tanook Hines,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,16.3,0
1,B,USC,UCLA,Walker Lyons,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,23.8,0
1,B,USC,UCLA,Ja'Kobi Lane,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,13.5,0
2,A,USC,UCLA,Jayden Maiava,QB,30,24,308.3,2,0,2,0,0.0,0,0,0,0.0,0
2,A,USC,UCLA,Waymond Jordan,Rusher,0,0,0.0,0,0,0,15,96.8,2,0,0,0.0,0
2,A,USC,UCLA,Eli Sanders,Rusher,0,0,0.0,0,0,0,10,50.7,0,0,0,0.0,0
2,A,USC,UCLA,Jayden Maiava,Rusher,0,0,0.0,0,0,0,5,11.6,1,0,0,0.0,0
2,A,USC,UCLA,Bryan Jackson,Rusher,0,0,0.0,0,0,0,3,9.6,0,0,0,0.0,0
2,A,USC,UCLA,Husan Longstreet,Rusher,0,0,0.0,0,0,0,2,18.6,0,0,0,0.0,0
2,A,USC,UCLA,Makai Lemon,Receiver,0,0,0.0,0,0,0,0,0.0,0,9,13,105.5,0
2,A,USC,UCLA,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,7,108.1,1
