team,opp,pts,opp_pts,plays,opp_plays
Bowling Green,UMass,20,10,68,58
UMass,Bowling Green,31,13,68,62
Bowling Green,UMass,27,10,71,51
UMass,Bowling Green,24,20,61,72
Bowling Green,UMass,13,20,63,65
UMass,Bowling Green,7,41,65,65
Bowling Green,UMass,17,6,71,56
UMass,Bowling Green,14,37,59,68
Bowling Green,UMass,28,7,69,60
UMass,Bowling Green,10,24,61,61
Bowling Green,UMass,27,14,75,51
UMass,Bowling Green,17,27,61,66
Bowling Green,UMass,35,17,63,59
UMass,Bowling Green,34,28,70,62
Bowling Green,UMass,14,13,64,63
UMass,Bowling Green,10,10,60,60
Bowling Green,UMass,34,41,71,66
UMass,Bowling Green,21,28,65,62
Bowling Green,UMass,20,13,70,59
UMass,Bowling Green,7,23,60,58
Bowling Green,UMass,17,21,66,68
UMass,Bowling Green,13,21,79,57
Bowling Green,UMass,17,10,68,53
UMass,Bowling Green,6,17,60,68
Bowling Green,UMass,16,3,71,50
UMass,Bowling Green,14,28,47,74
Bowling Green,UMass,45,10,77,59
UMass,Bowling Green,7,10,61,64
Bowling Green,UMass,28,9,71,52
UMass,Bowling Green,28,42,67,71
Bowling Green,UMass,17,0,68,62
UMass,Bowling Green,14,20,60,68
Bowling Green,UMass,17,3,65,67
UMass,Bowling Green,3,17,55,70
Bowling Green,UMass,17,10,67,68
UMass,Bowling Green,24,10,65,70
Bowling Green,UMass,24,9,71,61
UMass,Bowling Green,3,14,67,62
Bowling Green,UMass,38,16,69,62
UMass,Bowling Green,10,24,61,60
Bowling Green,UMass,31,3,71,51
UMass,Bowling Green,17,20,50,74
Bowling Green,UMass,14,20,63,67
UMass,Bowling Green,3,27,51,73
Bowling Green,UMass,17,3,68,59
UMass,Bowling Green,20,10,68,64
Bowling Green,UMass,28,13,61,65
UMass,Bowling Green,24,42,66,65
Bowling Green,UMass,38,21,69,58
UMass,Bowling Green,21,28,80,61
Bowling Green,UMass,17,27,59,71
UMass,Bowling Green,7,14,61,60
Bowling Green,UMass,13,20,72,58
UMass,Bowling Green,9,20,65,64
Bowling Green,UMass,20,10,63,77
UMass,Bowling Green,17,6,58,70
Bowling Green,UMass,23,3,67,56
UMass,Bowling Green,7,33,44,79
Bowling Green,UMass,24,10,65,58
UMass,Bowling Green,13,24,60,70
Bowling Green,UMass,24,3,59,69
UMass,Bowling Green,21,14,59,79
Bowling Green,UMass,27,9,67,59
UMass,Bowling Green,7,22,58,71
Bowling Green,UMass,27,10,60,69
UMass,Bowling Green,0,24,56,67
Bowling Green,UMass,31,13,69,66
UMass,Bowling Green,7,14,57,60
Bowling Green,UMass,24,17,67,63
UMass,Bowling Green,10,6,74,59
Bowling Green,UMass,13,7,65,69
UMass,Bowling Green,9,20,59,66
Bowling Green,UMass,14,24,71,57
UMass,Bowling Green,13,14,69,56
Bowling Green,UMass,6,17,74,64
UMass,Bowling Green,14,31,52,72
Bowling Green,UMass,34,3,71,49
UMass,Bowling Green,17,14,73,51
Bowling Green,UMass,24,14,59,65
UMass,Bowling Green,7,34,65,66
Bowling Green,UMass,31,3,73,51
UMass,Bowling Green,17,16,63,68
Bowling Green,UMass,17,3,67,59
UMass,Bowling Green,3,28,54,69
Bowling Green,UMass,34,3,62,66
UMass,Bowling Green,17,24,78,54
Bowling Green,UMass,24,3,55,75
UMass,Bowling Green,10,21,69,55
Bowling Green,UMass,35,14,74,51
UMass,Bowling Green,17,10,74,56
Bowling Green,UMass,44,7,79,43
UMass,Bowling Green,13,24,64,61
Bowling Green,UMass,3,20,57,71
UMass,Bowling Green,7,42,68,69
Bowling Green,UMass,13,10,70,59
UMass,Bowling Green,10,17,58,61
Bowling Green,UMass,17,0,68,46
UMass,Bowling Green,9,31,47,71
Bowling Green,UMass,16,24,73,59
UMass,Bowling Green,17,20,65,61
Bowling Green,UMass,42,17,68,64
UMass,Bowling Green,9,13,74,62
Bowling Green,UMass,24,28,69,64
UMass,Bowling Green,17,21,75,54
Bowling Green,UMass,31,17,68,60
UMass,Bowling Green,7,21,57,63
Bowling Green,UMass,20,24,60,64
UMass,Bowling Green,7,21,63,67
Bowling Green,UMass,6,30,63,65
UMass,Bowling Green,3,31,61,70
Bowling Green,UMass,17,13,60,66
UMass,Bowling Green,7,20,69,58
Bowling Green,UMass,13,6,57,68
UMass,Bowling Green,21,24,66,64
Bowling Green,UMass,3,10,67,56
UMass,Bowling Green,6,24,50,71
Bowling Green,UMass,14,10,72,56
UMass,Bowling Green,21,14,60,68
Bowling Green,UMass,21,28,57,74
UMass,Bowling Green,10,13,57,62
Bowling Green,UMass,10,16,60,71
UMass,Bowling Green,10,23,69,59
Bowling Green,UMass,28,13,68,59
UMass,Bowling Green,10,16,57,63
Bowling Green,UMass,27,7,71,68
UMass,Bowling Green,12,27,72,61
Bowling Green,UMass,31,10,73,46
UMass,Bowling Green,24,17,66,63
Bowling Green,UMass,37,10,76,43
UMass,Bowling Green,6,34,76,53
Bowling Green,UMass,31,13,77,50
UMass,Bowling Green,3,31,55,67
Bowling Green,UMass,20,3,65,46
UMass,Bowling Green,28,6,71,60
Bowling Green,UMass,10,24,63,72
UMass,Bowling Green,3,30,69,58
Bowling Green,UMass,30,3,68,61
UMass,Bowling Green,12,17,71,59
Bowling Green,UMass,27,20,65,61
UMass,Bowling Green,14,7,68,60
Bowling Green,UMass,23,9,63,64
UMass,Bowling Green,10,49,71,68
Bowling Green,UMass,30,7,78,47
UMass,Bowling Green,0,38,55,62
Bowling Green,UMass,27,14,67,59
UMass,Bowling Green,10,28,64,69
Bowling Green,UMass,10,28,64,62
UMass,Bowling Green,17,35,67,53
