team,opp,pts,opp_pts,plays,opp_plays
Delaware,UTEP,10,24,61,76
UTEP,Delaware,16,24,60,74
Delaware,UTEP,13,7,60,68
UTEP,Delaware,13,21,76,63
Delaware,UTEP,10,23,66,75
UTEP,Delaware,17,27,70,81
Delaware,UTEP,21,31,85,66
UTEP,Delaware,19,7,89,56
Delaware,UTEP,17,21,69,66
UTEP,Delaware,14,45,66,72
Delaware,UTEP,27,17,69,63
UTEP,Delaware,37,38,72,68
Delaware,UTEP,24,10,83,55
UTEP,Delaware,7,27,73,60
Delaware,UTEP,24,21,68,72
UTEP,Delaware,13,10,68,71
Delaware,UTEP,31,10,72,67
UTEP,Delaware,27,16,64,77
Delaware,UTEP,31,14,75,62
UTEP,Delaware,16,13,65,71
Delaware,UTEP,20,10,73,70
UTEP,Delaware,27,21,70,69
Delaware,UTEP,24,13,74,66
UTEP,Delaware,31,20,78,57
Delaware,UTEP,13,16,65,65
UTEP,Delaware,28,42,55,78
Delaware,UTEP,14,17,73,69
UTEP,Delaware,28,31,85,65
Delaware,UTEP,38,17,73,70
UTEP,Delaware,35,10,75,60
Delaware,UTEP,17,27,74,74
UTEP,Delaware,31,10,74,69
Delaware,UTEP,6,31,71,69
UTEP,Delaware,38,20,72,71
Delaware,UTEP,7,38,64,75
UTEP,Delaware,28,24,71,70
Delaware,UTEP,24,31,67,81
UTEP,Delaware,17,20,62,76
Delaware,UTEP,34,6,73,63
UTEP,Delaware,16,21,59,74
Delaware,UTEP,34,26,59,84
UTEP,Delaware,45,13,91,49
Delaware,UTEP,27,17,77,57
UTEP,Delaware,49,6,83,61
Delaware,UTEP,16,27,65,73
UTEP,Delaware,17,17,68,68
Delaware,UTEP,13,16,66,74
UTEP,Delaware,27,10,83,62
Delaware,UTEP,24,30,69,78
UTEP,Delaware,17,20,65,68
Delaware,UTEP,20,21,73,67
UTEP,Delaware,31,28,77,69
Delaware,UTEP,10,31,68,64
UTEP,Delaware,35,14,73,66
Delaware,UTEP,34,17,70,70
UTEP,Delaware,34,14,73,67
Delaware,UTEP,10,42,70,82
UTEP,Delaware,13,34,74,64
Delaware,UTEP,17,31,78,70
UTEP,Delaware,34,38,77,72
Delaware,UTEP,14,26,68,72
UTEP,Delaware,17,28,75,75
Delaware,UTEP,30,28,80,64
UTEP,Delaware,27,28,79,66
Delaware,UTEP,38,31,75,64
UTEP,Delaware,17,27,66,75
Delaware,UTEP,55,16,82,63
UTEP,Delaware,13,17,77,62
Delaware,UTEP,26,14,77,58
UTEP,Delaware,17,20,72,75
Delaware,UTEP,17,38,65,73
UTEP,Delaware,10,23,61,79
Delaware,UTEP,31,7,77,58
UTEP,Delaware,17,29,68,81
Delaware,UTEP,31,33,72,75
UTEP,Delaware,31,21,71,67
Delaware,UTEP,34,20,71,72
UTEP,Delaware,28,31,64,88
Delaware,UTEP,24,17,79,58
UTEP,Delaware,17,27,69,72
Delaware,UTEP,17,17,70,65
UTEP,Delaware,20,21,75,68
Delaware,UTEP,23,20,73,70
UTEP,Delaware,3,17,66,80
Delaware,UTEP,14,21,75,66
UTEP,Delaware,34,28,79,65
Delaware,UTEP,20,20,78,63
UTEP,Delaware,20,23,67,70
Delaware,UTEP,24,10,72,66
UTEP,Delaware,6,31,63,80
Delaware,UTEP,27,0,81,54
UTEP,Delaware,31,10,79,69
Delaware,UTEP,38,14,82,54
UTEP,Delaware,14,31,74,66
Delaware,UTEP,20,30,55,79
UTEP,Delaware,28,23,82,57
Delaware,UTEP,23,14,79,62
UTEP,Delaware,24,26,69,73
Delaware,UTEP,28,28,69,68
UTEP,Delaware,34,10,68,69
Delaware,UTEP,35,14,77,58
UTEP,Delaware,21,27,70,68
Delaware,UTEP,20,31,63,78
UTEP,Delaware,35,17,65,78
Delaware,UTEP,13,24,68,68
UTEP,Delaware,21,24,67,69
Delaware,UTEP,45,13,80,57
UTEP,Delaware,6,27,63,79
Delaware,UTEP,14,41,67,75
UTEP,Delaware,30,28,70,77
Delaware,UTEP,17,21,74,72
UTEP,Delaware,20,20,70,69
Delaware,UTEP,40,10,70,79
UTEP,Delaware,27,24,75,59
Delaware,UTEP,34,17,73,65
UTEP,Delaware,26,17,87,68
Delaware,UTEP,17,17,72,73
UTEP,Delaware,24,13,70,67
Delaware,UTEP,28,21,75,69
UTEP,Delaware,16,7,71,63
Delaware,UTEP,10,35,63,78
UTEP,Delaware,21,13,73,62
Delaware,UTEP,17,20,69,67
UTEP,Delaware,13,40,62,81
Delaware,UTEP,27,24,77,65
UTEP,Delaware,24,23,66,71
Delaware,UTEP,20,9,70,66
UTEP,Delaware,31,10,70,67
Delaware,UTEP,31,10,70,72
UTEP,Delaware,24,20,59,77
Delaware,UTEP,24,6,69,66
UTEP,Delaware,14,14,71,60
Delaware,UTEP,14,16,65,69
UTEP,Delaware,14,27,82,60
Delaware,UTEP,17,3,72,68
UTEP,Delaware,7,27,67,74
Delaware,UTEP,24,34,70,68
UTEP,Delaware,7,41,58,79
Delaware,UTEP,28,21,73,62
UTEP,Delaware,16,24,80,58
Delaware,UTEP,21,27,75,64
UTEP,Delaware,3,45,72,73
Delaware,UTEP,17,20,67,75
UTEP,Delaware,38,23,78,67
Delaware,UTEP,35,27,63,76
UTEP,Delaware,21,31,68,69
Delaware,UTEP,20,41,68,73
UTEP,Delaware,17,24,70,66
Delaware,UTEP,21,20,71,64
UTEP,Delaware,13,17,81,58
Delaware,UTEP,23,21,68,76
UTEP,Delaware,24,12,64,69
Delaware,UTEP,21,20,64,79
UTEP,Delaware,24,10,79,56
Delaware,UTEP,24,14,73,66
UTEP,Delaware,20,31,67,69
Delaware,UTEP,17,16,67,73
UTEP,Delaware,30,17,78,65
Delaware,UTEP,20,27,70,72
UTEP,Delaware,23,17,78,62
Delaware,UTEP,10,23,74,66
UTEP,Delaware,31,35,70,73
Delaware,UTEP,28,6,61,73
UTEP,Delaware,7,37,67,83
Delaware,UTEP,27,7,79,56
UTEP,Delaware,9,7,86,57
Delaware,UTEP,47,24,77,58
UTEP,Delaware,38,7,77,64
Delaware,UTEP,10,24,69,66
UTEP,Delaware,3,24,64,70
Delaware,UTEP,31,24,65,69
UTEP,Delaware,13,10,73,70
Delaware,UTEP,26,20,81,51
UTEP,Delaware,20,21,76,66
Delaware,UTEP,30,24,75,58
UTEP,Delaware,19,21,64,72
Delaware,UTEP,34,16,82,67
UTEP,Delaware,23,38,73,62
Delaware,UTEP,14,17,73,67
UTEP,Delaware,3,24,78,65
Delaware,UTEP,28,26,75,70
UTEP,Delaware,31,24,73,64
Delaware,UTEP,20,20,64,79
UTEP,Delaware,31,21,77,64
Delaware,UTEP,14,24,62,73
UTEP,Delaware,10,34,64,75
Delaware,UTEP,30,27,70,76
UTEP,Delaware,17,24,76,67
Delaware,UTEP,28,20,67,71
UTEP,Delaware,7,20,72,66
Delaware,UTEP,23,41,67,77
UTEP,Delaware,17,31,54,78
Delaware,UTEP,20,10,72,67
UTEP,Delaware,10,27,64,74
Delaware,UTEP,28,14,79,50
UTEP,Delaware,31,28,75,60
Delaware,UTEP,24,41,76,75
UTEP,Delaware,16,6,69,79
Delaware,UTEP,10,21,75,66
UTEP,Delaware,34,28,92,50
Delaware,UTEP,37,13,81,55
UTEP,Delaware,31,10,67,72
Delaware,UTEP,31,27,75,63
UTEP,Delaware,24,16,67,70
Delaware,UTEP,21,24,67,74
UTEP,Delaware,24,20,71,69
Delaware,UTEP,13,6,71,57
UTEP,Delaware,20,28,78,62
Delaware,UTEP,24,14,73,68
UTEP,Delaware,37,21,79,60
Delaware,UTEP,19,21,76,65
UTEP,Delaware,17,21,77,68
Delaware,UTEP,7,24,77,67
UTEP,Delaware,30,0,81,57
Delaware,UTEP,33,17,73,70
UTEP,Delaware,24,20,67,68
Delaware,UTEP,27,21,82,48
UTEP,Delaware,10,34,67,78
Delaware,UTEP,24,14,73,65
UTEP,Delaware,13,27,74,72
Delaware,UTEP,14,27,79,70
UTEP,Delaware,28,20,80,67
Delaware,UTEP,24,31,77,66
UTEP,Delaware,3,17,80,60
Delaware,UTEP,6,20,70,68
UTEP,Delaware,14,27,63,76
Delaware,UTEP,7,21,80,59
UTEP,Delaware,31,28,72,67
Delaware,UTEP,17,34,64,76
UTEP,Delaware,14,13,55,75
Delaware,UTEP,24,13,76,70
UTEP,Delaware,10,24,71,73
Delaware,UTEP,37,3,78,51
UTEP,Delaware,7,9,68,68
Delaware,UTEP,31,14,65,67
UTEP,Delaware,7,41,70,74
Delaware,UTEP,14,30,78,65
UTEP,Delaware,24,38,67,73
Delaware,UTEP,41,7,93,47
UTEP,Delaware,38,3,73,65
Delaware,UTEP,28,37,63,82
UTEP,Delaware,3,27,60,82
Delaware,UTEP,24,7,61,69
UTEP,Delaware,27,27,70,67
Delaware,UTEP,30,6,69,61
UTEP,Delaware,17,31,62,75
Delaware,UTEP,30,14,77,58
UTEP,Delaware,10,27,73,68
Delaware,UTEP,24,20,66,70
UTEP,Delaware,16,24,71,62
Delaware,UTEP,34,17,82,67
UTEP,Delaware,14,28,71,66
Delaware,UTEP,21,27,79,62
UTEP,Delaware,16,13,74,64
Delaware,UTEP,6,31,73,66
UTEP,Delaware,16,16,72,70
Delaware,UTEP,34,14,71,68
UTEP,Delaware,20,3,70,77
Delaware,UTEP,27,7,64,80
UTEP,Delaware,24,14,67,71
Delaware,UTEP,24,7,67,69
UTEP,Delaware,21,20,65,78
Delaware,UTEP,23,10,71,60
UTEP,Delaware,21,10,67,75
Delaware,UTEP,28,44,58,72
UTEP,Delaware,10,21,76,63
Delaware,UTEP,42,28,76,74
UTEP,Delaware,17,28,63,80
Delaware,UTEP,17,14,57,86
UTEP,Delaware,24,13,65,77
Delaware,UTEP,20,24,69,66
UTEP,Delaware,28,24,75,61
Delaware,UTEP,17,21,79,64
UTEP,Delaware,27,24,69,73
Delaware,UTEP,36,13,69,66
UTEP,Delaware,21,21,78,65
Delaware,UTEP,34,24,74,66
UTEP,Delaware,31,31,83,64
Delaware,UTEP,61,7,86,56
UTEP,Delaware,9,31,80,60
Delaware,UTEP,24,10,72,64
UTEP,Delaware,35,24,76,68
Delaware,UTEP,13,16,69,69
UTEP,Delaware,21,31,69,65
Delaware,UTEP,31,10,74,63
UTEP,Delaware,14,24,70,62
Delaware,UTEP,30,10,79,56
UTEP,Delaware,7,28,74,64
Delaware,UTEP,13,24,62,68
UTEP,Delaware,17,34,68,79
Delaware,UTEP,10,14,71,62
UTEP,Delaware,3,23,63,78
Delaware,UTEP,24,21,73,68
UTEP,Delaware,24,17,64,72
Delaware,UTEP,28,31,69,65
UTEP,Delaware,13,20,65,68
Delaware,UTEP,16,13,65,71
UTEP,Delaware,13,31,78,68
Delaware,UTEP,37,35,82,66
UTEP,Delaware,7,24,71,64
Delaware,UTEP,13,27,71,69
UTEP,Delaware,17,23,80,58
Delaware,UTEP,24,17,63,76
UTEP,Delaware,21,24,71,66
Delaware,UTEP,13,20,56,78
UTEP,Delaware,20,21,78,57
Delaware,UTEP,31,3,77,55
UTEP,Delaware,20,24,71,70
Delaware,UTEP,42,14,81,63
UTEP,Delaware,24,28,75,66
Delaware,UTEP,30,13,75,64
UTEP,Delaware,40,17,83,58
Delaware,UTEP,24,17,76,71
UTEP,Delaware,13,35,88,53
Delaware,UTEP,17,20,71,74
UTEP,Delaware,23,0,79,60
Delaware,UTEP,17,23,57,74
UTEP,Delaware,13,12,57,78
Delaware,UTEP,21,23,69,77
UTEP,Delaware,10,31,79,62
Delaware,UTEP,27,14,75,63
UTEP,Delaware,20,45,70,67
Delaware,UTEP,17,23,75,60
UTEP,Delaware,19,13,78,73
Delaware,UTEP,35,23,69,73
UTEP,Delaware,38,23,77,64
Delaware,UTEP,19,27,78,71
UTEP,Delaware,28,20,63,74
Delaware,UTEP,7,31,72,65
UTEP,Delaware,23,13,77,62
Delaware,UTEP,31,21,74,62
UTEP,Delaware,13,27,72,71
Delaware,UTEP,20,10,74,64
UTEP,Delaware,34,17,78,59
Delaware,UTEP,17,30,56,74
UTEP,Delaware,16,31,78,68
Delaware,UTEP,27,21,73,64
UTEP,Delaware,17,10,77,60
Delaware,UTEP,24,14,75,60
UTEP,Delaware,17,21,74,58
Delaware,UTEP,21,36,75,70
UTEP,Delaware,23,34,64,71
Delaware,UTEP,19,17,74,61
UTEP,Delaware,20,14,67,76
Delaware,UTEP,52,10,79,55
UTEP,Delaware,23,24,72,67
Delaware,UTEP,24,10,75,63
UTEP,Delaware,10,38,65,78
Delaware,UTEP,27,13,70,76
UTEP,Delaware,17,31,70,71
Delaware,UTEP,31,20,68,73
UTEP,Delaware,21,14,66,72
Delaware,UTEP,48,17,82,59
UTEP,Delaware,31,20,69,70
Delaware,UTEP,34,10,73,60
UTEP,Delaware,0,24,53,81
Delaware,UTEP,23,17,66,65
UTEP,Delaware,10,10,63,65
Delaware,UTEP,13,10,79,64
UTEP,Delaware,28,17,77,59
Delaware,UTEP,28,17,69,68
UTEP,Delaware,7,13,64,70
Delaware,UTEP,41,6,83,57
UTEP,Delaware,14,24,69,71
Delaware,UTEP,55,14,77,61
UTEP,Delaware,7,38,59,75
Delaware,UTEP,24,26,75,70
UTEP,Delaware,20,31,69,69
Delaware,UTEP,24,20,67,76
UTEP,Delaware,10,52,83,64
Delaware,UTEP,3,24,56,78
UTEP,Delaware,44,3,73,58
Delaware,UTEP,27,14,72,71
UTEP,Delaware,10,45,65,75
Delaware,UTEP,16,14,71,63
UTEP,Delaware,17,20,66,72
Delaware,UTEP,9,13,67,70
UTEP,Delaware,13,31,60,83
Delaware,UTEP,24,28,68,73
UTEP,Delaware,10,10,76,65
Delaware,UTEP,37,10,72,63
UTEP,Delaware,7,28,76,68
Delaware,UTEP,24,38,77,73
UTEP,Delaware,35,28,74,63
Delaware,UTEP,17,24,67,76
UTEP,Delaware,21,7,63,72
Delaware,UTEP,29,14,72,67
UTEP,Delaware,3,20,55,73
Delaware,UTEP,24,14,73,73
UTEP,Delaware,29,16,69,71
Delaware,UTEP,14,16,57,79
UTEP,Delaware,9,24,75,63
Delaware,UTEP,34,14,71,66
UTEP,Delaware,17,31,73,67
Delaware,UTEP,10,27,66,69
UTEP,Delaware,24,10,76,60
Delaware,UTEP,23,6,74,58
