team,opp,pts,opp_pts,plays,opp_plays
Eastern Michigan,Western Michigan,14,14,56,69
Western Michigan,Eastern Michigan,10,24,56,65
Eastern Michigan,Western Michigan,10,34,54,78
Western Michigan,Eastern Michigan,6,6,62,55
Eastern Michigan,Western Michigan,6,30,78,63
Western Michigan,Eastern Michigan,16,3,66,57
Eastern Michigan,Western Michigan,17,20,65,61
Western Michigan,Eastern Michigan,14,24,65,54
Eastern Michigan,Western Michigan,27,14,70,65
Western Michigan,Eastern Michigan,27,14,65,60
Eastern Michigan,Western Michigan,21,13,62,58
Western Michigan,Eastern Michigan,24,21,73,55
Eastern Michigan,Western Michigan,23,9,64,52
Western Michigan,Eastern Michigan,17,10,68,57
Eastern Michigan,Western Michigan,7,3,65,55
Western Michigan,Eastern Michigan,23,7,73,54
Eastern Michigan,Western Michigan,13,34,59,70
Western Michigan,Eastern Michigan,20,20,67,64
Eastern Michigan,Western Michigan,10,10,66,57
Western Michigan,Eastern Michigan,3,13,56,63
Eastern Michigan,Western Michigan,3,30,52,71
Western Michigan,Eastern Michigan,38,0,73,61
Eastern Michigan,Western Michigan,13,24,72,57
Western Michigan,Eastern Michigan,17,20,62,61
Eastern Michigan,Western Michigan,13,26,64,68
Western Michigan,Eastern Michigan,10,10,73,52
Eastern Michigan,Western Michigan,23,21,76,51
Western Michigan,Eastern Michigan,17,10,65,67
Eastern Michigan,Western Michigan,17,10,60,66
Western Michigan,Eastern Michigan,44,7,75,58
Eastern Michigan,Western Michigan,17,10,64,59
Western Michigan,Eastern Michigan,7,35,67,65
Eastern Michigan,Western Michigan,7,17,62,73
Western Michigan,Eastern Michigan,34,16,68,64
Eastern Michigan,Western Michigan,10,24,56,58
Western Michigan,Eastern Michigan,20,13,60,74
Eastern Michigan,Western Michigan,21,34,63,65
Western Michigan,Eastern Michigan,7,35,59,70
Eastern Michigan,Western Michigan,24,27,69,62
Western Michigan,Eastern Michigan,13,10,67,58
Eastern Michigan,Western Michigan,6,14,56,69
Western Michigan,Eastern Michigan,24,3,64,58
Eastern Michigan,Western Michigan,17,35,67,56
Western Michigan,Eastern Michigan,20,17,69,60
Eastern Michigan,Western Michigan,3,24,58,61
Western Michigan,Eastern Michigan,14,7,66,57
Eastern Michigan,Western Michigan,28,14,71,57
Western Michigan,Eastern Michigan,31,14,69,58
Eastern Michigan,Western Michigan,17,10,59,71
Western Michigan,Eastern Michigan,20,23,56,71
Eastern Michigan,Western Michigan,3,17,63,62
Western Michigan,Eastern Michigan,21,35,69,64
Eastern Michigan,Western Michigan,17,13,71,57
Western Michigan,Eastern Michigan,34,13,69,55
Eastern Michigan,Western Michigan,6,23,54,72
Western Michigan,Eastern Michigan,52,3,75,53
Eastern Michigan,Western Michigan,24,17,70,58
Western Michigan,Eastern Michigan,24,6,71,58
Eastern Michigan,Western Michigan,17,10,68,66
Western Michigan,Eastern Michigan,19,14,64,63
Eastern Michigan,Western Michigan,17,19,72,52
Western Michigan,Eastern Michigan,30,3,75,46
Eastern Michigan,Western Michigan,13,28,60,71
Western Michigan,Eastern Michigan,16,6,64,69
Eastern Michigan,Western Michigan,3,38,70,67
Western Michigan,Eastern Michigan,17,14,65,59
Eastern Michigan,Western Michigan,14,21,52,68
Western Michigan,Eastern Michigan,41,10,80,51
Eastern Michigan,Western Michigan,21,14,75,55
Western Michigan,Eastern Michigan,23,7,71,49
Eastern Michigan,Western Michigan,7,14,61,64
Western Michigan,Eastern Michigan,49,14,78,56
Eastern Michigan,Western Michigan,24,28,59,72
Western Michigan,Eastern Michigan,27,14,67,63
Eastern Michigan,Western Michigan,14,10,71,56
Western Michigan,Eastern Michigan,20,7,58,77
Eastern Michigan,Western Michigan,3,20,57,66
Western Michigan,Eastern Michigan,34,7,77,52
Eastern Michigan,Western Michigan,21,31,58,72
Western Michigan,Eastern Michigan,7,24,60,66
Eastern Michigan,Western Michigan,14,10,59,70
Western Michigan,Eastern Michigan,28,7,66,62
Eastern Michigan,Western Michigan,7,7,60,67
Western Michigan,Eastern Michigan,38,3,79,53
Eastern Michigan,Western Michigan,3,23,55,66
Western Michigan,Eastern Michigan,16,10,60,67
Eastern Michigan,Western Michigan,14,21,67,62
Western Michigan,Eastern Michigan,28,7,82,47
Eastern Michigan,Western Michigan,3,23,59,69
Western Michigan,Eastern Michigan,21,10,68,58
Eastern Michigan,Western Michigan,17,10,77,47
Western Michigan,Eastern Michigan,10,10,59,64
Eastern Michigan,Western Michigan,34,13,77,55
Western Michigan,Eastern Michigan,21,10,67,54
Eastern Michigan,Western Michigan,13,31,65,64
Western Michigan,Eastern Michigan,20,31,64,56
Eastern Michigan,Western Michigan,0,17,64,62
Western Michigan,Eastern Michigan,17,10,63,64
Eastern Michigan,Western Michigan,16,13,59,65
Western Michigan,Eastern Michigan,10,20,64,67
Eastern Michigan,Western Michigan,10,20,72,61
Western Michigan,Eastern Michigan,13,24,70,64
Eastern Michigan,Western Michigan,13,10,70,65
Western Michigan,Eastern Michigan,14,20,68,58
Eastern Michigan,Western Michigan,7,21,63,58
Western Michigan,Eastern Michigan,0,21,58,71
Eastern Michigan,Western Michigan,17,34,57,71
Western Michigan,Eastern Michigan,10,10,60,63
Eastern Michigan,Western Michigan,14,24,58,67
Western Michigan,Eastern Michigan,24,14,73,54
Eastern Michigan,Western Michigan,6,17,71,56
Western Michigan,Eastern Michigan,23,17,60,67
Eastern Michigan,Western Michigan,3,41,54,76
Western Michigan,Eastern Michigan,20,3,65,59
Eastern Michigan,Western Michigan,23,7,74,48
Western Michigan,Eastern Michigan,17,7,66,65
Eastern Michigan,Western Michigan,21,20,63,66
Western Michigan,Eastern Michigan,28,7,72,55
Eastern Michigan,Western Michigan,28,13,68,70
Western Michigan,Eastern Michigan,10,7,59,73
Eastern Michigan,Western Michigan,20,14,74,62
Western Michigan,Eastern Michigan,27,24,69,58
Eastern Michigan,Western Michigan,24,34,75,62
Western Michigan,Eastern Michigan,27,13,66,54
Eastern Michigan,Western Michigan,10,14,68,58
Western Michigan,Eastern Michigan,31,13,69,60
Eastern Michigan,Western Michigan,6,20,64,64
Western Michigan,Eastern Michigan,21,27,61,69
Eastern Michigan,Western Michigan,17,13,61,66
Western Michigan,Eastern Michigan,20,6,69,56
Eastern Michigan,Western Michigan,14,21,68,61
Western Michigan,Eastern Michigan,7,24,60,58
Eastern Michigan,Western Michigan,7,27,51,77
Western Michigan,Eastern Michigan,21,13,52,76
Eastern Michigan,Western Michigan,24,13,63,68
Western Michigan,Eastern Michigan,17,27,63,71
Eastern Michigan,Western Michigan,13,24,71,65
Western Michigan,Eastern Michigan,24,10,71,57
Eastern Michigan,Western Michigan,13,31,67,64
Western Michigan,Eastern Michigan,17,14,65,56
Eastern Michigan,Western Michigan,13,3,67,56
Western Michigan,Eastern Michigan,17,10,67,64
Eastern Michigan,Western Michigan,6,24,59,69
Western Michigan,Eastern Michigan,34,3,72,50
Eastern Michigan,Western Michigan,20,24,76,56
Western Michigan,Eastern Michigan,34,17,62,65
Eastern Michigan,Western Michigan,16,17,69,63
Western Michigan,Eastern Michigan,23,17,62,71
Eastern Michigan,Western Michigan,6,14,69,67
Western Michigan,Eastern Michigan,28,10,58,70
Eastern Michigan,Western Michigan,7,17,62,61
Western Michigan,Eastern Michigan,9,3,66,65
Eastern Michigan,Western Michigan,7,27,55,69
Western Michigan,Eastern Michigan,13,20,56,67
Eastern Michigan,Western Michigan,13,24,65,60
Western Michigan,Eastern Michigan,35,24,75,50
Eastern Michigan,Western Michigan,6,10,61,62
Western Michigan,Eastern Michigan,10,23,60,63
Eastern Michigan,Western Michigan,20,10,63,72
Western Michigan,Eastern Michigan,24,20,69,58
Eastern Michigan,Western Michigan,20,27,61,69
Western Michigan,Eastern Michigan,13,24,64,61
Eastern Michigan,Western Michigan,17,17,58,64
Western Michigan,Eastern Michigan,28,7,62,65
Eastern Michigan,Western Michigan,27,0,75,51
Western Michigan,Eastern Michigan,6,6,56,59
Eastern Michigan,Western Michigan,24,31,73,63
Western Michigan,Eastern Michigan,20,7,63,65
Eastern Michigan,Western Michigan,14,30,74,63
Western Michigan,Eastern Michigan,7,16,65,65
Eastern Michigan,Western Michigan,24,3,77,56
Western Michigan,Eastern Michigan,10,17,61,67
Eastern Michigan,Western Michigan,23,0,71,53
Western Michigan,Eastern Michigan,31,7,72,62
Eastern Michigan,Western Michigan,14,38,55,72
Western Michigan,Eastern Michigan,10,14,62,56
Eastern Michigan,Western Michigan,10,31,59,66
Western Michigan,Eastern Michigan,45,6,64,56
Eastern Michigan,Western Michigan,20,20,74,62
Western Michigan,Eastern Michigan,34,17,63,65
Eastern Michigan,Western Michigan,20,21,64,59
Western Michigan,Eastern Michigan,27,10,68,58
Eastern Michigan,Western Michigan,27,31,65,68
Western Michigan,Eastern Michigan,44,10,72,61
Eastern Michigan,Western Michigan,20,17,69,51
Western Michigan,Eastern Michigan,17,20,60,80
Eastern Michigan,Western Michigan,3,41,67,67
