team,opp,pts,opp_pts,plays,opp_plays
Florida,Florida State,17,35,57,75
Florida State,Florida,14,23,55,71
Florida,Florida State,6,17,64,62
Florida State,Florida,17,17,63,65
Florida,Florida State,35,21,59,67
Florida State,Florida,24,17,59,68
Florida,Florida State,17,31,56,82
Florida State,Florida,14,7,74,52
Florida,Florida State,14,14,62,65
Florida State,Florida,10,6,57,65
Florida,Florida State,20,34,64,62
Florida State,Florida,27,13,71,67
Florida,Florida State,15,10,67,59
Florida State,Florida,7,24,54,71
Florida,Florida State,19,3,77,41
Florida State,Florida,3,17,58,61
Florida,Florida State,17,38,67,67
Florida State,Florida,24,10,72,59
Florida,Florida State,7,30,53,76
Florida State,Florida,14,21,61,68
Florida,Florida State,24,24,60,64
Florida State,Florida,24,3,70,55
Florida,Florida State,24,24,69,53
Florida State,Florida,13,16,75,59
Florida,Florida State,27,35,61,60
Florida State,Florida,9,20,67,59
Florida,Florida State,17,7,75,47
Florida State,Florida,17,13,60,64
Florida,Florida State,17,10,73,61
Florida State,Florida,16,10,64,58
Florida,Florida State,14,30,55,76
Florida State,Florida,13,7,65,58
Florida,Florida State,31,21,57,69
Florida State,Florida,27,17,69,59
Florida,Florida State,3,20,63,62
Florida State,Florida,13,17,65,62
Florida,Florida State,30,14,74,47
Florida State,Florida,10,35,66,64
Florida,Florida State,14,37,54,79
Florida State,Florida,19,3,67,56
Florida,Florida State,30,7,78,49
Florida State,Florida,31,10,62,65
Florida,Florida State,0,24,57,67
Florida State,Florida,0,14,54,66
Florida,Florida State,0,21,72,64
Florida State,Florida,21,24,60,63
Florida,Florida State,24,35,65,61
Florida State,Florida,17,28,55,69
Florida,Florida State,13,16,54,73
Florida State,Florida,15,6,69,63
Florida,Florida State,7,10,60,58
Florida State,Florida,7,35,65,61
Florida,Florida State,30,10,66,60
Florida State,Florida,37,20,71,56
Florida,Florida State,14,27,70,57
Florida State,Florida,17,24,69,58
Florida,Florida State,7,31,72,62
Florida State,Florida,24,17,74,54
Florida,Florida State,23,10,71,52
Florida State,Florida,24,7,74,62
Florida,Florida State,13,21,72,60
Florida State,Florida,31,17,60,74
Florida,Florida State,0,17,60,71
Florida State,Florida,42,27,67,58
Florida,Florida State,17,10,54,66
Florida State,Florida,23,7,65,55
Florida,Florida State,20,28,55,73
Florida State,Florida,20,20,63,67
Florida,Florida State,6,13,67,55
