team,opp,pts,opp_pts,plays,opp_plays
Georgia Southern,Marshall,21,13,70,57
Marshall,Georgia Southern,42,17,73,64
Georgia Southern,Marshall,13,17,73,55
Marshall,Georgia Southern,27,10,76,56
Georgia Southern,Marshall,20,17,69,57
Marshall,Georgia Southern,27,7,76,55
Georgia Southern,Marshall,17,21,65,65
Marshall,Georgia Southern,21,38,57,71
Georgia Southern,Marshall,10,14,80,52
Marshall,Georgia Southern,27,17,68,58
Georgia Southern,Marshall,26,17,72,60
Marshall,Georgia Southern,24,34,55,73
Georgia Southern,Marshall,23,42,71,62
Marshall,Georgia Southern,45,30,65,63
Georgia Southern,Marshall,27,28,76,57
Marshall,Georgia Southern,17,38,67,71
Georgia Southern,Marshall,24,20,70,65
Marshall,Georgia Southern,56,21,79,57
Georgia Southern,Marshall,35,31,70,66
Marshall,Georgia Southern,23,14,57,72
Georgia Southern,Marshall,13,24,61,66
Marshall,Georgia Southern,24,24,64,64
Georgia Southern,Marshall,17,28,67,61
Marshall,Georgia Southern,47,14,79,48
Georgia Southern,Marshall,28,24,61,70
Marshall,Georgia Southern,31,3,70,55
Georgia Southern,Marshall,27,17,70,70
Marshall,Georgia Southern,59,7,86,54
Georgia Southern,Marshall,21,21,78,57
Marshall,Georgia Southern,21,16,58,73
Georgia Southern,Marshall,30,24,69,57
Marshall,Georgia Southern,31,34,57,77
Georgia Southern,Marshall,20,31,66,69
Marshall,Georgia Southern,31,17,62,64
Georgia Southern,Marshall,24,24,66,61
Marshall,Georgia Southern,34,21,71,60
Georgia Southern,Marshall,17,24,71,56
Marshall,Georgia Southern,14,31,55,73
Georgia Southern,Marshall,21,33,70,67
Marshall,Georgia Southern,34,28,71,59
Georgia Southern,Marshall,24,9,74,54
Marshall,Georgia Southern,45,34,76,59
Georgia Southern,Marshall,38,24,68,68
Marshall,Georgia Southern,41,24,75,53
Georgia Southern,Marshall,7,37,60,74
Marshall,Georgia Southern,27,17,70,64
Georgia Southern,Marshall,31,20,62,61
Marshall,Georgia Southern,28,12,60,69
Georgia Southern,Marshall,17,28,70,63
Marshall,Georgia Southern,24,27,64,67
Georgia Southern,Marshall,45,17,74,58
