team,opp,pts,opp_pts,plays,opp_plays
Kansas State,Colorado,26,14,73,50
Colorado,Kansas State,10,24,67,55
Kansas State,Colorado,27,10,73,44
Colorado,Kansas State,13,24,60,62
Kansas State,Colorado,20,20,56,65
Colorado,Kansas State,17,13,63,60
Kansas State,Colorado,20,17,66,52
Colorado,Kansas State,13,20,66,57
Kansas State,Colorado,41,17,64,62
Colorado,Kansas State,14,27,58,65
Kansas State,Colorado,14,23,55,65
Colorado,Kansas State,17,24,66,58
Kansas State,Colorado,38,10,64,52
Colorado,Kansas State,17,38,57,61
Kansas State,Colorado,35,7,61,60
Colorado,Kansas State,14,24,56,61
Kansas State,Colorado,28,21,63,60
Colorado,Kansas State,20,20,69,52
Kansas State,Colorado,27,14,67,51
Colorado,Kansas State,17,28,56,68
Kansas State,Colorado,21,20,58,72
Colorado,Kansas State,31,20,68,54
Kansas State,Colorado,7,20,56,62
Colorado,Kansas State,7,7,55,59
Kansas State,Colorado,24,10,75,46
Colorado,Kansas State,19,13,66,52
Kansas State,Colorado,38,14,62,61
Colorado,Kansas State,13,21,61,57
Kansas State,Colorado,24,20,59,60
Colorado,Kansas State,14,16,54,67
Kansas State,Colorado,24,17,64,59
Colorado,Kansas State,7,51,50,69
Kansas State,Colorado,34,14,69,58
Colorado,Kansas State,10,30,56,71
Kansas State,Colorado,28,31,57,69
Colorado,Kansas State,21,31,64,66
Kansas State,Colorado,14,31,69,56
Colorado,Kansas State,6,20,57,63
Kansas State,Colorado,27,14,59,54
Colorado,Kansas State,13,37,60,58
Kansas State,Colorado,31,0,62,60
Colorado,Kansas State,24,24,58,64
Kansas State,Colorado,17,7,64,57
Colorado,Kansas State,13,31,56,60
Kansas State,Colorado,31,10,61,54
Colorado,Kansas State,21,17,62,56
Kansas State,Colorado,34,0,70,41
Colorado,Kansas State,20,14,63,56
Kansas State,Colorado,10,24,60,61
Colorado,Kansas State,20,17,65,55
Kansas State,Colorado,14,35,48,66
Colorado,Kansas State,28,28,65,60
Kansas State,Colorado,35,6,59,62
Colorado,Kansas State,13,31,66,56
Kansas State,Colorado,38,10,67,61
Colorado,Kansas State,17,38,60,60
Kansas State,Colorado,31,17,67,56
Colorado,Kansas State,17,14,56,68
Kansas State,Colorado,28,3,64,51
Colorado,Kansas State,21,27,60,57
Kansas State,Colorado,27,7,66,54
Colorado,Kansas State,23,28,82,52
Kansas State,Colorado,28,24,57,69
Colorado,Kansas State,23,20,62,60
Kansas State,Colorado,31,21,61,59
Colorado,Kansas State,34,30,63,57
Kansas State,Colorado,24,14,65,54
Colorado,Kansas State,14,34,67,52
Kansas State,Colorado,17,17,58,55
Colorado,Kansas State,28,17,62,64
Kansas State,Colorado,21,7,49,72
Colorado,Kansas State,14,24,59,61
Kansas State,Colorado,21,7,57,61
Colorado,Kansas State,24,17,70,55
Kansas State,Colorado,31,13,61,55
Colorado,Kansas State,10,27,66,57
Kansas State,Colorado,34,7,69,49
Colorado,Kansas State,13,35,68,56
Kansas State,Colorado,14,27,54,65
Colorado,Kansas State,38,14,55,62
Kansas State,Colorado,24,21,56,62
Colorado,Kansas State,24,21,62,57
Kansas State,Colorado,14,13,56,65
Colorado,Kansas State,27,3,78,39
Kansas State,Colorado,21,7,65,58
Colorado,Kansas State,13,21,76,53
Kansas State,Colorado,27,17,65,57
Colorado,Kansas State,7,24,59,56
Kansas State,Colorado,17,14,56,70
Colorado,Kansas State,3,13,63,60
Kansas State,Colorado,35,0,68,50
Colorado,Kansas State,14,26,50,67
Kansas State,Colorado,21,27,55,67
Colorado,Kansas State,17,34,58,65
Kansas State,Colorado,17,17,65,58
Colorado,Kansas State,10,21,53,62
Kansas State,Colorado,20,20,63,56
Colorado,Kansas State,13,14,69,54
Kansas State,Colorado,7,3,49,69
Colorado,Kansas State,10,20,57,63
Kansas State,Colorado,21,6,66,48
Colorado,Kansas State,17,24,68,61
Kansas State,Colorado,10,14,75,49
Colorado,Kansas State,21,38,58,66
Kansas State,Colorado,31,21,57,69
Colorado,Kansas State,21,17,67,66
Kansas State,Colorado,20,10,66,55
Colorado,Kansas State,20,20,61,54
Kansas State,Colorado,42,6,63,54
Colorado,Kansas State,23,24,73,59
Kansas State,Colorado,27,24,60,62
Colorado,Kansas State,12,28,63,58
Kansas State,Colorado,24,14,63,52
Colorado,Kansas State,17,24,66,57
Kansas State,Colorado,10,20,73,56
Colorado,Kansas State,10,34,50,70
Kansas State,Colorado,14,14,55,63
Colorado,Kansas State,7,24,63,62
Kansas State,Colorado,28,20,69,52
Colorado,Kansas State,14,21,58,61
Kansas State,Colorado,17,13,60,69
Colorado,Kansas State,6,34,62,58
Kansas State,Colorado,20,21,64,57
Colorado,Kansas State,21,31,58,59
Kansas State,Colorado,21,17,55,63
Colorado,Kansas State,17,24,58,65
Kansas State,Colorado,20,21,69,48
Colorado,Kansas State,13,38,51,73
Kansas State,Colorado,14,17,62,57
Colorado,Kansas State,13,7,65,54
