team,opp,pts,opp_pts,plays,opp_plays
Louisville,Kentucky,6,13,53,57
Kentucky,Louisville,0,21,53,59
Louisville,Kentucky,10,24,61,53
Kentucky,Louisville,28,17,61,58
Louisville,Kentucky,7,14,65,47
Kentucky,Louisville,20,7,60,53
Louisville,Kentucky,17,31,63,57
Kentucky,Louisville,31,31,57,65
Louisville,Kentucky,35,10,51,67
Kentucky,Louisville,3,17,59,57
Louisville,Kentucky,21,7,63,50
Kentucky,Louisville,17,17,66,60
Louisville,Kentucky,10,24,60,60
Kentucky,Louisville,14,6,62,50
Louisville,Kentucky,10,3,55,55
Kentucky,Louisville,10,10,70,48
Louisville,Kentucky,10,13,54,58
Kentucky,Louisville,14,21,58,55
Louisville,Kentucky,13,7,56,59
Kentucky,Louisville,33,14,76,44
Louisville,Kentucky,0,7,62,46
Kentucky,Louisville,20,14,64,46
Louisville,Kentucky,14,17,51,64
Kentucky,Louisville,24,14,59,57
Louisville,Kentucky,21,6,54,63
Kentucky,Louisville,0,6,59,51
Louisville,Kentucky,17,10,57,63
Kentucky,Louisville,17,17,63,52
Louisville,Kentucky,14,16,51,63
Kentucky,Louisville,7,41,45,67
Louisville,Kentucky,35,3,76,41
Kentucky,Louisville,21,21,59,55
Louisville,Kentucky,10,27,51,59
Kentucky,Louisville,21,17,54,61
Louisville,Kentucky,24,7,60,60
Kentucky,Louisville,7,21,60,53
Louisville,Kentucky,16,13,58,57
Kentucky,Louisville,15,0,64,48
Louisville,Kentucky,17,0,53,61
Kentucky,Louisville,21,27,55,62
Louisville,Kentucky,7,24,53,62
Kentucky,Louisville,41,3,66,49
Louisville,Kentucky,24,17,61,52
Kentucky,Louisville,35,24,60,59
Louisville,Kentucky,14,27,54,62
Kentucky,Louisville,20,10,64,53
Louisville,Kentucky,28,7,59,51
Kentucky,Louisville,17,6,70,49
Louisville,Kentucky,13,7,62,55
Kentucky,Louisville,20,10,53,66
Louisville,Kentucky,21,28,50,64
Kentucky,Louisville,21,21,55,64
Louisville,Kentucky,20,31,58,60
Kentucky,Louisville,24,14,60,57
Louisville,Kentucky,13,21,55,61
Kentucky,Louisville,7,28,70,50
Louisville,Kentucky,13,21,70,53
Kentucky,Louisville,0,13,57,59
Louisville,Kentucky,7,17,61,55
Kentucky,Louisville,13,17,51,64
Louisville,Kentucky,7,30,53,60
Kentucky,Louisville,7,17,50,70
Louisville,Kentucky,10,7,62,53
Kentucky,Louisville,17,10,63,53
Louisville,Kentucky,17,14,62,54
Kentucky,Louisville,20,3,67,47
Louisville,Kentucky,27,17,71,44
Kentucky,Louisville,3,38,48,70
Louisville,Kentucky,27,10,55,65
Kentucky,Louisville,35,3,56,61
Louisville,Kentucky,24,14,60,67
Kentucky,Louisville,21,14,65,51
Louisville,Kentucky,28,7,66,54
Kentucky,Louisville,30,0,69,47
Louisville,Kentucky,14,31,56,56
Kentucky,Louisville,21,13,62,45
Louisville,Kentucky,20,20,60,58
Kentucky,Louisville,3,13,59,55
Louisville,Kentucky,3,20,45,68
Kentucky,Louisville,16,10,63,50
Louisville,Kentucky,21,14,66,49
Kentucky,Louisville,21,14,55,55
Louisville,Kentucky,31,10,63,49
Kentucky,Louisville,6,17,62,50
Louisville,Kentucky,17,17,63,59
Kentucky,Louisville,10,16,60,55
Louisville,Kentucky,14,17,55,59
Kentucky,Louisville,20,24,57,64
Louisville,Kentucky,10,17,52,63
Kentucky,Louisville,3,17,56,62
Louisville,Kentucky,14,27,49,65
Kentucky,Louisville,17,14,56,70
Louisville,Kentucky,7,30,54,65
Kentucky,Louisville,16,10,65,46
Louisville,Kentucky,34,14,61,50
Kentucky,Louisville,13,21,55,58
Louisville,Kentucky,17,10,57,60
Kentucky,Louisville,0,35,52,58
Louisville,Kentucky,7,20,54,62
Kentucky,Louisville,17,27,55,62
Louisville,Kentucky,3,24,58,53
Kentucky,Louisville,7,17,46,65
Louisville,Kentucky,7,24,55,60
Kentucky,Louisville,41,3,72,48
Louisville,Kentucky,14,24,74,47
Kentucky,Louisville,17,35,60,59
Louisville,Kentucky,38,13,69,48
Kentucky,Louisville,24,14,74,44
Louisville,Kentucky,37,7,68,57
Kentucky,Louisville,24,21,67,58
Louisville,Kentucky,24,0,69,47
Kentucky,Louisville,10,6,70,49
Louisville,Kentucky,17,10,53,61
Kentucky,Louisville,21,28,55,61
Louisville,Kentucky,41,0,74,44
Kentucky,Louisville,0,23,51,62
Louisville,Kentucky,7,21,50,61
Kentucky,Louisville,7,3,60,53
Louisville,Kentucky,35,24,63,55
Kentucky,Louisville,31,24,62,58
