team,opp,pts,opp_pts,plays,opp_plays
NC State,North Carolina,10,3,58,51
North Carolina,NC State,10,38,49,59
NC State,North Carolina,21,10,60,54
North Carolina,NC State,7,24,51,58
NC State,North Carolina,28,14,62,50
North Carolina,NC State,10,42,52,55
NC State,North Carolina,30,7,59,52
North Carolina,NC State,13,28,62,49
NC State,North Carolina,28,6,52,61
North Carolina,NC State,7,35,61,50
NC State,North Carolina,19,10,63,44
North Carolina,NC State,6,28,52,56
NC State,North Carolina,17,0,64,45
North Carolina,NC State,17,7,52,54
NC State,North Carolina,21,21,50,56
North Carolina,NC State,14,24,52,62
NC State,North Carolina,27,7,58,52
North Carolina,NC State,24,7,63,48
NC State,North Carolina,13,14,59,55
North Carolina,NC State,20,7,65,44
NC State,North Carolina,21,0,61,44
North Carolina,NC State,24,17,57,56
NC State,North Carolina,28,9,60,52
North Carolina,NC State,6,31,60,45
NC State,North Carolina,24,3,55,54
North Carolina,NC State,24,21,62,55
NC State,North Carolina,21,20,48,64
North Carolina,NC State,3,21,54,55
NC State,North Carolina,28,0,72,42
North Carolina,NC State,7,17,53,56
NC State,North Carolina,7,14,58,49
North Carolina,NC State,14,10,52,57
NC State,North Carolina,45,10,57,57
North Carolina,NC State,14,21,49,61
NC State,North Carolina,31,7,55,51
North Carolina,NC State,10,28,53,58
NC State,North Carolina,10,13,44,65
North Carolina,NC State,21,17,52,61
NC State,North Carolina,20,23,62,50
North Carolina,NC State,10,0,63,44
NC State,North Carolina,14,13,55,56
North Carolina,NC State,17,14,63,46
NC State,North Carolina,13,6,50,64
North Carolina,NC State,0,14,59,53
NC State,North Carolina,20,0,59,46
North Carolina,NC State,3,24,43,61
NC State,North Carolina,27,14,56,52
North Carolina,NC State,7,27,63,55
NC State,North Carolina,24,20,56,54
North Carolina,NC State,7,3,59,50
NC State,North Carolina,0,10,42,64
North Carolina,NC State,10,13,57,59
NC State,North Carolina,17,10,60,53
North Carolina,NC State,14,21,61,59
NC State,North Carolina,28,14,62,49
North Carolina,NC State,13,24,67,46
NC State,North Carolina,7,20,68,54
North Carolina,NC State,13,24,58,65
NC State,North Carolina,3,10,52,54
North Carolina,NC State,3,41,48,64
NC State,North Carolina,24,3,62,53
North Carolina,NC State,19,10,61,45
NC State,North Carolina,14,7,53,58
North Carolina,NC State,17,28,62,53
NC State,North Carolina,9,7,53,57
North Carolina,NC State,7,24,63,54
NC State,North Carolina,27,7,68,49
North Carolina,NC State,17,45,57,56
NC State,North Carolina,21,13,50,61
North Carolina,NC State,7,7,52,59
NC State,North Carolina,7,24,43,69
North Carolina,NC State,14,28,59,53
NC State,North Carolina,7,28,48,57
North Carolina,NC State,3,13,50,55
NC State,North Carolina,21,17,57,54
North Carolina,NC State,12,13,57,57
NC State,North Carolina,10,10,45,63
North Carolina,NC State,21,17,62,50
NC State,North Carolina,10,23,52,54
North Carolina,NC State,17,17,50,59
NC State,North Carolina,21,13,51,57
North Carolina,NC State,24,3,66,41
NC State,North Carolina,24,3,56,57
North Carolina,NC State,3,27,47,61
NC State,North Carolina,10,13,53,56
North Carolina,NC State,14,34,64,49
NC State,North Carolina,13,13,54,58
