team,opp,pts,opp_pts,plays,opp_plays
Nevada,UNLV,3,45,58,66
UNLV,Nevada,41,0,72,46
Nevada,UNLV,10,14,76,50
UNLV,Nevada,24,21,58,71
Nevada,UNLV,13,28,66,53
UNLV,Nevada,34,14,73,52
Nevada,UNLV,10,31,74,50
UNLV,Nevada,23,17,60,57
Nevada,UNLV,0,37,57,62
UNLV,Nevada,28,14,63,54
Nevada,UNLV,6,21,60,58
UNLV,Nevada,33,7,61,58
Nevada,UNLV,17,7,63,61
UNLV,Nevada,24,0,68,60
Nevada,UNLV,7,31,55,63
UNLV,Nevada,6,0,56,57
Nevada,UNLV,7,16,52,62
UNLV,Nevada,20,7,61,54
Nevada,UNLV,21,21,63,56
UNLV,Nevada,44,3,64,53
Nevada,UNLV,3,31,52,63
UNLV,Nevada,27,21,58,56
Nevada,UNLV,0,37,72,60
UNLV,Nevada,42,0,67,53
Nevada,UNLV,10,17,61,56
UNLV,Nevada,34,13,64,57
Nevada,UNLV,0,35,60,63
UNLV,Nevada,23,17,56,65
Nevada,UNLV,17,35,66,57
UNLV,Nevada,38,17,78,55
Nevada,UNLV,10,20,62,61
UNLV,Nevada,6,20,50,67
Nevada,UNLV,17,30,58,63
UNLV,Nevada,44,0,68,48
Nevada,UNLV,20,42,71,54
UNLV,Nevada,31,17,57,72
Nevada,UNLV,7,59,45,73
UNLV,Nevada,42,13,65,56
Nevada,UNLV,17,24,63,60
UNLV,Nevada,51,6,64,56
Nevada,UNLV,0,28,53,67
UNLV,Nevada,38,7,70,47
Nevada,UNLV,10,26,50,68
UNLV,Nevada,37,3,73,42
Nevada,UNLV,6,10,53,67
UNLV,Nevada,24,14,64,57
Nevada,UNLV,7,44,59,66
UNLV,Nevada,14,0,62,60
Nevada,UNLV,17,34,59,65
UNLV,Nevada,31,10,81,46
Nevada,UNLV,3,48,44,72
UNLV,Nevada,30,14,68,56
Nevada,UNLV,17,17,75,51
UNLV,Nevada,54,10,70,54
Nevada,UNLV,14,28,54,59
UNLV,Nevada,38,0,65,63
Nevada,UNLV,7,31,52,62
UNLV,Nevada,35,13,58,59
Nevada,UNLV,24,13,67,51
UNLV,Nevada,44,0,69,58
Nevada,UNLV,10,16,73,52
UNLV,Nevada,28,21,61,63
Nevada,UNLV,7,30,64,62
UNLV,Nevada,35,17,60,62
Nevada,UNLV,10,6,55,69
UNLV,Nevada,31,28,62,59
Nevada,UNLV,7,23,48,71
UNLV,Nevada,14,13,51,65
Nevada,UNLV,7,27,57,61
UNLV,Nevada,24,3,58,61
Nevada,UNLV,7,38,52,65
UNLV,Nevada,24,7,70,52
Nevada,UNLV,10,21,65,49
UNLV,Nevada,17,10,63,52
Nevada,UNLV,3,31,53,67
UNLV,Nevada,38,7,72,53
Nevada,UNLV,17,31,60,60
UNLV,Nevada,34,24,59,73
Nevada,UNLV,14,24,53,63
UNLV,Nevada,38,7,64,55
Nevada,UNLV,6,24,53,63
UNLV,Nevada,31,3,55,70
Nevada,UNLV,21,27,57,67
UNLV,Nevada,42,31,66,57
Nevada,UNLV,6,52,59,64
UNLV,Nevada,17,6,57,56
Nevada,UNLV,3,31,50,60
UNLV,Nevada,42,3,69,51
Nevada,UNLV,14,23,65,62
UNLV,Nevada,31,0,70,44
Nevada,UNLV,20,28,63,59
UNLV,Nevada,14,27,54,72
Nevada,UNLV,17,35,60,57
UNLV,Nevada,45,3,66,52
Nevada,UNLV,14,41,53,66
UNLV,Nevada,31,3,59,61
Nevada,UNLV,7,35,52,68
UNLV,Nevada,30,10,70,54
Nevada,UNLV,20,17,61,60
UNLV,Nevada,33,21,73,49
Nevada,UNLV,14,42,63,56
UNLV,Nevada,14,17,58,63
Nevada,UNLV,7,24,60,59
UNLV,Nevada,49,17,61,60
Nevada,UNLV,27,17,60,61
UNLV,Nevada,34,10,63,58
Nevada,UNLV,7,31,51,67
UNLV,Nevada,10,24,62,65
Nevada,UNLV,38,24,74,52
UNLV,Nevada,16,3,71,51
Nevada,UNLV,0,21,56,67
UNLV,Nevada,7,23,65,58
Nevada,UNLV,14,35,58,64
UNLV,Nevada,55,10,68,52
Nevada,UNLV,28,21,62,67
UNLV,Nevada,24,10,67,60
Nevada,UNLV,3,44,58,63
UNLV,Nevada,42,7,74,47
Nevada,UNLV,13,37,59,61
UNLV,Nevada,42,0,65,57
Nevada,UNLV,0,27,59,63
UNLV,Nevada,24,20,65,59
Nevada,UNLV,14,24,58,58
UNLV,Nevada,41,13,59,61
Nevada,UNLV,13,21,68,50
UNLV,Nevada,20,3,62,61
Nevada,UNLV,17,17,63,59
UNLV,Nevada,41,3,72,50
Nevada,UNLV,17,20,67,62
UNLV,Nevada,45,17,65,53
Nevada,UNLV,7,59,43,76
UNLV,Nevada,24,10,63,66
Nevada,UNLV,28,17,63,56
UNLV,Nevada,45,0,76,52
Nevada,UNLV,9,31,58,62
UNLV,Nevada,30,14,65,60
Nevada,UNLV,7,56,47,76
UNLV,Nevada,20,7,66,51
Nevada,UNLV,9,21,72,52
UNLV,Nevada,28,6,63,57
Nevada,UNLV,13,31,56,65
UNLV,Nevada,24,27,61,63
Nevada,UNLV,17,34,53,66
UNLV,Nevada,28,3,63,55
Nevada,UNLV,14,20,59,56
UNLV,Nevada,21,10,55,61
Nevada,UNLV,10,14,71,54
UNLV,Nevada,38,0,72,44
Nevada,UNLV,0,31,61,56
UNLV,Nevada,41,7,78,40
Nevada,UNLV,24,24,64,53
UNLV,Nevada,31,24,56,66
Nevada,UNLV,10,16,55,63
UNLV,Nevada,17,10,66,51
Nevada,UNLV,3,16,52,63
UNLV,Nevada,20,17,62,61
Nevada,UNLV,17,35,59,64
UNLV,Nevada,45,7,70,49
Nevada,UNLV,17,28,74,53
UNLV,Nevada,16,6,60,53
Nevada,UNLV,17,35,73,53
UNLV,Nevada,17,24,61,64
Nevada,UNLV,6,31,75,59
UNLV,Nevada,26,10,62,59
Nevada,UNLV,0,31,50,65
UNLV,Nevada,38,13,57,67
Nevada,UNLV,0,24,58,62
UNLV,Nevada,48,21,63,59
Nevada,UNLV,13,20,59,60
UNLV,Nevada,35,0,71,44
Nevada,UNLV,20,0,68,52
UNLV,Nevada,41,3,59,59
Nevada,UNLV,7,45,57,62
UNLV,Nevada,38,13,61,61
Nevada,UNLV,10,21,65,57
UNLV,Nevada,31,17,66,55
Nevada,UNLV,10,52,60,58
UNLV,Nevada,24,13,60,63
Nevada,UNLV,17,34,58,64
UNLV,Nevada,48,7,74,43
Nevada,UNLV,13,24,60,58
UNLV,Nevada,41,3,71,48
Nevada,UNLV,7,37,54,64
UNLV,Nevada,34,7,67,54
Nevada,UNLV,7,10,60,53
UNLV,Nevada,27,0,63,55
Nevada,UNLV,27,21,63,65
UNLV,Nevada,49,7,63,58
Nevada,UNLV,14,34,60,63
UNLV,Nevada,20,10,68,55
Nevada,UNLV,30,7,70,49
UNLV,Nevada,44,3,72,52
Nevada,UNLV,17,28,57,59
UNLV,Nevada,24,23,54,64
Nevada,UNLV,7,38,62,53
UNLV,Nevada,27,10,54,65
Nevada,UNLV,7,14,57,57
UNLV,Nevada,30,13,58,64
Nevada,UNLV,13,42,56,64
UNLV,Nevada,10,10,67,55
Nevada,UNLV,14,20,60,58
UNLV,Nevada,24,3,62,48
Nevada,UNLV,17,31,51,65
UNLV,Nevada,34,14,66,51
Nevada,UNLV,28,27,55,71
UNLV,Nevada,21,10,65,51
Nevada,UNLV,28,21,63,58
UNLV,Nevada,42,6,65,57
Nevada,UNLV,20,20,58,56
UNLV,Nevada,38,17,59,65
Nevada,UNLV,17,34,62,58
UNLV,Nevada,24,7,63,65
Nevada,UNLV,0,27,50,64
UNLV,Nevada,17,24,56,63
Nevada,UNLV,14,38,64,60
UNLV,Nevada,52,6,63,51
Nevada,UNLV,14,21,53,62
UNLV,Nevada,20,3,60,62
Nevada,UNLV,14,48,62,62
UNLV,Nevada,20,3,62,60
Nevada,UNLV,14,20,57,71
UNLV,Nevada,41,13,67,56
Nevada,UNLV,7,27,57,65
UNLV,Nevada,23,7,69,52
Nevada,UNLV,21,31,61,61
UNLV,Nevada,34,10,69,52
Nevada,UNLV,24,13,68,52
UNLV,Nevada,38,10,60,63
Nevada,UNLV,10,33,57,62
UNLV,Nevada,24,10,62,58
Nevada,UNLV,0,24,57,64
UNLV,Nevada,17,10,59,59
Nevada,UNLV,3,24,52,67
UNLV,Nevada,34,17,67,53
Nevada,UNLV,10,38,64,61
UNLV,Nevada,45,10,69,52
Nevada,UNLV,6,21,68,52
UNLV,Nevada,59,6,69,49
Nevada,UNLV,14,38,59,67
UNLV,Nevada,31,10,66,61
Nevada,UNLV,0,31,63,64
UNLV,Nevada,41,14,76,48
Nevada,UNLV,20,20,69,54
UNLV,Nevada,45,7,83,41
Nevada,UNLV,7,24,57,63
UNLV,Nevada,34,3,65,63
Nevada,UNLV,17,17,63,61
UNLV,Nevada,0,10,49,67
Nevada,UNLV,14,14,55,57
UNLV,Nevada,31,14,67,47
Nevada,UNLV,13,31,66,56
UNLV,Nevada,38,10,69,48
Nevada,UNLV,13,24,61,59
UNLV,Nevada,27,27,56,63
Nevada,UNLV,28,24,62,68
UNLV,Nevada,42,10,66,54
Nevada,UNLV,13,28,64,61
UNLV,Nevada,21,6,59,66
Nevada,UNLV,6,21,60,55
UNLV,Nevada,28,3,58,58
Nevada,UNLV,7,38,44,67
UNLV,Nevada,30,14,64,48
Nevada,UNLV,7,35,57,62
UNLV,Nevada,41,17,68,52
Nevada,UNLV,24,41,57,62
UNLV,Nevada,38,13,58,61
Nevada,UNLV,10,30,58,58
UNLV,Nevada,20,6,59,59
Nevada,UNLV,10,24,48,68
UNLV,Nevada,52,14,64,63
Nevada,UNLV,7,31,68,55
UNLV,Nevada,22,7,77,43
Nevada,UNLV,14,34,59,58
UNLV,Nevada,35,14,60,58
Nevada,UNLV,13,31,48,68
UNLV,Nevada,35,14,62,63
Nevada,UNLV,17,17,61,56
UNLV,Nevada,39,6,70,56
Nevada,UNLV,14,31,59,60
UNLV,Nevada,3,16,65,59
Nevada,UNLV,7,37,59,59
UNLV,Nevada,28,23,64,55
Nevada,UNLV,6,17,61,57
UNLV,Nevada,21,28,60,59
Nevada,UNLV,14,38,69,53
UNLV,Nevada,41,14,68,54
Nevada,UNLV,17,14,68,58
UNLV,Nevada,27,3,66,55
Nevada,UNLV,14,27,67,57
UNLV,Nevada,38,13,70,57
Nevada,UNLV,17,20,62,59
UNLV,Nevada,27,7,60,57
Nevada,UNLV,14,31,61,61
UNLV,Nevada,31,13,61,56
Nevada,UNLV,13,28,62,58
UNLV,Nevada,34,14,74,50
Nevada,UNLV,3,34,55,67
UNLV,Nevada,28,17,60,65
Nevada,UNLV,10,35,61,57
UNLV,Nevada,31,13,66,53
Nevada,UNLV,10,31,62,66
UNLV,Nevada,24,6,59,62
Nevada,UNLV,3,31,49,72
UNLV,Nevada,31,3,58,68
Nevada,UNLV,10,38,55,67
UNLV,Nevada,34,10,67,49
Nevada,UNLV,31,27,69,56
UNLV,Nevada,17,17,73,44
Nevada,UNLV,14,31,58,55
UNLV,Nevada,20,3,58,56
Nevada,UNLV,10,41,59,66
UNLV,Nevada,27,17,58,61
Nevada,UNLV,3,63,60,67
UNLV,Nevada,38,0,73,50
Nevada,UNLV,14,31,62,54
UNLV,Nevada,35,0,69,47
Nevada,UNLV,7,31,55,59
UNLV,Nevada,28,7,57,70
Nevada,UNLV,3,35,67,63
UNLV,Nevada,34,0,76,50
Nevada,UNLV,6,7,75,49
UNLV,Nevada,38,19,52,71
Nevada,UNLV,17,42,60,59
UNLV,Nevada,55,7,70,55
Nevada,UNLV,9,38,60,62
UNLV,Nevada,45,13,59,54
Nevada,UNLV,20,31,83,43
UNLV,Nevada,47,3,88,40
Nevada,UNLV,17,27,64,59
UNLV,Nevada,21,6,73,47
Nevada,UNLV,7,24,61,54
UNLV,Nevada,49,0,75,54
Nevada,UNLV,13,38,50,63
UNLV,Nevada,38,7,67,51
Nevada,UNLV,13,38,64,59
UNLV,Nevada,49,7,68,52
Nevada,UNLV,7,44,58,64
UNLV,Nevada,35,10,69,53
Nevada,UNLV,7,24,72,52
UNLV,Nevada,13,9,66,56
Nevada,UNLV,7,41,50,67
UNLV,Nevada,31,10,61,63
Nevada,UNLV,20,34,52,72
UNLV,Nevada,14,10,58,63
Nevada,UNLV,6,45,64,66
UNLV,Nevada,28,0,70,44
Nevada,UNLV,17,7,62,57
UNLV,Nevada,34,17,62,56
Nevada,UNLV,24,24,65,60
UNLV,Nevada,7,17,60,59
Nevada,UNLV,24,30,67,57
UNLV,Nevada,21,14,54,68
Nevada,UNLV,14,31,54,65
UNLV,Nevada,38,14,60,62
Nevada,UNLV,17,55,63,59
UNLV,Nevada,17,10,60,61
Nevada,UNLV,13,38,65,56
