team,opp,pts,opp_pts,plays,opp_plays
Pittsburgh,Miami,10,9,57,57
Miami,Pittsburgh,42,24,56,59
Pittsburgh,Miami,7,24,67,51
Miami,Pittsburgh,14,23,62,53
Pittsburgh,Miami,14,30,58,65
Miami,Pittsburgh,14,28,61,58
Pittsburgh,Miami,10,17,61,55
Miami,Pittsburgh,7,20,51,65
Pittsburgh,Miami,17,38,50,68
Miami,Pittsburgh,14,21,59,56
Pittsburgh,Miami,6,27,42,70
Miami,Pittsburgh,28,14,60,55
Pittsburgh,Miami,3,41,44,68
Miami,Pittsburgh,27,3,73,40
Pittsburgh,Miami,16,7,63,56
Miami,Pittsburgh,13,24,63,58
Pittsburgh,Miami,10,21,57,61
Miami,Pittsburgh,10,24,60,49
Pittsburgh,Miami,7,20,57,62
Miami,Pittsburgh,17,7,61,47
Pittsburgh,Miami,34,17,68,52
Miami,Pittsburgh,26,14,57,64
Pittsburgh,Miami,7,17,68,56
Miami,Pittsburgh,20,14,60,47
Pittsburgh,Miami,26,14,60,61
Miami,Pittsburgh,13,3,53,60
Pittsburgh,Miami,3,17,55,59
Miami,Pittsburgh,24,10,61,55
Pittsburgh,Miami,6,21,71,53
Miami,Pittsburgh,31,7,58,60
Pittsburgh,Miami,10,20,69,53
Miami,Pittsburgh,14,31,50,64
Pittsburgh,Miami,13,21,59,59
Miami,Pittsburgh,14,24,58,61
Pittsburgh,Miami,21,7,59,60
Miami,Pittsburgh,20,7,61,63
Pittsburgh,Miami,27,35,73,51
Miami,Pittsburgh,34,20,61,59
Pittsburgh,Miami,13,9,63,55
Miami,Pittsburgh,16,17,62,52
Pittsburgh,Miami,10,10,51,62
Miami,Pittsburgh,7,21,61,54
Pittsburgh,Miami,0,26,46,68
Miami,Pittsburgh,17,7,62,45
Pittsburgh,Miami,17,24,59,59
Miami,Pittsburgh,21,13,55,62
Pittsburgh,Miami,13,21,64,52
Miami,Pittsburgh,38,17,66,58
Pittsburgh,Miami,20,31,64,53
Miami,Pittsburgh,28,27,58,66
Pittsburgh,Miami,16,3,65,48
Miami,Pittsburgh,16,17,63,52
Pittsburgh,Miami,13,31,57,56
Miami,Pittsburgh,35,27,58,60
Pittsburgh,Miami,21,20,55,60
Miami,Pittsburgh,17,13,49,68
Pittsburgh,Miami,21,17,58,63
Miami,Pittsburgh,23,0,63,52
Pittsburgh,Miami,20,35,54,65
Miami,Pittsburgh,10,27,57,58
Pittsburgh,Miami,10,34,64,61
Miami,Pittsburgh,37,6,52,59
Pittsburgh,Miami,13,31,55,58
Miami,Pittsburgh,23,7,63,49
Pittsburgh,Miami,7,23,61,59
Miami,Pittsburgh,24,14,63,52
Pittsburgh,Miami,20,10,76,45
Miami,Pittsburgh,13,21,57,60
Pittsburgh,Miami,13,31,59,65
Miami,Pittsburgh,9,20,58,62
Pittsburgh,Miami,20,31,57,59
Miami,Pittsburgh,17,28,64,52
Pittsburgh,Miami,28,44,63,67
Miami,Pittsburgh,35,24,63,55
Pittsburgh,Miami,3,42,48,72
Miami,Pittsburgh,24,9,54,62
Pittsburgh,Miami,14,19,64,56
Miami,Pittsburgh,27,6,64,51
Pittsburgh,Miami,14,13,62,56
Miami,Pittsburgh,24,3,62,52
Pittsburgh,Miami,17,34,51,68
Miami,Pittsburgh,10,35,60,53
Pittsburgh,Miami,10,17,55,57
Miami,Pittsburgh,17,17,65,52
Pittsburgh,Miami,14,27,57,59
Miami,Pittsburgh,16,17,67,56
Pittsburgh,Miami,7,34,54,60
Miami,Pittsburgh,13,10,59,60
Pittsburgh,Miami,24,20,64,56
Miami,Pittsburgh,7,16,53,65
Pittsburgh,Miami,17,24,56,65
Miami,Pittsburgh,13,13,58,60
Pittsburgh,Miami,20,21,65,55
Miami,Pittsburgh,17,14,63,54
Pittsburgh,Miami,10,31,64,57
Miami,Pittsburgh,31,24,64,49
Pittsburgh,Miami,28,24,62,60
Miami,Pittsburgh,31,0,66,52
Pittsburgh,Miami,9,31,54,64
Miami,Pittsburgh,21,9,58,54
Pittsburgh,Miami,30,17,76,44
Miami,Pittsburgh,42,17,59,55
Pittsburgh,Miami,9,14,61,56
Miami,Pittsburgh,17,3,58,62
Pittsburgh,Miami,14,17,60,63
Miami,Pittsburgh,13,14,53,60
Pittsburgh,Miami,17,48,59,65
Miami,Pittsburgh,30,10,58,63
Pittsburgh,Miami,6,34,55,60
Miami,Pittsburgh,38,20,62,54
Pittsburgh,Miami,7,31,47,71
Miami,Pittsburgh,17,23,56,59
Pittsburgh,Miami,35,14,57,58
