team,opp,pts,opp_pts,plays,opp_plays
South Carolina,Clemson,7,17,62,64
Clemson,South Carolina,3,30,57,69
South Carolina,Clemson,7,0,70,49
Clemson,South Carolina,10,17,51,68
South Carolina,Clemson,3,34,62,65
Clemson,South Carolina,13,7,55,66
South Carolina,Clemson,13,3,68,56
Clemson,South Carolina,13,14,68,58
South Carolina,Clemson,19,7,71,51
Clemson,South Carolina,38,7,65,60
South Carolina,Clemson,0,20,62,62
Clemson,South Carolina,17,7,56,65
South Carolina,Clemson,27,7,85,46
Clemson,South Carolina,28,14,66,56
South Carolina,Clemson,20,17,60,74
Clemson,South Carolina,6,14,66,61
South Carolina,Clemson,10,6,65,64
Clemson,South Carolina,21,9,56,64
South Carolina,Clemson,20,14,62,66
Clemson,South Carolina,17,6,64,69
South Carolina,Clemson,21,17,67,54
Clemson,South Carolina,14,20,66,62
South Carolina,Clemson,23,17,73,52
Clemson,South Carolina,32,7,68,59
South Carolina,Clemson,10,20,70,54
Clemson,South Carolina,7,17,56,65
South Carolina,Clemson,13,0,65,67
Clemson,South Carolina,12,24,60,65
South Carolina,Clemson,0,24,49,78
Clemson,South Carolina,0,28,68,56
South Carolina,Clemson,10,13,70,54
Clemson,South Carolina,27,20,60,68
South Carolina,Clemson,17,38,62,61
Clemson,South Carolina,24,27,64,63
South Carolina,Clemson,6,30,55,69
Clemson,South Carolina,14,20,60,64
South Carolina,Clemson,17,20,57,67
Clemson,South Carolina,27,14,70,57
South Carolina,Clemson,17,3,67,55
Clemson,South Carolina,17,10,65,67
South Carolina,Clemson,23,10,64,62
Clemson,South Carolina,7,21,46,76
South Carolina,Clemson,24,23,78,52
Clemson,South Carolina,38,14,75,54
South Carolina,Clemson,0,28,68,61
Clemson,South Carolina,10,23,54,68
South Carolina,Clemson,7,20,59,62
Clemson,South Carolina,10,23,60,61
South Carolina,Clemson,13,17,59,61
Clemson,South Carolina,10,3,59,64
South Carolina,Clemson,21,10,65,55
Clemson,South Carolina,31,24,68,67
South Carolina,Clemson,24,16,75,55
Clemson,South Carolina,17,13,63,60
South Carolina,Clemson,14,16,62,65
Clemson,South Carolina,27,6,63,61
South Carolina,Clemson,21,38,62,67
Clemson,South Carolina,34,9,55,75
South Carolina,Clemson,3,31,62,60
Clemson,South Carolina,10,6,62,60
South Carolina,Clemson,17,23,64,63
Clemson,South Carolina,21,10,68,59
South Carolina,Clemson,28,7,66,59
Clemson,South Carolina,21,17,61,61
South Carolina,Clemson,21,9,69,50
Clemson,South Carolina,17,16,56,69
South Carolina,Clemson,10,31,74,56
Clemson,South Carolina,0,3,77,57
South Carolina,Clemson,10,10,72,52
Clemson,South Carolina,17,17,66,54
South Carolina,Clemson,24,31,63,61
Clemson,South Carolina,14,17,70,56
South Carolina,Clemson,17,21,54,65
Clemson,South Carolina,13,7,58,57
South Carolina,Clemson,27,3,70,50
Clemson,South Carolina,17,3,59,60
South Carolina,Clemson,10,13,65,61
Clemson,South Carolina,17,7,77,51
South Carolina,Clemson,10,21,63,63
Clemson,South Carolina,21,20,71,57
South Carolina,Clemson,9,3,57,64
Clemson,South Carolina,21,27,57,72
South Carolina,Clemson,7,12,57,68
Clemson,South Carolina,24,17,69,52
South Carolina,Clemson,38,16,58,70
Clemson,South Carolina,7,6,66,63
South Carolina,Clemson,28,31,68,64
Clemson,South Carolina,20,6,58,68
South Carolina,Clemson,13,10,73,49
Clemson,South Carolina,17,14,65,66
South Carolina,Clemson,15,3,56,66
Clemson,South Carolina,13,20,65,64
South Carolina,Clemson,6,20,62,60
Clemson,South Carolina,14,35,53,67
South Carolina,Clemson,7,19,57,71
Clemson,South Carolina,21,10,63,53
South Carolina,Clemson,13,17,57,72
Clemson,South Carolina,34,17,66,57
South Carolina,Clemson,7,34,56,70
Clemson,South Carolina,31,3,68,57
South Carolina,Clemson,27,24,64,65
Clemson,South Carolina,17,21,56,70
South Carolina,Clemson,6,24,64,59
Clemson,South Carolina,7,27,51,71
South Carolina,Clemson,7,13,60,63
Clemson,South Carolina,14,17,67,66
South Carolina,Clemson,9,20,63,67
Clemson,South Carolina,30,0,65,53
South Carolina,Clemson,0,31,52,70
Clemson,South Carolina,3,17,52,66
South Carolina,Clemson,14,28,75,56
Clemson,South Carolina,33,10,72,55
South Carolina,Clemson,10,24,64,57
Clemson,South Carolina,7,6,60,64
South Carolina,Clemson,24,17,64,63
Clemson,South Carolina,21,13,61,60
South Carolina,Clemson,30,6,69,60
Clemson,South Carolina,10,13,69,58
South Carolina,Clemson,7,23,59,59
Clemson,South Carolina,41,0,70,61
South Carolina,Clemson,27,7,69,53
Clemson,South Carolina,7,10,72,61
South Carolina,Clemson,0,41,42,86
Clemson,South Carolina,24,21,60,63
South Carolina,Clemson,31,16,71,55
Clemson,South Carolina,17,14,64,67
South Carolina,Clemson,31,7,79,51
Clemson,South Carolina,28,17,63,65
South Carolina,Clemson,14,41,57,70
Clemson,South Carolina,20,17,64,62
South Carolina,Clemson,0,13,48,66
Clemson,South Carolina,35,3,61,59
South Carolina,Clemson,0,27,59,63
Clemson,South Carolina,17,13,58,59
South Carolina,Clemson,17,13,56,74
Clemson,South Carolina,20,7,60,63
South Carolina,Clemson,7,10,53,63
Clemson,South Carolina,38,28,53,73
South Carolina,Clemson,7,24,66,63
Clemson,South Carolina,16,16,60,65
South Carolina,Clemson,17,17,64,59
Clemson,South Carolina,31,0,83,34
South Carolina,Clemson,23,14,67,64
Clemson,South Carolina,10,19,60,66
South Carolina,Clemson,21,17,67,64
Clemson,South Carolina,7,17,58,67
South Carolina,Clemson,34,0,79,48
Clemson,South Carolina,13,17,63,62
South Carolina,Clemson,10,27,56,69
Clemson,South Carolina,14,10,56,68
South Carolina,Clemson,10,30,77,60
Clemson,South Carolina,13,6,60,67
South Carolina,Clemson,6,21,77,59
Clemson,South Carolina,35,0,74,48
South Carolina,Clemson,20,14,72,54
Clemson,South Carolina,31,0,68,53
South Carolina,Clemson,21,24,61,58
Clemson,South Carolina,21,21,68,53
South Carolina,Clemson,7,17,57,63
Clemson,South Carolina,17,3,67,54
South Carolina,Clemson,16,24,65,59
Clemson,South Carolina,7,24,62,63
South Carolina,Clemson,31,21,71,59
Clemson,South Carolina,17,21,66,58
South Carolina,Clemson,7,12,61,66
Clemson,South Carolina,20,7,61,66
South Carolina,Clemson,14,17,54,69
Clemson,South Carolina,7,16,61,64
South Carolina,Clemson,17,24,67,58
Clemson,South Carolina,28,7,68,54
South Carolina,Clemson,17,17,61,66
Clemson,South Carolina,17,24,65,65
South Carolina,Clemson,23,10,77,52
Clemson,South Carolina,21,17,66,56
South Carolina,Clemson,17,24,66,56
Clemson,South Carolina,38,9,68,57
South Carolina,Clemson,17,10,66,60
Clemson,South Carolina,24,17,63,66
South Carolina,Clemson,30,7,65,56
Clemson,South Carolina,28,14,71,64
South Carolina,Clemson,24,14,71,55
Clemson,South Carolina,0,20,64,59
South Carolina,Clemson,7,17,61,67
Clemson,South Carolina,14,23,72,53
South Carolina,Clemson,17,40,63,60
Clemson,South Carolina,20,14,57,68
South Carolina,Clemson,3,26,54,76
Clemson,South Carolina,35,7,59,63
South Carolina,Clemson,17,16,57,60
Clemson,South Carolina,24,17,65,60
South Carolina,Clemson,14,31,60,73
Clemson,South Carolina,20,14,67,57
South Carolina,Clemson,14,31,59,62
Clemson,South Carolina,31,17,71,55
South Carolina,Clemson,0,7,56,60
Clemson,South Carolina,24,14,73,57
South Carolina,Clemson,24,27,65,61
Clemson,South Carolina,35,6,66,59
South Carolina,Clemson,14,31,56,68
Clemson,South Carolina,20,10,61,67
South Carolina,Clemson,24,10,62,66
Clemson,South Carolina,14,10,56,70
South Carolina,Clemson,10,24,68,55
Clemson,South Carolina,24,24,60,70
South Carolina,Clemson,7,35,64,66
Clemson,South Carolina,24,6,66,60
South Carolina,Clemson,20,13,61,67
Clemson,South Carolina,10,21,58,66
South Carolina,Clemson,6,9,73,61
Clemson,South Carolina,24,17,64,65
South Carolina,Clemson,7,30,56,69
Clemson,South Carolina,24,14,61,72
South Carolina,Clemson,27,16,62,63
Clemson,South Carolina,6,17,60,64
South Carolina,Clemson,7,34,59,64
Clemson,South Carolina,7,14,63,74
South Carolina,Clemson,0,20,57,68
Clemson,South Carolina,24,24,69,53
South Carolina,Clemson,24,28,68,59
Clemson,South Carolina,14,10,59,58
South Carolina,Clemson,6,10,73,58
Clemson,South Carolina,20,13,64,55
South Carolina,Clemson,3,0,66,63
Clemson,South Carolina,17,6,57,62
South Carolina,Clemson,17,24,66,62
Clemson,South Carolina,14,14,58,61
South Carolina,Clemson,28,31,71,59
Clemson,South Carolina,13,44,59,71
South Carolina,Clemson,20,7,73,46
Clemson,South Carolina,24,0,66,58
South Carolina,Clemson,24,3,54,71
Clemson,South Carolina,21,34,66,55
South Carolina,Clemson,20,17,71,58
Clemson,South Carolina,21,27,55,70
South Carolina,Clemson,35,21,80,52
Clemson,South Carolina,21,20,61,59
South Carolina,Clemson,3,27,65,59
Clemson,South Carolina,7,17,63,63
South Carolina,Clemson,7,16,64,60
Clemson,South Carolina,17,20,62,60
South Carolina,Clemson,20,17,62,58
Clemson,South Carolina,10,27,65,63
South Carolina,Clemson,7,27,61,60
Clemson,South Carolina,16,14,63,62
South Carolina,Clemson,14,6,62,59
Clemson,South Carolina,14,3,56,66
South Carolina,Clemson,10,24,62,64
Clemson,South Carolina,10,17,75,55
South Carolina,Clemson,10,10,59,62
Clemson,South Carolina,20,14,69,53
South Carolina,Clemson,7,27,74,53
Clemson,South Carolina,7,24,57,66
South Carolina,Clemson,7,42,63,61
Clemson,South Carolina,17,17,75,52
South Carolina,Clemson,10,20,49,70
Clemson,South Carolina,10,0,62,58
South Carolina,Clemson,24,14,72,55
Clemson,South Carolina,21,14,65,55
South Carolina,Clemson,13,31,58,70
