team,opp,pts,opp_pts,plays,opp_plays
Toledo,Central Michigan,7,14,51,61
Central Michigan,Toledo,19,10,61,48
Toledo,Central Michigan,14,7,59,47
Central Michigan,Toledo,10,6,53,59
Toledo,Central Michigan,14,0,51,57
Central Michigan,Toledo,3,24,50,66
Toledo,Central Michigan,6,3,46,63
Central Michigan,Toledo,7,31,46,65
Toledo,Central Michigan,27,10,62,56
Central Michigan,Toledo,20,7,67,51
Toledo,Central Michigan,17,0,61,59
Central Michigan,Toledo,3,14,53,61
Toledo,Central Michigan,14,13,51,61
Central Michigan,Toledo,13,3,55,57
Toledo,Central Michigan,14,14,66,53
Central Michigan,Toledo,0,7,62,52
Toledo,Central Michigan,16,0,59,53
Central Michigan,Toledo,6,17,61,55
Toledo,Central Michigan,23,14,73,43
Central Michigan,Toledo,17,0,73,38
Toledo,Central Michigan,12,24,64,54
Central Michigan,Toledo,13,28,52,61
Toledo,Central Michigan,23,7,57,56
Central Michigan,Toledo,13,21,62,53
Toledo,Central Michigan,17,17,61,55
Central Michigan,Toledo,10,20,60,57
Toledo,Central Michigan,7,24,56,57
Central Michigan,Toledo,0,20,60,53
Toledo,Central Michigan,14,21,51,65
Central Michigan,Toledo,7,3,59,53
Toledo,Central Michigan,42,7,66,51
Central Michigan,Toledo,13,7,59,45
Toledo,Central Michigan,3,10,51,56
Central Michigan,Toledo,14,31,67,55
Toledo,Central Michigan,30,6,61,65
Central Michigan,Toledo,10,23,49,64
Toledo,Central Michigan,0,10,57,56
Central Michigan,Toledo,14,13,47,72
Toledo,Central Michigan,24,7,54,58
Central Michigan,Toledo,20,6,59,55
Toledo,Central Michigan,23,14,61,58
Central Michigan,Toledo,0,45,59,61
Toledo,Central Michigan,35,7,66,53
Central Michigan,Toledo,10,3,61,53
Toledo,Central Michigan,24,3,57,57
Central Michigan,Toledo,10,14,52,69
Toledo,Central Michigan,14,7,64,52
Central Michigan,Toledo,17,14,57,67
Toledo,Central Michigan,28,0,68,55
