sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,James Madison,Troy,Alonza Barnett,QB,25,19,264.6,1,0,2,0,0.0,0,0,0,0.0,0
32,A,James Madison,Troy,Matthew Sluka,Rusher,0,0,0.0,0,0,0,6,33.5,1,0,0,0.0,0
32,A,James Madison,Troy,George Pettaway,Rusher,0,0,0.0,0,0,0,2,13.3,0,0,0,0.0,0
32,A,James Madison,Troy,Alonza Barnett,Rusher,0,0,0.0,0,0,0,5,39.6,0,0,0,0.0,0
32,A,James Madison,Troy,Jordan Fuller,Rusher,0,0,0.0,0,0,0,11,72.9,2,0,0,0.0,0
32,A,James Madison,Troy,Ayo Adeyi,Rusher,0,0,0.0,0,0,0,2,26.8,1,0,0,0.0,0
32,A,James Madison,Troy,Wayne Knight,Rusher,0,0,0.0,0,0,0,5,31.6,0,0,0,0.0,0
32,A,James Madison,Troy,Michael Scott,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,49.8,1
32,A,James Madison,Troy,Landon Ellis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,35.1,0
32,A,James Madison,Troy,Za'Ron Collins,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,8.6,0
32,A,James Madison,Troy,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,59.7,0
32,A,James Madison,Troy,Nick DeGennaro,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,57.5,0
32,A,James Madison,Troy,Logan Kyle,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,James Madison,Troy,Jaylan Sanchez,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,16.4,0
32,A,James Madison,Troy,Braeden Wisloski,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,37.5,0
32,A,Troy,James Madison,Will Crowder,QB,32,21,158.5,0,0,7,0,0.0,0,0,0,0.0,0
32,A,Troy,James Madison,Tae Meadows,Rusher,0,0,0.0,0,0,0,7,14.1,0,0,0,0.0,0
32,A,Troy,James Madison,Jordan Lovett,Rusher,0,0,0.0,0,0,0,3,-3.0,0,0,0,0.0,0
32,A,Troy,James Madison,Tucker Kilcrease,Rusher,0,0,0.0,0,0,0,4,14.2,0,0,0,0.0,0
32,A,Troy,James Madison,Will Crowder,Rusher,0,0,0.0,0,0,0,3,14.5,0,0,0,0.0,0
32,A,Troy,James Madison,Ui Ale,Rusher,0,0,0.0,0,0,0,1,3.5,0,0,0,0.0,0
32,A,Troy,James Madison,Rara Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,9,12,37.1,0
32,A,Troy,James Madison,Jackson Worley,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.6,0
32,A,Troy,James Madison,Roman Mothershed,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,41.5,0
32,A,Troy,James Madison,Ethan Conner,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,26.0,0
32,A,Troy,James Madison,Tray Taylor,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,Troy,James Madison,DJ Epps,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.7,0
32,A,Troy,James Madison,Marquez Dortch,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,2.9,0
32,A,Troy,James Madison,Peyton Higgins,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,23.8,0
33,B,Troy,James Madison,Will Crowder,QB,26,17,207.2,1,0,1,0,0.0,0,0,0,0.0,0
33,B,Troy,James Madison,Tucker Kilcrease,Rusher,0,0,0.0,0,0,0,9,41.9,1,0,0,0.0,0
33,B,Troy,James Madison,Tae Meadows,Rusher,0,0,0.0,0,0,0,7,37.3,1,0,0,0.0,0
33,B,Troy,James Madison,Ui Ale,Rusher,0,0,0.0,0,0,0,5,13.8,0,0,0,0.0,0
33,B,Troy,James Madison,Will Crowder,Rusher,0,0,0.0,0,0,0,6,21.9,0,0,0,0.0,0
33,B,Troy,James Madison,Jordan Lovett,Rusher,0,0,0.0,0,0,0,3,10.1,0,0,0,0.0,0
33,B,Troy,James Madison,Marquez Dortch,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,16.2,0
33,B,Troy,James Madison,Ethan Conner,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,51.4,0
33,B,Troy,James Madison,Rara Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,69.4,1
33,B,Troy,James Madison,Roman Mothershed,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,4.2,0
33,B,Troy,James Madison,Peyton Higgins,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,36.3,0
33,B,Troy,James Madison,Jackson Worley,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.7,0
33,B,Troy,James Madison,DJ Epps,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,16.5,0
33,B,Troy,James Madison,Tray Taylor,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,9.6,0
33,B,James Madison,Troy,Alonza Barnett,QB,21,16,198.3,2,0,1,0,0.0,0,0,0,0.0,0
33,B,James Madison,Troy,Wayne Knight,Rusher,0,0,0.0,0,0,0,10,77.8,1,0,0,0.0,0
33,B,James Madison,Troy,Matthew Sluka,Rusher,0,0,0.0,0,0,0,11,44.1,2,0,0,0.0,0
33,B,James Madison,Troy,Ayo Adeyi,Rusher,0,0,0.0,0,0,0,6,52.8,0,0,0,0.0,0
33,B,James Madison,Troy,Alonza Barnett,Rusher,0,0,0.0,0,0,0,5,9.1,0,0,0,0.0,0
33,B,James Madison,Troy,George Pettaway,Rusher,0,0,0.0,0,0,0,2,-0.9,0,0,0,0.0,0
33,B,James Madison,Troy,Jordan Fuller,Rusher,0,0,0.0,0,0,0,1,10.9,0,0,0,0.0,0
33,B,James Madison,Troy,Nick DeGennaro,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,1.7,0
33,B,James Madison,Troy,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,55.3,1
33,B,James Madison,Troy,Jaylan Sanchez,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,12.3,0
