team,opp,pts,opp_pts,plays,opp_plays
Jacksonville State,Kennesaw State,23,6,80,58
Kennesaw State,Jacksonville State,30,21,83,57
Jacksonville State,Kennesaw State,10,38,58,79
Kennesaw State,Jacksonville State,28,9,77,73
Jacksonville State,Kennesaw State,28,24,83,57
Kennesaw State,Jacksonville State,26,31,79,64
Jacksonville State,Kennesaw State,24,17,77,72
Kennesaw State,Jacksonville State,28,17,83,61
Jacksonville State,Kennesaw State,17,41,77,71
Kennesaw State,Jacksonville State,10,14,86,57
Jacksonville State,Kennesaw State,27,38,68,75
Kennesaw State,Jacksonville State,27,14,77,64
Jacksonville State,Kennesaw State,6,33,63,80
Kennesaw State,Jacksonville State,28,41,69,77
Jacksonville State,Kennesaw State,27,6,60,90
Kennesaw State,Jacksonville State,24,27,62,86
Jacksonville State,Kennesaw State,34,13,78,57
Kennesaw State,Jacksonville State,38,24,71,71
Jacksonville State,Kennesaw State,35,20,67,76
Kennesaw State,Jacksonville State,31,28,78,66
Jacksonville State,Kennesaw State,10,31,76,64
Kennesaw State,Jacksonville State,44,20,74,72
Jacksonville State,Kennesaw State,20,28,71,72
Kennesaw State,Jacksonville State,41,13,79,65
Jacksonville State,Kennesaw State,27,28,72,69
Kennesaw State,Jacksonville State,16,27,78,63
Jacksonville State,Kennesaw State,21,34,74,77
Kennesaw State,Jacksonville State,40,14,86,56
Jacksonville State,Kennesaw State,38,13,75,75
Kennesaw State,Jacksonville State,7,35,67,76
Jacksonville State,Kennesaw State,13,30,67,72
Kennesaw State,Jacksonville State,31,34,76,71
Jacksonville State,Kennesaw State,28,56,70,81
Kennesaw State,Jacksonville State,31,14,72,68
Jacksonville State,Kennesaw State,9,31,77,69
Kennesaw State,Jacksonville State,26,21,82,60
Jacksonville State,Kennesaw State,23,38,76,74
Kennesaw State,Jacksonville State,24,45,63,78
Jacksonville State,Kennesaw State,7,9,82,62
Kennesaw State,Jacksonville State,21,3,75,71
Jacksonville State,Kennesaw State,42,38,77,71
Kennesaw State,Jacksonville State,31,13,68,72
Jacksonville State,Kennesaw State,28,34,79,67
Kennesaw State,Jacksonville State,28,44,68,73
Jacksonville State,Kennesaw State,18,35,73,73
Kennesaw State,Jacksonville State,34,17,76,68
Jacksonville State,Kennesaw State,17,34,55,85
Kennesaw State,Jacksonville State,28,17,73,70
Jacksonville State,Kennesaw State,20,24,87,61
Kennesaw State,Jacksonville State,42,30,77,73
Jacksonville State,Kennesaw State,17,34,80,75
Kennesaw State,Jacksonville State,16,14,74,65
Jacksonville State,Kennesaw State,27,27,73,71
Kennesaw State,Jacksonville State,31,17,70,69
Jacksonville State,Kennesaw State,30,24,64,80
Kennesaw State,Jacksonville State,24,14,71,76
Jacksonville State,Kennesaw State,21,7,71,68
Kennesaw State,Jacksonville State,28,31,77,66
Jacksonville State,Kennesaw State,23,24,73,72
Kennesaw State,Jacksonville State,10,42,67,73
Jacksonville State,Kennesaw State,30,24,77,63
