team,opp,pts,opp_pts,plays,opp_plays
Tulane,North Texas,7,19,64,64
North Texas,Tulane,21,16,60,69
Tulane,North Texas,7,42,71,56
North Texas,Tulane,38,14,63,62
Tulane,North Texas,31,27,62,75
North Texas,Tulane,31,24,66,68
Tulane,North Texas,34,20,79,52
North Texas,Tulane,26,21,73,61
Tulane,North Texas,9,37,54,78
North Texas,Tulane,49,14,69,65
Tulane,North Texas,13,42,68,63
North Texas,Tulane,28,17,69,59
Tulane,North Texas,28,27,66,61
North Texas,Tulane,27,14,70,61
Tulane,North Texas,19,38,65,67
North Texas,Tulane,41,21,75,65
Tulane,North Texas,21,34,61,74
North Texas,Tulane,34,17,79,54
Tulane,North Texas,10,45,65,73
North Texas,Tulane,31,16,61,70
Tulane,North Texas,3,49,62,64
North Texas,Tulane,24,3,77,53
Tulane,North Texas,7,31,59,70
North Texas,Tulane,35,21,83,53
Tulane,North Texas,17,42,66,66
North Texas,Tulane,24,10,64,61
Tulane,North Texas,13,42,69,62
North Texas,Tulane,13,13,60,65
Tulane,North Texas,10,31,68,68
North Texas,Tulane,23,21,73,59
Tulane,North Texas,21,31,70,64
North Texas,Tulane,35,27,75,58
Tulane,North Texas,16,24,68,61
North Texas,Tulane,42,38,81,58
Tulane,North Texas,33,28,69,66
North Texas,Tulane,38,31,66,67
Tulane,North Texas,24,21,76,52
North Texas,Tulane,42,7,80,55
Tulane,North Texas,38,21,74,56
North Texas,Tulane,28,34,64,67
Tulane,North Texas,17,45,60,68
North Texas,Tulane,7,17,57,69
Tulane,North Texas,14,38,70,70
North Texas,Tulane,20,21,63,68
Tulane,North Texas,34,21,68,58
North Texas,Tulane,21,17,85,55
Tulane,North Texas,30,24,68,68
North Texas,Tulane,24,20,59,72
Tulane,North Texas,7,31,68,67
North Texas,Tulane,45,14,65,62
Tulane,North Texas,12,28,67,71
North Texas,Tulane,34,13,74,60
Tulane,North Texas,13,24,64,70
North Texas,Tulane,49,7,82,58
Tulane,North Texas,21,38,59,76
North Texas,Tulane,27,27,67,63
Tulane,North Texas,14,31,67,63
North Texas,Tulane,45,17,80,54
Tulane,North Texas,7,24,63,62
North Texas,Tulane,22,3,79,60
Tulane,North Texas,14,41,65,66
North Texas,Tulane,35,27,67,64
Tulane,North Texas,52,31,73,58
North Texas,Tulane,27,27,75,57
Tulane,North Texas,17,41,71,65
North Texas,Tulane,35,28,71,65
Tulane,North Texas,7,13,72,57
North Texas,Tulane,30,17,64,64
Tulane,North Texas,20,34,63,68
North Texas,Tulane,17,20,69,63
Tulane,North Texas,17,45,58,75
North Texas,Tulane,49,10,81,57
Tulane,North Texas,21,21,63,64
North Texas,Tulane,35,27,72,63
Tulane,North Texas,35,31,67,72
North Texas,Tulane,34,10,68,59
Tulane,North Texas,31,31,68,63
North Texas,Tulane,35,10,70,63
Tulane,North Texas,20,38,66,63
North Texas,Tulane,20,31,65,62
Tulane,North Texas,10,13,58,72
North Texas,Tulane,38,17,76,56
Tulane,North Texas,17,14,67,62
North Texas,Tulane,27,10,69,60
Tulane,North Texas,21,49,68,66
North Texas,Tulane,17,10,64,70
Tulane,North Texas,24,31,61,71
North Texas,Tulane,35,14,70,66
Tulane,North Texas,38,28,76,56
North Texas,Tulane,33,13,79,51
Tulane,North Texas,21,27,66,67
North Texas,Tulane,31,27,63,68
Tulane,North Texas,31,14,69,59
North Texas,Tulane,41,7,80,50
Tulane,North Texas,17,20,63,70
North Texas,Tulane,35,21,65,69
Tulane,North Texas,17,35,66,67
North Texas,Tulane,44,14,76,65
Tulane,North Texas,0,45,63,67
North Texas,Tulane,21,24,64,67
Tulane,North Texas,21,34,64,69
North Texas,Tulane,17,38,61,65
Tulane,North Texas,35,24,64,69
North Texas,Tulane,21,20,65,64
Tulane,North Texas,27,13,78,51
North Texas,Tulane,37,17,76,58
Tulane,North Texas,28,34,66,73
North Texas,Tulane,34,17,66,65
Tulane,North Texas,20,24,73,61
North Texas,Tulane,17,20,59,72
Tulane,North Texas,14,27,69,65
North Texas,Tulane,51,7,84,47
Tulane,North Texas,24,27,61,73
North Texas,Tulane,34,17,64,67
Tulane,North Texas,21,34,57,68
North Texas,Tulane,31,30,80,54
Tulane,North Texas,24,28,59,71
North Texas,Tulane,31,17,67,62
Tulane,North Texas,14,27,73,61
North Texas,Tulane,31,21,69,64
Tulane,North Texas,14,44,59,74
North Texas,Tulane,31,27,61,70
Tulane,North Texas,17,28,66,64
North Texas,Tulane,38,28,65,66
Tulane,North Texas,14,21,75,57
North Texas,Tulane,42,20,71,64
Tulane,North Texas,10,10,70,51
North Texas,Tulane,20,13,64,68
Tulane,North Texas,16,17,72,58
North Texas,Tulane,14,24,61,63
Tulane,North Texas,20,28,69,61
North Texas,Tulane,38,20,66,69
Tulane,North Texas,31,10,69,53
North Texas,Tulane,14,17,74,56
Tulane,North Texas,21,38,67,68
North Texas,Tulane,31,31,66,68
Tulane,North Texas,17,17,61,68
North Texas,Tulane,34,14,69,67
Tulane,North Texas,49,35,74,59
North Texas,Tulane,21,27,69,65
Tulane,North Texas,35,31,55,76
North Texas,Tulane,21,17,55,76
Tulane,North Texas,20,28,58,74
North Texas,Tulane,34,13,72,64
Tulane,North Texas,17,21,75,56
North Texas,Tulane,45,24,65,68
Tulane,North Texas,31,14,68,64
North Texas,Tulane,21,24,58,70
Tulane,North Texas,20,38,65,63
North Texas,Tulane,38,20,62,65
Tulane,North Texas,27,24,66,68
North Texas,Tulane,45,14,71,64
Tulane,North Texas,10,55,62,73
North Texas,Tulane,21,38,58,73
Tulane,North Texas,34,37,74,66
North Texas,Tulane,24,17,79,56
Tulane,North Texas,24,31,70,56
North Texas,Tulane,10,12,70,69
Tulane,North Texas,24,20,66,68
North Texas,Tulane,31,31,58,69
Tulane,North Texas,20,42,70,69
North Texas,Tulane,14,17,59,64
Tulane,North Texas,24,28,71,60
North Texas,Tulane,38,21,79,58
Tulane,North Texas,13,55,59,73
North Texas,Tulane,35,7,73,60
Tulane,North Texas,31,14,69,54
North Texas,Tulane,31,35,65,66
Tulane,North Texas,27,17,72,54
North Texas,Tulane,31,24,75,59
Tulane,North Texas,28,24,69,56
North Texas,Tulane,42,10,66,67
Tulane,North Texas,20,49,68,65
North Texas,Tulane,27,21,67,66
Tulane,North Texas,10,28,71,65
North Texas,Tulane,38,28,76,57
Tulane,North Texas,24,42,82,56
North Texas,Tulane,41,14,74,58
Tulane,North Texas,10,24,73,57
North Texas,Tulane,24,16,69,59
Tulane,North Texas,23,44,72,66
North Texas,Tulane,24,19,59,69
Tulane,North Texas,20,28,67,73
North Texas,Tulane,20,17,65,66
Tulane,North Texas,21,38,61,74
North Texas,Tulane,27,27,66,68
