team,opp,pts,opp_pts,plays,opp_plays
Western Michigan,Miami (OH),20,30,60,65
Miami (OH),Western Michigan,14,27,48,67
Western Michigan,Miami (OH),7,20,61,63
Miami (OH),Western Michigan,13,14,64,53
Western Michigan,Miami (OH),20,21,59,60
Miami (OH),Western Michigan,14,3,67,61
Western Michigan,Miami (OH),0,24,59,56
Miami (OH),Western Michigan,20,7,73,47
Western Michigan,Miami (OH),7,27,48,78
Miami (OH),Western Michigan,27,14,79,47
Western Michigan,Miami (OH),7,13,61,62
Miami (OH),Western Michigan,13,19,69,60
Western Michigan,Miami (OH),10,13,66,54
Miami (OH),Western Michigan,3,13,64,58
Western Michigan,Miami (OH),14,20,63,62
Miami (OH),Western Michigan,17,3,69,55
Western Michigan,Miami (OH),21,0,59,64
Miami (OH),Western Michigan,16,9,70,55
Western Michigan,Miami (OH),0,14,58,63
Miami (OH),Western Michigan,16,14,56,65
Western Michigan,Miami (OH),23,26,61,65
Miami (OH),Western Michigan,19,3,71,56
Western Michigan,Miami (OH),23,17,59,68
Miami (OH),Western Michigan,17,14,64,52
Western Michigan,Miami (OH),6,7,68,64
Miami (OH),Western Michigan,23,17,69,55
Western Michigan,Miami (OH),0,38,50,67
Miami (OH),Western Michigan,7,20,55,68
Western Michigan,Miami (OH),17,10,60,64
Miami (OH),Western Michigan,10,16,55,63
Western Michigan,Miami (OH),14,28,63,62
Miami (OH),Western Michigan,10,17,63,62
Western Michigan,Miami (OH),27,7,67,54
Miami (OH),Western Michigan,24,10,67,62
Western Michigan,Miami (OH),7,13,55,76
Miami (OH),Western Michigan,21,17,66,61
Western Michigan,Miami (OH),10,17,67,56
Miami (OH),Western Michigan,31,14,66,54
Western Michigan,Miami (OH),7,23,56,66
Miami (OH),Western Michigan,42,10,66,48
Western Michigan,Miami (OH),10,0,64,56
Miami (OH),Western Michigan,3,21,64,57
Western Michigan,Miami (OH),0,24,60,65
Miami (OH),Western Michigan,24,13,65,72
