sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Delaware,Louisiana,Nick Minicucci,QB,32,22,246.4,1,0,4,0,0.0,0,0,0,0.0,0
48,A,Delaware,Louisiana,Jo'Nathan Silver,Rusher,0,0,0.0,0,0,0,17,80.0,1,0,0,0.0,0
48,A,Delaware,Louisiana,Nick Minicucci,Rusher,0,0,0.0,0,0,0,8,67.0,0,0,0,0.0,0
48,A,Delaware,Louisiana,Greg Spiller,Rusher,0,0,0.0,0,0,0,1,4.4,0,0,0,0.0,0
48,A,Delaware,Louisiana,Viron Ellison Jr.,Rusher,0,0,0.0,0,0,0,6,38.2,0,0,0,0.0,0
48,A,Delaware,Louisiana,Saeed St. Fleur,Rusher,0,0,0.0,0,0,0,2,8.9,0,0,0,0.0,0
48,A,Delaware,Louisiana,Riley Trujillo,Rusher,0,0,0.0,0,0,0,1,5.6,0,0,0,0.0,0
48,A,Delaware,Louisiana,Zach Marker,Rusher,0,0,0.0,0,0,0,1,6.6,0,0,0,0.0,0
48,A,Delaware,Louisiana,Sean Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,63.2,0
48,A,Delaware,Louisiana,Elijah Sessoms,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,15.3,0
48,A,Delaware,Louisiana,Kyre Duplessis,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,27.4,0
48,A,Delaware,Louisiana,Nicholas Laboy,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,25.7,0
48,A,Delaware,Louisiana,Jake Thaw,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,63.2,1
48,A,Delaware,Louisiana,Max Patterson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,4,0.0,0
48,A,Delaware,Louisiana,Ja'Carree Kelly,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,2.5,0
48,A,Delaware,Louisiana,Connor Witthoft,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,49.2,0
48,A,Delaware,Louisiana,Brandon Rehmann,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Louisiana,Delaware,Walker Howard,QB,32,20,189.4,1,0,5,0,0.0,0,0,0,0.0,0
48,A,Louisiana,Delaware,Bill Davis,Rusher,0,0,0.0,0,0,0,6,35.1,0,0,0,0.0,0
48,A,Louisiana,Delaware,Walker Howard,Rusher,0,0,0.0,0,0,0,6,43.1,1,0,0,0.0,0
48,A,Louisiana,Delaware,Zylan Perry,Rusher,0,0,0.0,0,0,0,6,44.9,0,0,0,0.0,0
48,A,Louisiana,Delaware,Steven Blanco,Rusher,0,0,0.0,0,0,0,3,13.0,0,0,0,0.0,0
48,A,Louisiana,Delaware,D'Wayne' Winfield,Rusher,0,0,0.0,0,0,0,4,10.0,0,0,0,0.0,0
48,A,Louisiana,Delaware,Caden Jensen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,8.5,0
48,A,Louisiana,Delaware,Rahji Dennis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,15.9,0
48,A,Louisiana,Delaware,Shelton Sampson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,10,42.2,0
48,A,Louisiana,Delaware,Robert Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,44.8,1
48,A,Louisiana,Delaware,Landon Strother,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.5,0
48,A,Louisiana,Delaware,Jaydon Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,16.7,0
48,A,Louisiana,Delaware,Charles Robertson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,2.4,0
48,A,Louisiana,Delaware,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
