sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Illinois,Tennessee,Luke Altmyer,QB,25,17,208.3,1,0,8,0,0.0,0,0,0,0.0,0
16,A,Illinois,Tennessee,Aidan Laughery,Rusher,0,0,0.0,0,0,0,9,22.9,1,0,0,0.0,0
16,A,Illinois,Tennessee,Luke Altmyer,Rusher,0,0,0.0,0,0,0,3,16.2,0,0,0,0.0,0
16,A,Illinois,Tennessee,Kaden Feagin,Rusher,0,0,0.0,0,0,0,18,99.2,1,0,0,0.0,0
16,A,Illinois,Tennessee,Ca'Lil Valentine,Rusher,0,0,0.0,0,0,0,6,28.4,0,0,0,0.0,0
16,A,Illinois,Tennessee,Hank Beatty,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,64.7,1
16,A,Illinois,Tennessee,Collin Dixon,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,10.2,0
16,A,Illinois,Tennessee,Cole Rusk,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,46.3,0
16,A,Illinois,Tennessee,Tanner Arkin,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,23.8,0
16,A,Illinois,Tennessee,Hudson Clement,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
16,A,Illinois,Tennessee,Justin Bowick,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,8.3,0
16,A,Illinois,Tennessee,Alex Capka-Jones,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
16,A,Illinois,Tennessee,Malik Elzy,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,44.2,0
16,A,Illinois,Tennessee,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.8,0
16,A,Tennessee,Illinois,Joey Aguilar,QB,32,23,236.1,1,0,4,0,0.0,0,0,0,0.0,0
16,A,Tennessee,Illinois,DeSean Bishop,Rusher,0,0,0.0,0,0,0,8,18.8,0,0,0,0.0,0
16,A,Tennessee,Illinois,Star Thomas,Rusher,0,0,0.0,0,0,0,10,24.8,1,0,0,0.0,0
16,A,Tennessee,Illinois,Peyton Lewis,Rusher,0,0,0.0,0,0,0,7,19.5,0,0,0,0.0,0
16,A,Tennessee,Illinois,Joey Aguilar,Rusher,0,0,0.0,0,0,0,1,11.6,0,0,0,0.0,0
16,A,Tennessee,Illinois,Ethan Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.4,0
16,A,Tennessee,Illinois,Braylon Staley,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,62.4,0
16,A,Tennessee,Illinois,Mike Matthews,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,19.5,0
16,A,Tennessee,Illinois,Travis Smith Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,24.5,1
16,A,Tennessee,Illinois,Chris Brazzell II,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,34.8,0
16,A,Tennessee,Illinois,Miles Kitselman,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,31.4,0
16,A,Tennessee,Illinois,Radarious Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,21.9,0
16,A,Tennessee,Illinois,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,31.2,0
17,B,Tennessee,Illinois,Joey Aguilar,QB,36,26,275.4,1,0,7,0,0.0,0,0,0,0.0,0
17,B,Tennessee,Illinois,Peyton Lewis,Rusher,0,0,0.0,0,0,0,4,8.7,0,0,0,0.0,0
17,B,Tennessee,Illinois,Joey Aguilar,Rusher,0,0,0.0,0,0,0,2,-5.0,0,0,0,0.0,0
17,B,Tennessee,Illinois,Star Thomas,Rusher,0,0,0.0,0,0,0,7,37.1,0,0,0,0.0,0
17,B,Tennessee,Illinois,DeSean Bishop,Rusher,0,0,0.0,0,0,0,9,5.9,1,0,0,0.0,0
17,B,Tennessee,Illinois,Miles Kitselman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,27.3,0
17,B,Tennessee,Illinois,Chris Brazzell II,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,80.2,0
17,B,Tennessee,Illinois,Braylon Staley,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,62.2,1
17,B,Tennessee,Illinois,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,29.2,0
17,B,Tennessee,Illinois,Ethan Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,7.2,0
