sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Texas,Michigan,Arch Manning,QB,19,12,148.5,2,0,2,0,0.0,0,0,0,0.0,0
48,A,Texas,Michigan,Christian Clark,Rusher,0,0,0.0,0,0,0,4,35.2,0,0,0,0.0,0
48,A,Texas,Michigan,Arch Manning,Rusher,0,0,0.0,0,0,0,2,18.3,0,0,0,0.0,0
48,A,Texas,Michigan,Tre Wisner,Rusher,0,0,0.0,0,0,0,4,20.4,0,0,0,0.0,0
48,A,Texas,Michigan,CJ Baxter Jr.,Rusher,0,0,0.0,0,0,0,6,22.7,0,0,0,0.0,0
48,A,Texas,Michigan,James Simon,Rusher,0,0,0.0,0,0,0,4,7.8,0,0,0,0.0,0
48,A,Texas,Michigan,Jerrick Gibson,Rusher,0,0,0.0,0,0,0,8,4.1,0,0,0,0.0,0
48,A,Texas,Michigan,Matthew Caldwell,Rusher,0,0,0.0,0,0,0,1,-3.1,0,0,0,0.0,0
48,A,Texas,Michigan,DeAndre Moore Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,17.0,0
48,A,Texas,Michigan,Parker Livingstone,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,6.9,0
48,A,Texas,Michigan,Jack Endries,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,48.7,0
48,A,Texas,Michigan,Ryan Wingo,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,23.5,1
48,A,Texas,Michigan,Jordan Washington,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,22.7,1
48,A,Texas,Michigan,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,29.7,0
48,A,Michigan,Texas,Bryce Underwood,QB,24,18,151.1,0,0,5,0,0.0,0,0,0,0.0,0
48,A,Michigan,Texas,Justice Haynes,Rusher,0,0,0.0,0,0,0,15,62.4,0,0,0,0.0,0
48,A,Michigan,Texas,Bryce Underwood,Rusher,0,0,0.0,0,0,0,7,5.7,0,0,0,0.0,0
48,A,Michigan,Texas,Jordan Marshall,Rusher,0,0,0.0,0,0,0,8,23.4,0,0,0,0.0,0
48,A,Michigan,Texas,Micah Ka'Apana,Rusher,0,0,0.0,0,0,0,3,10.8,0,0,0,0.0,0
48,A,Michigan,Texas,Other RB,Rusher,0,0,0.0,0,0,0,1,-2.0,0,0,0,0.0,0
48,A,Michigan,Texas,Zack Marshall,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.4,0
48,A,Michigan,Texas,Marlin Klein,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,17.0,0
48,A,Michigan,Texas,Channing Goodwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,4.6,0
48,A,Michigan,Texas,Semaj Morgan,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,57.7,0
48,A,Michigan,Texas,Donaven McCulley,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,38.8,0
48,A,Michigan,Texas,Hogan Hansen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,4.8,0
48,A,Michigan,Texas,Max Bredeson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.4,0
48,A,Michigan,Texas,Fredrick Moore,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.3,0
48,A,Michigan,Texas,Andrew Marsh,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.2,0
49,B,Michigan,Texas,Bryce Underwood,QB,20,16,142.6,0,0,7,0,0.0,0,0,0,0.0,0
49,B,Michigan,Texas,Justice Haynes,Rusher,0,0,0.0,0,0,0,13,45.9,0,0,0,0.0,0
49,B,Michigan,Texas,Jordan Marshall,Rusher,0,0,0.0,0,0,0,13,53.5,1,0,0,0.0,0
49,B,Michigan,Texas,Bryce Underwood,Rusher,0,0,0.0,0,0,0,3,-1.4,0,0,0,0.0,0
49,B,Michigan,Texas,Other RB,Rusher,0,0,0.0,0,0,0,1,3.6,0,0,0,0.0,0
49,B,Michigan,Texas,Andrew Marsh,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.6,0
49,B,Michigan,Texas,Donaven McCulley,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,60.0,0
49,B,Michigan,Texas,Hogan Hansen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,10.3,0
49,B,Michigan,Texas,Marlin Klein,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,48.7,0
49,B,Michigan,Texas,Channing Goodwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,1.3,0
49,B,Michigan,Texas,Kendrick Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
49,B,Michigan,Texas,Semaj Morgan,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,8.6,0
49,B,Texas,Michigan,Arch Manning,QB,11,10,144.1,1,0,6,0,0.0,0,0,0,0.0,0
49,B,Texas,Michigan,Christian Clark,Rusher,0,0,0.0,0,0,0,2,10.5,0,0,0,0.0,0
49,B,Texas,Michigan,Jerrick Gibson,Rusher,0,0,0.0,0,0,0,7,9.7,0,0,0,0.0,0
49,B,Texas,Michigan,James Simon,Rusher,0,0,0.0,0,0,0,7,16.2,1,0,0,0.0,0
49,B,Texas,Michigan,Tre Wisner,Rusher,0,0,0.0,0,0,0,12,35.9,0,0,0,0.0,0
49,B,Texas,Michigan,Arch Manning,Rusher,0,0,0.0,0,0,0,1,2.3,0,0,0,0.0,0
49,B,Texas,Michigan,CJ Baxter Jr.,Rusher,0,0,0.0,0,0,0,5,14.3,0,0,0,0.0,0
49,B,Texas,Michigan,Ryan Wingo,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,21.3,1
49,B,Texas,Michigan,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,56.7,0
49,B,Texas,Michigan,Jordan Washington,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,22.3,0
49,B,Texas,Michigan,Daylan Mccutcheon,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
49,B,Texas,Michigan,Parker Livingstone,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.4,0
49,B,Texas,Michigan,DeAndre Moore Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.6,0
49,B,Texas,Michigan,Jack Endries,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,21.8,0
50,A,Texas,Michigan,Arch Manning,QB,24,14,73.9,0,0,8,0,0.0,0,0,0,0.0,0
50,A,Texas,Michigan,Christian Clark,Rusher,0,0,0.0,0,0,0,5,32.3,0,0,0,0.0,0
50,A,Texas,Michigan,CJ Baxter Jr.,Rusher,0,0,0.0,0,0,0,1,-1.8,0,0,0,0.0,0
50,A,Texas,Michigan,Arch Manning,Rusher,0,0,0.0,0,0,0,4,47.5,1,0,0,0.0,0
50,A,Texas,Michigan,Tre Wisner,Rusher,0,0,0.0,0,0,0,6,13.5,0,0,0,0.0,0
50,A,Texas,Michigan,Matthew Caldwell,Rusher,0,0,0.0,0,0,0,1,-1.6,0,0,0,0.0,0
50,A,Texas,Michigan,Jerrick Gibson,Rusher,0,0,0.0,0,0,0,1,6.2,0,0,0,0.0,0
50,A,Texas,Michigan,James Simon,Rusher,0,0,0.0,0,0,0,2,6.4,0,0,0,0.0,0
50,A,Texas,Michigan,Parker Livingstone,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
50,A,Texas,Michigan,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,9,63.5,0
50,A,Texas,Michigan,Ryan Wingo,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,10.4,0
50,A,Texas,Michigan,Daylan Mccutcheon,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
50,A,Texas,Michigan,DeAndre Moore Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,0.0,0
50,A,Texas,Michigan,Jack Endries,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,0.0,0
50,A,Michigan,Texas,Bryce Underwood,QB,19,11,112.0,1,0,0,0,0.0,0,0,0,0.0,0
50,A,Michigan,Texas,Jordan Marshall,Rusher,0,0,0.0,0,0,0,14,57.2,1,0,0,0.0,0
50,A,Michigan,Texas,Justice Haynes,Rusher,0,0,0.0,0,0,0,20,57.7,1,0,0,0.0,0
50,A,Michigan,Texas,Micah Ka'Apana,Rusher,0,0,0.0,0,0,0,1,7.0,0,0,0,0.0,0
50,A,Michigan,Texas,Bryce Underwood,Rusher,0,0,0.0,0,0,0,7,43.2,0,0,0,0.0,0
50,A,Michigan,Texas,Other RB,Rusher,0,0,0.0,0,0,0,1,9.6,0,0,0,0.0,0
50,A,Michigan,Texas,Semaj Morgan,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,38.6,0
50,A,Michigan,Texas,Zack Marshall,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
50,A,Michigan,Texas,Andrew Marsh,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
