sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,UTSA,Florida International,Owen McCown,QB,24,14,157.9,0,0,7,0,0.0,0,0,0,0.0,0
16,A,UTSA,Florida International,Will Henderson III,Rusher,0,0,0.0,0,0,0,7,53.4,0,0,0,0.0,0
16,A,UTSA,Florida International,Robert Henry,Rusher,0,0,0.0,0,0,0,11,42.1,2,0,0,0.0,0
16,A,UTSA,Florida International,Other RB,Rusher,0,0,0.0,0,0,0,3,8.2,0,0,0,0.0,0
16,A,UTSA,Florida International,Owen McCown,Rusher,0,0,0.0,0,0,0,4,29.6,0,0,0,0.0,0
16,A,UTSA,Florida International,A'Marion Peterson,Rusher,0,0,0.0,0,0,0,3,2.0,0,0,0,0.0,0
16,A,UTSA,Florida International,Patrick Overmyer,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,12.2,0
16,A,UTSA,Florida International,DJ Allen,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,43.4,0
16,A,UTSA,Florida International,Devin Mccuin,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,3.8,0
16,A,UTSA,Florida International,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,34.5,0
16,A,UTSA,Florida International,Houston Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,18.0,0
16,A,UTSA,Florida International,David Amador,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,6.3,0
16,A,UTSA,Florida International,AJ Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,39.7,0
16,A,UTSA,Florida International,Dan Dishman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Florida International,UTSA,Keyone Jenkins,QB,20,16,215.2,1,0,7,0,0.0,0,0,0,0.0,0
16,A,Florida International,UTSA,Kejon Owens,Rusher,0,0,0.0,0,0,0,16,71.1,1,0,0,0.0,0
16,A,Florida International,UTSA,Anthony Carrie,Rusher,0,0,0.0,0,0,0,5,14.3,0,0,0,0.0,0
16,A,Florida International,UTSA,Devonte Lyons,Rusher,0,0,0.0,0,0,0,5,17.5,1,0,0,0.0,0
16,A,Florida International,UTSA,Keyone Jenkins,Rusher,0,0,0.0,0,0,0,3,12.5,0,0,0,0.0,0
16,A,Florida International,UTSA,Other RB,Rusher,0,0,0.0,0,0,0,1,8.5,0,0,0,0.0,0
16,A,Florida International,UTSA,Shaborne Demps,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,61.6,1
16,A,Florida International,UTSA,Dallas Payne,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.5,0
16,A,Florida International,UTSA,JoJo Stone,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,16.7,0
16,A,Florida International,UTSA,Maguire Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,39.5,0
16,A,Florida International,UTSA,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
16,A,Florida International,UTSA,Justin Cayenne,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,Florida International,UTSA,Alex Perry,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,41.0,0
