sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Western Michigan,Kennesaw State,Broc Lowry,QB,15,6,60.5,0,1,6,0,0.0,0,0,0,0.0,0
48,A,Western Michigan,Kennesaw State,Brady Jones,QB,5,2,20.6,0,0,1,0,0.0,0,0,0,0.0,0
48,A,Western Michigan,Kennesaw State,Cole Cabana,Rusher,0,0,0.0,0,0,0,5,39.3,0,0,0,0.0,0
48,A,Western Michigan,Kennesaw State,Ofa Mataele,Rusher,0,0,0.0,0,0,0,7,12.2,0,0,0,0.0,0
48,A,Western Michigan,Kennesaw State,Jalen Buckley,Rusher,0,0,0.0,0,0,0,14,47.7,0,0,0,0.0,0
48,A,Western Michigan,Kennesaw State,Broc Lowry,Rusher,0,0,0.0,0,0,0,5,24.8,1,0,0,0.0,0
48,A,Western Michigan,Kennesaw State,Devin Miles,Rusher,0,0,0.0,0,0,0,5,28.7,0,0,0,0.0,0
48,A,Western Michigan,Kennesaw State,Malique Dieudonne,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,31.6,0
48,A,Western Michigan,Kennesaw State,Christian Leary,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,20.6,0
48,A,Western Michigan,Kennesaw State,Michael Brescia,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,6.5,0
48,A,Western Michigan,Kennesaw State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,11.5,0
48,A,Western Michigan,Kennesaw State,Terence Marshall,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Western Michigan,Kennesaw State,Tailique Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,0.0,0
48,A,Western Michigan,Kennesaw State,Cade Conley,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.9,0
48,A,Western Michigan,Kennesaw State,Blake Bosma,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
48,A,Western Michigan,Kennesaw State,Baylin Brooks,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
48,A,Western Michigan,Kennesaw State,Aveion Chenault,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Kennesaw State,Western Michigan,Dexter Williams II,QB,27,17,148.3,1,0,4,0,0.0,0,0,0,0.0,0
48,A,Kennesaw State,Western Michigan,Coleman Bennett,Rusher,0,0,0.0,0,0,0,8,44.0,0,0,0,0.0,0
48,A,Kennesaw State,Western Michigan,Alexander Diggs,Rusher,0,0,0.0,0,0,0,13,57.5,1,0,0,0.0,0
48,A,Kennesaw State,Western Michigan,Chase Belcher,Rusher,0,0,0.0,0,0,0,3,6.7,0,0,0,0.0,0
48,A,Kennesaw State,Western Michigan,Amari Odom,Rusher,0,0,0.0,0,0,0,9,41.7,0,0,0,0.0,0
48,A,Kennesaw State,Western Michigan,Dexter Williams II,Rusher,0,0,0.0,0,0,0,5,23.6,0,0,0,0.0,0
48,A,Kennesaw State,Western Michigan,Tommy Ulatowski,Rusher,0,0,0.0,0,0,0,1,-3.9,0,0,0,0.0,0
48,A,Kennesaw State,Western Michigan,Gabriel Benyard,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,10,34.0,0
48,A,Kennesaw State,Western Michigan,Jordan Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,18.7,0
48,A,Kennesaw State,Western Michigan,Navelle Dean,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Kennesaw State,Western Michigan,Christian Moss,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,20.3,0
48,A,Kennesaw State,Western Michigan,Lyndon Ravare,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,6.2,0
48,A,Kennesaw State,Western Michigan,Tykeem Wallace,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,69.2,1
49,B,Kennesaw State,Western Michigan,Dexter Williams II,QB,29,23,225.1,0,0,3,0,0.0,0,0,0,0.0,0
49,B,Kennesaw State,Western Michigan,Coleman Bennett,Rusher,0,0,0.0,0,0,0,11,22.3,1,0,0,0.0,0
49,B,Kennesaw State,Western Michigan,Amari Odom,Rusher,0,0,0.0,0,0,0,15,59.0,0,0,0,0.0,0
49,B,Kennesaw State,Western Michigan,Alexander Diggs,Rusher,0,0,0.0,0,0,0,13,50.3,3,0,0,0.0,0
