team,opp,pts,opp_pts,plays,opp_plays
BYU,Georgia Tech,27,14,69,52
Georgia Tech,BYU,24,24,60,59
BYU,Georgia Tech,24,41,57,66
Georgia Tech,BYU,7,17,56,58
BYU,Georgia Tech,7,45,47,74
Georgia Tech,BYU,6,24,60,55
BYU,Georgia Tech,16,20,63,61
Georgia Tech,BYU,17,14,57,59
BYU,Georgia Tech,17,10,54,68
Georgia Tech,BYU,3,28,50,61
BYU,Georgia Tech,21,21,62,56
Georgia Tech,BYU,24,3,62,53
BYU,Georgia Tech,21,49,58,67
Georgia Tech,BYU,14,28,63,57
BYU,Georgia Tech,14,28,57,59
Georgia Tech,BYU,28,10,64,50
BYU,Georgia Tech,17,24,61,60
Georgia Tech,BYU,35,21,60,61
BYU,Georgia Tech,14,24,55,58
Georgia Tech,BYU,17,17,61,57
BYU,Georgia Tech,24,17,69,48
Georgia Tech,BYU,7,37,54,63
BYU,Georgia Tech,35,28,67,56
Georgia Tech,BYU,17,21,55,66
BYU,Georgia Tech,21,16,67,47
Georgia Tech,BYU,10,28,56,64
BYU,Georgia Tech,17,21,73,46
Georgia Tech,BYU,3,17,48,71
BYU,Georgia Tech,13,34,55,55
Georgia Tech,BYU,21,21,52,65
BYU,Georgia Tech,17,24,65,59
Georgia Tech,BYU,31,24,67,54
BYU,Georgia Tech,27,17,62,56
Georgia Tech,BYU,21,31,50,67
BYU,Georgia Tech,14,17,57,60
Georgia Tech,BYU,31,13,58,60
BYU,Georgia Tech,24,24,65,57
Georgia Tech,BYU,28,27,54,62
BYU,Georgia Tech,28,17,62,57
Georgia Tech,BYU,20,21,59,59
BYU,Georgia Tech,30,14,65,53
Georgia Tech,BYU,35,28,56,64
BYU,Georgia Tech,7,28,54,64
Georgia Tech,BYU,17,30,54,63
BYU,Georgia Tech,28,10,56,59
Georgia Tech,BYU,9,20,61,57
BYU,Georgia Tech,31,24,65,54
Georgia Tech,BYU,34,7,65,64
BYU,Georgia Tech,28,10,68,49
Georgia Tech,BYU,0,13,43,66
BYU,Georgia Tech,38,14,74,49
Georgia Tech,BYU,17,21,62,56
BYU,Georgia Tech,20,45,59,60
Georgia Tech,BYU,38,14,67,53
BYU,Georgia Tech,21,20,55,65
