team,opp,pts,opp_pts,plays,opp_plays
Cincinnati,Navy,24,17,65,54
Navy,Cincinnati,21,14,58,59
Cincinnati,Navy,24,31,65,55
Navy,Cincinnati,14,24,60,52
Cincinnati,Navy,21,3,69,54
Navy,Cincinnati,17,24,61,52
Cincinnati,Navy,10,6,60,57
Navy,Cincinnati,24,17,60,62
Cincinnati,Navy,17,17,62,55
Navy,Cincinnati,17,14,60,57
Cincinnati,Navy,28,30,61,61
Navy,Cincinnati,10,37,51,65
Cincinnati,Navy,20,14,63,55
Navy,Cincinnati,17,14,59,57
Cincinnati,Navy,13,10,63,56
Navy,Cincinnati,21,10,56,65
Cincinnati,Navy,13,26,59,58
Navy,Cincinnati,24,28,60,60
Cincinnati,Navy,14,17,58,62
Navy,Cincinnati,21,17,60,64
Cincinnati,Navy,26,17,63,58
Navy,Cincinnati,6,24,68,48
Cincinnati,Navy,7,17,52,67
Navy,Cincinnati,14,20,53,70
Cincinnati,Navy,20,10,65,56
Navy,Cincinnati,3,23,45,67
Cincinnati,Navy,7,35,43,73
Navy,Cincinnati,14,20,51,66
Cincinnati,Navy,14,3,57,59
Navy,Cincinnati,28,20,65,59
Cincinnati,Navy,42,31,68,52
Navy,Cincinnati,10,38,55,63
Cincinnati,Navy,42,13,55,61
Navy,Cincinnati,17,3,58,63
Cincinnati,Navy,7,17,55,64
Navy,Cincinnati,24,14,62,46
Cincinnati,Navy,10,17,62,54
Navy,Cincinnati,30,20,66,46
Cincinnati,Navy,21,13,62,55
Navy,Cincinnati,17,21,54,60
Cincinnati,Navy,16,10,58,58
Navy,Cincinnati,13,45,59,63
Cincinnati,Navy,38,17,63,59
Navy,Cincinnati,17,31,66,67
Cincinnati,Navy,34,17,69,56
Navy,Cincinnati,20,44,53,72
Cincinnati,Navy,14,33,59,58
Navy,Cincinnati,21,14,67,49
Cincinnati,Navy,41,7,66,52
Navy,Cincinnati,7,34,50,67
Cincinnati,Navy,21,13,46,63
Navy,Cincinnati,24,45,48,62
Cincinnati,Navy,34,10,66,58
Navy,Cincinnati,31,10,58,56
Cincinnati,Navy,24,35,48,66
Navy,Cincinnati,23,10,59,61
Cincinnati,Navy,35,14,69,52
Navy,Cincinnati,6,31,55,68
Cincinnati,Navy,38,14,69,58
Navy,Cincinnati,0,31,53,66
Cincinnati,Navy,17,38,64,52
Navy,Cincinnati,14,21,56,66
Cincinnati,Navy,13,21,56,59
Navy,Cincinnati,28,28,65,57
Cincinnati,Navy,24,27,64,56
Navy,Cincinnati,28,28,56,61
Cincinnati,Navy,21,20,51,62
Navy,Cincinnati,31,14,67,48
Cincinnati,Navy,13,20,60,52
Navy,Cincinnati,0,29,47,71
Cincinnati,Navy,17,20,48,64
Navy,Cincinnati,17,38,56,54
Cincinnati,Navy,3,24,51,66
Navy,Cincinnati,14,10,48,62
Cincinnati,Navy,27,20,68,51
Navy,Cincinnati,17,10,56,58
Cincinnati,Navy,3,6,67,55
Navy,Cincinnati,31,27,56,62
Cincinnati,Navy,31,13,54,60
Navy,Cincinnati,26,6,66,46
Cincinnati,Navy,27,17,63,56
Navy,Cincinnati,30,17,61,64
Cincinnati,Navy,21,10,70,43
Navy,Cincinnati,14,14,50,65
Cincinnati,Navy,21,21,62,53
Navy,Cincinnati,42,31,60,54
Cincinnati,Navy,10,24,65,49
Navy,Cincinnati,9,10,66,59
Cincinnati,Navy,24,24,59,54
Navy,Cincinnati,20,13,58,61
Cincinnati,Navy,27,17,65,57
Navy,Cincinnati,38,10,72,48
Cincinnati,Navy,20,10,55,60
Navy,Cincinnati,17,17,57,59
Cincinnati,Navy,24,14,59,56
Navy,Cincinnati,31,24,58,56
Cincinnati,Navy,13,24,56,57
Navy,Cincinnati,3,20,56,59
Cincinnati,Navy,10,20,58,59
Navy,Cincinnati,13,45,51,72
Cincinnati,Navy,24,0,64,55
Navy,Cincinnati,13,21,59,56
Cincinnati,Navy,17,17,71,53
Navy,Cincinnati,20,14,72,43
Cincinnati,Navy,20,7,58,60
Navy,Cincinnati,17,20,66,60
Cincinnati,Navy,27,28,56,57
Navy,Cincinnati,21,20,56,60
Cincinnati,Navy,21,21,53,60
Navy,Cincinnati,31,34,58,67
Cincinnati,Navy,31,21,51,66
Navy,Cincinnati,19,17,65,58
Cincinnati,Navy,24,34,55,58
Navy,Cincinnati,31,3,56,55
Cincinnati,Navy,10,30,59,58
Navy,Cincinnati,20,27,64,60
Cincinnati,Navy,13,34,56,61
Navy,Cincinnati,26,3,63,52
Cincinnati,Navy,31,21,60,56
Navy,Cincinnati,28,31,62,64
Cincinnati,Navy,38,0,70,56
Navy,Cincinnati,24,21,45,67
Cincinnati,Navy,17,3,62,61
Navy,Cincinnati,21,35,59,63
Cincinnati,Navy,28,21,46,66
Navy,Cincinnati,7,20,73,47
Cincinnati,Navy,34,28,59,60
Navy,Cincinnati,14,27,41,77
Cincinnati,Navy,20,17,51,58
Navy,Cincinnati,0,14,59,53
Cincinnati,Navy,7,17,55,54
Navy,Cincinnati,28,21,67,51
Cincinnati,Navy,27,10,69,53
Navy,Cincinnati,21,23,67,61
Cincinnati,Navy,34,28,64,54
Navy,Cincinnati,17,28,70,44
Cincinnati,Navy,41,17,59,62
Navy,Cincinnati,21,7,65,42
Cincinnati,Navy,16,3,61,54
Navy,Cincinnati,20,0,64,44
Cincinnati,Navy,17,10,57,54
Navy,Cincinnati,0,23,55,70
Cincinnati,Navy,17,3,51,58
Navy,Cincinnati,21,16,53,68
Cincinnati,Navy,17,35,65,61
Navy,Cincinnati,24,10,58,58
Cincinnati,Navy,31,31,63,53
Navy,Cincinnati,35,24,62,55
Cincinnati,Navy,38,13,66,59
Navy,Cincinnati,7,26,51,64
Cincinnati,Navy,13,31,58,61
Navy,Cincinnati,21,17,55,61
Cincinnati,Navy,20,31,62,61
Navy,Cincinnati,0,38,49,70
Cincinnati,Navy,31,14,66,50
Navy,Cincinnati,20,14,63,46
Cincinnati,Navy,10,21,56,61
Navy,Cincinnati,24,19,59,58
