team,opp,pts,opp_pts,plays,opp_plays
Houston,LSU,21,20,69,50
LSU,Houston,20,14,55,64
Houston,LSU,23,6,68,54
LSU,Houston,21,7,77,47
Houston,LSU,17,13,64,53
LSU,Houston,10,17,55,62
Houston,LSU,16,13,55,60
LSU,Houston,20,14,65,58
Houston,LSU,14,27,65,59
LSU,Houston,7,14,58,66
Houston,LSU,9,31,67,58
LSU,Houston,23,17,63,57
Houston,LSU,22,0,65,55
LSU,Houston,24,10,65,54
Houston,LSU,17,28,64,58
LSU,Houston,21,20,65,57
Houston,LSU,24,10,66,61
LSU,Houston,17,17,58,64
Houston,LSU,21,24,52,69
LSU,Houston,17,17,65,61
Houston,LSU,13,17,64,56
LSU,Houston,34,13,70,50
Houston,LSU,13,10,62,64
LSU,Houston,7,27,62,60
Houston,LSU,28,6,64,52
LSU,Houston,16,17,63,65
Houston,LSU,10,10,56,72
LSU,Houston,20,7,68,50
Houston,LSU,10,31,49,70
LSU,Houston,31,21,64,55
Houston,LSU,17,20,57,66
LSU,Houston,14,16,57,66
Houston,LSU,3,10,62,59
LSU,Houston,7,17,58,61
Houston,LSU,13,14,63,65
LSU,Houston,20,13,54,66
Houston,LSU,14,14,70,54
LSU,Houston,10,16,62,68
Houston,LSU,7,17,59,61
LSU,Houston,10,14,61,66
Houston,LSU,16,34,62,58
LSU,Houston,31,7,64,63
Houston,LSU,7,24,55,66
LSU,Houston,10,21,59,59
Houston,LSU,9,7,64,58
LSU,Houston,17,10,59,63
Houston,LSU,7,21,61,58
LSU,Houston,21,20,53,68
Houston,LSU,17,6,56,64
LSU,Houston,21,13,59,64
Houston,LSU,21,24,72,53
LSU,Houston,20,14,73,55
Houston,LSU,13,28,61,49
LSU,Houston,14,20,55,71
Houston,LSU,17,27,65,58
LSU,Houston,20,16,60,60
Houston,LSU,9,10,67,51
LSU,Houston,17,10,58,63
Houston,LSU,29,21,71,63
LSU,Houston,6,23,49,75
Houston,LSU,3,16,47,63
LSU,Houston,10,7,64,62
Houston,LSU,10,21,59,61
LSU,Houston,7,14,53,68
Houston,LSU,17,21,60,65
LSU,Houston,20,17,66,53
Houston,LSU,14,10,69,50
LSU,Houston,28,14,58,68
Houston,LSU,14,24,54,71
LSU,Houston,16,7,58,64
Houston,LSU,3,20,68,56
LSU,Houston,17,7,64,60
Houston,LSU,13,10,55,61
LSU,Houston,10,20,65,61
Houston,LSU,35,14,74,42
LSU,Houston,17,7,63,58
Houston,LSU,3,26,46,72
LSU,Houston,14,23,59,62
Houston,LSU,13,24,70,64
LSU,Houston,28,28,60,58
Houston,LSU,7,26,58,63
LSU,Houston,17,13,52,71
Houston,LSU,3,3,60,59
LSU,Houston,38,3,74,52
Houston,LSU,3,16,46,65
LSU,Houston,17,3,69,63
Houston,LSU,27,17,65,61
LSU,Houston,7,21,60,60
Houston,LSU,20,17,67,55
LSU,Houston,0,19,53,66
Houston,LSU,7,13,70,56
LSU,Houston,20,27,58,59
Houston,LSU,10,17,67,52
LSU,Houston,31,21,70,53
Houston,LSU,10,16,55,64
LSU,Houston,23,3,58,52
Houston,LSU,17,20,50,65
LSU,Houston,17,17,63,63
Houston,LSU,17,31,61,58
LSU,Houston,13,31,58,67
Houston,LSU,21,0,61,62
LSU,Houston,7,27,60,71
Houston,LSU,10,24,64,62
LSU,Houston,17,21,62,61
Houston,LSU,9,35,50,74
LSU,Houston,12,6,71,50
Houston,LSU,13,16,70,57
LSU,Houston,3,20,56,65
Houston,LSU,14,17,61,60
LSU,Houston,10,17,63,57
Houston,LSU,17,21,65,62
LSU,Houston,10,13,64,52
Houston,LSU,7,13,56,67
LSU,Houston,10,24,51,67
Houston,LSU,7,6,61,60
LSU,Houston,13,26,59,63
Houston,LSU,10,3,59,69
LSU,Houston,10,24,48,67
Houston,LSU,16,27,55,67
LSU,Houston,6,13,81,42
Houston,LSU,10,31,63,56
LSU,Houston,7,24,68,52
Houston,LSU,14,20,65,62
LSU,Houston,17,20,61,58
Houston,LSU,10,17,57,62
LSU,Houston,27,14,61,57
Houston,LSU,10,24,59,65
LSU,Houston,21,3,69,62
Houston,LSU,20,14,76,50
LSU,Houston,23,10,63,51
Houston,LSU,24,17,71,49
LSU,Houston,21,10,66,59
Houston,LSU,10,27,60,57
LSU,Houston,23,7,71,53
Houston,LSU,27,14,64,50
LSU,Houston,28,10,66,59
Houston,LSU,35,10,64,55
LSU,Houston,21,17,55,73
Houston,LSU,20,10,69,55
LSU,Houston,10,17,64,59
Houston,LSU,17,3,66,62
LSU,Houston,7,27,49,66
Houston,LSU,24,3,66,54
LSU,Houston,21,17,56,71
Houston,LSU,21,24,61,63
LSU,Houston,3,28,55,63
Houston,LSU,14,24,56,64
LSU,Houston,28,10,66,52
Houston,LSU,24,24,61,64
LSU,Houston,16,14,66,62
Houston,LSU,17,6,56,59
LSU,Houston,26,3,77,49
Houston,LSU,34,17,69,57
LSU,Houston,13,10,54,66
Houston,LSU,10,14,60,61
LSU,Houston,9,13,68,59
Houston,LSU,13,37,65,66
LSU,Houston,21,17,65,60
Houston,LSU,10,6,53,66
LSU,Houston,28,21,62,62
Houston,LSU,14,10,59,66
LSU,Houston,14,20,67,62
Houston,LSU,24,14,59,64
LSU,Houston,24,17,72,54
Houston,LSU,20,35,67,61
LSU,Houston,10,24,63,62
Houston,LSU,7,13,62,61
LSU,Houston,34,0,72,50
Houston,LSU,14,17,64,61
LSU,Houston,3,3,72,50
Houston,LSU,6,17,58,65
LSU,Houston,17,14,66,49
Houston,LSU,7,17,54,65
LSU,Houston,27,23,65,63
Houston,LSU,17,17,52,64
LSU,Houston,10,36,52,75
Houston,LSU,24,14,61,62
LSU,Houston,7,24,70,59
Houston,LSU,3,10,68,58
LSU,Houston,27,17,58,68
Houston,LSU,13,13,59,65
LSU,Houston,37,24,67,70
Houston,LSU,0,10,53,67
LSU,Houston,16,6,71,55
Houston,LSU,13,27,72,51
LSU,Houston,17,20,62,62
Houston,LSU,24,6,55,76
LSU,Houston,14,3,72,52
Houston,LSU,21,6,64,50
LSU,Houston,10,35,57,63
Houston,LSU,6,7,66,57
LSU,Houston,17,21,61,69
Houston,LSU,24,14,59,55
LSU,Houston,23,6,71,60
Houston,LSU,7,20,48,71
LSU,Houston,3,27,61,67
Houston,LSU,6,13,67,53
LSU,Houston,10,30,55,70
Houston,LSU,7,14,58,70
LSU,Houston,7,17,58,62
Houston,LSU,20,3,62,64
LSU,Houston,10,14,65,53
Houston,LSU,28,14,61,61
LSU,Houston,7,20,68,61
Houston,LSU,3,14,67,52
LSU,Houston,17,24,73,58
Houston,LSU,7,3,56,66
LSU,Houston,48,24,76,56
Houston,LSU,10,24,63,64
LSU,Houston,3,24,53,65
Houston,LSU,10,10,62,63
LSU,Houston,31,0,69,50
Houston,LSU,17,13,55,60
LSU,Houston,6,17,51,66
Houston,LSU,17,20,63,60
LSU,Houston,7,14,59,56
Houston,LSU,13,24,62,60
LSU,Houston,10,13,55,62
Houston,LSU,10,17,52,63
LSU,Houston,7,20,47,71
Houston,LSU,24,16,58,52
LSU,Houston,20,3,67,51
Houston,LSU,17,7,62,55
LSU,Houston,20,7,65,55
Houston,LSU,26,14,69,49
LSU,Houston,24,21,64,59
Houston,LSU,7,37,62,72
LSU,Houston,7,9,57,65
Houston,LSU,31,13,65,64
LSU,Houston,17,14,63,57
Houston,LSU,24,21,70,61
LSU,Houston,20,10,67,53
Houston,LSU,0,10,47,73
LSU,Houston,28,17,57,62
Houston,LSU,10,3,60,63
LSU,Houston,24,20,51,71
Houston,LSU,17,31,50,73
LSU,Houston,27,10,61,58
Houston,LSU,30,10,76,50
LSU,Houston,20,17,74,50
Houston,LSU,14,10,58,62
LSU,Houston,14,17,61,55
Houston,LSU,17,21,65,59
LSU,Houston,17,23,65,62
Houston,LSU,14,9,66,52
LSU,Houston,13,20,73,56
Houston,LSU,10,21,61,56
LSU,Houston,34,17,65,56
Houston,LSU,7,30,56,68
LSU,Houston,13,10,56,60
Houston,LSU,23,17,66,54
LSU,Houston,27,7,64,76
Houston,LSU,21,20,56,73
LSU,Houston,10,21,65,57
Houston,LSU,21,14,66,50
LSU,Houston,16,10,64,54
Houston,LSU,24,14,70,45
LSU,Houston,20,21,76,51
Houston,LSU,7,31,45,78
LSU,Houston,17,17,59,57
Houston,LSU,20,21,67,64
LSU,Houston,20,24,62,58
Houston,LSU,13,24,61,67
LSU,Houston,27,28,63,59
Houston,LSU,3,20,59,72
LSU,Houston,14,7,48,65
Houston,LSU,10,21,56,58
LSU,Houston,0,20,47,64
Houston,LSU,28,3,71,51
LSU,Houston,10,19,60,60
Houston,LSU,34,24,57,60
LSU,Houston,7,38,51,71
Houston,LSU,14,10,65,62
LSU,Houston,28,10,63,55
Houston,LSU,21,3,60,58
LSU,Houston,21,3,55,79
Houston,LSU,10,30,55,65
LSU,Houston,3,24,57,63
Houston,LSU,24,31,55,61
LSU,Houston,13,17,69,54
Houston,LSU,14,10,57,67
LSU,Houston,10,10,54,62
Houston,LSU,14,10,56,61
LSU,Houston,24,17,72,60
Houston,LSU,17,7,60,60
LSU,Houston,24,10,52,64
Houston,LSU,17,27,63,58
LSU,Houston,28,7,56,73
Houston,LSU,21,21,67,56
LSU,Houston,14,9,56,69
Houston,LSU,24,10,66,52
LSU,Houston,31,14,69,53
Houston,LSU,6,31,65,57
LSU,Houston,45,14,76,54
Houston,LSU,30,9,64,50
LSU,Houston,21,30,57,62
Houston,LSU,21,21,66,60
LSU,Houston,17,14,58,61
Houston,LSU,17,10,63,66
LSU,Houston,20,3,67,55
Houston,LSU,7,27,54,64
LSU,Houston,17,10,72,55
Houston,LSU,16,3,63,56
LSU,Houston,13,24,52,65
Houston,LSU,21,24,68,55
LSU,Houston,10,17,71,61
Houston,LSU,17,17,63,62
LSU,Houston,14,20,55,64
Houston,LSU,14,24,62,55
LSU,Houston,19,13,67,59
Houston,LSU,38,17,67,59
LSU,Houston,10,21,72,55
Houston,LSU,17,17,58,60
LSU,Houston,14,7,67,54
Houston,LSU,10,13,60,57
LSU,Houston,14,7,67,56
Houston,LSU,31,7,59,64
LSU,Houston,17,7,73,52
Houston,LSU,6,14,59,55
LSU,Houston,7,16,54,66
Houston,LSU,13,26,54,75
LSU,Houston,21,23,61,65
Houston,LSU,7,13,46,72
LSU,Houston,20,6,62,64
Houston,LSU,10,27,62,63
LSU,Houston,17,17,59,60
Houston,LSU,13,17,74,55
LSU,Houston,10,3,56,54
Houston,LSU,23,7,67,56
LSU,Houston,30,14,81,46
Houston,LSU,0,10,60,55
LSU,Houston,13,21,69,55
Houston,LSU,34,7,79,52
LSU,Houston,20,13,66,57
Houston,LSU,14,17,63,57
LSU,Houston,20,28,63,60
Houston,LSU,24,24,65,60
LSU,Houston,3,16,65,57
Houston,LSU,28,14,64,57
LSU,Houston,7,16,57,64
Houston,LSU,17,34,54,64
LSU,Houston,6,20,68,55
Houston,LSU,31,10,73,41
LSU,Houston,9,6,63,60
Houston,LSU,7,14,54,64
LSU,Houston,17,21,67,57
Houston,LSU,10,24,67,64
LSU,Houston,31,27,57,72
Houston,LSU,24,3,62,60
LSU,Houston,3,24,64,65
Houston,LSU,10,16,60,60
LSU,Houston,24,3,58,60
Houston,LSU,10,13,68,49
LSU,Houston,13,7,67,59
Houston,LSU,27,7,74,45
LSU,Houston,13,13,56,65
Houston,LSU,17,21,55,64
LSU,Houston,21,3,69,56
Houston,LSU,17,31,60,60
LSU,Houston,23,24,68,59
Houston,LSU,14,35,68,52
LSU,Houston,10,7,60,65
Houston,LSU,21,9,60,68
LSU,Houston,20,27,63,61
Houston,LSU,21,27,58,67
LSU,Houston,14,21,54,61
Houston,LSU,10,3,65,58
LSU,Houston,6,27,59,66
Houston,LSU,20,10,63,60
LSU,Houston,27,7,64,63
Houston,LSU,17,23,54,64
LSU,Houston,16,7,66,53
Houston,LSU,17,10,61,57
LSU,Houston,20,10,62,59
Houston,LSU,20,21,65,57
LSU,Houston,17,28,65,60
Houston,LSU,13,17,64,59
LSU,Houston,17,14,66,56
Houston,LSU,24,7,64,63
LSU,Houston,17,24,68,61
Houston,LSU,17,24,68,49
LSU,Houston,24,7,64,57
Houston,LSU,7,13,62,57
LSU,Houston,23,7,84,46
Houston,LSU,10,13,51,71
LSU,Houston,14,13,58,62
Houston,LSU,20,10,62,57
LSU,Houston,21,17,60,66
Houston,LSU,27,3,59,58
LSU,Houston,14,24,58,65
Houston,LSU,20,17,58,64
LSU,Houston,21,10,56,68
Houston,LSU,13,14,66,61
LSU,Houston,13,21,69,49
Houston,LSU,27,28,55,73
LSU,Houston,21,24,62,59
Houston,LSU,7,19,57,62
LSU,Houston,14,21,62,57
Houston,LSU,26,14,64,56
LSU,Houston,13,17,65,59
