team,opp,pts,opp_pts,plays,opp_plays
Louisiana Tech,Coastal Carolina,17,27,71,65
Coastal Carolina,Louisiana Tech,24,34,64,70
Louisiana Tech,Coastal Carolina,20,7,72,61
Coastal Carolina,Louisiana Tech,24,17,74,62
Louisiana Tech,Coastal Carolina,27,13,64,68
Coastal Carolina,Louisiana Tech,24,41,59,73
Louisiana Tech,Coastal Carolina,17,31,65,67
Coastal Carolina,Louisiana Tech,20,13,75,55
Louisiana Tech,Coastal Carolina,10,24,60,66
Coastal Carolina,Louisiana Tech,7,31,65,67
Louisiana Tech,Coastal Carolina,10,24,69,75
Coastal Carolina,Louisiana Tech,17,48,62,74
Louisiana Tech,Coastal Carolina,28,30,71,72
Coastal Carolina,Louisiana Tech,13,24,72,70
Louisiana Tech,Coastal Carolina,41,31,71,62
Coastal Carolina,Louisiana Tech,14,34,65,75
Louisiana Tech,Coastal Carolina,28,27,65,72
Coastal Carolina,Louisiana Tech,7,20,61,75
Louisiana Tech,Coastal Carolina,31,7,77,57
Coastal Carolina,Louisiana Tech,10,45,54,77
Louisiana Tech,Coastal Carolina,23,6,70,61
Coastal Carolina,Louisiana Tech,17,34,64,76
Louisiana Tech,Coastal Carolina,34,7,76,63
Coastal Carolina,Louisiana Tech,34,34,70,62
Louisiana Tech,Coastal Carolina,24,27,64,77
Coastal Carolina,Louisiana Tech,17,27,68,70
Louisiana Tech,Coastal Carolina,24,21,62,72
Coastal Carolina,Louisiana Tech,27,16,67,70
Louisiana Tech,Coastal Carolina,23,14,68,69
Coastal Carolina,Louisiana Tech,31,30,80,64
Louisiana Tech,Coastal Carolina,20,24,65,69
Coastal Carolina,Louisiana Tech,10,10,66,63
Louisiana Tech,Coastal Carolina,33,14,75,55
Coastal Carolina,Louisiana Tech,6,24,66,68
Louisiana Tech,Coastal Carolina,49,20,77,60
Coastal Carolina,Louisiana Tech,0,24,73,67
Louisiana Tech,Coastal Carolina,24,10,67,70
Coastal Carolina,Louisiana Tech,17,24,71,62
Louisiana Tech,Coastal Carolina,38,17,73,59
Coastal Carolina,Louisiana Tech,24,31,68,63
Louisiana Tech,Coastal Carolina,31,0,73,60
Coastal Carolina,Louisiana Tech,6,36,68,72
Louisiana Tech,Coastal Carolina,41,24,68,66
Coastal Carolina,Louisiana Tech,7,26,56,70
Louisiana Tech,Coastal Carolina,27,14,77,54
Coastal Carolina,Louisiana Tech,27,31,64,73
Louisiana Tech,Coastal Carolina,21,15,63,75
Coastal Carolina,Louisiana Tech,23,35,67,64
Louisiana Tech,Coastal Carolina,42,14,58,69
Coastal Carolina,Louisiana Tech,10,37,76,65
Louisiana Tech,Coastal Carolina,31,17,75,66
Coastal Carolina,Louisiana Tech,31,13,70,68
Louisiana Tech,Coastal Carolina,24,17,72,65
Coastal Carolina,Louisiana Tech,31,14,74,70
Louisiana Tech,Coastal Carolina,24,27,63,72
Coastal Carolina,Louisiana Tech,7,27,63,70
Louisiana Tech,Coastal Carolina,23,21,78,62
Coastal Carolina,Louisiana Tech,14,24,61,71
Louisiana Tech,Coastal Carolina,38,14,71,65
Coastal Carolina,Louisiana Tech,17,21,68,69
Louisiana Tech,Coastal Carolina,13,31,79,58
Coastal Carolina,Louisiana Tech,10,34,63,76
Louisiana Tech,Coastal Carolina,13,17,56,79
Coastal Carolina,Louisiana Tech,48,10,80,61
Louisiana Tech,Coastal Carolina,31,28,74,65
Coastal Carolina,Louisiana Tech,6,27,70,64
Louisiana Tech,Coastal Carolina,41,10,77,58
Coastal Carolina,Louisiana Tech,27,20,65,73
Louisiana Tech,Coastal Carolina,27,21,73,74
Coastal Carolina,Louisiana Tech,14,24,65,69
