team,opp,pts,opp_pts,plays,opp_plays
Louisville,Toledo,9,0,61,56
Toledo,Louisville,10,0,59,55
Louisville,Toledo,14,17,58,61
Toledo,Louisville,17,17,53,63
Louisville,Toledo,17,13,63,55
Toledo,Louisville,27,10,61,59
Louisville,Toledo,38,3,71,51
Toledo,Louisville,24,7,65,55
Louisville,Toledo,14,31,46,69
Toledo,Louisville,3,6,58,61
Louisville,Toledo,28,7,61,58
Toledo,Louisville,23,21,63,63
Louisville,Toledo,12,14,56,73
Toledo,Louisville,17,31,58,63
Louisville,Toledo,0,27,54,67
Toledo,Louisville,17,13,60,58
Louisville,Toledo,16,10,64,60
Toledo,Louisville,24,13,68,50
Louisville,Toledo,20,14,70,54
Toledo,Louisville,3,7,62,54
Louisville,Toledo,13,24,58,58
Toledo,Louisville,0,7,69,56
Louisville,Toledo,13,27,65,56
Toledo,Louisville,17,17,68,60
Louisville,Toledo,3,14,64,57
Toledo,Louisville,26,0,72,50
Louisville,Toledo,26,7,68,63
Toledo,Louisville,0,13,55,64
Louisville,Toledo,9,17,57,56
Toledo,Louisville,27,17,64,61
Louisville,Toledo,17,16,57,63
Toledo,Louisville,14,34,53,70
Louisville,Toledo,19,14,66,60
Toledo,Louisville,10,24,61,66
Louisville,Toledo,10,7,64,55
Toledo,Louisville,23,31,74,59
Louisville,Toledo,6,7,63,56
Toledo,Louisville,16,7,68,51
Louisville,Toledo,28,3,68,54
Toledo,Louisville,17,14,63,57
Louisville,Toledo,3,14,61,59
Toledo,Louisville,7,27,64,53
Louisville,Toledo,28,7,67,49
Toledo,Louisville,31,7,69,54
Louisville,Toledo,17,0,67,52
Toledo,Louisville,10,10,62,63
Louisville,Toledo,10,20,55,60
Toledo,Louisville,24,21,58,70
Louisville,Toledo,28,3,63,62
Toledo,Louisville,20,20,65,61
Louisville,Toledo,7,7,62,59
Toledo,Louisville,10,16,69,55
Louisville,Toledo,20,7,68,52
Toledo,Louisville,3,20,58,67
Louisville,Toledo,7,16,55,63
Toledo,Louisville,20,10,77,46
Louisville,Toledo,17,6,64,55
Toledo,Louisville,14,34,54,57
Louisville,Toledo,21,7,63,62
Toledo,Louisville,10,17,66,62
Louisville,Toledo,24,10,66,56
Toledo,Louisville,28,21,66,60
Louisville,Toledo,14,7,67,54
Toledo,Louisville,13,28,76,56
Louisville,Toledo,21,17,65,57
Toledo,Louisville,9,24,49,72
Louisville,Toledo,24,0,64,48
Toledo,Louisville,6,14,51,71
Louisville,Toledo,14,13,65,55
Toledo,Louisville,10,17,73,54
Louisville,Toledo,16,0,71,46
Toledo,Louisville,17,21,61,64
Louisville,Toledo,10,7,55,59
Toledo,Louisville,14,7,59,62
Louisville,Toledo,7,27,63,65
Toledo,Louisville,7,14,52,67
Louisville,Toledo,17,6,54,63
Toledo,Louisville,7,31,59,65
Louisville,Toledo,17,3,66,51
Toledo,Louisville,14,10,61,61
Louisville,Toledo,38,14,70,55
Toledo,Louisville,21,0,59,59
Louisville,Toledo,10,21,64,54
Toledo,Louisville,13,17,63,59
Louisville,Toledo,14,13,60,68
Toledo,Louisville,20,24,54,66
Louisville,Toledo,24,10,56,58
Toledo,Louisville,10,13,58,60
Louisville,Toledo,31,14,63,59
Toledo,Louisville,24,3,54,67
Louisville,Toledo,14,0,63,67
Toledo,Louisville,3,10,57,63
Louisville,Toledo,13,21,69,54
Toledo,Louisville,14,21,58,66
Louisville,Toledo,14,6,63,60
Toledo,Louisville,0,10,66,55
Louisville,Toledo,28,10,58,58
Toledo,Louisville,24,7,62,58
Louisville,Toledo,31,13,58,64
Toledo,Louisville,23,17,77,58
Louisville,Toledo,17,12,63,59
Toledo,Louisville,6,10,62,61
Louisville,Toledo,17,6,54,69
Toledo,Louisville,24,21,63,60
Louisville,Toledo,3,17,65,56
Toledo,Louisville,13,10,62,59
Louisville,Toledo,17,20,60,59
Toledo,Louisville,21,17,62,54
Louisville,Toledo,24,7,69,49
Toledo,Louisville,21,6,58,61
Louisville,Toledo,0,13,56,60
Toledo,Louisville,20,20,61,67
Louisville,Toledo,3,6,52,64
Toledo,Louisville,24,6,62,62
Louisville,Toledo,10,13,59,56
Toledo,Louisville,27,17,66,57
Louisville,Toledo,24,16,62,66
Toledo,Louisville,14,0,58,66
Louisville,Toledo,13,31,68,56
Toledo,Louisville,7,30,61,61
Louisville,Toledo,3,15,50,67
Toledo,Louisville,30,10,69,50
Louisville,Toledo,28,13,50,80
Toledo,Louisville,27,17,65,57
Louisville,Toledo,28,14,63,56
Toledo,Louisville,24,17,69,56
Louisville,Toledo,21,12,59,66
Toledo,Louisville,0,27,47,67
Louisville,Toledo,10,7,60,64
Toledo,Louisville,13,3,59,57
Louisville,Toledo,21,10,59,59
Toledo,Louisville,23,0,68,51
Louisville,Toledo,13,0,69,58
Toledo,Louisville,0,28,57,62
Louisville,Toledo,13,17,64,57
Toledo,Louisville,16,28,64,54
Louisville,Toledo,7,24,52,67
Toledo,Louisville,14,20,56,59
Louisville,Toledo,13,34,57,64
Toledo,Louisville,10,20,57,67
Louisville,Toledo,20,7,59,52
Toledo,Louisville,13,14,77,56
Louisville,Toledo,3,37,56,68
Toledo,Louisville,17,0,65,52
Louisville,Toledo,27,14,67,49
Toledo,Louisville,17,27,55,59
Louisville,Toledo,20,16,62,59
Toledo,Louisville,6,10,68,51
Louisville,Toledo,14,10,60,61
Toledo,Louisville,14,7,67,61
Louisville,Toledo,20,6,63,57
Toledo,Louisville,3,38,60,64
Louisville,Toledo,16,16,59,59
Toledo,Louisville,10,24,62,66
Louisville,Toledo,17,10,66,56
Toledo,Louisville,0,17,53,68
Louisville,Toledo,13,28,68,49
Toledo,Louisville,17,7,63,60
Louisville,Toledo,13,14,69,49
Toledo,Louisville,3,24,57,64
Louisville,Toledo,6,17,69,50
Toledo,Louisville,3,20,56,64
Louisville,Toledo,7,13,55,61
Toledo,Louisville,7,29,56,61
